ทวีปแอฟริกา	Afriko
ประเทศบอสเนียและเฮอร์เซโกวีนา	Bosnio kaj Hercegovino
นุก	Nuko (Gronlando)
ประเทศอาเซอร์ไบจาน	Azerbajĝano
ประเทศอันดอร์รา	Andoro
ประเทศไซปรัส	Kipro
ประเทศจอร์เจีย	Kartvelio
เขตวัลลูน	Valonio
ประเทศคาซัคสถาน	Kazaĥio
ประเทศมอลตา	Malto
แฟลนเดอส์	Flandrio
ประเทศโมนาโก	Monako
ประเทศมอนเตเนโกร	Montenegro
นครรัฐวาติกัน	Vatikano
ประเทศซานมารีโน	San-Marino
นครบรัสเซลส์	Bruselo
บรัสเซลส์	Brusela Ĉefurba Regiono
ประเทศคิวบา	Kubo
ประเทศเบลีซ	Belizo
หอไอเฟล	Eiffel-Turo
ประเทศบาร์เบโดส	Barbado
โฟล์กสวาเกน	Volkswagen
อินเทล	Intel
คีย์บอร์ด (คอมพิวเตอร์)	Komputila klavaro
ภาษาจาวา	Java (programlingvo)
ประเทศอินโดนีเซีย	Indonezio
เควอร์ตี	QWERTY
โวล์ฟกัง อะมาเดอุส โมซาร์ท	Wolfgang Amadeus Mozart
ลุดวิจ ฟาน เบโทเฟน	Ludwig van Beethoven
ภาษาตุรกี	Turka lingvo
เซตมานดัลบรอ	Aro de Mandelbrot
ประเทศแอฟริกาใต้	Sud-Afriko
ฌ็อง-ฟร็องซัว ช็องปอลียง	Jean-François Champollion
ลิงคินพาร์ก	Linkin Park
ประเทศแอลจีเรีย	Alĝerio
วิกิซอร์ซ	Vikifontaro
ประเทศอุซเบกิสถาน	Uzbekujo
หยาดน้ำค้าง (สกุล)	Drozero
พอซนาน	Poznano
ทาชเคนต์	Taŝkento
วอร์ซอ	Varsovio
ไอเลย์	Islay
การประกวดเพลงยูโรวิชัน	Eŭrovido-Kantokonkurso
วิสกี้	Viskio
ไวน์	Vino
น้ำ	Akvo
คอนญัก	Konjako
ไม้	Ligno
โทรทัศน์	Televido
เพศ	Sekso
งานลามก	Pornografio
ภาษาไอซ์แลนด์	Islanda lingvo
โกลด มอแน	Claude Monet
เดียโก เบลัซเกซ	Diego Velázquez
ประเทศชิลี	Ĉilio
เอลเกรโก	El Greco
พระเยซู	Jesuo Kristo
เอลวิส เพรสลีย์	Elvis Presley
กาลิเลโอ กาลิเลอี	Galilejo
ดาวพุธ	Merkuro (planedo)
ประวัติศาสตร์	Historio
แอปเปิล (บริษัท)	Apple
ดาวศุกร์	Venuso (planedo)
ภาษา	Lingvo
ความรัก	Amo
ระบอบเผด็จการ	Diktatoreco
ดาราจักร	Galaksio
ดาวพฤหัสบดี	Jupitero (planedo)
มีเชล บาเชเล	Michelle Bachelet
ทางช้างเผือก	Lakta vojo
บิกแบง	Praeksplodo
ดาวยูเรนัส	Urano (planedo)
แคว้นเบรอตาญ	Bretonio
วิกิพีเดียภาษาอังกฤษ	Anglalingva Vikipedio
นีกอลา ซาร์กอซี	Nicolas Sarkozy
ดาวเนปจูน	Neptuno (planedo)
ดาราศาสตร์	Astronomio
ประเทศสิงคโปร์	Singapuro
วิทยาศาสตร์	Scienco
ทะเลสาบเว็บสเตอร์	Chargoggagogg­manchauggagogg­chaubunagungamaugg
จักรวาลวิทยา	Kosmologio
ดาวพลูโต	Plutono
มอนทรีออล	Montrealo
ซอฟต์แวร์เสรี	Libera programaro
อนาคต	Estonteco
มารีย์ (มารดาพระเยซู)	Maria (patrino de Jesuo)
พระเจ้าหลุยส์ที่ 9 แห่งฝรั่งเศส	Ludoviko la 9-a (Francio)
ประเทศลิกเตนสไตน์	Liĥtenŝtejno
แคปซูลกาลเวลา	Tempa kapsulo
กีฬา	Sporto
เคมบริดจ์	Kembriĝo (Britio)
อุทยานแห่งชาติเยลโลว์สโตน	Nacia Parko Yellowstone
อดอล์ฟ ฮิตเลอร์	Adolf Hitler
เฟซบุ๊ก	Facebook
วิกิลีกส์	WikiLeaks
จูเลียน อาสซานจ์	Julian Assange
สงครามโลกครั้งที่หนึ่ง	Unua mondmilito
สงครามโลกครั้งที่สอง	Dua mondmilito
สงครามโลกครั้งที่สาม	Tria mondmilito
โคโลญ	Kolonjo
การทุจริตทางการเมือง	Korupto
วิกิตำรา	Vikilibroj
วิกิคำคม	Vikicitaro
วิกิวิทยาลัย	Vikiversitato
!!!	!!!
วิกิท่องเที่ยว	Vikivojaĝo
วอดก้า	Vodko
นาฬิกา	Horloĝo
อูบุนตู	Ubuntu (linukso)
สโกเปีย	Skopjo
ลินุกซ์	Linukso
บ็อบ ดิลลัน	Bob Dylan
คณิตศาสตร์	Matematiko
ยูทู	U2
ภาษาละติน	Latina lingvo
ประเทศบาห์เรน	Barejno
ประเทศอาร์มีเนีย	Armenio
อักษรรูปลิ่ม	Kojnoskribo
อนุภาคฮิกส์	Bosono de Higgs
ประเทศเซอร์เบีย	Serbio
ดวงจันทร์	Luno
อิสตันบูล	Istanbulo
ประเทศออสเตรเลีย	Aŭstralio
บ็อบ มาร์เลย์	Bob Marley
คาร์ล เซแกน	Carl Sagan
ฟิสิกส์	Fiziko
ประเทศอาร์เจนตินา	Argentino
โทรคมนาคม	Telekomunikado
ประเทศเปรู	Peruo
ชีววิทยา	Biologio
ยูเอฟโอ	Nifo
ประเทศเกาหลีเหนือ	Nord-Koreio
ประเทศกัมพูชา	Kamboĝo
แถบไคเปอร์	Kujper-zono
อัลกุรอาน	Korano
ไดโนเสาร์	Dinosaŭro
สัตววิทยา	Bestoscienco
ศาสนาอิสลาม	Islamo
ลูบลิยานา	Ljubljano
พฤกษศาสตร์	Plantoscienco
ผมเป็นชาวเบอร์ลิน	Ich bin ein Berliner
ล้อ	Rado
สารานุกรม หรือพจนานุกรมอันเป็นระบบว่าด้วยวิทยาศาสตร์ ศิลปกรรม และหัตถกรรม	Encyclopédie ou dictionnaire raisonné des sciences, des arts et des métiers
เดอนี ดีเดอโร	Denis Diderot
จิต	Menso
สันติภาพ	Paco
สารานุกรมบริตานิกา	Encyclopaedia Britannica
ลียง	Liono
สหภาพยุโรป	Eŭropa Unio
พลอฟดิฟ	Plovdiv
อินเทอร์เน็ตอาร์ไคฟ์	Internet Archive
สตาร์ วอร์ส	Star Wars
แคว้นโรนาลป์	Rodano-Alpoj
เวิลด์ไวด์เว็บ	TTT
ผู้หญิง	Virino
โซเฟีย	Sofio
สะพานส่งน้ำ	Akvedukto
ดอนกิโฆเต้	Kiĥoto
กวีนิพนธ์	Poezio
ไวรัสคอมพิวเตอร์	Komputviruso
ภัยพิบัติเชอร์โนบิล	Nuklea akcidento de Ĉernobilo
มิลาน	Milano
ความจำ	Memoro
ตูริน	Torino
อุจจาระ	Fekaĵo
ทวารหนัก	Anuso
เลมอน	Citrono
กล้วย	Banano
พ.ศ. 1209	666
ดอก	Floro
กูกอล	Guglo
กูกอลเพลกซ์	Gugloplekso
ร่องลึกก้นสมุทรมาเรียนา	Mariana Fosego
วลาดีมีร์ วืยซอตสกี	Vladimir Visockij
ยอดเขาเอเวอเรสต์	Ĉomolungmo
กายวิภาคศาสตร์	Anatomio
นคร	Urbo
จักรพรรดินโปเลียนที่ 1	Napoleono Bonaparte
ภูเขาไฟโอลิมปัส	Olympus Mons
สรีรวิทยา	Fiziologio
ดาวฤกษ์	Stelo
ภูเขาไฟวิสุเวียส	Vezuvio
ดวงอาทิตย์	Suno
ท้องฟ้า	Ĉielo
PSR B1257+12	PSR B1257+12
หลุยส์ ปาสเตอร์	Louis Pasteur
ปีแสง	Lumjaro
หมู่บ้าน	Vilaĝo
วิกตอร์ อูโก	Victor Hugo
โอเชียเนีย	Oceanio
กรีฑา	Atletiko
การตรวจพิจารณา	Cenzuro
ระบบสุริยะ	Sunsistemo
ทะเลบอลติก	Balta Maro
ตรีเอสเต	Triesto
แม่น้ำวิสวา	Vistulo
ช็องเซลีเซ	Avenuo de la Elizeaj Kampoj
โอเดอร์	Odro
ฟัน	Dento
ไฮโดรเจน	Hidrogeno
ฮีเลียม	Heliumo
นรก	Infero
วิกิมีเดียคอมมอนส์	Vikimedia Komunejo
แดนชำระ	Purgatorio
อังเกลา แมร์เคิล	Angela Merkel
ลิเทียม	Litio
เบริลเลียม	Berilio
ลำโพง	Laŭtparolilo
หนังสือ	Libro
วัน	Tago
ประเทศติมอร์-เลสเต	Orienta Timoro
กลางคืน	Nokto
ปี	Jaro
ศตวรรษ	Jarcento
วูช	Lodzo
ยอดเขามงบล็อง	Blanka Monto
แม่น้ำไรน์	Rejno
ออสโล	Oslo
บอนน์	Bonn
วันสมโภชนักบุญทั้งหลาย	Ĉiuj Sanktuloj
คาโตวีตเซ	Katowice
หลุมดำ	Nigra truo
เกย์	Gejo
ซีรีส	Cereso
ลิสบอน	Lisbono
เชชูฟ	Rzeszów
เฮาเมอา	Haŭmeo
แม่น้ำโรน	Rodano
มาคีมาคี	Makemako (nanoplanedo)
กิจกรรมทางเพศของมนุษย์	Seksumado
อีริส	Eriso
ดูไบ	Dubajo
เลียวเนล เมสซี	Lionel Messi
ปาโดวา	Padovo
โบรอน	Boro
นิโคเลาส์ โคเปอร์นิคัส	Koperniko
แวร์ซาย	Versailles
ลุดวิจส์บูร์ก	Ludwigsburg
คาร์บอน	Karbono
อาเลสซันโดร เดล ปีเอโร	Alessandro del Piero
แม่น้ำวอลกา	Volgo
ไนโตรเจน	Nitrogeno
แบร์กาโม	Bergamo
ออกซิเจน	Oksigeno
สโมสรฟุตบอลอินแตร์นาซีโอนาเลมีลาโน	Inter Milano
นีล ยัง	Neil Young
ดาวเคราะห์	Planedo
คลีโอพัตรา	Kleopatra
เคต บุช	Kate Bush
ดนตรี	Muziko
เวนิส	Venecio
นินจาคาถาโอ้โฮเฮะ	Naruto (mangao)
แม่น้ำโป	Pado
เทอร์มอมิเตอร์	Termometro
แรน	Rennes
ลีล	Lille
มอสโก	Moskvo
ฟลูออรีน	Fluoro
ภาษาอิตาลี	Itala lingvo
ชีวาวา (พันธุ์สุนัข)	Ĉivava hundo
นีออน	Neono
รัฐชีวาวา	Chihuahua
เซนต์ปีเตอร์สเบิร์ก	Sankt-Peterburgo
ประเทศชาด	Ĉado
โซเดียม	Natrio
ทิศเหนือ	Nordo
แมกนีเซียม	Magnezio
อีวานเกเลียน	Neon Genesis Evangelion
อะลูมิเนียม	Aluminio
ประเทศนิวซีแลนด์	Nov-Zelando
ทิศใต้	Sudo
ประเทศอินเดีย	Barato
ซิลิคอน	Silicio
แฟรนเซียม	Franciumo
ประเทศตูวาลู	Tuvalo
วันพีซ	One Piece
ฟอสฟอรัส	Fosforo
อ็องเดร-มารี อ็องแปร์	André-Marie Ampère
ร้อยแก้ว	Prozo
เหล็ก	Fero
ประเทศตองกา	Tongo
ทิศตะวันตก	Okcidento
อาเลสซานโดร โวลตา	Alessandro Volta
กำมะถัน	Sulfuro
ประเทศซามัว	Samoo
ทิศตะวันออก	Oriento
หมู่เกาะโซโลมอน	Salomonoj
ประเทศวานูอาตู	Vanuatuo
มอลีแยร์	Molière
คลอรีน	Kloro
เดลฟท์	Delft
ประเทศปาปัวนิวกินี	Papuo-Nov-Gvineo
วิลเลียม เชกสเปียร์	William Shakespeare
จังหวัดเซาท์ฮอลแลนด์	Suda Holando
ประเทศปาเลา	Palaŭo
อาร์กอน	Argono
ประเทศนาอูรู	Nauro
มอซิลลา ไฟร์ฟอกซ์	Mozilla Firefox
เทพนิยาย	Fabelo
จังหวัดนอร์ทฮอลแลนด์	Norda Holando
ประเทศไมโครนีเซีย	Federacio de Mikronezio
โพแทสเซียม	Kalio
จังหวัดเซลันด์	Zelando
แคลเซียม	Kalcio
จังหวัดเฟลโฟลันด์	Flevolando
ตะกั่ว	Plumbo
สาธารณรัฐหมู่เกาะมาร์แชลล์	Marŝala Insularo
ประเทศคิริบาส	Kiribato
ประเทศมองโกเลีย	Mongolio
ประเทศฟิจิ	Fiĝioj
สแกนเดียม	Skandio
สตีวี วันเดอร์	Stevie Wonder
ไทเทเนียม	Titano (elemento)
ประเทศเวเนซุเอลา	Venezuelo
หมากรุกสากล	Ŝako
เจงกีส ข่าน	Ĝingis-Ĥano
วาเนเดียม	Vanado
รัฐเมน	Majno
โครเมียม	Kromo
ม้า	Ĉevalo
อัมสเตอร์ดัม	Amsterdamo
อาวุธ	Armilo
สัตว์	Bestoj
ประเทศซูรินาม	Surinamo
แมงกานีส	Mangano
ประเทศปารากวัย	Paragvajo
ประเทศกายอานา	Gujano
ศิลปะ	Arto
ประเทศเอกวาดอร์	Ekvadoro
รีเนียม	Renio
ประเทศโคลอมเบีย	Kolombio
โคบอลต์	Kobalto
ทังสเตน	Volframo
นิกเกิล	Nikelo
ศาสนาพุทธ	Budhismo
ประเทศโบลิเวีย	Bolivio
ออสเมียม	Osmio
จังหวัดโกรนิงเงิน	Groningen (provinco)
ทองแดง	Kupro
ประเทศตรินิแดดและโตเบโก	Trinidado kaj Tobago
พืช	Plantoj
ประเทศเซนต์วินเซนต์และเกรนาดีนส์	Sankta Vincento kaj Grenadinoj
สังกะสี	Zinko
รัฐนิวแฮมป์เชียร์	Nov-Hampŝiro
ประเทศเซนต์ลูเซีย	Sankta Lucio
เบียวิสตอค	Bjalistoko
เลโอนาร์โด ดา วินชี	Leonardo da Vinci
ประเทศเซนต์คิตส์และเนวิส	Sankta-Kito kaj Neviso
เห็ดรา	Fungoj
ดาริโอ โฟ	Dario Fo
ประเทศจาเมกา	Jamajko
ประเทศเกรเนดา	Grenado (lando)
จังหวัดฟรีสลันด์	Frislando
รัฐแมสซาชูเซตส์	Masaĉuseco
จังหวัดเดรนเทอ	Drenthe
จังหวัดโอเฟอไรส์เซิล	Overijssel
ประเทศกัวเตมาลา	Gvatemalo
จังหวัดเกลเดอร์ลันด์	Gelderland
จังหวัดยูเทรกต์	Utrecht (provinco)
กูเกิล โครม	Google Chrome
ประเทศบาฮามาส	Bahamoj
รัฐคอนเนตทิคัต	Konektikuto
ไก่	Koko
ประเทศแอนติกาและบาร์บูดา	Antigvo-Barbudo
รัฐฮาวาย	Havajo
ประเทศฮอนดูรัส	Honduro
ประเทศดอมินีกา	Dominiko
เจอร์ซีย์	Ĵersejo
สาธารณรัฐโดมินิกัน	Domingo
สุกร	Porko
มหาสมุทรอาร์กติก	Arkta Oceano
ประเทศเฮติ	Haitio
ประเทศเอลซัลวาดอร์	Salvadoro
ซโวลเลอ	Zwolle
ประเทศอิหร่าน	Irano
ประเทศอิรัก	Irako
รัฐอะแลสกา	Alasko
อาสเซิน	Assen
ภูมิปัญญา	Saĝo
ประเทศคอสตาริกา	Kostariko
ประเทศอิสราเอล	Israelo
ยูเทรกต์ (เมือง)	Utrecht
ประเทศปานามา	Panamo
ประเทศเยเมน	Jemeno
โลซาน	Laŭzano
ไวรัส	Viruso (biologio)
ภาษาโปแลนด์	Pola lingvo
ประเทศจอร์แดน	Jordanio
ประเทศนิการากัว	Nikaragvo
รัฐฟลอริดา	Florido
ประเทศคีร์กีซสถาน	Kirgizio
รัฐแอริโซนา	Arizono
ประเทศคูเวต	Kuvajto
ประเทศลาว	Laoso
ประเทศเลบานอน	Libano
รัฐออริกอน	Oregono
ประเทศมัลดีฟส์	Maldivoj
ทวีปอเมริกา	Ameriko
รัฐยูทาห์	Utaho
วัว	Bovo
ประเทศมาเลเซีย	Malajzio
รัฐวาเล	Kantono Valezo
ประเทศพม่า	Birmo
ประเทศเนปาล	Nepalo
ประเทศโอมาน	Omano
ประเทศปากีสถาน	Pakistano
เจมส์ บอนด์	James Bond (fikcia universo)
ประเทศกาตาร์	Kataro
เทนนิส	Teniso
มายเอสคิวเอล	MySQL
ประเทศซาอุดีอาระเบีย	Sauda Arabio
ประเทศศรีลังกา	Sri-Lanko
โจเซฟ สตาลิน	Josif Stalin
บาร์โค้ด	Strekokodo
ประเทศซีเรีย	Sirio
เพลโต	Platono
แกลเลียม	Galiumo
ประเทศทาจิกิสถาน	Taĝikio
โปเกมอน	Pokemono
ประเทศไต้หวัน	Respubliko Ĉinio
ยูทูบ	YouTube
เจอร์เมเนียม	Germaniumo
อาริสโตเติล	Aristotelo
ประเทศไทย	Tajlando
รถไฟ	Trajno
สารหนู	Arseno
เมอรีล สตรีป	Meryl Streep
ประเทศเติร์กเมนิสถาน	Turkmenio
ซีลีเนียม	Seleno
อิริเดียม	Iridio
สหรัฐอาหรับเอมิเรตส์	Unuiĝintaj Arabaj Emirlandoj
โบรมีน	Bromo
แพลทินัม	Plateno
ประเทศเวียดนาม	Vjetnamio
ชาร์ลี แชปลิน	Charlie Chaplin
โนโวซีบีสค์	Novosibirsko
ประเทศเกาหลีใต้	Sud-Koreio
เดอะซิมป์สันส์	La Simpsonoj
เยคาเตรินบุร์ก	Jekaterinburg
คริปทอน	Kriptono
ประเทศอัฟกานิสถาน	Afganio
คังนัมสไตล์	Gangnam Style
นิจนีนอฟโกรอด	Niĵnij Novgorod
เจ. อาร์. อาร์. โทลคีน	John Ronald Reuel Tolkien
ซามารา (ประเทศรัสเซีย)	Samara (urbo)
รูบิเดียม	Rubidio
ทองคำ	Oro
ออมสค์	Omsk
คลองสุเอซ	Sueza Kanalo
คาซาน	Kazano
นักวิทยาศาสตร์	Sciencisto
ประเทศบังกลาเทศ	Bangladeŝo
เทพมรณะ	Bleach
ฟรานซ์ คาฟคา	Franz Kafka
คอร์เค ลุยส์ บอร์เคส	Jorge Luis Borges
อูฟา	Ufa
ประเทศมาลี	Malio
โสกราตีส	Sokrato
วอลโกกราด	Volgogrado
ประเทศแองโกลา	Angolo
เปียร์ม	Permjo
ประเทศภูฏาน	Butano
ทวิตเตอร์	Twitter
ครัสโนยาสค์	Krasnojarsk
ประเทศบรูไน	Brunejo
เกาะบราช	Brač
ประเทศแทนซาเนีย	Tanzanio
ปรอท	Hidrargo
โรอัลด์ อะมุนด์เซน	Roald Amundsen
ประเทศฟิลิปปินส์	Filipinoj
สาธารณรัฐแอฟริกากลาง	Centr-Afrika Respubliko
แทลเลียม	Taliumo
ขั้วโลกใต้	Suda poluso
ขั้วโลกเหนือ	Norda poluso
ไอแซก นิวตัน	Isaac Newton
โอเพินสตรีตแมป	OpenStreetMap
อัลเบิร์ต ไอน์สไตน์	Albert Einstein
สตรอนเชียม	Stroncio
จักรพรรดิเปดรูที่ 1 แห่งบราซิล	Petro la 1-a (Brazilo)
อิตเทรียม	Itrio
บิสมัท	Bismuto
สีเหลือง	Flava
กลศาสตร์ควอนตัม	Kvantuma mekaniko
ประเทศโตโก	Togolando
ประเทศตูนิเซีย	Tunizio
ประเทศแซมเบีย	Zambio
ประเทศซิมบับเว	Zimbabvo
ปักกิ่ง	Pekino
ประเทศเซาท์ซูดาน	Sud-Sudano
วลาดีวอสตอค	Vladivostok
ประเทศเบนิน	Benino
ประเทศบอตสวานา	Bocvano
วิกิข่าว	Vikinovaĵoj
ประเทศบูร์กินาฟาโซ	Burkino
ประเทศบุรุนดี	Burundo
ประเทศคอโมโรส	Komoroj
สาธารณรัฐคองโก	Respubliko Kongo
แม่น้ำอ็อบ	Obo
สาธารณรัฐประชาธิปไตยคองโก	Demokratia Respubliko Kongo
แซนแอนโทนีโอ	San Antonio (Teksaso)
ประเทศจิบูตี	Ĝibutio
มีม	Memeo
พอโลเนียม	Polonio
รัฐบาวาเรีย	Bavario
ประเทศอิเควทอเรียลกินี	Ekvatora Gvineo
รัฐบาเดิน-เวือร์ทเทมแบร์ก	Baden-Virtembergo
ประเทศเอริเทรีย	Eritreo
นิวเดลี	Nov-Delhio
สมเด็จพระสันตะปาปาจอห์น ปอลที่ 2	Johano Paŭlo la 2-a
ฟิโอดอร์ ดอสโตเยฟสกี	Fjodor Dostojevskij
อาเมอร์สโฟร์ต	Amersforto
คาบสมุทรคัมชัตคา	Kamĉatko
ทบิลิซิ	Tbiliso
แอสทาทีน	Astato
ประเทศกาบอง	Gabono
มหาตมา คานธี	Mohandas Karamchand Gandhi
การ์ตูนช่อง	Bildliteraturo
ประเทศแกมเบีย	Gambio
ประเทศกินี	Gvineo
ประเทศกินี-บิสเซา	Gvineo Bisaŭa
ประเทศโกตดิวัวร์	Ebur-Bordo
ประเทศแคเมอรูน	Kameruno
มารีบอร์	Mariboro
ประเทศกาบูเวร์ดี	Kaboverdo
ประเทศเลโซโท	Lesoto
ประเทศไลบีเรีย	Liberio
ประเทศลิเบีย	Libio
อาเคิน	Aachen
ประเทศมาดากัสการ์	Madagaskaro
ประเทศมาลาวี	Malavio
ชตุทท์การ์ท	Stutgarto
ประเทศมอริเตเนีย	Maŭritanio
ชาวโปแลนด์	Poloj
ประเทศมอริเชียส	Maŭricio
ประเทศโมร็อกโก	Maroko
ประเทศโมซัมบิก	Mozambiko
ประเทศนามิเบีย	Namibio
ประเทศไนเจอร์	Niĝero
ประเทศไนจีเรีย	Niĝerio
ชาลส์ ดาร์วิน	Charles Darwin
ประเทศยูกันดา	Ugando
ประเทศรวันดา	Ruando
เซอร์โคเนียม	Zirkonio
ประเทศเซาตูเมและปรินซิปี	Sao-Tomeo kaj Principeo
คาร์ลสรูเออ	Karlsruhe
ประเทศเซเนกัล	Senegalo
ประเทศเซเชลส์	Sejŝeloj
คาโรลัส ลินเนียส	Karolo Lineo
ประเทศเซียร์ราลีโอน	Siera-Leono
