Africa	Afriko
Mare	Maro
Marea Neagră	Nigra Maro
Pi	Pi (nombro)
Mango	Mango (frukto)
Wiki	Vikio
Toronto	Toronto
Alabama	Alabamo
São Paulo (oraș)	San-Paŭlo (urbo)
São Paulo (stat)	San-Paŭlo
Provincia Québec	Kebekio
Pizza	Pico
Boeing 747	Boeing 747
Wikimedia Foundation	Fondaĵo Vikimedio
Jimmy Wales	Jimmy Wales
Germania	Germanio
Belarus	Belorusio
Larry Sanger	Larry Sanger
Il Canto degli Italiani	Il Canto degli Italiani
Limba germană	Germana lingvo
Islanda	Islando
Dumnezeu	Dio
Estonia	Estonio
David Cameron	David Cameron
Saturn	Saturno (planedo)
Inelele lui Saturn	Ringoj de Saturno
Ciocolată	Ĉokolado
Avion	Aviadilo
Război	Milito
1 (cifră)	1 (nombro)
2 (cifră)	2 (nombro)
3 (cifră)	3 (nombro)
4 (cifră)	4 (nombro)
5 (cifră)	5 (nombro)
0 (cifră)	Nulo
Infinit	Senfineco
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Dreptunghi	Ortangulo
Unghi drept	Orto
Letonia	Latvio
Ucraina	Ukrainio
Cehia	Ĉeĥio
Slovacia	Slovakio
Slovenia	Slovenio
Vilnius	Vilno
Republica Moldova	Moldava Respubliko
România	Rumanio
Bulgaria	Bulgario
Roma	Romo
Republica Macedonia	Respubliko Makedonio
Albania	Albanio
Groenlanda	Gronlando
Croația	Kroatio
Bosnia și Herțegovina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Azerbaidjan	Azerbajĝano
Andorra	Andoro
Cipru	Kipro
Georgia	Kartvelio
Valonia	Valonio
Kazahstan	Kazaĥio
Malta	Malto
Flandra	Flandrio
Monaco	Monako
Muntenegru	Montenegro
Vatican	Vatikano
San Marino	San-Marino
Orașul Bruxelles	Bruselo
Regiunea Capitalei Bruxelles	Brusela Ĉefurba Regiono
Cuba	Kubo
Belize	Belizo
Turnul Eiffel	Eiffel-Turo
Barbados	Barbado
Volkswagen	Volkswagen
Intel	Intel
Tastatură	Komputila klavaro
Java (limbaj de programare)	Java (programlingvo)
Indonezia	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Limba turcă	Turka lingvo
Mulțimea lui Mandelbrot	Aro de Mandelbrot
Africa de Sud	Sud-Afriko
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Algeria	Alĝerio
Wikisursă	Vikifontaro
Uzbekistan	Uzbekujo
Drosera	Drozero
Poznań	Poznano
Tașkent	Taŝkento
Varșovia	Varsovio
Concursul Muzical Eurovision	Eŭrovido-Kantokonkurso
Modena	Modeno
Whisky	Viskio
Vin	Vino
Apă	Akvo
Coniac	Konjako
Cognac	Cognac
Piele (material)	Ledo
Lemn	Ligno
Tours	Tours
Televiziune	Televido
Sex	Sekso
Pornografie	Pornografio
Limba islandeză	Islanda lingvo
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Chile	Ĉilio
Saga Islandezilor	Islandanaj sagaoj
El Greco	El Greco
Isus din Nazaret	Jesuo Kristo
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galilejo
Mercur (planetă)	Merkuro (planedo)
Istorie	Historio
Cimitirul Père-Lachaise	Tombejo Père-Lachaise
Apple Inc.	Apple
Venus	Venuso (planedo)
Limbă (comunicare)	Lingvo
Dragoste	Amo
Dictatură	Diktatoreco
Galaxie	Galaksio
Jupiter	Jupitero (planedo)
Michelle Bachelet	Michelle Bachelet
Calea Lactee	Lakta vojo
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Big Bang	Praeksplodo
Uranus	Urano (planedo)
Wikipedia în engleză	Anglalingva Vikipedio
Nicolas Sarkozy	Nicolas Sarkozy
Neptun	Neptuno (planedo)
Astronomie	Astronomio
Singapore	Singapuro
Știință	Scienco
Lacul Chaubunagungamaug	Chargoggagogg­manchauggagogg­chaubunagungamaugg
Cosmologie	Kosmologio
Pluton	Plutono
Montréal	Montrealo
Software liber	Libera programaro
Quimper	Quimper
La Flèche	La Flèche
Viitor	Estonteco
Fecioara Maria	Maria (patrino de Jesuo)
Ludovic al IX-lea al Franței	Ludoviko la 9-a (Francio)
Liechtenstein	Liĥtenŝtejno
Sport	Sporto
Cambridge	Kembriĝo (Britio)
Parcul Național Yellowstone	Nacia Parko Yellowstone
Adolf Hitler	Adolf Hitler
Blanche a Castiliei	Blanka de Kastilio
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Primul Război Mondial	Unua mondmilito
Al Doilea Război Mondial	Dua mondmilito
Al Treilea Război Mondial	Tria mondmilito
Köln	Kolonjo
Corupție	Korupto
Wikimanuale	Vikilibroj
Augusto Pinochet	Augusto Pinochet
Wikicitat	Vikicitaro
Wikivoyage	Vikivojaĝo
Votcă	Vodko
Ceas	Horloĝo
Yanka Kupala	Janka Kupala
Ubuntu	Ubuntu (linukso)
Skopje	Skopjo
Gdynia	Gdynia
Linux	Linukso
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Matematică	Matematiko
U2	U2
Limba latină	Latina lingvo
Bahrain	Barejno
Armenia	Armenio
Scriere cuneiformă	Kojnoskribo
Bosonul Higgs	Bosono de Higgs
Serbia	Serbio
Lună	Luno
Istanbul	Istanbulo
Australia	Aŭstralio
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Exobiologie	Astrobiologio
Placa Pioneer	Tabulo de la kosmosondiloj Pioneer
Fizică	Fiziko
Argentina	Argentino
Telecomunicație	Telekomunikado
Peru	Peruo
Biologie	Biologio
Obiect zburător neidentificat	Nifo
Muséum de Toulouse	Naturhistoria Muzeo de Tuluzo
Coreea de Nord	Nord-Koreio
Cambodgia	Kamboĝo
Drepturile animalelor	Bestaj rajtoj
Centura Kuiper	Kujper-zono
Coran	Korano
Dinozaur	Dinosaŭro
Zoologie	Bestoscienco
Islam	Islamo
Pyrus	Pirarbo
Biblioteca din Alexandria	Librejo de Aleksandrio
Szczebrzeszyn	Szczebrzeszyn
Ljubljana	Ljubljano
Wąchock	Wąchock
Salvador Allende	Salvador Allende
Botanică	Plantoscienco
Ich bin ein Berliner	Ich bin ein Berliner
Lech Wałęsa	Lech Wałęsa
Roată	Rado
Encyclopédie	Encyclopédie ou dictionnaire raisonné des sciences, des arts et des métiers
Denis Diderot	Denis Diderot
Georges Brassens	Georges Brassens
Minte	Menso
Borken	Borken (Nordrejn-Vestfalio)
Pace	Paco
Encyclopædia Britannica	Encyclopaedia Britannica
Lyon	Liono
Poissy	Poissy
Uniunea Europeană	Eŭropa Unio
Plovdiv	Plovdiv
Internet Archive Wayback Machine	Internet Archive
Războiul stelelor (franciză)	Star Wars
Ron-Alpi	Rodano-Alpoj
World Wide Web	TTT
Femeie	Virino
Sferă Dyson	Dajsonstrukturo
Sofia	Sofio
Apeduct	Akvedukto
Ñ	Ñ
Don Quijote	Kiĥoto
Poezie	Poezio
Lene	Maldiligento
Virus informatic	Komputviruso
Accidentul nuclear de la Cernobîl	Nuklea akcidento de Ĉernobilo
Milano	Milano
Prieten	Amikeco
Memorie	Memoro
Arthur Rimbaud	Arthur Rimbaud
Torino	Torino
Excrement	Fekaĵo
Anus	Anuso
Axilă	Akselo
Lămâi	Citrono
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Banană	Banano
Émile Zola	Émile Zola
666	666
Floare	Floro
Googol	Guglo
Googolplex	Gugloplekso
Groapa Marianelor	Mariana Fosego
Vladimir Vîsoțki	Vladimir Visockij
Everest	Ĉomolungmo
Anatomie	Anatomio
Oraș	Urbo
Napoleon I	Napoleono Bonaparte
Olympus Mons	Olympus Mons
Fiziologie	Fiziologio
Stea	Stelo
Vezuviu	Vezuvio
Soare	Suno
Cer	Ĉielo
PSR B1257+12	PSR B1257+12
Louis Pasteur	Louis Pasteur
An-lumină	Lumjaro
Sat	Vilaĝo
Victor Hugo	Victor Hugo
Oceania	Oceanio
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletism	Atletiko
Cenzură	Cenzuro
Sistemul solar	Sunsistemo
Marea Baltică	Balta Maro
Triest	Triesto
Vistula	Vistulo
Bulevardul Champs-Élysées	Avenuo de la Elizeaj Kampoj
Oder	Odro
Dinte	Dento
Hidrogen	Hidrogeno
Heliu	Heliumo
Iad (religie)	Infero
Wikimedia Commons	Vikimedia Komunejo
Purgatoriu	Purgatorio
Angela Merkel	Angela Merkel
Litiu	Litio
Beriliu	Berilio
Difuzor	Laŭtparolilo
Carte	Libro
Zi	Tago
Timorul de Est	Orienta Timoro
Noapte	Nokto
An	Jaro
Secol	Jarcento
Łódź	Lodzo
Canegrate	Canegrate
Villeurbanne	Villeurbanne
Mont Blanc	Blanka Monto
Rin	Rejno
Oslo	Oslo
Bonn	Bonn
Sărbătoarea Tuturor Sfinților	Ĉiuj Sanktuloj
Katowice	Katowice
Gaură neagră	Nigra truo
Luís de Camões	Luís Vaz de Camões
Ceres (planetă pitică)	Cereso
Lisabona	Lisbono
Rzeszów	Rzeszów
Haumea (planetă pitică)	Haŭmeo
Ron	Rodano
Makemake (planetă pitică)	Makemako (nanoplanedo)
Michael Bloomberg	Michael Bloomberg
Comportamentul sexual al oamenilor	Seksumado
Eris (planetă pitică)	Eriso
Dubai	Dubajo
Lionel Messi	Lionel Messi
Padova	Padovo
Bor (element)	Boro
Nicolaus Copernic	Koperniko
Versailles	Versailles
Ludwigsburg	Ludwigsburg
Carbon	Karbono
Alessandro Del Piero	Alessandro del Piero
Volga	Volgo
Azot	Nitrogeno
Bergamo	Bergamo
Oxigen	Oksigeno
FC Internazionale Milano	Inter Milano
Neil Young	Neil Young
Planetă	Planedo
Cleopatra	Kleopatra
Kate Bush	Kate Bush
Muzică	Muziko
Veneția	Venecio
Naruto	Naruto (mangao)
Pad	Pado
Sharm el-Sheih	Ŝarm el Ŝeiĥ
Neva	Neva
Termometru	Termometro
Rennes	Rennes
Lille	Lille
Moscova	Moskvo
Fluor	Fluoro
Limba italiană	Itala lingvo
Chihuahua (rasă canină)	Ĉivava hundo
Neon	Neono
Chihuahua (stat)	Chihuahua
Sankt Petersburg	Sankt-Peterburgo
Ciad	Ĉado
Sodiu	Natrio
Nord	Nordo
Magneziu	Magnezio
Neon Genesis Evangelion	Neon Genesis Evangelion
Aluminiu	Aluminio
Noua Zeelandă	Nov-Zelando
Sud	Sudo
India	Barato
Siliciu	Silicio
Franciu	Franciumo
Tuvalu	Tuvalo
One Piece	One Piece
Fosfor	Fosforo
André-Marie Ampère	André-Marie Ampère
Proză	Prozo
Fier	Fero
Tonga	Tongo
Vest	Okcidento
Alessandro Volta	Alessandro Volta
Sulf	Sulfuro
Samoa	Samoo
Est	Oriento
Insulele Solomon	Salomonoj
Vanuatu	Vanuatuo
Molière	Molière
Clor	Kloro
Delft	Delft
Papua Noua Guinee	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Fabulă	Fablo
Olanda de Sud	Suda Holando
Palau	Palaŭo
Argon	Argono
Nauru	Nauro
Mozilla Firefox	Mozilla Firefox
Basm	Fabelo
Olanda de Nord	Norda Holando
Statele Federate ale Microneziei	Federacio de Mikronezio
Potasiu	Kalio
Zeelanda	Zelando
Calciu	Kalcio
Flevoland	Flevolando
Plumb	Plumbo
Insulele Marshall	Marŝala Insularo
Kiribati	Kiribato
Mongolia	Mongolio
Fiji	Fiĝioj
Scandiu	Skandio
Stevie Wonder	Stevie Wonder
Heilbronn	Hajlbrono
Titan	Titano (elemento)
Venezuela	Venezuelo
Șah (joc)	Ŝako
Ginghis Han	Ĝingis-Ĥano
Vanadiu	Vanado
Maine	Majno
Crom	Kromo
Cal	Ĉevalo
Amsterdam	Amsterdamo
Armă	Armilo
Regnul Animalia	Bestoj
Surinam	Surinamo
Mangan	Mangano
Paraguay	Paragvajo
Guyana	Gujano
Artă	Arto
Ecuador	Ekvadoro
Reniu	Renio
Columbia	Kolombio
Cobalt	Kobalto
Jean Racine	Jean Racine
Wolfram	Volframo
Nichel	Nikelo
Fragaria	Frago
Pierre Corneille	Pierre Corneille
Budism	Budhismo
Groningen	Groningen (urbo)
Bolivia	Bolivio
Osmiu	Osmio
Groningen (provincie)	Groningen (provinco)
Cupru	Kupro
Trinidad și Tobago	Trinidado kaj Tobago
Paul Verlaine	Paul Verlaine
Plantă	Plantoj
Sfântul Vicențiu și Grenadinele	Sankta Vincento kaj Grenadinoj
Zinc	Zinko
New Hampshire	Nov-Hampŝiro
Sfânta Lucia	Sankta Lucio
Białystok	Bjalistoko
Leonardo da Vinci	Leonardo da Vinci
Sfântul Cristofor și Nevis	Sankta-Kito kaj Neviso
Regnul Fungi	Fungoj
Dario Fo	Dario Fo
Jamaica	Jamajko
Stéphane Mallarmé	Stéphane Mallarmé
Grenada	Grenado (lando)
Provincia Frizia	Frislando
Massachusetts	Masaĉuseco
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Gvatemalo
Gelderland	Gelderland
Utrecht (provincie)	Utrecht (provinco)
Google Chrome	Google Chrome
Bahamas	Bahamoj
Connecticut	Konektikuto
Găină	Koko
Antigua și Barbuda	Antigvo-Barbudo
Hawaii	Havajo
Honduras	Honduro
Dominica	Dominiko
Insula Jersey	Ĵersejo
Republica Dominicană	Domingo
Porc domestic	Porko
Oceanul Arctic	Arkta Oceano
Haiti	Haitio
El Salvador	Salvadoro
Zwolle	Zwolle
Iran	Irano
Irak	Irako
Alaska	Alasko
Assen	Assen
Înțelepciune	Saĝo
Costa Rica	Kostariko
Israel	Israelo
Nowy Sącz	Nowy Sącz
Utrecht	Utrecht
Panama	Panamo
Yemen	Jemeno
Lausanne	Laŭzano
Virus	Viruso (biologio)
Limba poloneză	Pola lingvo
Iordania	Jordanio
Nicaragua	Nikaragvo
Florida	Florido
Kârgâzstan	Kirgizio
Arizona	Arizono
Kuweit	Kuvajto
Laos	Laoso
Liban	Libano
Oregon	Oregono
Dumnezeu în creștinism	Dio laŭ kristanismo
Maldive	Maldivoj
America	Ameriko
Utah	Utaho
Vacă	Bovo
Malaezia	Malajzio
Cantonul Valais	Kantono Valezo
Mihail Bulgakov	Miĥail Bulgakov
Birmania	Birmo
Nepal	Nepalo
Andrei Rubliov	Andreo Rublov
Oman	Omano
Pakistan	Pakistano
James Bond	James Bond (fikcia universo)
Qatar	Kataro
Tenis de câmp	Teniso
François Villon	François Villon
MySQL	MySQL
Arabia Saudită	Sauda Arabio
Andrei Tarkovski	Andrei Arsenjewitsch Tarkowski
Sri Lanka	Sri-Lanko
Iosif Vissarionovici Stalin	Josif Stalin
Cod de bare	Strekokodo
Siria	Sirio
Platon	Platono
Galiu	Galiumo
Iosif Brodski	Iosif Brodskij
Tadjikistan	Taĝikio
Pokémon	Pokemono
Taiwan	Respubliko Ĉinio
YouTube	YouTube
Germaniu	Germaniumo
Aristotel	Aristotelo
Thailanda	Tajlando
Tren	Trajno
Arsen	Arseno
Radio	Radiofonio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenio
Abakan	Abakan
Seleniu	Seleno
Iridiu	Iridio
Emiratele Arabe Unite	Unuiĝintaj Arabaj Emirlandoj
Brom	Bromo
Platină	Plateno
Vietnam	Vjetnamio
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsko
Coreea de Sud	Sud-Koreio
Józef Piłsudski	Józef Piłsudski
Familia Simpson	La Simpsonoj
Ekaterinburg	Jekaterinburg
Kripton	Kriptono
Afganistan	Afganio
Gangnam Style	Gangnam Style
Nijni Novgorod	Niĵnij Novgorod
J. R. R. Tolkien	John Ronald Reuel Tolkien
Limonadă	Limonado
Samara (Rusia)	Samara (urbo)
Rubidiu	Rubidio
Aur	Oro
Omsk	Omsk
Canalul Suez	Sueza Kanalo
Kazan	Kazano
Om de știință	Sciencisto
Bangladesh	Bangladeŝo
Bleach	Bleach
Franz Kafka	Franz Kafka
Celeabinsk	Ĉeljabinsk
Rostov-pe-Don	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Malio
Socrate	Sokrato
Volgograd	Volgogrado
Angola	Angolo
Perm	Permjo
Bhutan	Butano
Twitter	Twitter
Krasnoiarsk	Krasnojarsk
Brunei	Brunejo
Brač	Brač
Tanzania	Tanzanio
Mercur (element)	Hidrargo
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipine	Filipinoj
Republica Centrafricană	Centr-Afrika Respubliko
Taliu	Taliumo
Polul Sud	Suda poluso
Polul Nord	Norda poluso
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Stronțiu	Stroncio
Pedro I al Braziliei	Petro la 1-a (Brazilo)
Ytriu	Itrio
Bismut	Bismuto
Galben	Flava
Mecanică cuantică	Kvantuma mekaniko
Togo	Togolando
Donald Tusk	Donald Tusk
Tunisia	Tunizio
John Bardeen	John Bardeen
Reggiolo	Reggiolo
Zambia	Zambio
Zimbabwe	Zimbabvo
Beijing	Pekino
Sudanul de Sud	Sud-Sudano
Vladivostok	Vladivostok
Tuva	Tuvio
Benin	Benino
Botswana	Bocvano
Wikiștiri	Vikinovaĵoj
Burkina Faso	Burkino
Burundi	Burundo
Warburg	Warburg
Comore	Komoroj
Republica Congo	Respubliko Kongo
Alkmaar	Alkmaar
Obi	Obo
Republica Democrată Congo	Demokratia Respubliko Kongo
San Antonio	San Antonio (Teksaso)
Tomsk	Tomsk
Djibouti	Ĝibutio
Meme	Memeo
Poloniu	Polonio
Bavaria	Bavario
Guineea Ecuatorială	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Eritreea	Eritreo
New Delhi	Nov-Delhio
Almelo	Almelo
Papa Ioan Paul al II-lea	Johano Paŭlo la 2-a
Patru tanchiști și un cîine	Czterej pancerni i pies
Feodor Dostoievski	Fjodor Dostojevskij
Amersfoort	Amersforto
Kamceatka	Kamĉatko
Tbilisi	Tbiliso
Appingedam	Appingedam
Andrei Saharov	Andrej Saĥarov
Sugar	Bebo
Astatiniu	Astato
Gabon	Gabono
Mahatma Gandhi	Mohandas Karamchand Gandhi
Peninsula Ciukotsk	Ĉukotko
Solidaritatea	Solidareco (Pollando)
Bandă desenată	Bildliteraturo
Gambia	Gambio
Guineea	Gvineo
Guineea-Bissau	Gvineo Bisaŭa
Coasta de Fildeș	Ebur-Bordo
Camerun	Kameruno
Maribor	Mariboro
Republica Capului Verde	Kaboverdo
Celje	Celje
Lesotho	Lesoto
Liberia	Liberio
Koper	Kapodistrio
Libia	Libio
Aachen	Aachen
Nova Gorica	Nova Gorica
Madagascar	Madagaskaro
Malawi	Malavio
Kranj	Kranj
Stuttgart	Stutgarto
Mauritania	Maŭritanio
Polonezi	Poloj
Mauritius	Maŭricio
Maroc	Maroko
Mozambic	Mozambiko
Namibia	Namibio
France Prešeren	France Prešeren
Niger	Niĝero
Nigeria	Niĝerio
Biel/Bienne	Bielo
Charles Darwin	Charles Darwin
Uganda	Ugando
Rwanda	Ruando
Zirconiu	Zirkonio
São Tomé și Príncipe	Sao-Tomeo kaj Principeo
Karlsruhe	Karlsruhe
Senegal	Senegalo
Seychelles	Sejŝeloj
Carl Linné	Karolo Lineo
Sierra Leone	Siera-Leono
Somalia	Somalio
Niobiu	Niobio
Jawaharlal Nehru	Jawaharlal Nehru
Iulius Cezar	Julio Cezaro
Sudan	Sudano
Swaziland	Svazilando
Curcubeu	Ĉielarko
Molibden	Molibdeno
Technețiu	Teknecio
Hamburg	Hamburgo
Italo Balbo	Italo Balbo
Metabolism	Metabolo
Sistemul imunitar	Imuna sistemo
Gujarat	Guĝaratio
Lacul Ontario	Ontario (lago)
Evoluție	Evoluismo
Alessandro Manzoni	Alessandro Manzoni
Organizația Națiunilor Unite	Unuiĝintaj Nacioj
Lacul Superior	Supra Lago
Dante Alighieri	Dante Alighieri
Geologie	Geologio
Ahmedabad	Ahmadabado
Geografie	Geografio
Inimă	Koro
Creier	Cerbo
Piele (anatomie)	Haŭto
Culoare	Koloro
Star Trek: Seria originală	Stela Vojaĝo: La Origina Serio
Breaking Bad	Breaking Bad
Salerno	Salerno
Substantiv	Substantivo
Praga	Prago
Ruteniu	Rutenio
Rodiu	Rodio
Albastru	Blua
Paladiu	Paladio
Argint	Arĝento
Cadmiu	Kadmio
Star Trek	Star Trek
Limburg (Țările de Jos)	Limburgo (Nederlando)
Indiu	Indio
Limburg (provincie a Belgiei)	Limburgo (Belgio)
Staniu	Stano
Uraniu	Uranio
Stibiu	Antimono
Telur	Teluro
Brabantul de Nord	Norda Brabanto
Plutoniu	Plutonio
Iod	Jodo
Hemer	Hemer
Neptuniu	Neptunio
Xenon	Ksenono
Anime	Animeo
Cesiu	Cezio
Protactiniu	Protaktinio
Federația Unită a Planetelor	Unuiĝinta Federacio de Planedoj
Sarcină electrică	Elektra ŝargo
Bariu	Bario
Flandra de Vest	Okcidenta Flandrio
Flandra de Est	Orienta Flandrio
Thoriu	Torio
Anvers (provincie)	Antverpeno (provinco)
Brabantul Flamand	Flandra Brabanto
Hafniu	Hafnio
Actiniu	Aktinio
Brabantul Valon	Valona Brabanto
Tantal	Tantalo
Bill Clinton	William J. Clinton
Namur (provincie)	Namuro (provinco)
Luxemburg (provincie a Belgiei)	Luksemburgo (Belgio)
Liège (provincie)	Lieĝo (provinco)
Radiu	Radiumo
Hainaut	Henegovio
Iserlohn	Iserlohn
Ahlen	Ahlen
Radon	Radono
Lorena	Loreno
Alsacia	Alzaco
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Mercur (zeu)	Merkuro (dio)
Hector Berlioz	Louis Hector Berlioz
Auvergne	Aŭvernjo
Jamnagar	Ĝamnagar
Busto Arsizio	Busto Arsizio
Mumbai	Mumbajo
Asociația Internațională a Federațiilor de Atletism	Internacia Asocio de Atletikaj Federacioj
Andhra Pradesh	Andra-Pradeŝo
Limburg	Limburg
Arunachal Pradesh	Arunaĉal-Pradeŝo
Assam	Asamo
Bihar	Biharo
Michigan	Miĉigano
Chhattisgarh	Ĉhatisgaro
Lacul Michigan	Miĉigano (lago)
Goa	Goao
Burgundia	Burgonjo
Haryana	Harjano
Himachal Pradesh	Himaĉal-Pradeŝo
Maurice Ravel	Maurice Ravel
Aquitania	Akvitanio
Jammu și Cașmir	Ĝamuo kaj Kaŝmiro
Puerto Rico	Porto-Riko
Jharkhand	Ĝharkhando
Karnataka	Karnatako
Kerala	Keralao
Madhya Pradesh	Madhja-Pradeŝo
Usain Bolt	Usain Bolt
Limousin	Limoĝio
Maharashtra	Maharaŝtro
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipuro
Schleswig-Holstein	Ŝlesvigo-Holstinio
Meghalaya	Meghalajo
Mecklenburg - Pomerania Inferioară	Meklenburgo-Antaŭpomerio
Saxonia Inferioară	Malsupra Saksio
Renania de Nord-Westfalia	Nordrejn-Vestfalio
Hessa	Hesio
Renania-Palatinat	Rejnlando-Palatinato
Saarland	Sarlando
Saxonia	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Turingia	Turingio
Saxonia-Anhalt	Saksio-Anhalto
Dakota de Nord	Norda Dakoto
Brandenburg	Brandenburgio
Bremen (land)	Libera hansa urbo Bremeno
Lombardia	Lombardujo
Dakota de Sud	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Piemont	Piemonto
Ierusalim	Jerusalemo
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d'Aosta	Aosta Valo
Washington (stat)	Vaŝingtonio
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Bruce Springsteen	Bruce Springsteen
Rutherfordiu	Ruterfordio
Nevada	Nevado
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Râul Don (Rusia)	Don (rivero)
Francesco Cossiga	Francesco Cossiga
Dubniu	Dubnio
Seaborgiu	Seborgio
Trentino-Tirolul de Sud	Trentino-Alto Adige
Oceanul Indian	Hinda Oceano
Veneto	Veneto
Republica Kosovo	Kosovo
Marea Caraibilor	Kariba Maro
Bohriu	Borio
Friuli-Veneția Giulia	Friulo-Venecio Julia
Hassiu	Hasio
