Aprika	Afriko
Sean Connery	Sean Connery
Kongzi	Konfuceo
Corbin Bleu	Corbin Bleu
Grup:Ol matematik	Kategorio:Matematiko
Euro	Eŭro
Lotu Kristen	Kristanismo
Kontinen	Kontinento
Kapitol	Ĉefurbo
Monzón	Monzono
Mun (taim)	Monato
1948	1948
1949	1949
Almazán	Almazán
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Tokples Siapan	Japana lingvo
Ensaiklopedia	Enciklopedio
Fran pes	Vikipedio:Ĉefpaĝo
1959	1959
1957	1957
Frank Lloyd Wright	Frank Lloyd Wright
Betlehem	Bet-Leĥem
Pilosopi	Filozofio
Grup:All articles proposed for deletion	Kategorio:Tujforigendaj artikoloj
Piano	Piano
Ti	Teo
Hebe Camargo	Hebe Camargo
Grup:Estronomi	Kategorio:Astronomio
Carcassonne	Karkasuno
Sahara	Saharo
1801	1801
1802	1802
1803	1803
1804	1804
1805	1805
1806	1806
1807	1807
1808	1808
1809	1809
1810	1810
1811	1811
1812	1812
1813	1813
1814	1814
1815	1815
1816	1816
1817	1817
1818	1818
1819	1819
1820	1820
1821	1821
1822	1822
1823	1823
1824	1824
1825	1825
1826	1826
1827	1827
Buda	Budho
Politikis	Politiko
Gavman	Registaro
Kantri	Ŝtato
Kamel	Kamelo
1828	1828
1829	1829
1830	1830
1831	1831
1832	1832
1833	1833
1834	1834
1835	1835
1836	1836
1837	1837
1838	1838
1839	1839
1840	1840
1841	1841
1842	1842
1843	1843
1844	1844
Tok Rasia	Rusa lingvo
Toksave long ol raits bilong ol manmeri long olgeta hap bilong dispela giraun	Universala Deklaracio de Homaj Rajtoj
Tok Balgeria	Bulgara lingvo
Nelson Mandela	Nelson Mandela
Lajik	Logiko
Grama	Gramatiko
Ikonimikis	Ekonomiko
Yen bilong Siapan	Japana eno
Stadi bilong pasin bilong ol tokples	Lingvoscienco
Hangul	Korea alfabeto
Grup:Pranis	Kategorio:Francio
@@@u0026Weird Al@@@u0026 Yankovic	@@@u0026Weird Al@@@u0026 Yankovic
Alexander Makedon	Aleksandro la Granda
Edukesen	Eduko
Famili	Familio
Kopi	Kafo
Sol	Seulo
Tokples long Albenia	Albana lingvo
Valencia	Valencio
Tok Denmak	Dana lingvo
Tok Nowe	Norvega lingvo
Tok Slovakia	Slovaka lingvo
Tok Hangari	Hungara lingvo
Tok Lituwenia	Litova lingvo
Tok Belaras	Belorusa lingvo
Tok Gris	Greka lingvo
Tok Aialan	Irlanda lingvo
Imel	Retpoŝto
Tokples Pesia	Persa lingvo
Lotu	Religio
Tok Koria	Korea lingvo
Tok Vietnam	Vjetnama lingvo
Georg Wilhelm Friedrich Hegel	Hegelo
Judaisim	Judismo
Immanuel Kant	Immanuel Kant
Saikolosi	Psikologio
Sidarta	Sidarto Gotamo
Martin Luther	Marteno Lutero
Elisabet II	Elizabeto la 2-a (Britio)
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
David Beckham	David Beckham
Gordon Brown	Gordon Brown
Tebol bilong ol elemen	Perioda tabelo
Diwai	Arbo
Kubuntu	Kubuntu
Grup:Romenia	Kategorio:Rumanio
Egrikalsa	Agrikulturo
Elektroniks	Elektroniko
Ol kantri	Listo de sendependaj ŝtatoj
Kensa	Kancero
Soria	Sorio
Ponferrada	Ponferado
Templet:Location map Iceland	Ŝablono:Situo sur mapo Islando
Templet:Location map Samoa	Ŝablono:Situo sur mapo Samoo
Kokonas	Kokoso
Ferdinand de Saussure	Ferdinand de Saussure
Kyushu	Kjuŝuo
Honshu	Honŝu
Shikoku	Ŝikokuo
Ista Ailan	Paskinsulo
Ethnologue	Etnologiisto
Bensheim	Bensheim
Queen	Queen
Freddie Mercury	Freddie Mercury
Templet:Link FA	Ŝablono:LigoElstara
Wol	Mondo
Vemont	Vermonto
Koria	Koreio
1925	1925
1927	1927
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
Pyongyang	Pjongjango
Nupela Testamen	Nova testamento
Nha Trang	Nha Trang
Pop	Papo
Rafael Correa	Rafael Correa
Busares	Bukareŝto
1928	1928
Olpela Testamen	Malnova testamento
Indo-Yuropien famili bilong tokples	Hindeŭropa lingvaro
Breinigerberg	Breinigerberg
Ol Tokples Siamanik	Ĝermana lingvaro
Sosiolosi	Sociologio
Taiwan	Tajvano
Bahai	Bahaa Kredo
Aialan	Irlando (insulo)
7	7
Wik	Semajno
Antropolosi	Antropologio
Ailan	Insulo
Moshchena	Moŝĉena
Akiolosi	Arkeologio
George H. W. Bush	George H. W. Bush
Quang Binh Provins	Provinco Quang Binh
Protestan	Protestantismo
Bryan Cranston	Bryan Cranston
Bikpela Briten	Britio (insulo)
Kadinol daireksion	Kompasdirektoj
Lila Downs	Lila Downs
Famili bilong tokples	Lingva familio
Pichilemu	Piĉilemo
Pukpuk	Krokodilulo
Kokomo	Buceredoj
Danny DeVito	Danny DeVito
Sentrel Amerika	Centra Ameriko
Kaunti	County
Ecser	Ecser
Zhengzhou	Ĝengĝoŭo
Avril Lavigne	Avril Lavigne
Rouen	Rueno
Tok Hawai	Havaja lingvo
Hiri Motu	Hirimotua lingvo
Niu Kaledonia	Nov-Kaledonio
Marlon Brando	Marlon Brando
Tok Pisin	Tokpisino
Mošovce	Mošovce
Ajetiv bilong nambawan kain	Adjektivo
Ido	Ido (lingvo)
44 yia i go bipo Jisas	-44
Bislama	Bislama lingvo
Hokkaido	Hokajdo
Charles Bronson	Charles Bronson
Borneo	Borneo
Siligo	Siligo
Apia	Apio
Pot Mosbi	Port-Moresbo
.ru	.ru
.ad	.ad
Cork	Cork
Arancón	Arancón
.fi	.fi
.am	.am
.de	.de
.fr	.fr
Melanesia	Melanezio
.au	.au
.cz	.cz
Maket	Merkato
.at	.at
Pot Vila	Portvilao
Auckland Grammar School	Auckland Grammar School
.us	.us
.es	.es
.gr	.gr
.pl	.pl
.uk	.uk
Kaukau	Batato
Yokohama	Jokohamo
.al	.al
.az	.az
.ee	.ee
.bg	.bg
.jp	.jp
.it	.it
Lubuntu	Lubuntu
.dk	.dk
.ca	.ca
.ch	.ch
Maikroekonomiks	Makroekonomiko
.be	.be
Ágreda	Ágreda
.by	.by
.fj	.fj
.cl	.cl
.is	.is
.lt	.lt
.pt	.pt
.bt	.bt
Hobat	Hobarto
Niugini	Nov-Gvineo
.et	.et
.tv	.tv
.eg	.eg
23 yia i go bipo Jisas	-23
.se	.se
.cy	.cy
.kz	.kz
.hu	.hu
.ua	.ua
.mx	.mx
.kh	.kh
.no	.no
.id	.id
.tr	.tr
.eu	.eu
.ht	.ht
.sk	.sk
Julia Gillard	Julia Gillard
.to	.to
.lv	.lv
Saikoanalisis	Psikoanalizo
.kg	.kg
.mh	.mh
.kr	.kr
.ki	.ki
.tj	.tj
.kp	.kp
.ro	.ro
.vn	.vn
.nr	.nr
.ke	.ke
.vu	.vu
.na	.na
.ye	.ye
.ws	.ws
.sm	.sm
.tk	.tk
Kevin Rudd	Kevin Rudd
.pg	.pg
Plak bilong Siapan	Flago de Japanio
Jim Morrison	Jim Morrison
.nu	.nu
The Doors	The Doors
Pécs	Pécs
Plak bilong Pinlan	Flago de Finnlando
Templet:Commons category	Ŝablono:Commonscat
Morgan Freeman	Morgan Freeman
Plak bilong Albenia	Flago de Albanio
Richard Attenborough	Richard Attenborough
Templet:Taxobox	Ŝablono:Taksonomio
El Royo	El Royo
Viktor Orbán	Viktor Orbán
Niu Briten	Nova Britio
Xubuntu	Xubuntu
Plak bilong Solomon Ailans	Flago de la Salomonoj
Nonvailens	Senperforto
Debrecen	Debrecen
Plak bilong Kanada	Flago de Kanado
Harrison Ford	Harrison Ford
Plak bilong Andora	Flago de Andoro
Kimi ga Yo	Kimi Ga Jo
Szeged	Szeged
Plak bilong Ostrelia	Flago de Aŭstralio
Plak bilong Hangari	Flago de Hungario
Plak bilong Azerbaijan	Flago de Azerbajĝano
Plak bilong Nowe	Flago de Norvegio
Robin Williams	Robin Williams
Tauns long Soria provins	Komunumoj de Sorio
Plak bilong Aislan	Flago de Islando
Plak bilong Indonisia	Flago de Indonezio
Plak bilong Skotlan	Flago de Skotlando
Miskolc	Miskolc
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O’Toole
Plak bilong Tuvalu	Flago de Tuvalo
Kristen	Kristano
Stet	Subŝtato
Meditesen	Meditado
Plak bilong Kiribas	Flago de Kiribato
Saut Ailan	Suda Insulo (Nov-Zelando)
Plak bilong Spen	Flago de Hispanio
Dziecinów	Dziecinów (poviato Otwock)
Michael Caine	Michael Caine
Steve Irwin	Steve Irwin
Plak bilong Saut Koria	Flago de Sud-Koreio
Plak bilong Slovenia	Flago de Slovenio
Plak bilong Romenia	Flago de Rumanio
Grup:Manmeri bilong Hangari	Hungaroj
Dunedin	Dunedin
Kamikaze	Kamikazo
Phu Quoc	Phu Quoc
Wikipedia:Save long senisim pes	Helpo:Redakti
Buai	Kateĉuareko
Daka	Betelo
Plak bilong Niu Silan	Flago de Nov-Zelando
Kaunti Cork	Graflando Cork
St. Peter's College, Auckland	St Peter's College, Auckland
Siaman Niugini	Germana Novgvineo
Behaviourisim	Kondutismo
Samuel L. Jackson	Samuel L. Jackson
Caltojar	Caltojar
Berlanga de Duero	Berlanga de Duero
Kumul	Paradizeedoj
Helen Clark	Helen Clark
Plak bilong Fiji	Flago de la Fiĝioj
Plak bilong Papua Niugini	Flago de Papuo-Nov-Gvineo
Plak bilong Nauru	Flago de Nauro
Plak bilong Vanuatu	Flago de Vanuatuo
Plak bilong Tonga	Flago de Tongo
Plak bilong Samoa	Flago de Samoo
Plak bilong Palau	Flago de Palaŭo
Ol provinis bilong Swidan	Historiaj provincoj de Svedio
Plak bilong ol Masol Ailan	Flago de la Marŝala Insularo
Kina	Papuonovgvinea kinao
Bogenvil	Bougainville (Papuo-Nov-Gvineo)
Plak bilong Niue	Flago de Niuo
Bill Cosby	Bill Cosby
Niu Ailan ailan	Nova Irlando (insulo)
Saksak	Saguo
Plak bilong Hawai	Flago de Havajo
Nesenel mak bilong Ostrelia	Blazono de Aŭstralio
Eartha Kitt	Eartha Kitt
Plak bilong Polinesia bilong Pranis	Flago de Franca Polinezio
Plak bilong Nofok Ailan	Flago de la Norfolkinsulo
Plak bilong Guam	Flago de Gvamo
Makó	Makó
Plak bilong Tokelau	Flago de Tokelao
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Nesenel mak bilong Papua Niugini	Blazono de Papuo-Nov-Gvineo
Vadillo	Vadillo
Plak bilong Wolis na Futuna	Flago de Valiso kaj Futuno
Madang (provins)	Provinco Madang
Brad Dourif	Brad Dourif
Olaf Stapledon	Olaf Stapledon
Nicanor Parra	Nicanor Parra
Bry-sur-Marne	Bry-sur-Marne
Almaluez	Almaluez
Buk bilong Momon	Libro de Mormon
Astorga	Astorgo
Ples balus Tan Son Nhat	Flughaveno Tan Son Nhat
Michael Clarke Duncan	Michael Clarke Duncan
Aliud	Aliud
Baraona	Baraona
Medinaceli	Medinaceli
Burgo de Osma-Ciudad de Osma, Soria	Burgo de Osma
Suellacabras	Suellacabras
Yanguas	Yanguas
San Esteban de Gormaz	San Esteban de Gormaz
.nl	.nl
Alcoy	Alcoi
Cañamaque	Cañamaque
Navaleno	Navaleno
Seeheim-Jugenheim	Seeheim-Jugenheim
Trévago	Trévago
Dévanos	Dévanos
Simbu	Simbu
Magani	Valabio
Ólvega	Ólvega
O Arise, All You Sons	O Arise, All You Sons
Magaña	Magaña
Wes Niu Briten	Okcidenta Nov-Britujo
Centenera de Andaluz	Centenera de Andaluz
Is Sepik	Orienta Sepik
Histori long Koria	Historio de Koreio
Oro	Provinco Oro
Sandaun	Sandaun
Is Niu Briten	Orienta Nov-Britujo
Sahagún	Sahagún
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Alconaba	Alconaba
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Covaleda	Covaleda
Casarejos	Casarejos
Cerbón	Cerbón
Calatañazor	Calatañazor
Almazul	Almazul
Cidones	Cidones
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Beratón	Beratón
Almenar de Soria	Almenar de Soria
Maján	Maján
Coscurita	Coscurita
Barcones	Barcones
Castilfrío de la Sierra	Castilfrío de la Sierra
Castilruiz	Castilruiz
Miño de Medinaceli	Miño de Medinaceli
Vinuesa	Vinuesa
Cigudosa	Cigudosa
Candilichera	Candilichera
Ausejo de la Sierra	Ausejo de la Sierra
Carabantes	Carabantes
Soliedra	Soliedra
Taroda	Taroda
Nepas	Nepas
Valtajeros	Valtajeros
Arévalo de la Sierra	Arévalo de la Sierra
Pozalmuro	Pozalmuro
Cabrejas del Pinar	Cabrejas del Pinar
Villasayas	Villasayas
Cubilla	Cubilla
Castillejo de Robledo	Castillejo de Robledo
Escobosa de Almazán	Escobosa de Almazán
Estepa de San Juan	Estepa de San Juan
Carrascosa de la Sierra	Carrascosa de la Sierra
Las Aldehuelas	Las Aldehuelas
Bayubas de Arriba	Bayubas de Arriba
Borobia	Borobia
Bliecos	Bliecos
Buberos	Buberos
Muriel Viejo	Muriel Viejo
Oncala	Oncala
Fuentecambrón	Fuentecambrón
Cabrejas del Campo	Cabrejas del Campo
Frechilla de Almazán	Frechilla de Almazán
Valdelagua del Cerro	Valdelagua del Cerro
Ciria	Ciria
Buitrago	Buitrago
Talveila	Talveila
Salduero	Salduero
Fuentes de Magaña	Fuentes de Magaña
Viana de Duero	Viana de Duero
Tardelcuende	Tardelcuende
Duruelo de la Sierra	Duruelo de la Sierra
Bayubas de Abajo	Bayubas de Abajo
Fuentearmegil	Fuentearmegil
Fuentelmonge	Fuentelmonge
Rollamienta	Rollamienta
Villar del Ala	Villar del Ala
Velilla de los Ajos	Velilla de los Ajos
Momblona	Momblona
Fresno de Caracena	Fresno de Caracena
Valdegeña	Valdegeña
Velamazán	Velamazán
Torlengua	Torlengua
Fuentecantos	Fuentecantos
Carrascosa de Abajo	Carrascosa de Abajo
Pinilla del Campo	Pinilla del Campo
Serón de Nágima	Serón de Nágima
Blacos	Blacos
Valdeavellano de Tera	Valdeavellano de Tera
Narros	Narros
Valdeprado	Valdeprado
Borjabad	Borjabad
Fuentelsaz de Soria	Fuentelsaz de Soria
San Leonardo de Yagüe	San Leonardo de Yagüe
Muriel de la Fuente	Muriel de la Fuente
Villar del Río	Villar del Río
Valderrodilla	Valderrodilla
Espejón	Espejón
Liceras	Liceras
Matalebreras	Matalebreras
Quintana Redonda	Quintana Redonda
Nafría de Ucero	Nafría de Ucero
Sotillo del Rincón	Sotillo del Rincón
Torrubia de Soria	Torrubia de Soria
Noviercas	Noviercas
Tajueco	Tajueco
Valdenebro	Valdenebro
Villaciervos	Villaciervos
Yelo (Spen)	Yelo
Montenegro de Cameros	Montenegro de Cameros
Langa de Duero	Langa de Duero
Quiñonería	Quiñonería
Villar del Campo	Villar del Campo
Portillo de Soria	Portillo de Soria
Gormaz	Gormaz
Santa Cruz de Yanguas	Santa Cruz de Yanguas
Villaseca de Arciel	Villaseca de Arciel
Reznos	Reznos
Cueva de Ágreda	Cueva de Ágreda
Nolay	Nolay
Cirujales del Río	Cirujales del Río
Caracena	Caracena
Cubo de la Solana	Cubo de la Solana
Miño de San Esteban	Miño de San Esteban
Fuentestrún	Fuentestrún
Espeja de San Marcelino	Espeja de San Marcelino
Matamala de Almazán	Matamala de Almazán
La Póveda de Soria	La Póveda de Soria
Los Rábanos	Los Rábanos
Quintanas de Gormaz	Quintanas de Gormaz
Velilla de la Sierra	Velilla de la Sierra
San Felices	San Felices
Renieblas	Renieblas
Morón de Almazán	Morón de Almazán
Los Villares de Soria	Los Villares de Soria
Torreblacos	Torreblacos
Vizmanos (Soria)	Vizmanos
Tejado	Tejado
Herrera de Soria	Herrera de Soria
Deza	Deza (Sorio)
Monteagudo de las Vicarías	Monteagudo de las Vicarías
La Riba de Escalote	La Riba de Escalote
Montejo de Tiermes	Montejo de Tiermes
La Losilla	La Losilla
Recuerda	Recuerda
Tajahuerce	Tajahuerce
Fuentepinilla	Fuentepinilla
Golmayo	Golmayo
Rioseco de Soria	Rioseco de Soria
Gómara, Soria	Gómara
Niu Ailan	Provinco Nova Irlando
Cihuela	Cihuela
Pilosopi long Wes	Okcidenta filozofio
Villafranca del Bierzo	Villafranca del Bierzo
Westen Provins	Okcidenta Provinco (Papuo-Nov-Gvineo)
Sauten Hailans	Sudaj Altaj Teroj
Westen Hailans	Okcidentaj Altaj Teroj
Isten Hailans	Orientaj Altaj Teroj
Morobe	Morobe
Enga	Enga
Sentral Provins	Centra Provinco (Papuo-Nov-Gvineo)
Milen Be	Provinco Golfeto Milne
Gulf Provins	Provinco Golfo
Olmedillo de Roa (Burgos)	Olmedillo de Roa
Nebreda (Burgos)	Nebreda
Molinos de Duero	Molinos de Duero
Vozmediano	Vozmediano (Soria)
Hinojosa del Campo	Hinojosa del Campo
Rello	Rello
Casey Kasem	Casey Kasem
Rebollar	Rebollar (Kastilio kaj Leono)
Garray	Garray
Plak bilong Ista Ailan	Flago de la Paskinsulo
Bembibre	Bembibro
Takuu	Takuu
Ples balus	Flughaveno
Grup:Siamani	Kategorio:Germanio
Grup:Itali	Kategorio:Italio
Grup:Ol Yunaitet Stet	Kategorio:Usono
Grup:Kanada	Kategorio:Kanado
Grup:Yunaitet Kingdom	Kategorio:Unuiĝinta Reĝlando
Grup:Spen	Kategorio:Hispanio
Grup:Siapan	Kategorio:Japanio
Grup:Ostrelia	Kategorio:Aŭstralio
Grup:India	Kategorio:Barato
Grup:Isrel	Kategorio:Israelo
Grup:Ijip	Kategorio:Egiptio
Grup:Niu Silan	Kategorio:Nov-Zelando
Fabero	Fabero
Grup:Indonisia	Kategorio:Indonezio
Grup:Irak	Kategorio:Irako
Grup:Polan	Kategorio:Pollando
Grup:Saut Koria	Kategorio:Sud-Koreio
Grup:Tailan	Kategorio:Tajlando
Grup:Yukren	Kategorio:Ukrainio
Grup:Vietnam	Kategorio:Vjetnamio
Grup:Ol pisin	Kategorio:Birdoj
Grup:Ol Sayor	Kategorio:Plantoj
Grup:Save long Laip	Kategorio:Biologio
Grup:Kemistri	Kategorio:Kemio
Grup:Histori	Kategorio:Historio
Grup:Save long giraun	Kategorio:Geografio
Grup:Sosaiti	Kategorio:Socio
Grup:Lotu	Kategorio:Religio
Grup:Saiens	Kategorio:Scienco
Grup:Giraun	Kategorio:Tero
Gumiel de Mercado (Burgos)	Gumiel de Mercado
Oquillas (Burgos)	Oquillas
Olmillos de Muñó (Burgos)	Olmillos de Muñó
Zazuar (Burgos)	Zazuar
Zael (Burgos)	Zael
Lerma (Burgos)	Lermo (Burgoso)
Nava de Roa (Burgos)	Nava de Roa
Iglesiarrubia (Burgos)	Iglesiarrubia
Gumiel de Izán (Burgos)	Gumiel de Izán
Regina Duarte	Regina Duarte
Grup:Ol pes bilong kliaim ol link	Kategorio:Apartigiloj
Grup:Pilosopi	Kategorio:Filozofio
Grup:Saikolosi	Kategorio:Psikologio
Grup:Budisim	Kategorio:Budhismo
Grup:Kristen	Kategorio:Kristanismo
Grup:Islam	Kategorio:Islamo
Benedicta Boccoli	Benedicta Boccoli
Carolina Ferraz	Carolina Ferraz
Conrad Bain	Conrad Bain
Grup:Ol pes i liklik tumas	Kategorio:Ĝermo
Grup:Ol planet	Kategorio:Planedoj
Grup:Kontinen	Kategorio:Kontinentoj
Tok Abau	Abaua lingvo
Templet:Footer SolarSystem	Ŝablono:Sunsistemo
Templet:T	Ŝablono:Ŝ
Templet:Babel bokis	Ŝablono:Uzantoskatolo1
Templet:Wikipediatokples	Ŝablono:ĈefPaĝo/AliajLingvoj
Grup:Ol kantri	Kategorio:Landoj
Grup:Ekonomikis	Kategorio:Ekonomiko
Wikipedia:Administrators	Vikipedio:Administrantoj
Grup:Manmeri	Kategorio:Personoj
Wikipedia:AutoWikiBrowser	Vikipedio:AutoWikiBrowser
Grup:Politikis	Kategorio:Politiko
Grup:Saiens bilong ai	Kategorio:Optiko
Ijip	Egiptujo
Templet:Bot	Ŝablono:Bot
Kanada	Kanado
Grup:Hangari	Kategorio:Hungario
Grup:Estonia	Kategorio:Estonio
Grup:Gris	Kategorio:Grekio
Grup:Latvia	Kategorio:Latvio
Grup:Aislan	Kategorio:Islando
Grup:Lituwenia	Kategorio:Litovio
Grup:Slovakia	Kategorio:Slovakio
Wikipedia:Copyrights	Vikipedio:Aŭtorrajto
Templet:Flagicon	Ŝablono:Flagikono
Grup:Ol kantri long Yurop	Kategorio:Eŭropaj landoj
Grup:Yurop	Kategorio:Eŭropo
Templet:Template doc	Ŝablono:Dok
Grup:Yusa tokples	Kategorio:Vikipediistoj laŭ lingvo
Wikipedia:Faipela lo	Vikipedio:Kvin principoj
Sung Jae-gi	Sung Jae-gi
