Mo'hetaneho'e	Afriko
Vé'keahonoo'o	Kuko
Asêséoneo'amestôtse	Katapulto (ludilo)
Santiago de Compostela	Santiago de Compostela
Oviedo	Oviedo
Heškóvemata	Kakto
Hoohëö'o	Flago
Táxemésêhestôtse	Tablo
Heóvâhá'enëö'o	Panrostilo
Táxe'êséestôtse	Seĝo
Tsêhe'êsenotováhe	Ĝirafo (specio)
Nuevo León	Nuevo León
Freddie Mercury	Freddie Mercury
Template:Link FA	Ŝablono:LigoElstara
Denver	Denvero (Koloradio)
Austin (Texas)	Aŭstino
Naa'émâhéó'o	Malsanulejo
Sacramento	Sakramento (Kalifornio)
Vonomóhtâhestôtse	Aspirino
Hó'nehe	Lupo
Henenéva'ôhease	Pintavosta lagopo
Manëhe	Pelikano
Nha Trang	Nha Trang
Breinigerberg	Breinigerberg
He'kone'éemâsono	Makaronioj
Aruba	Arubo
Néške'ësta	Tamiaso
Mo'kêhanôtse	Ŝuo
Hestaahtsémeno	Ribo
Váótséva	Cervedoj
Má'ome	Glacio
Heškóvemâhöö'o	Kukumo
Xaóenêhéstâhévo	Cepo
Moshchena	Moŝĉena
Mérida (Venezuela)	Merido (Venezuelo)
Ho'ose	Terkarbo
Vé'kêséhemêstaa'e	Strigoformaj birdoj
Poeso	Felisedoj
Curaçao	Curaçao
Tôhohko	Martelo
Tâhpe'âséhahnoma	Burdo
Tsêhe'êsevotoná	Komuna fazano
Sint Maarten	Sint-Maarten
Heo'këso	Ondatro
Héna'e	Kanada ansero
Sósone'e	Ŝoŝonoj
Mâhóomoehá-vé'késo	Mevo
Ôhtaenémâhéó'o	Hotelo
Mâhpé-aénohe	Arĝentmevo
Hevavâhkema	Lepidoptera
Méšenonetsénóne	Kiropteroj
Tsé-tó'hovane	Sandviĉo
Kingdom of the Netherlands	Reĝlando de Nederlando
Heóvêstséávó'êstse	Taraksako
Avril Lavigne	Avril Lavigne
Hoéstónéó'o	Kalkulilo
Motšêške	Tranĉilo
Nêškovávo'ha	Zebro
Tsêhesenêstsestôtse	Ĉejena lingvo
Vóhpenáhkohe	Blanka urso
Oaxaca	Oaxaca
Heóveamêške	Butero
Meo'o	Vojo
Anastacia	Anastacia
Henenó'e	Rozo
Albuquerque	Albuquerque (Nov-Meksiko)
Tequixquiac	Tequixquiac
Ma'xepóno'e	Oklahomaurbo (Oklahomo)
Môxe'êstóonémâhéó'o	Poŝtejo
Nanóse'hame	Pumo
Mâhpémo'éhe	Alko
Vo'kome-mâheo'o	Blanka Domo (Vaŝingtono)
Boise	Boise (Idaho)
Semo	Boato
Thanh Hoa	Thanh Hoa
Puerto Montt	Puerto Montt
Mo'otsenahkohe	Bruna urso
Toóneohëö'o	Najlo
Ma'aataéve'éxanéstotôtse	Okulvitro
Campora San Giovanni	Campora San Giovanni
Tono'sëö'o	Fridujo
Éškôsénéhe	Angla leporhundo
Nêxo'mévéhe	Akvomelono
Vótâháéno tsénéma'ó'á'ha	Ventmuelejo
Péhpe'éoeškëso	Pudelo
Hóhkeehe	Muso (besto)
Heséeotséve'ho'e	Kuracisto
Ma'o'hoáá'e	Briko
Tó'too'he	Reĝa aglo
Môxe'a'xémâhéó'o	Kinejo
Ma'xêheóvema'xemeno	Grapfrukto
Hohpe	Supo
Hovéo'kôheo'	Ombrelo
Talcahuano	Talcahuano
Šéeše-stôtse	Lito
Ma'emonêškeho	Fazeolo
Tsé-éškôsa'évetováto	Konuso
Péhpe'épóéso	Persa kato
Johnny Cash	Johnny Cash
Homôse-mâheo'o	Kuirejo
Ma'xeamóvôhtó'hestôtse	Kamiono
Ókohke	Korvo
Háestôheóhtáhe	Centpieduloj
Vótâháéno	Puto
Hotóa'ôxhoo'êstse	Sidanta Taŭro
Ma'kaataevé'késo	Kolibro
Ma'xêhë'ne	Meleagro
Ó'kôhóme	Kojoto
Jim Morrison	Jim Morrison
Sonora	Sonora
Guanajuato	Guanajuato
Ma'kaatohko	Sitelo
Ována'xaetanohtôtse	Preĝo de Sereno
Móxêšéne	Mento
Héne'enovâhétane	Studanto
Hahpenó'estôtse	Kudromaŝino
Mo'ôhtameöhtsêstse	Afrik-usonanoj
Coahuila	Coahuila
Baja California	Baja California
Ȧxeohōva	Katfiŝo
Chiapas	Chiapas
Guerrero	Guerrero
Yucatán	Jukatanio
Colima	Colima
Morelos	Morelos
San Luis Potosí	San Luis Potosí
Sóhkomevó'ho'kâsenestôtse	Kandelo
Querétaro	Querétaro
Michoacán	Michoacán
Durango	Durango (subŝtato)
Nayarit	Nayarit
Puebla	Puebla
Aguascalientes	Aguascalientes
Tamaulipas	Tamaulipas
Quintana Roo	Quintana Roo
Sinaloa	Sinaloa
Zacatecas	Zacatecas
Alla Pugacheva	Alla Pugaĉova
Hidalgo	Hidalgo (Meksiko)
Campeche	Campeche
Tabasco	Tabasco
Monterrey	Monterejo
Hóma'e	Kanada kastoro
Ma'xeméstaa'e	Granda kornostrigo
Tlaxcala	Tlaxcala
Hotoa'e	Amerika bizono
Xäö'o	Mefito
Grand Theft Auto: San Andreas	Grand Theft Auto: San Andreas
Háhkota	Lokusto
Môhtséheonetane	Apaĉoj
É'koo'óhtotôtse	Binoklo
Sena'kaneo'o	Ĉerokoj
Ho'óhomö'e	Siuoj
Jaltenco	Jaltenco
Óova'e	Glimo
Matšeškome	Lav-urso
Mo'ôhtáenáhkohe	Amerika nigra urso
Hohtâhé-noma'he	Orfiŝo (fiŝo)
Ho'éméhne	Tervermo
Vóaxáa'e	Blankkapa maraglo
Tónovâhonónestôtse	Pato
Nêševâhá'eneo'o	Mikroondilo
Tamena'éveéstse'he	T-ĉemizo
Mohkave	Rufa linko
Ta'ta'ôhëö'o	Ŝlosilo
Grand Theft Auto	Grand Theft Auto (serio)
Vée'e	Tipio
Hóo'kôhévénéhe	Pluvo Survizaĝa
Vé'ho'êškóovo'hestôtse	Kudrilo
Oó'omêše	Ruĝa kverko
Oó'xôseonéame	Arakida butero
Tsé'amóneane	Barilo
Xamaehoohtsêstse	Populus deltoides
Onéma'ó'aneo'o	Boltilo
Otá'tavö'êstse	Luzerno
Heóvemo'ôhta'e	Napo
Pachuca de Soto	Pachuca de Soto
Onéma'táo'aneo'o	Ŝraŭboturnilo
Motsé'eonôtse	Hierochloe odorata
Me'êškema	Manitoba acero
Hoóxe'e	Pinus contorta
Pó'po'êho'hémâhaemenôtse	Krevmaizo
Hoxo'ôhtséveotá'tavo'honáá'e	Turkiso
Hevéesénoma'ne	Ezoko
É'êxováhtóva	Billings (Montano)
Caselle Landi	Caselle Landi
Vé'ho'éome	Tendo
Vóhpâhtse-náhkohe	Griza urso
Hoeseonó'e	Matraco
Xamaesémo	Kanuo
Môxéhéó'o	Balailo
Veracruz	Veracruz (komunumo)
Tootómôhéó'o	Klimatizilo
Ho'êstásémo	Vaporŝipo
Tséx-háenaotséstove	Hispana gripo
Mo'éhe	Kanada cervo
Vóetséna'évôxe'êstónestôtse	Kreto (ŝtono)
Heškóvoneanëö'o	Pikdrato
Hova'ó'xestôtse	Selo
Vé'ho'éotóaho'évohkôtse	Bovaĵo
Hevá'xameško	Ĉerpokulero
Ma'xeamâho'hestôtse	Kamioneto
Otá'tavâho'hé-vé'késo	Blua garolo
Mo'e'évetoo'o	Korbo
Hoho	Brakringo
Âxeetoo'é'hasëö'o	Fiŝhoko
Tsé'ôhke-énâhenéstove	Benzinstacio
Ama'éno'hamémôxe'êstoo'o	Kondukpermesilo
Nøtterøy	Nøtterøy
Tôhé'kêsaéve'ho'éamo'eétâhestôtse	Rodeo
Hesto'tono'kêhanôtse	Neĝŝuo
Vé'keehoohtsêstse	Sukeracero
Vo'êstane	Persono
Hoóneanatóe-vó'ho'kâsénâhnestôtse	Kerosena lampo
Oómêsta'hasené-váótséva	Blankavosta cervo
Séavóneške	Arbara marmoto
Ma'ëno	Testuduloj
Ma'evé'éso	Kardinaledoj
Nêhpo'aneo'o	Seruro
Apaxco	Apaxco
Ma'háhko'e	Taksideo
Asêséeéstse'he	Pulovero
Vé'ho'e	Blankulo
Vó'ho'êho'hóvahtôtse	Poŝlampo
Mo'ôhtávo'honáéva	Nigraj montetoj
Ôxa'ôhévo'kêhanôtse	Mokaseno
He'ohko	Pacopipo
Mo'ë'ha	Nigrabeka pigo
Sáhea'eo'o	Oĝibvoj
Oo'kó'êxovahtôtse	Gazontondilo
Kóhkonôheonané-mâhéó'o	Panbakejo
He'óonéma'ëno	Serpentotestudo
Ne'potátse	Blucindra ardeo
Hoxomôho'haméstotôtse	Fojno
Mo'ôhtávêhahtátaneo'o	Nigrapieduloj
Amo'xestôtse	Tendumo
Ma'êšenévé'késo	Migra turdo
Buffy Sainte-Marie	Buffy Sainte-Marie
A'o'tsémêstaa'e	Kuniklostrigo
Vé'škee'e	Ŝajntremola poplo
Mâhöhko	Kantalupo
Hesó'xôhéó'o	Gladilo
Aésto'épeeneo'o	Miksaparato
Vóhkoohévoomâheo'o	Pajuteoj
Heškóvêstséávó'êstse	Kardo
Vóo'kooma	Ruĝkapa melanerpo
Pénôheoné-mâhéó'o	Grenmuelejo
Meneo'hé'e	Plato (rivero)
Vó'aehno'xâhtóhonôtse	Kruringo
Nextlalpan	Nextlalpan
Hótôxámâhéó'o	Trunkodomo
Mo'ôhtávetoo'o	Nigra Kaldrono
Ho'néhetane	Paŭnioj
Háestôhe'šeméhe	Norda mokbirdo
Môhtáevestôtse	Kampadejo
Mâhaemenépénôhéó'o	Maizfaruno
Hese	Muŝo
Tsévó'névóvâtse	Beja
Pe'e	Noktofalkoj
Vó'komêšéstótó'e	Rokmontara abio
Heškóvó'êstse	Rultigaro
Heškovêstse	Histriko
Mo'éhno'hamémâhéó'o	Garbejo
Atlacomulco	Atlacomulco
Honóxeäse	Okcidenta sturnelo
Category:Ma'evé'ho'éno	Kategorio:Germanio
Category:Italy	Kategorio:Italio
Category:Russia	Kategorio:Rusio
Category:Canada	Kategorio:Kanado
Category:United Kingdom	Kategorio:Unuiĝinta Reĝlando
Category:Spain	Kategorio:Hispanio
Category:Meško	Kategorio:Meksiko
Category:Mo'hetaneho'e hánêsóvóne	Kategorio:Sud-Afriko
Category:Egypt	Kategorio:Egiptio
Hóxovéstavestôtse	Movdomo
Category:Austria	Kategorio:Aŭstrio
Category:Democratic Republic of the Congo	Kategorio:Demokratia Respubliko Kongo
Category:Poland	Kategorio:Pollando
Category:Switzerland	Kategorio:Svislando
Category:Tanzania	Kategorio:Tanzanio
Category:Ukraine	Kategorio:Ukrainio
Category:Vietnam	Kategorio:Vjetnamio
Category:Ve'kêseho	Kategorio:Birdoj
Category:Buildings	Kategorio:Konstruaĵoj
Ma'ováhe	Ruana
Tonôhené-mâhéó'o	Forĝisto
Regina Duarte	Regina Duarte
Netse	Aglo
A'kêstséašé'šenovôtse	Kobro
Ireland	Irlando (apartigilo)
Tsé-amo'emanese	Kongreso
Ma'emenôtse	Shepherdia argentea
Ma'nomá'ne	Salmo
Edmond debeaumarché	Edmond Debeaumarché
Tsé-tšêške'óomoëha	Lageto
Nomá'héškéso	Leŭciscenoj
Ová'kemene	Abrikoto
Category:Manȧhého'e	Kategorio:Landoj
Category:Héstanêheo'o	Kategorio:Personoj
Egypt	Egiptujo
Tónovêšé'hóno	Kanvaso
Template:Bot	Ŝablono:Bot
Canada	Kanado
Category:Slovakia	Kategorio:Slovakio
Category:Slovenia	Kategorio:Slovenio
Category:Hóxovê-hooma	Kategorio:Eŭropo
Category:Wikipedia help	Kategorio:Helpo
Template:Documentation	Ŝablono:Dok
Wikipedia:Community Portal	Vikipedio:Roboto/Permespeto
Sung Jae-ki	Sung Jae-gi
Template:Softredirect	Ŝablono:Intervikia plusendilo
Template:Delete	Ŝablono:Forigu tuj
Wikipedia:Statistics	Vikipedio:Statistiko
Template:!	Ŝablono:!
Category:Mo'hetaneho'e	Kategorio:Afriko
Template:Babel	Ŝablono:Babelejo
Template:Reflist	Ŝablono:Referencoj
Template:Stub	Ŝablono:Ĝermo
Template:User en-2	Ŝablono:Vikipediisto en-2
Template:User en	Ŝablono:Vikipediisto en
Category:Asia	Kategorio:Azio
Category:Chile	Kategorio:Ĉilio
Category:Máhtáme	Kategorio:Manĝaĵoj
Template:Mod	Ŝablono:Mod
Template:User es-2	Ŝablono:Vikipediisto es-2
Category:User en	Kategorio:Vikipediisto en
Template:Template other	Ŝablono:Ĉu ŝablono
Category:Máhtáme naa tsémâhpév-oom	Kategorio:Kuirarto
Template:Pp-template	Ŝablono:Pp-ŝablono
Category:Vose	Kategorio:Montoj
Template:IPA	Ŝablono:IFA
Category:Amérika	Kategorio:Ameriko
Template:Coord/link	Ŝablono:Koord/ligilo
Template:Coord	Ŝablono:Koord
Category:Wyoming	Kategorio:Vajomingo
Category:User en-N	Kategorio:Vikipediisto en-D
Mâ-htáeme	Laŭso
Category:Mahpe	Kategorio:Akvo
Category:Tsémâhpév-oom	Kategorio:Trinkaĵoj
Category:Heévȧhetanéno	Kategorio:Oklahomo
Category:Mâhoestôtse	Kategorio:Urbo
Pano'êhasëö'o	Siropo
Category:Hoohtsêstse	Kategorio:Arboj
Category:Category-ne'tahe	Kategorio:Artikoloj
Template:Coord/dec2dms/dm	Ŝablono:Koord/dekalgms/gm
Category:Nebraska	Kategorio:Nebrasko
Category:North Dakota	Kategorio:Norda Dakoto
Category:South Dakota	Kategorio:Suda Dakoto
Category:Idaho	Kategorio:Idaho
Category:Alaska	Kategorio:Alasko
Category:Oregon	Kategorio:Oregono
Category:Kansas	Kategorio:Kansaso
Category:Colorado	Kategorio:Koloradio
Category:Toháano'ého'ëva	Kategorio:Teksaso
Category:Šé'hóno	Kategorio:Teksaĵoj
Category:Poeso	Kategorio:Felisedoj
Category:Malawi	Kategorio:Malavio
Category:Namibia	Kategorio:Namibio
Category:Republic of the Congo	Kategorio:Respubliko Kongo
Category:Ho'honáéšé'e	Kategorio:Montano
Category:Ó'he'e	Kategorio:Riveroj
Category:Zambia	Kategorio:Zambio
Category:Zimbabwe	Kategorio:Zimbabvo
Category:Nomá'ne	Kategorio:Fiŝoj
Category:Énano'émâhtáme	Kategorio:Legomoj
Category:Mene	Kategorio:Fruktoj
Category:Mo'éhno'häme	Kategorio:Ĉevaloj
Category:Hovahne	Kategorio:Bestoj
Category:Še'šenovôtse	Kategorio:Serpentoj
Category:Hoohëö'o	Kategorio:Flagoj
Category:Váótséva	Kategorio:Cervedoj
Anonévee'tose (énano'émâhtáme)	Karoto
Template:Coord/sub doc	Ŝablono:Koord/montru/entekste,titolo/dokumentado
Template:Coord/prec dec	Ŝablono:Koord/prec dek
China	Ĉinio (apartigilo)
Trojany	Trojany
Category:Vášêtaëno	Kategorio:Vaŝingtono
Category:Náhkohe	Kategorio:Ursedoj
Heóvêháhnoma	Vespo
Special:RecentChanges	Specialaĵo:Lastaj ŝanĝoj
