IYunayithedi Steyitsi	Usono
IPhondo yaseMntla-Ntshona	Nordokcidenta Provinco (Sud-Afriko)
Iankile	Ankro (ŝipo)
2010 FIFuRoni da Futboll	Futbala Mondpokalo 2010
Idessert	Deserto
I-discourse	Diskurso
Uluhlu lweendawo eMzantsi Afrika	Provincoj de Sud-Afriko
Robben island	Insulo Robben
Iipijama	Piĵamo
Iilwimi zaseAfrika	Lingvoj de Afriko
AmaXhosa	Kosoj
Pieter Willem Botha	Pieter Willem Botha
Google Street View	Google Street View
Steve Biko	Steve Biko
Umlungu	Blankulo
Étienne Mourrut	Étienne Mourrut
FIFA	FIFA
Marek Grechuta	Marek Grechuta
Mateyu	Evangelio laŭ Mateo
Walter Sisulu	Walter Sisulu
Incwadi ka Mormoni	Libro de Mormon
I-Transkei	Transkejo
Izifundo zoguqulo	Tradukoscienco
Uluhlu lwabantu	Listo de biografioj
Ugqirha	MUDr.
E-Tiburon	Tiburon
Category:IJamani	Kategorio:Germanio
Category:UMzantsi Afrika	Kategorio:Sud-Afriko
Category:ENetherlands	Kategorio:Nederlando
Category:ISyensya	Kategorio:Scienco
Umnenga	Baleno
Category:Stubs	Kategorio:Ĝermo
Category:Oluhlu	Kategorio:Listoj
Template:Tl	Ŝablono:Ŝ
Category:Amazwe	Kategorio:Landoj
Wikipedia:Requests for adminship	Vikipedio:Administrantoj/kandidatoj
Category:Hidden categories	Kategorio:Kaŝitaj kategorioj
Wikipedia:Vital 100	Vikipedio:Listo de 100 plej havendaj artikoloj
I-Accounting	Kontado
Template:Bot	Ŝablono:Bot
Template:Flagicon	Ŝablono:Flagikono
Template:Documentation	Ŝablono:Dok
Wikipedia:Community Portal	Portalo:Komunumo
Category:User languages	Kategorio:Vikipediistoj laŭ lingvo
Sung Jae-gi	Sung Jae-gi
Template:Softredirect	Ŝablono:Intervikia plusendilo
Template:Ukucima	Ŝablono:Forigu tuj
The Sims	The Sims
Category:Ulwimi	Kategorio:Lingvoj
Category:Ikhalenda	Kategorio:Kalendaro
Category:Wikipedia	Kategorio:Vikipedio
Wikipedia:General disclaimer	Vikipedio:Malgarantio
Wikipedia:Statistics	Vikipedio:Statistiko
Template:!	Ŝablono:!
Wikipedia:Vital articles	Vikipedio:Listo de havendaj artikoloj
Category:Afrika	Kategorio:Afriko
Category:Eyekhala	Kategorio:Julio
Category:Amanani	Kategorio:Nombroj
Category:Eyesilimela	Kategorio:Junio
Category:Ubuchwepheshe	Kategorio:Elektroniko
Category:Ilali	Kategorio:Vilaĝoj
Category:IBhayibhile	Kategorio:Biblio
Category:Amaxwebhu	Kategorio:Dokumentoj
Category:IPhondo yaseMntla-Ntshona	Kategorio:Nordokcidenta Provinco (Sud-Afriko)
Category:Iincwadi	Kategorio:Libroj
Category:Inyanga	Kategorio:Monatoj
Template:Wikisource	Ŝablono:Vikifontaro
Template:Babel	Ŝablono:Babelejo
Template:Commons	Ŝablono:Commons
Template:Link GA	Ŝablono:LigoLeginda
Template:Reflist	Ŝablono:Referencoj
Template:Gnunote	Ŝablono:Gnunote
Template:Isilumkiso	Ŝablono:Atentu
Template:Stub	Ŝablono:Ĝermo
Template:User af-1	Ŝablono:Vikipediisto af-1
Template:User ar-1	Ŝablono:Vikipediisto ar-1
Template:User ast-1	Ŝablono:Vikipediisto ast-1
Template:User bar-1	Ŝablono:Vikipediisto bar-1
Template:User eo-1	Ŝablono:Vikipediisto eo-1
Template:See also	Ŝablono:Vidu ankaŭ
Template:User da-2	Ŝablono:Vikipediisto da-2
Template:User da	Ŝablono:Vikipediisto da
Template:User ca-1	Ŝablono:Vikipediisto ca-1
Template:User ca-4	Ŝablono:Vikipediisto ca-4
Template:User be-2	Ŝablono:Vikipediisto be-2
Template:User da-1	Ŝablono:Vikipediisto da-1
Template:User cs-1	Ŝablono:Vikipediisto cs-1
Template:User bg-1	Ŝablono:Vikipediisto bg-1
Template:User eo-3	Ŝablono:Vikipediisto eo-3
Template:User de	Ŝablono:Vikipediisto de
Template:User de-1	Ŝablono:Vikipediisto de-1
Template:User eu-4	Ŝablono:Vikipediisto eu-4
Template:User el	Ŝablono:Vikipediisto el
Template:User es	Ŝablono:Vikipediisto es
Template:User de-3	Ŝablono:Vikipediisto de-3
Template:User en-3	Ŝablono:Vikipediisto en-3
Template:User el-1	Ŝablono:Vikipediisto el-1
Template:User en-1	Ŝablono:Vikipediisto en-1
Template:User en-2	Ŝablono:Vikipediisto en-2
Template:User fa-1	Ŝablono:Vikipediisto fa-1
Template:User eo-2	Ŝablono:Vikipediisto eo-2
Template:User en-4	Ŝablono:Vikipediisto en-4
Template:User fi	Ŝablono:Vikipediisto fi-D
Template:User en-0	Ŝablono:Vikipediisto en-0
Template:User es-4	Ŝablono:Vikipediisto es-4
Template:User en	Ŝablono:Vikipediisto en
Template:User de-2	Ŝablono:Vikipediisto de-2
Template:User es-1	Ŝablono:Vikipediisto es-1
Template:User fa	Ŝablono:Vikipediisto fa
Template:User fi-1	Ŝablono:Vikipediisto fi-1
Template:User fr-1	Ŝablono:Vikipediisto fr-1
Template:User gl-1	Ŝablono:Vikipediisto gl-1
Template:User ia-2	Ŝablono:Vikipediisto ia-2
Template:User hr	Ŝablono:Vikipediisto hr
Template:User he-2	Ŝablono:Vikipediisto he-2
Template:User he-1	Ŝablono:Vikipediisto he-1
Template:User id-3	Ŝablono:Vikipediisto id-3
Template:User io-3	Ŝablono:Vikipediisto io-3
Template:User it-3	Ŝablono:Vikipediisto it-3
Template:User grc-1	Ŝablono:Vikipediisto grc-1
Template:User ja-4	Ŝablono:Vikipediisto ja-4
Template:User sk	Ŝablono:Vikipediisto sk
Template:User tr-2	Ŝablono:Vikipediisto tr-2
Template:User ja	Ŝablono:Vikipediisto ja
Template:User ja-1	Ŝablono:Vikipediisto ja-1
Template:User it-1	Ŝablono:Vikipediisto it-1
Template:User hr-1	Ŝablono:Vikipediisto hr-1
Template:User fr	Ŝablono:Vikipediisto fr
Template:User gsw-1	Ŝablono:Vikipediisto gsw-1
Category:Uluhlu lweendawo eMzantsi Afrika	Kategorio:Provincoj de Sud-Afriko
Template:Mod	Ŝablono:Mod
Template:SIL	Ŝablono:ISO639-3 ligilo
Template:User es-2	Ŝablono:Vikipediisto es-2
Template:USA	Ŝablono:USA
Category:User fr-1	Kategorio:Vikipediisto fr-1
Template:Location map	Ŝablono:Situo sur mapo
Category:User en-4	Kategorio:Vikipediisto en-4
Category:User en	Kategorio:Vikipediisto en
Category:User en-2	Kategorio:Vikipediisto en-2
Template:Infobox	Ŝablono:Informkesto
Template:Template other	Ŝablono:Ĉu ŝablono
Template:Cite web	Ŝablono:Citaĵo el la reto
Template:Coor URL	Ŝablono:KoordinatojURL
Template:Pp-template	Ŝablono:Pp-ŝablono
Template:PoSA Commons	Ŝablono:Komunejokat
Template:Both	Ŝablono:Booland
Template:Tlx	Ŝablono:Tlx
Template:Location map USA	Ŝablono:Situo sur mapo Usono
Template:User	Ŝablono:Uzanto2
Template:Emergency-bot-shutoff	Ŝablono:Butono por forbari robotojn
Template:Pp-meta	Ŝablono:Pp-meta
Template:Coord/link	Ŝablono:Koord/ligilo
Category:User ja-N	Kategorio:Vikipediisto ja-D
Category:User gsw-1	Kategorio:Vikipediisto gsw-1
Template:Infobox person	Ŝablono:Informkesto homoj
Template:Coord	Ŝablono:Koord
Category:User az	Kategorio:Vikipediisto az
Category:User be	Kategorio:Vikipediisto be
Category:User hr	Kategorio:Vikipediisto hr
Category:User sk	Kategorio:Vikipediisto sk
Category:User eo	Kategorio:Vikipediisto eo
Category:User et	Kategorio:Vikipediisto et
Category:User fr	Kategorio:Vikipediisto fr
Category:User gl	Kategorio:Vikipediisto gl
Category:User hu-N	Kategorio:Vikipediisto hu-D
Category:User id	Kategorio:Vikipediisto id
Category:User ia	Kategorio:Vikipediisto ia
Category:User ja	Kategorio:Vikipediisto ja
Category:User it-3	Kategorio:Vikipediisto it-3
Category:User cs-1	Kategorio:Vikipediisto cs-1
Category:User da-1	Kategorio:Vikipediisto da-1
Category:User et-1	Kategorio:Vikipediisto et-1
Category:User fi-1	Kategorio:Vikipediisto fi-1
Category:User gl-1	Kategorio:Vikipediisto gl-1
Category:User ar-1	Kategorio:Vikipediisto ar-1
Category:User be-2	Kategorio:Vikipediisto be-2
Category:User da-2	Kategorio:Vikipediisto da-2
Category:User fr-2	Kategorio:Vikipediisto fr-2
Category:User ia-2	Kategorio:Vikipediisto ia-2
Category:User tr-2	Kategorio:Vikipediisto tr-2
Category:User fr-N	Kategorio:Vikipediisto fr-D
Category:User eu-N	Kategorio:Vikipediisto eu-D
Category:User af	Kategorio:Vikipediisto af
Category:User af-1	Kategorio:Vikipediisto af-1
Category:User ar	Kategorio:Vikipediisto ar
Category:User ast	Kategorio:Vikipediisto ast
Category:User ast-1	Kategorio:Vikipediisto ast-1
Category:User bar	Kategorio:Vikipediisto bar
Category:User bg	Kategorio:Vikipediisto bg
Category:User bg-1	Kategorio:Vikipediisto bg-1
Category:User ca	Kategorio:Vikipediisto ca
Category:User ca-1	Kategorio:Vikipediisto ca-1
Category:User ca-4	Kategorio:Vikipediisto ca-4
Category:User cs	Kategorio:Vikipediisto cs
Category:User da	Kategorio:Vikipediisto da
Category:User sk-N	Kategorio:Vikipediisto sk-D
Category:User de	Kategorio:Vikipediisto de
Category:User de-2	Kategorio:Vikipediisto de-2
Category:User de-3	Kategorio:Vikipediisto de-3
Category:User de-N	Kategorio:Vikipediisto de-D
Category:User el	Kategorio:Vikipediisto el
Category:User el-1	Kategorio:Vikipediisto el-1
Category:User el-N	Kategorio:Vikipediisto el-D
Category:User en-0	Kategorio:Vikipediisto en-0
Category:User en-3	Kategorio:Vikipediisto en-3
Category:User en-N	Kategorio:Vikipediisto en-D
Category:User eo-1	Kategorio:Vikipediisto eo-1
Category:User eo-2	Kategorio:Vikipediisto eo-2
Category:User eo-3	Kategorio:Vikipediisto eo-3
Category:User es	Kategorio:Vikipediisto es
Category:User es-1	Kategorio:Vikipediisto es-1
Category:User es-2	Kategorio:Vikipediisto es-2
Category:User es-4	Kategorio:Vikipediisto es-4
Category:User es-N	Kategorio:Vikipediisto es-D
Category:User eu	Kategorio:Vikipediisto eu
Category:User fa	Kategorio:Vikipediisto fa
Category:User fa-1	Kategorio:Vikipediisto fa-1
Category:User fa-N	Kategorio:Vikipediisto fa-D
Category:User fi	Kategorio:Vikipediisto fi
Category:User fi-N	Kategorio:Vikipediisto fi-D
Category:User grc	Kategorio:Vikipediisto grc
Category:User grc-1	Kategorio:Vikipediisto grc-1
Category:User gsw	Kategorio:Vikipediisto gsw
Category:User he	Kategorio:Vikipediisto he
Category:User he-1	Kategorio:Vikipediisto he-1
Category:User he-2	Kategorio:Vikipediisto he-2
Category:User hr-1	Kategorio:Vikipediisto hr-1
Category:User hu	Kategorio:Vikipediisto hu
Category:User id-3	Kategorio:Vikipediisto id-3
Category:User io	Kategorio:Vikipediisto io
Category:User it	Kategorio:Vikipediisto it
Category:User it-1	Kategorio:Vikipediisto it-1
Category:User ja-1	Kategorio:Vikipediisto ja-1
Category:User tr	Kategorio:Vikipediisto tr
Category:User tr-N	Kategorio:Vikipediisto tr-D
Template:Spaces	Ŝablono:Spacoj
E-Paradise Cay	Paradise Cay
Umnqathe	Karoto
Template:Coord/display/inline,title	Ŝablono:Koord/montru/entekste,titolo/dokumentado
Template:Coord/prec dec	Ŝablono:Koord/prec dek
Template:Flag	Ŝablono:Flago
Trojany	Trojany
Category:IDolophu	Kategorio:Urboj
Template:Coord/display/title	Ŝablono:Koord/montru/titolo
Template:Coord/input/ERROR	Ŝablono:Koord/enigu/ERARO
Category:User en-1	Kategorio:Vikipediisto en-1
Category:User de-1	Kategorio:Vikipediisto de-1
Category:User da-N	Kategorio:Vikipediisto da-D
Template:Coord/negzeropad	Ŝablono:Koord/negzeropad
Template:Location map~	Ŝablono:Situo sur mapo/~
Template:Location map+	Ŝablono:Situo sur mapo/+
Wikipedia:VisualEditor	Vikipedio:VidRedaktilo
Template:Style/IPA	Ŝablono:Style/IPA
Template:Style/yid	Ŝablono:Style/yid
Template:Tld	Ŝablono:Tld
Module:Yesno	Modulo:Yesno
Special:RecentChanges	Specialaĵo:Lastaj ŝanĝoj
Category:User ja-4	Kategorio:Vikipediisto ja-4
Module:HtmlBuilder	Modulo:HtmlBuilder
Module:String	Modulo:String
Module:Coordinates	Modulo:Coordinates
Module:Math	Modulo:Math
Module:InfoboxImage	Modulo:InfoboxImage
Industrial and Mining Water Research Unit	Industrial and Mining Water Research Unit
