افریقہ	Afriko
کولون (علاقہ)	Kolonjo
سیاسی بدعنوانی	Korupto
آگسٹو پنوشے	Augusto Pinochet
ویکی اقتباسات	Vikicitaro
ویکی سفرنامہ	Vikivojaĝo
گھنٹا	Horloĝo
اوبنٹو	Ubuntu (linukso)
اسکوپیہ	Skopjo
لینکس	Linukso
ریاضی	Matematiko
لاطینی زبان	Latina lingvo
بحرین	Barejno
آرمینیا	Armenio
خط میخنی	Kojnoskribo
ہگ بوسون	Bosono de Higgs
سربیا	Serbio
چاند	Luno
استنبول	Istanbulo
لنڈا لولیس	Linda Lovelace
آسٹریلیا	Aŭstralio
کارل ساگان	Carl Sagan
حیاتیات خلا	Astrobiologio
طبیعیات	Fiziko
ارجنٹائن	Argentino
بعید ابلاغیات	Telekomunikado
پیرو	Peruo
حیاتیات	Biologio
شمالی کوریا	Nord-Koreio
کمبوڈیا	Kamboĝo
قرآن	Korano
حیوان المہیب	Dinosaŭro
حیوانیات	Bestoscienco
اسلام	Islamo
ناشپاتی	Pirarbo
کتب خانہ اسکندریہ	Librejo de Aleksandrio
لیوبلیانا	Ljubljano
نباتیات	Plantoscienco
لیخ فاوینسا	Lech Wałęsa
پہیہ	Rado
عقل	Menso
امن	Paco
دائرۃ المعارف بریطانیکا	Encyclopaedia Britannica
لیون	Liono
یورپی اتحاد	Eŭropa Unio
پلوودیف	Plovdiv
حبالہ محیط عالم (مقالہ ثانی)	TTT
عورت	Virino
صوفیہ	Sofio
ڈان کے خوتے	Kiĥoto
نظم	Poezio
کمپیوٹر وائرس	Komputviruso
میلان	Milano
دوستی	Amikeco
تورینو	Torino
براز	Fekaĵo
مقعد	Anuso
بغل	Akselo
لیموں	Citrono
کیلا	Banano
666ء	666
پھول	Floro
ماریانا ٹرینچ	Mariana Fosego
ولادیمیر ویسوٹسکی	Vladimir Visockij
ماؤنٹ ایورسٹ	Ĉomolungmo
تشریح (حیاتیات)	Anatomio
شہر	Urbo
نپولین	Napoleono Bonaparte
فعلیات	Fiziologio
ستارہ	Stelo
سورج	Suno
آسمان	Ĉielo
لوئی پاسچر	Louis Pasteur
نوری سال	Lumjaro
گاؤں	Vilaĝo
وکٹر ہیوگو	Victor Hugo
اوقیانوسیہ	Oceanio
گیریبالڈی	Giuseppe Garibaldi
ارویتو	Orvieto
ایتھلیٹکس	Atletiko
نظام شمسی	Sunsistemo
بحیرہ بالٹک	Balta Maro
تریستے	Triesto
شانزے لیزے	Avenuo de la Elizeaj Kampoj
دانت	Dento
ہائیڈروجن	Hidrogeno
ہیلیئم	Heliumo
ویکیمیڈیا العام	Vikimedia Komunejo
انگیلا میرکل	Angela Merkel
لیتھیئم	Litio
بلوصر	Berilio
بلندگو	Laŭtparolilo
کتاب	Libro
دن	Tago
مشرقی تیمور	Orienta Timoro
رات	Nokto
سال	Jaro
خط الوقت	Jarcento
ویوربن	Villeurbanne
مونٹ بلانک	Blanka Monto
دریائے رائن	Rejno
اوسلو	Oslo
بون	Bonn
کاتوویتس	Katowice
ثقب اسود	Nigra truo
مسدومی	Gejo
لزبن	Lisbono
دریائے رون	Rodano
دبئی	Dubajo
لیونل میسی	Lionel Messi
نکولس کوپرنیکس	Koperniko
کاربن	Karbono
دریائے وولگا	Volgo
نائٹروجن	Nitrogeno
بیرگامو	Bergamo
آکسیجن	Oksigeno
سیارہ	Planedo
قلوپطرہ	Kleopatra
موسیقی	Muziko
وینس	Venecio
دریائے پو	Pado
شرم الشیخ	Ŝarm el Ŝeiĥ
حر پیما	Termometro
رین	Rennes
لیل	Lille
ماسکو	Moskvo
اطالوی زبان	Itala lingvo
نیون	Neono
چہواہوا	Chihuahua
سینٹ پیٹرز برگ	Sankt-Peterburgo
چاڈ	Ĉado
سوڈیم	Natrio
شمال	Nordo
ایلومینیم	Aluminio
نیوزی لینڈ	Nov-Zelando
جنوب	Sudo
بھارت	Barato
فرانسیئم	Franciumo
تووالو	Tuvalo
فاسفورس	Fosforo
نثر	Prozo
لوہا	Fero
ٹونگا	Tongo
مغرب-سمت	Okcidento
گندھک	Sulfuro
سامووا	Samoo
مشرق	Oriento
جزائر سلیمان	Salomonoj
وانواتو	Vanuatuo
مولیر	Molière
پاپوا نیو گنی	Papuo-Nov-Gvineo
ولیم شیکسپیئر	William Shakespeare
پلاؤ	Palaŭo
ناورو	Nauro
موزیلا فائرفاکس	Mozilla Firefox
پوٹاشیم	Kalio
زی لینڈ	Zelando
کیلشیم	Kalcio
سیسہ	Plumbo
جزائر مارشل	Marŝala Insularo
کیریباتی	Kiribato
منگولیا	Mongolio
فجی	Fiĝioj
اسکینصر	Skandio
وینیزویلا	Venezuelo
شطرنج	Ŝako
چنگیز خان	Ĝingis-Ĥano
مینے	Majno
گھوڑا	Ĉevalo
ایمسٹرڈیم	Amsterdamo
اسلحہ	Armilo
جانور	Bestoj
سرینام	Surinamo
پیراگوئے	Paragvajo
گیانا	Gujano
فن	Arto
ایکواڈور	Ekvadoro
رہینیئم	Renio
کولمبیا	Kolombio
کوبالٹ	Kobalto
ٹنگسٹن	Volframo
Nickel	Nikelo
بدھ مت	Budhismo
بولیویا	Bolivio
Osmium	Osmio
تانبا	Kupro
نباتات	Plantoj
سینٹ وینسینٹ و گریناڈائنز	Sankta Vincento kaj Grenadinoj
جست	Zinko
نیو ہیمپشائر	Nov-Hampŝiro
سینٹ لوسیا	Sankta Lucio
لیونارڈو ڈا ونچی	Leonardo da Vinci
سینٹ کیٹز و ناویس	Sankta-Kito kaj Neviso
پھپھوند	Fungoj
ڈاریو فو	Dario Fo
جمیکا	Jamajko
گریناڈا	Grenado (lando)
میساچوسٹس	Masaĉuseco
گوئٹے مالا	Gvatemalo
گوگل کروم	Google Chrome
بہاماس	Bahamoj
کنیکٹیکٹ	Konektikuto
مرغی	Koko
اینٹیگوا و باربوڈا	Antigvo-Barbudo
ہوائی	Havajo
ہونڈوراس	Honduro
ڈومینیکا	Dominiko
جرزی	Ĵersejo
جمہوریہ ڈومینیکن	Domingo
سؤر	Porko
بحر منجمد شمالی	Arkta Oceano
ہیٹی	Haitio
ایل سیلواڈور	Salvadoro
ایران	Irano
عراق	Irako
الاسکا	Alasko
دانائی	Saĝo
کوسٹاریکا	Kostariko
اسرائیل	Israelo
پاناما	Panamo
یمن	Jemeno
لوزان	Laŭzano
حُمہ	Viruso (biologio)
اردن	Jordanio
نکاراگوا	Nikaragvo
فلوریڈا	Florido
کرغیزستان	Kirgizio
ایریزونا	Arizono
کویت	Kuvajto
لاؤس	Laoso
لبنان	Libano
اوریگون	Oregono
مالدیپ	Maldivoj
امریکین	Ameriko
یوٹاہ	Utaho
گائے	Bovo
ملائیشیا	Malajzio
میانمار	Birmo
نیپال	Nepalo
سلطنت عمان	Omano
پاکستان	Pakistano
جیمز بانڈ	James Bond (fikcia universo)
قطر	Kataro
ٹینس	Teniso
سعودی عرب	Sauda Arabio
سری لنکا	Sri-Lanko
جوزف استالن	Josif Stalin
شام	Sirio
افلاطون	Platono
جوزف برودسکی	Iosif Brodskij
تاجکستان	Taĝikio
پوکیمون	Pokemono
جمہوریۂ چین	Respubliko Ĉinio
یوٹیوب	YouTube
جرمانیئم	Germaniumo
ارسطو	Aristotelo
تھائی لینڈ	Tajlando
ریل گاڑی	Trajno
زرنیخ	Arseno
مشعہ	Radiofonio
ترکمانستان	Turkmenio
اباکان	Abakan
Iridium	Iridio
متحدہ عرب امارات	Unuiĝintaj Arabaj Emirlandoj
پلاٹینیم	Plateno
ویتنام	Vjetnamio
چارلی چیپلن	Charlie Chaplin
نووسیبیرسک	Novosibirsko
جنوبی کوریا	Sud-Koreio
دا سمپسنز	La Simpsonoj
یاکاٹرنبرگ	Jekaterinburg
افغانستان	Afganio
گانگنام اسٹائل	Gangnam Style
نزہنی نووگورود	Niĵnij Novgorod
جان رونالڈ روئل ٹولکین	John Ronald Reuel Tolkien
سمارا، روس	Samara (urbo)
سونا	Oro
اومسک	Omsk
نہر سوئز	Sueza Kanalo
قازان	Kazano
سائنسدان	Sciencisto
بنگلہ دیش	Bangladeŝo
فرانز کافکا	Franz Kafka
چیلیابنسک	Ĉeljabinsk
روستوف-نا-دونو	Rostov-na-Donu
جارج لوئی بورگیس	Jorge Luis Borges
اوفا	Ufa
مالی	Malio
سقراط	Sokrato
وولگو گراد	Volgogrado
انگولہ	Angolo
پیرم	Permjo
بھوٹان	Butano
ٹویٹر	Twitter
کراسنویارسک	Krasnojarsk
برونائی دار السلام	Brunejo
تنزانیہ	Tanzanio
پارہ	Hidrargo
روآل آمونسن	Roald Amundsen
فلپائن	Filipinoj
وسطی افریقی جمہوریہ	Centr-Afrika Respubliko
تھیلیئم	Taliumo
قطب جنوبی	Suda poluso
قطب شمالی	Norda poluso
آئزک نیوٹن	Isaac Newton
البرٹ آئنسٹائن	Albert Einstein
بسمیتھ	Bismuto
پیلا	Flava
کوانٹم میکانکس	Kvantuma mekaniko
ٹوگو	Togolando
تونس	Tunizio
زیمبیا	Zambio
زمبابوے	Zimbabvo
بیجنگ	Pekino
جنوبی سوڈان	Sud-Sudano
ولادیوستوک	Vladivostok
تووا	Tuvio
بینن	Benino
بوٹسوانا	Bocvano
برکینا فاسو	Burkino
برونڈی	Burundo
اتحاد القمری	Komoroj
جمہوریہ کانگو	Respubliko Kongo
جمہوری جمہوریہ کانگو	Demokratia Respubliko Kongo
سان انٹونیو	San Antonio (Teksaso)
ٹومسک	Tomsk
جبوتی	Ĝibutio
پولونیئم	Polonio
بواریا	Bavario
استوائی گنی	Ekvatora Gvineo
بادن-وورتمبرگ	Baden-Virtembergo
اریتریا	Eritreo
نئی دہلی	Nov-Delhio
فیودر دوستوئیفسکی	Fjodor Dostojevskij
جزیرہ نما کامچاٹکا	Kamĉatko
تبلیسی	Tbiliso
عیسٹاٹین	Astato
گیبون	Gabono
موہن داس گاندھی	Mohandas Karamchand Gandhi
کامکس	Bildliteraturo
گیمبیا	Gambio
جمہوریہ گنی	Gvineo
گنی بساؤ	Gvineo Bisaŭa
کوت داوواغ	Ebur-Bordo
کیمرون	Kameruno
کیپ ورڈی	Kaboverdo
لیسوتھو	Lesoto
لائبیریا	Liberio
لیبیا	Libio
آچن	Aachen
مڈغاسکر	Madagaskaro
ملاوی	Malavio
شٹوٹگارٹ	Stutgarto
موریتانیہ	Maŭritanio
مراکش	Maroko
موزمبیق	Mozambiko
نمیبیا	Namibio
نائجر	Niĝero
نائجیریا	Niĝerio
ڈارون	Charles Darwin
یوگنڈا	Ugando
روانڈا	Ruando
ساؤ ٹومے و پرنسپے	Sao-Tomeo kaj Principeo
سینیگال	Senegalo
سیچیلیس	Sejŝeloj
لنی اس	Karolo Lineo
سیرالیون	Siera-Leono
صومالیہ	Somalio
جواہر لعل نہرو	Jawaharlal Nehru
جولیس سیزر	Julio Cezaro
سوڈان	Sudano
سوازی لینڈ	Svazilando
دھنک	Ĉielarko
ہامبرگ	Hamburgo
استِقلاب	Metabolo
نریندر مودی	Narendra Modi
مناعی نظام	Imuna sistemo
گجرات (بھارت)	Guĝaratio
جھیل انٹاریو	Ontario (lago)
نظریۂ ارتقا	Evoluismo
اقوام متحدہ	Unuiĝintaj Nacioj
جھیل سپیریئر	Supra Lago
دانتے الیگیری	Dante Alighieri
ارضیات	Geologio
احمد آباد	Ahmadabado
جغرافیہ	Geografio
قلب	Koro
دماغ	Cerbo
جلد	Haŭto
رنگ	Koloro
اسم	Substantivo
پراگ	Prago
نیلا	Blua
چاندی	Arĝento
کیڈمیئم	Kadmio
قلع	Stano
یورینیئم	Uranio
کحل	Antimono
شمالی برابانٹ	Norda Brabanto
پلوٹونیئم	Plutonio
آیوڈین	Jodo
نیپچونیئم	Neptunio
زینون	Ksenono
اینیمے	Animeo
سیزیئم	Cezio
Protactinium	Protaktinio
برقی بار	Elektra ŝargo
بیریئم	Bario
Thorium	Torio
ہفنیئم	Hafnio
عیکٹنیئم	Aktinio
Tantalum	Tantalo
بل کلنٹن	William J. Clinton
لکسمبرگ (بیلجیم)	Luksemburgo (Belgio)
ریڈیم	Radiumo
اہلن	Ahlen
ریڈون	Radono
اندرا گاندھی	Indira Gandhi
ہیکٹر برلیوز	Louis Hector Berlioz
جمنگر	Ĝamnagar
ممبئی	Mumbajo
آندھرا پردیش	Andra-Pradeŝo
اروناچل پردیش	Arunaĉal-Pradeŝo
آسام	Asamo
بہار (بھارت)	Biharo
مشی گن	Miĉigano
چھتیس گڑھ	Ĉhatisgaro
جھیل مشی گن	Miĉigano (lago)
گوا	Goao
ہریانہ	Harjano
ہماچل پردیش	Himaĉal-Pradeŝo
جموں و کشمیر	Ĝamuo kaj Kaŝmiro
پورٹو ریکو	Porto-Riko
جھاڑکھنڈ	Ĝharkhando
کرناٹک	Karnatako
کیرلا	Keralao
مدھیہ پردیش	Madhja-Pradeŝo
یوسین بولٹ	Usain Bolt
مہاراشٹر	Maharaŝtro
منی پور	Manipuro
شلسویگ-ہولشتائن	Ŝlesvigo-Holstinio
میگھالیہ	Meghalajo
مکلنبرگ-ورپورمرن	Meklenburgo-Antaŭpomerio
نیدرزاکسن	Malsupra Saksio
نوردرائن-ویسٹ فالیا	Nordrejn-Vestfalio
ہیسے	Hesio
رائنلینڈ-پالاتینات	Rejnlando-Palatinato
سارلینڈ	Sarlando
زاکسن	Saksio
الینوائے	Ilinojso
تورینگن	Turingio
زاکسن-آنہالت	Saksio-Anhalto
شمالی ڈکوٹا	Norda Dakoto
برندنبرگ	Brandenburgio
برمن (ریاست)	Libera hansa urbo Bremeno
لومباردیہ	Lombardujo
جنوبی ڈکوٹا	Suda Dakoto
مونٹانا	Montano
وائیومنگ	Vajomingo
پیعیمونتے	Piemonto
یروشلم	Jerusalemo
ایڈاہو	Idaho
وادی آوستہ	Aosta Valo
ریاست واشنگٹن	Vaŝingtonio
ردرفورڈیئم	Ruterfordio
نیواڈا	Nevado
ڈبنئیم	Dubnio
سیبورگئیم	Seborgio
ترینتینو جنوبی ٹائرول	Trentino-Alto Adige
بحر ہند	Hinda Oceano
وینیتو	Veneto
بحیرہ کیریبین	Kariba Maro
بورئیم	Borio
فریولی وینیزیا جولیا	Friulo-Venecio Julia
ہاسیئم	Hasio
بان کی مون	Ban Ki-moon
کوفی عنان	Kofi Annan
لیگوریا	Ligurio
Meitnerium	Mejtnerio
کرٹ والڈہائیم	Kurt Waldheim
کولوراڈو	Koloradio
ایمیلیا رومانیا	Emilio-Romanjo
اوتھاں	U Thant
دریائے کولوراڈو	Kolorado (rivero)
ڈارمسٹادیئم	Darmŝtatio
فریڈرک شوپن	Frédéric Chopin
روٹجینیم	Rentgenio
تسکانہ	Toskanio
مارکے	Markio (Italio)
امبریا	Umbrio
زمرہ:محتویات	Kategorio:Ĉio
لازیو	Latio
آبروزو	Abruco
الپس	Alpoj
گرونوبل	Grenoblo
پاسکل	Blaise Pascal
برون	Bron
ڈرافٹس	Damludo
شکاگو, الینوائے	Ĉikago
بیٹلز	The Beatles
کومو	Komo (Italio)
ماستریخت	Maastricht
موسم سرما	Vintro
بہار	Printempo
موسم گرما	Somero
خزاں	Aŭtuno
صدام حسین	Saddam Hussein
اسامہ بن لادن	Usama bin Laden
ہسپانوی زبان	Hispana lingvo
مونٹیویڈیو	Montevideo
جوہن باخ	Johann Sebastian Bach
انتونیو ویوالدی	Antonio Vivaldi
تولیاتی	Toljatti
اوپرا	Opero
فلاڈیلفیا, پنسلوانیا	Filadelfio (Pensilvanio)
کولکاتہ	Kolkato
چینائی	Ĉenajo
دلی	Delhio
ڈھاکہ	Dako
بنگلور	Bengaluro
مغربی بنگال	Okcident-Bengalo
مکڑی	Araneuloj
مفصلی پایہ	Artropodoj
حیدرآباد، دکن	Hajderabado
اسلام آباد	Islamabado
تری پورہ	Tripuro
پھل	Frukto
زر	Mono
ورجینیا	Virginio (ŝtato)
مغربی ورجینیا	Okcidenta Virginio
میٹرہارن	Materhorno
جھیل ہیورون	Lago Hurono
نیویارک	Nov-Jorkio
سیریئم	Cerio
Praseodymium	Prazeodimo
رہوڈ آئی لینڈ	Rod-Insulo
Neodymium	Neodimo
حشرات	Insekto
میری لینڈ	Marilando
ڈیلاویئر	Delavaro
ولادیمیر لینن	Lenin
یوروپیئم	Eŭropio
اوہائیو	Ohio
ورجل	Vergilio
نکولو مکیاویلی	Makiavelo
پنسلوانیا	Pensilvanio
بوکاچیو	Giovanni Boccaccio
لیوگی پیرنڈیلو	Luigi Pirandello
یوٹرسن	Uetersen
آگسٹس	Aŭgusto Cezaro
مائیکروسافٹ ونڈوز	Microsoft Windows
نیو جرسی	Nov-Ĵerzejo
جبل الطارق	Ĝibraltaro
نیرو	Nerono
انڈیانا	Indianio
نوکیا	Nokia (kompanio)
خودمتحرک	Aŭtomobilo
ٹائٹس	Tito (imperiestro)
جووینٹیس	Juventus Football Club
روجر فیڈرر	Roger Federer
جارجیا (امریکی ریاست)	Georgio
زغرب	Zagrebo
راجستھان	Raĝastano
کمپانیہ	Kampanio
ٹیکساس	Teksaso
مولیزے	Molizo
تامل ناڈو	Tamilnado
پلیہ	Apulio
جینوا (اٹلی)	Ĝenovo
بازیلیکاتا	Basilikato
شمالی کیرولینا	Norda Karolino
فیلڈ ہاکی	Herbohokeo
جنوبی کیرولینا	Suda Karolino
کلابریا	Kalabrio
صقلیہ	Sicilio
منیلا	Manilo
ساردینیا	Sardio
سیبو شہر	Cebuurbo
دریائے سین	Sejno
داوائو شہر	Davao (urbo)
کویزون سٹی	Kezonurbo
لو مان	Le Mans
کالوکان	Kalukano
بورڈو	Bordeaux
کوریزون اکینو	Corazón Aquino
بیونس آئرس	Bonaero
میکسیکو شہر	Meksik-urbo
توکیو	Tokio
لا پاز	La-Pazo
برشلونہ	Barcelono
انناس	Ananaso
مسیسپی	Misisipio
فرڈیننڈ میگلان	Fernão de Magalhães
دریائے مسیسپی	Misisipo (rivero)
اتر پردیش	Utar-Pradeŝo
اتراکھنڈ	Utarakando
میزورم	Mizoramo
سکم	Sikimo
پیٹاگونیا	Patagonio
ٹینیسی	Tenesio
رچرڈ واگنر	Richard Wagner
ناگپور	Nagpur
آبدجان	Abiĝano
ابوظہبی (شہر)	Abu-Dabio
آستانہ	Astano
نیو میکسیکو	Nov-Meksiko
رمسيس ثانی	Ramseso la 2-a
ایتھنز	Ateno
مینیسوٹا	Minesoto
بغداد	Bagdado
کراکس	Karakaso
متناسق عالمی وقت	UTC
وسکونسن	Viskonsino
پونہ	Puneo
آئیووا	Iovao
نیبراسکا	Nebrasko
گوئٹے مالا شہر	Gvatemalurbo
کنساس	Kansaso
ہوانا	Havano
تمباکو	Tabako
ہندی زبان	Hindia lingvo
مراٹھی زبان	Marata lingvo
گنیش	Ganeŝo
مسوری	Misurio
جارج سائمن اوہم	Georg Ohm
لوزیانا	Luiziano
ناگالینڈ	Nagalando
کینٹکی	Kentukio
آرکنساس	Arkansaso
نیل آرمسٹرانگ	Neil Armstrong
اردو	Urduo
ولنزولا، فلپائن	Valenzuela (Filipinoj)
پاسیگ	Pasig
زامبوانگا شہر	Zamboanga
ایڈتھ پیاف	Édith Piaf
انتیپولو	Antipolo
تاگیوگ	Taguig
ایلب	Elbo (rivero)
کاگیان دی اورو	Cagayan de Oro
اوکلاہوما	Oklahomo
دریائے ڈینیوب	Danubo
بحیرہ شمال	Norda Maro
ماسکو اوبلاست	Moskva provinco
ہینور	Hanovro
ڈسلڈورف	Duseldorfo
ساربرکن	Saarbrücken
میونخ	Munkeno
سمارا اوبلاست	Samara provinco (Rusio)
والی بال	Flugpilkado
انسبروک	Innsbruck
بریگنز	Bregenz
ویانا	Vieno
میڈونا	Madonna
کوپن ہیگن	Kopenhago
کیلننگراڈ اوبلاست	Kaliningrada provinco
سٹاکہوم	Stokholmo
ہلسنکی	Helsinko
مورمانسک اوبلاست	Murmanska provinco
ڈبلن	Dublino
مورمانسک	Murmansko
ریکیاوک	Rejkjaviko
ٹالن	Talino
ریگا	Rigo
زنجبار	Zanzibaro
لوئی آرمسٹرانگ	Louis Armstrong
براٹیسلاوا	Bratislavo
بوداپست	Budapeŝto
فرینکفرٹ	Frankfurto ĉe Majno
وراتسواف	Vroclavo
کوچی	Koĉi (Barato)
مکتوم	Lantano
Promethium	Prometio
فلکیاتی اکائی	Astronomia unuo
