Afrika	Afriko
Fosfor	Fosforo
André-Marie Ampère	André-Marie Ampère
Proza	Prozo
Željezo	Fero
Tonga	Tongo
Zapad	Okcidento
Alessandro Volta	Alessandro Volta
Sumpor	Sulfuro
Samoa	Samoo
Istok	Oriento
Salomonski Otoci	Salomonoj
Vanuatu	Vanuatuo
Molière	Molière
Klor	Kloro
Papua Nova Gvineja	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Basna	Fablo
Palau	Palaŭo
Argon	Argono
Nauru	Nauro
Mozilla Firefox	Mozilla Firefox
Bajka	Fabelo
Savezne Države Mikronezije	Federacio de Mikronezio
Kalij	Kalio
Kalcij	Kalcio
Olovo (element)	Plumbo
Maršalovi Otoci	Marŝala Insularo
Kiribati	Kiribato
Mongolija	Mongolio
Fidži	Fiĝioj
Skandij	Skandio
Stevie Wonder	Stevie Wonder
Heilbronn	Hajlbrono
Titanij	Titano (elemento)
Venezuela	Venezuelo
Šah	Ŝako
Džingis-kan	Ĝingis-Ĥano
Vanadij	Vanado
Maine	Majno
Krom	Kromo
Domaći konj	Ĉevalo
Amsterdam	Amsterdamo
Oružje	Armilo
Životinje	Bestoj
Surinam	Surinamo
Mangan	Mangano
Paragvaj	Paragvajo
Gvajana	Gujano
Umjetnost	Arto
Ekvador	Ekvadoro
Renij	Renio
Kolumbija	Kolombio
Kobalt	Kobalto
Jean Racine	Jean Racine
Volfram	Volframo
Nikal	Nikelo
Jagoda	Frago
Pierre Corneille	Pierre Corneille
Budizam	Budhismo
Groningen	Groningen (urbo)
Bolivija	Bolivio
Osmij	Osmio
Bakar (element)	Kupro
Trinidad i Tobago	Trinidado kaj Tobago
Paul Verlaine	Paul Verlaine
Biljke	Plantoj
Sveti Vincent i Grenadini	Sankta Vincento kaj Grenadinoj
Cink	Zinko
New Hampshire	Nov-Hampŝiro
Sveta Lucija (država)	Sankta Lucio
Białystok	Bjalistoko
Leonardo da Vinci	Leonardo da Vinci
Sveti Kristofor i Nevis	Sankta-Kito kaj Neviso
Gljive	Fungoj
Dario Fo	Dario Fo
Jamajka	Jamajko
Stéphane Mallarmé	Stéphane Mallarmé
Grenada	Grenado (lando)
Massachusetts	Masaĉuseco
Gvatemala	Gvatemalo
Gelderland	Gelderland
Google Chrome	Google Chrome
Bahami	Bahamoj
Connecticut	Konektikuto
Domaća kokoš	Koko
Antigva i Barbuda	Antigvo-Barbudo
Havaji	Havajo
Honduras	Honduro
Dominika	Dominiko
Jersey (otok)	Ĵersejo
Dominikanska Republika	Domingo
Domaća svinja	Porko
Arktički ocean	Arkta Oceano
Haiti	Haitio
Salvador	Salvadoro
Iran	Irano
Irak	Irako
Aljaska	Alasko
Mudrost	Saĝo
Kostarika	Kostariko
Izrael	Israelo
Utrecht (grad)	Utrecht
Panama	Panamo
Jemen	Jemeno
Randstad	Randstad
Lausanne	Laŭzano
Virusi	Viruso (biologio)
Poljski jezik	Pola lingvo
Jordan	Jordanio
Nikaragva	Nikaragvo
Florida	Florido
Kirgistan	Kirgizio
Arizona	Arizono
Kuvajt	Kuvajto
Laos	Laoso
Libanon	Libano
Oregon	Oregono
Maldivi	Maldivoj
Amerika	Ameriko
Utah	Utaho
Divlje govedo	Bovo
Malezija	Malajzio
Valais	Kantono Valezo
Mihail Bulgakov	Miĥail Bulgakov
Mjanmar	Birmo
Nepal	Nepalo
Andrej Rubljov	Andreo Rublov
Oman	Omano
Pakistan	Pakistano
James Bond	James Bond (fikcia universo)
Katar	Kataro
Tenis	Teniso
François Villon	François Villon
MySQL	MySQL
Saudijska Arabija	Sauda Arabio
Andrej Tarkovski	Andrei Arsenjewitsch Tarkowski
Šri Lanka	Sri-Lanko
Josif Staljin	Josif Stalin
Crtični kôd	Strekokodo
Sirija	Sirio
Platon	Platono
Galij	Galiumo
Joseph Brodsky	Iosif Brodskij
Tadžikistan	Taĝikio
Pokémon	Pokemono
Republika Kina	Respubliko Ĉinio
YouTube	YouTube
Germanij	Germaniumo
Aristotel	Aristotelo
Tajland	Tajlando
Vlak	Trajno
Arsen	Arseno
Radio	Radiofonio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenio
Abakan (Hakasija, Rusija)	Abakan
Selenij	Seleno
Iridij	Iridio
Ujedinjeni Arapski Emirati	Unuiĝintaj Arabaj Emirlandoj
Brom	Bromo
Platina	Plateno
Vijetnam	Vjetnamio
Charles Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsko
Južna Koreja	Sud-Koreio
Józef Piłsudski	Józef Piłsudski
Simpsoni	La Simpsonoj
Ekaterinburg	Jekaterinburg
Kripton	Kriptono
Afganistan	Afganio
Gangnam Style	Gangnam Style
Nižnji Novgorod	Niĵnij Novgorod
John Ronald Reuel Tolkien	John Ronald Reuel Tolkien
Limunada	Limonado
Samara	Samara (urbo)
Rubidij	Rubidio
Zlato	Oro
Omsk	Omsk
Sueski kanal	Sueza Kanalo
Kazanj	Kazano
Bangladeš	Bangladeŝo
Franz Kafka	Franz Kafka
Čeljabinsk	Ĉeljabinsk
Rostov na Donu	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Malio
Sokrat	Sokrato
Volgograd	Volgogrado
Angola	Angolo
Perm (Permski kraj, Rusija)	Permjo
Kraljevina Butan	Butano
Twitter	Twitter
Krasnojarsk	Krasnojarsk
Brunej	Brunejo
Brač	Brač
Tanzanija	Tanzanio
Živa	Hidrargo
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipini	Filipinoj
Srednjoafrička Republika	Centr-Afrika Respubliko
Talij	Taliumo
Polovi južne polutke	Suda poluso
Polovi sjeverne polutke	Norda poluso
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Stroncij	Stroncio
Pedro I. Brazilski	Petro la 1-a (Brazilo)
Itrij	Itrio
Bizmut	Bismuto
Žuta	Flava
Kvantna mehanika	Kvantuma mekaniko
Togo	Togolando
Donald Tusk	Donald Tusk
Tunis	Tunizio
John Bardeen	John Bardeen
Zambija	Zambio
Zimbabve	Zimbabvo
Peking	Pekino
Južni Sudan	Sud-Sudano
Vladivostok	Vladivostok
Tuva	Tuvio
Benin	Benino
Bocvana	Bocvano
Burkina Faso	Burkino
Burundi	Burundo
Komori	Komoroj
Republika Kongo	Respubliko Kongo
Ob	Obo
Demokratska Republika Kongo	Demokratia Respubliko Kongo
San Antonio (Teksas)	San Antonio (Teksaso)
Džibuti	Ĝibutio
Mem	Memeo
Polonij	Polonio
Bavarska	Bavario
Ekvatorska Gvineja	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Eritreja	Eritreo
New Delhi	Nov-Delhio
Ivan Pavao II.	Johano Paŭlo la 2-a
Fjodor Mihajlovič Dostojevski	Fjodor Dostojevskij
Kamčatka	Kamĉatko
Tbilisi	Tbiliso
Andrej Saharov	Andrej Saĥarov
Astat	Astato
Gabon	Gabono
Mahatma Gandhi	Mohandas Karamchand Gandhi
Čukotski poluotok	Ĉukotko
Solidarnost (sindikat)	Solidareco (Pollando)
Strip	Bildliteraturo
Gambija	Gambio
Gvineja	Gvineo
Gvineja Bisau	Gvineo Bisaŭa
Obala Bjelokosti	Ebur-Bordo
Kamerun	Kameruno
Maribor	Mariboro
Zelenortska Republika	Kaboverdo
Celje	Celje
Lesoto	Lesoto
Liberija	Liberio
Kopar	Kapodistrio
Libija	Libio
Aachen	Aachen
Nova Gorica	Nova Gorica
Madagaskar	Madagaskaro
Malavi	Malavio
Kranj	Kranj
Stuttgart	Stutgarto
Triglav (vrh)	Triglav
Mauretanija	Maŭritanio
Poljaci	Poloj
Mauricijus	Maŭricio
Maroko	Maroko
Mozambik	Mozambiko
Namibija	Namibio
France Prešeren	France Prešeren
Niger	Niĝero
Nigerija	Niĝerio
Charles Darwin	Charles Darwin
Uganda	Ugando
Ruanda	Ruando
Cirkonij	Zirkonio
Sveti Toma i Princip	Sao-Tomeo kaj Principeo
Karlsruhe	Karlsruhe
Senegal	Senegalo
Sejšeli	Sejŝeloj
Carl Linné	Karolo Lineo
Sijera Leone	Siera-Leono
Somalija	Somalio
Niobij	Niobio
Džavaharlal Nehru	Jawaharlal Nehru
Gaj Julije Cezar	Julio Cezaro
Sudan	Sudano
Svazi	Svazilando
Ivan Regen	Ivan Regen
Duga	Ĉielarko
Molibden	Molibdeno
Tehnecij	Teknecio
Hamburg	Hamburgo
Italo Balbo	Italo Balbo
Metabolizam	Metabolo
Imunološki sustav	Imuna sistemo
Gudžarat	Guĝaratio
Ontario (jezero)	Ontario (lago)
Evolucija	Evoluismo
Alessandro Manzoni	Alessandro Manzoni
Ujedinjeni narodi	Unuiĝintaj Nacioj
Superior	Supra Lago
Dante Alighieri	Dante Alighieri
Geologija	Geologio
Geografija	Geografio
Srce	Koro
Mozak	Cerbo
Koža	Haŭto
Boja	Koloro
Zvjezdane staze: Originalna serija	Stela Vojaĝo: La Origina Serio
Na putu prema dolje	Breaking Bad
Salerno	Salerno
Imenice	Substantivo
Prag	Prago
Rutenij	Rutenio
Rodij	Rodio
Plava	Blua
Paladij	Paladio
Srebro	Arĝento
Kadmij	Kadmio
Zvjezdane staze	Star Trek
Limburg (Nizozemska)	Limburgo (Nederlando)
Indij	Indio
Limburg (Belgija)	Limburgo (Belgio)
Kositar	Stano
Uranij	Uranio
Antimon	Antimono
Telurij	Teluro
Sjeverni Brabant	Norda Brabanto
Plutonij	Plutonio
Jod	Jodo
Neptunij	Neptunio
Ksenon	Ksenono
Anime	Animeo
Cezij	Cezio
Protaktinij	Protaktinio
Ujedinjena Federacija Planeta	Unuiĝinta Federacio de Planedoj
Električni naboj	Elektra ŝargo
Barij	Bario
Zapadna Flandrija	Okcidenta Flandrio
Istočna Flandrija	Orienta Flandrio
Torij	Torio
Antwerpen (pokrajina)	Antverpeno (provinco)
Flamanski Brabant	Flandra Brabanto
Hafnij	Hafnio
Aktinij	Aktinio
Valonski Brabant	Valona Brabanto
Tantal (element)	Tantalo
Bill Clinton	William J. Clinton
Namur (pokrajina)	Namuro (provinco)
Luxembourg (Belgija)	Luksemburgo (Belgio)
Liège (pokrajina)	Lieĝo (provinco)
Radij	Radiumo
Hainaut (pokrajina)	Henegovio
Radon	Radono
Lorena	Loreno
Elzas	Alzaco
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Merkur (mitologija)	Merkuro (dio)
Hector Berlioz	Louis Hector Berlioz
Auvergne	Aŭvernjo
Mumbai	Mumbajo
Međunarodni atletski savez	Internacia Asocio de Atletikaj Federacioj
Andhra Pradesh	Andra-Pradeŝo
Limburg	Limburg
Arunachal Pradesh	Arunaĉal-Pradeŝo
Assam	Asamo
Bihar	Biharo
Michigan	Miĉigano
Chhattisgarh	Ĉhatisgaro
Jezero Michigan	Miĉigano (lago)
Goa	Goao
Burgundija	Burgonjo
Haryana	Harjano
Himachal Pradesh	Himaĉal-Pradeŝo
Maurice Ravel	Maurice Ravel
Akvitanija	Akvitanio
Jammu i Kashmir	Ĝamuo kaj Kaŝmiro
Portoriko	Porto-Riko
Jharkhand	Ĝharkhando
Karnataka	Karnatako
Kerala	Keralao
Madhya Pradesh	Madhja-Pradeŝo
Usain Bolt	Usain Bolt
Limousin	Limoĝio
Maharashtra	Maharaŝtro
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipuro
Schleswig-Holstein	Ŝlesvigo-Holstinio
Meghalaya	Meghalajo
Mecklenburg-Zapadno Pomorje	Meklenburgo-Antaŭpomerio
Donja Saska	Malsupra Saksio
Sjeverna Rajna-Vestfalija	Nordrejn-Vestfalio
Hessen	Hesio
Falačko Porajnje	Rejnlando-Palatinato
Saarska	Sarlando
Saska (pokrajina)	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Tiringija	Turingio
Saska-Anhalt	Saksio-Anhalto
Sjeverna Dakota	Norda Dakoto
Brandenburg	Brandenburgio
Bremen (pokrajina)	Libera hansa urbo Bremeno
Lombardija	Lombardujo
Južna Dakota	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Pijemont	Piemonto
Jeruzalem	Jerusalemo
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d'Aosta	Aosta Valo
Washington (savezna država)	Vaŝingtonio
Bruce Springsteen	Bruce Springsteen
Raderfordij	Ruterfordio
Nevada	Nevado
Don	Don (rivero)
Francesco Cossiga	Francesco Cossiga
Dubnij	Dubnio
Siborgij	Seborgio
Trentino-Južni Tirol	Trentino-Alto Adige
Indijski ocean	Hinda Oceano
Veneto	Veneto
Kosovo	Kosovo
Karipsko more	Kariba Maro
Borij	Borio
Furlanija-Julijska krajina	Friulo-Venecio Julia
Hasij	Hasio
Ban Ki-mun	Ban Ki-moon
Kofi Atta Annan	Kofi Annan
Ligurija	Ligurio
Butros Butros-Gali	Boutros Boutros-Ghali
Meitnerij	Mejtnerio
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Koloradio
Emilia-Romagna	Emilio-Romanjo
U Thant	U Thant
Colorado (rijeka)	Kolorado (rivero)
Darmštatij	Darmŝtatio
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Roentgenij	Rentgenio
Toskana	Toskanio
Gladwyn Jebb	Gladwyn Jebb
Leonard Cohen	Leonard Cohen
Kopernicij	Kopernicio
Marke	Markio (Italio)
Umbrija	Umbrio
Lacij	Latio
Dolomiti	Dolomitoj
Abruzzo	Abruco
Apenini	Apeninoj
Alpe	Alpoj
Jansenizam	Jansenismo
Karpati	Karpatoj
Grenoble	Grenoblo
Blaise Pascal	Blaise Pascal
Dama	Damludo
Dortmund	Dortmund
Gent	Gento (urbo)
Chicago, Illinois	Ĉikago
The Beatles	The Beatles
Ununtrij	Ununtrio
Flerovij	Flerovio
Ununpentij	Ununpentio
Livermorij	Livermorumo
Ununseptij	Ununseptio
Ununoktij	Ununoktio
Como	Komo (Italio)
Maastricht	Maastricht
Arnhem	Arnhem
Zima	Vintro
Proljeće	Printempo
Ljeto	Somero
Jesen	Aŭtuno
Ravnodnevica	Ekvinokso
Saddam Hussein	Saddam Hussein
Osama bin Laden	Usama bin Laden
Španjolski jezik	Hispana lingvo
Friedrich von Hayek	Friedrich August von Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Toljati	Toljatti
Pittsburgh, Pennsylvania	Pittsburgh (Pensilvanio)
