Aphrika	Afriko
São Paulo suyu	San-Paŭlo
Quebec pruwinsya	Kebekio
Wikimedia	Fondaĵo Vikimedio
Jimmy Wales	Jimmy Wales
Alimanya	Germanio
Bilarus	Belorusio
Aliman simi	Germana lingvo
Islandya	Islando
Apuyaya	Dio
Istunya	Estonio
David Cameron	David Cameron
Hawcha	Saturno (planedo)
Chukulati	Ĉokolado
Antanka	Aviadilo
Maqanakuy	Milito
Huk	1 (nombro)
Iskay	2 (nombro)
Kimsa	3 (nombro)
Tawa	4 (nombro)
Pichqa	5 (nombro)
Ch'usaq yupay	Nulo
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Wask'a	Ortangulo
Chiqan chhuka	Orto
Litunya	Latvio
Ukranya	Ukrainio
Chiksuyu	Ĉeĥio
Isluwakya	Slovakio
Isluwinya	Slovenio
Vilnius	Vilno
Mulduwa	Moldava Respubliko
Rumanya	Rumanio
Bulgarya	Bulgario
Roma	Romo
Makidunya	Respubliko Makedonio
Albanya	Albanio
Kalalit Suyu	Gronlando
Hurwatsuyu	Kroatio
Busna-Hirsiquwina	Bosnio kaj Hercegovino
Asarsuyu	Azerbajĝano
Andurra	Andoro
Kipru	Kipro
Kartulsuyu	Kartvelio
Qasaqsuyu	Kazaĥio
Malta	Malto
Munaku	Monako
Yanaurqu	Montenegro
Watikanu llaqta	Vatikano
San Marino	San-Marino
Brussel	Bruselo
Kuwa	Kubo
Bilisi	Belizo
Yatana llumpa	Komputila klavaro
Indunisya	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turku simi	Turka lingvo
Urin Aphrika	Sud-Afriko
Alhirya	Alĝerio
Usbiksuyu	Uzbekujo
Poznań	Poznano
Warszawa	Varsovio
Modena	Modeno
Winu	Vino
Yaku	Akvo
Qiru	Ligno
Ñawikaruy	Televido
Islandya simi	Islanda lingvo
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Chili	Ĉilio
El Greco	El Greco
Jesus	Jesuo Kristo
Elvis Presley	Elvis Presley
Galileo Galilei	Galilejo
Qatuylla	Merkuro (planedo)
Wiñay kawsay	Historio
Ch'aska	Venuso (planedo)
Rimay	Lingvo
Khuyay	Amo
Llaqta saruy	Diktatoreco
Ñuñu warani	Galaksio
Pirwa	Jupitero (planedo)
Michelle Bachelet	Michelle Bachelet
Qullqaquyllur	Lakta vojo
Hatun t'uqyay	Praeksplodo
Uranu (puriq quyllur)	Urano (planedo)
Bretagne	Bretonio
Nicolas Sarkozy	Nicolas Sarkozy
Niptun (puriq quyllur)	Neptuno (planedo)
Quyllur yachay	Astronomio
Singapur	Singapuro
Hamut'ay	Scienco
Plutun (tuna puriq quyllur)	Plutono
Montreal	Montrealo
Qhipa pacha	Estonteco
Qullana Mariya	Maria (patrino de Jesuo)
Liechtenstein	Liĥtenŝtejno
Kurku kallpanchay	Sporto
Cambridge	Kembriĝo (Britio)
Yellowstone mamallaqta parki	Nacia Parko Yellowstone
Adolf Hitler	Adolf Hitler
Huk ñiqin pachantin maqanakuy	Unua mondmilito
Iskay ñiqin pachantin maqanakuy	Dua mondmilito
Köln	Kolonjo
Pacha tupuq	Horloĝo
Skopje	Skopjo
Gdynia	Gdynia
Linux	Linukso
Szczecin	Szczecin
Yupay yachay	Matematiko
U2	U2
Latin simi	Latina lingvo
Bahrayn	Barejno
Arminya	Armenio
Sirbya	Serbio
Killa	Luno
Istanbul	Istanbulo
Awstralya	Aŭstralio
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Pachaykamay	Fiziko
Arhintina	Argentino
Piruw	Peruo
Kawsay yachay	Biologio
Chusun Runakapaq Runallaqta Republika	Nord-Koreio
Kambuya	Kamboĝo
Quran	Korano
Dinusawru	Dinosaŭro
Suwuluhiya	Bestoscienco
Islam	Islamo
Pira	Pirarbo
Ljubljana	Ljubljano
Salvador Allende	Salvador Allende
Butanika	Plantoscienco
Lech Wałęsa	Lech Wałęsa
Qalla	Rado
Thak	Paco
Lyon	Liono
Iwrupa Huñu	Eŭropa Unio
Rhône-Alpes	Rodano-Alpoj
Warmi	Virino
Sofiya	Sofio
Witkhu	Akvedukto
Ñ	Ñ
Don Quijote	Kiĥoto
Harawi	Poezio
Qilla	Maldiligento
Antañiqiq añaw	Komputviruso
Milano	Milano
Yuyay	Memoro
Torino	Torino
Aka	Fekaĵo
Sip'uti	Anuso
Puquy k'allku	Citrono
Émile Zola	Émile Zola
666	666
Tuktu	Floro
Chomolungma	Ĉomolungmo
Kurkumanta yachay	Anatomio
Hatun llaqta	Urbo
Napoléon Bonaparte	Napoleono Bonaparte
Quyllur	Stelo
Inti	Suno
Hanaq pacha	Ĉielo
Louis Pasteur	Louis Pasteur
Achkiy wata	Lumjaro
Uchuy llaqta	Vilaĝo
Victor Hugo	Victor Hugo
Usiyanya	Oceanio
Giuseppe Garibaldi	Giuseppe Garibaldi
Kallpanakuy	Atletiko
Inti Llika	Sunsistemo
Baltiku hatun qucha	Balta Maro
Trieste	Triesto
Kiru	Dento
Yakuchaq	Hidrogeno
Ilyu	Heliumo
Ukhu pacha	Infero
Wikimedia Commons	Vikimedia Komunejo
Angela Merkel	Angela Merkel
Lityu	Litio
Berilyu	Berilio
Ruqyaq	Laŭtparolilo
Liwru	Libro
P'unchaw	Tago
Anti Timur	Orienta Timoro
Tuta	Nokto
Wata	Jaro
Pachakwata	Jarcento
Łódź	Lodzo
Rhein	Rejno
Oslo	Oslo
Bonn	Bonn
Tukuy Santukuna	Ĉiuj Sanktuloj
Katowice	Katowice
Luís de Camões	Luís Vaz de Camões
Chinaku	Gejo
Siris (tuna puriq quyllur)	Cereso
Lisboa	Lisbono
Rzeszów	Rzeszów
Haumea (puriq quyllur)	Haŭmeo
Makemake (tuna puriq quyllur)	Makemako (nanoplanedo)
Eris (tuna puriq quyllur)	Eriso
Lionel Messi	Lionel Messi
Padova	Padovo
Boru	Boro
Nicolaus Copernicus	Koperniko
K'illimsayaq	Karbono
Alessandro Del Piero	Alessandro del Piero
Qullpachaq	Nitrogeno
Bergamo	Bergamo
Muksichaq	Oksigeno
Inter Milano	Inter Milano
Pachahina	Planedo
Kleopatra VII	Kleopatra
Taki kapchiy	Muziko
Venezia	Venecio
Rennes	Rennes
Lille	Lille
Moskwa	Moskvo
Flur	Fluoro
Italya simi	Itala lingvo
Niyun	Neono
Chihuahua suyu	Chihuahua
Sankt Peterburg	Sankt-Peterburgo
Chad	Ĉado
Natriyu	Natrio
Chincha	Nordo
Qunta q'illay	Magnezio
Ch'aqu q'illay	Aluminio
Musuq Silanda	Nov-Zelando
Urin	Sudo
Indya	Barato
Ullayayaq	Silicio
Fransyu	Franciumo
Tuwalu	Tuvalo
Phusphuru	Fosforo
Khillay	Fero
Tunqa	Tongo
Kunti	Okcidento
Alessandro Volta	Alessandro Volta
Salina	Sulfuro
Samwa	Samoo
Anti	Oriento
Salumun wat'akuna	Salomonoj
Wanwatu	Vanuatuo
Molière	Molière
Kluru	Kloro
Delft	Delft
Papwa Ñukini	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Zuid-Holland pruwinsya	Suda Holando
Palaw	Palaŭo
Argun	Argono
Nawru	Nauro
Noord-Holland pruwinsya	Norda Holando
Mikrunisya (mama llaqta)	Federacio de Mikronezio
Kalyu	Kalio
Zeeland pruwinsya	Zelando
Isku q'illay	Kalcio
Flevoland pruwinsya	Flevolando
Titi	Plumbo
Marshall Wat'akuna	Marŝala Insularo
Kiribati	Kiribato
Mungul suyu	Mongolio
Phiyi	Fiĝioj
Iskandyu	Skandio
Titanyu	Titano (elemento)
Winisuyla	Venezuelo
Qhapaq chunkana	Ŝako
Wanadyu	Vanado
Maine suyu	Majno
Krumu	Kromo
Kawallu	Ĉevalo
Amsterdam	Amsterdamo
Ayñi	Armilo
Uywa	Bestoj
Surinam	Surinamo
Manganisu	Mangano
Parawayi	Paragvajo
Wayana	Gujano
Kapchiy	Arto
Ikwadur	Ekvadoro
Renyu	Renio
Kulumbya	Kolombio
Kubaltu	Kobalto
Wolframyu	Volframo
Nikil	Nikelo
Muntipuquy	Frago
Budismu	Budhismo
Groningen	Groningen (urbo)
Puliwya	Bolivio
Osmiyu	Osmio
Groningen pruwinsya	Groningen (provinco)
Anta	Kupro
Trinidad Tubaguwan	Trinidado kaj Tobago
Yura	Plantoj
Tsinku	Zinko
New Hampshire suyu	Nov-Hampŝiro
Santa Lusiya wat'a	Sankta Lucio
Białystok	Bjalistoko
Leonardo da Vinci	Leonardo da Vinci
San Kits Niwiswan	Sankta-Kito kaj Neviso
K'allampa	Fungoj
Shamayka	Jamajko
Grinada	Grenado (lando)
Friesland pruwinsya	Frislando
Massachusetts suyu	Masaĉuseco
Drenthe pruwinsya	Drenthe
Overijssel pruwinsya	Overijssel
Watimala	Gvatemalo
Gelderland	Gelderland
Utrecht pruwinsya	Utrecht (provinco)
Bahamakuna	Bahamoj
Connecticut suyu	Konektikuto
Wallpa	Koko
Hawaii suyu	Havajo
Unduras	Honduro
Duminika	Dominiko
Duminikana	Domingo
Khuchi	Porko
Artiku mama qucha	Arkta Oceano
Ayti (mama llaqta)	Haitio
Salwadur	Salvadoro
Zwolle	Zwolle
Iran	Irano
Iraq	Irako
Alaska suyu	Alasko
Assen	Assen
Kustarika	Kostariko
Israyil	Israelo
Nowy Sącz	Nowy Sącz
Utrecht	Utrecht
Panama	Panamo
Yaman	Jemeno
Lausanne	Laŭzano
Añaw	Viruso (biologio)
Pulaku simi	Pola lingvo
Hurdanya	Jordanio
Nikarawa	Nikaragvo
Florida suyu	Florido
Kirkisuyu	Kirgizio
Arizona suyu	Arizono
Kuwait	Kuvajto
Law suyu	Laoso
Qincha pruwinsya (Beni)	Provinco Cercado (Beniio)
Libanu	Libano
Iténez pruwinsya	Provinco Iténez (Beniio)
Oregon suyu	Oregono
Maldiwakuna	Maldivoj
José Ballivián pruwinsya	Provinco José Ballivián (Beniio)
Awya Yala (Mulanpi)	Ameriko
Utah suyu	Utaho
Waaka	Bovo
Mamuriy pruwinsya	Provinco Mamoré (Beniio)
Malasya	Malajzio
Myanmar	Birmo
Nipal	Nepalo
Marbán pruwinsya	Provinco Marbán (Beniio)
Uman	Omano
Pakistan	Pakistano
Qatar	Kataro
Sawud Arabya	Sauda Arabio
Sri Lanka	Sri-Lanko
Yosif Stalin	Josif Stalin
Sirya	Sirio
Platon	Platono
Galyu	Galiumo
Tayiksuyu	Taĝikio
Chunwa Republika	Respubliko Ĉinio
Germanyu	Germaniumo
Aristotelis	Aristotelo
Thaysuyu	Tajlando
Antakuru	Trajno
Arsiniku	Arseno
Ankichiy	Radiofonio
Turkminsuyu	Turkmenio
Silinyu	Seleno
Iridyu	Iridio
Hukllachasqa Arab Imiratukuna	Unuiĝintaj Arabaj Emirlandoj
Bromu	Bromo
Qullqiya	Plateno
Witnam	Vjetnamio
Charlie Chaplin	Charlie Chaplin
Nowosibirsk	Novosibirsko
Tayhan Republika	Sud-Koreio
Jekaterinburg	Jekaterinburg
Kriptun	Kriptono
Afgansuyu	Afganio
Nizhniy Novgorod	Niĵnij Novgorod
John Ronald Reuel Tolkien	John Ronald Reuel Tolkien
Samara	Samara (urbo)
Rubidyu	Rubidio
Quri	Oro
Omsk	Omsk
Kazan	Kazano
Yachaq	Sciencisto
Banladish	Bangladeŝo
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Malio
Sokratis	Sokrato
Angula	Angolo
Butan	Butano
Bruniy	Brunejo
Tansanya	Tanzanio
Yaku qullqi	Hidrargo
Roald Amundsen	Roald Amundsen
Philipinakuna	Filipinoj
Chawpi Aphrika Ripuwlika	Centr-Afrika Respubliko
Thalyu	Taliumo
Urin qhipa	Suda poluso
Chinchay qhipa	Norda poluso
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Istronsyu	Stroncio
Itriyu	Itrio
Wismutu	Bismuto
Q'illu	Flava
Tugu	Togolando
Donald Tusk	Donald Tusk
Tunisya	Tunizio
John Bardeen	John Bardeen
Sambya	Zambio
Simbabwi	Zimbabvo
Pikkin	Pekino
Urin Sudan	Sud-Sudano
Binin	Benino
Butswana	Bocvano
Burkina Phasu	Burkino
Burundi	Burundo
Kumurakuna	Komoroj
Kungu Ripuwlika	Respubliko Kongo
Obi mayu	Obo
Kungu Runakamaq Ripuwlika	Demokratia Respubliko Kongo
San Antonio (Texas)	San Antonio (Teksaso)
Yiwuti	Ĝibutio
Polonyu	Polonio
Bayern	Bavario
Chawpipacha Khiniya	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Iritriya	Eritreo
Musuq Dilhi	Nov-Delhio
Huwan Pawlu II	Johano Paŭlo la 2-a
Fedor Dostoievski	Fjodor Dostojevskij
Tbilisi	Tbiliso
Pallpa	Bebo
Astatu	Astato
Gabun	Gabono
Mohandas Gandhi	Mohandas Karamchand Gandhi
Siq'isqa rikchasapa willakuy	Bildliteraturo
Gambya	Gambio
Khiniya	Gvineo
Khiniya-Wisaw	Gvineo Bisaŭa
Marphil Chala	Ebur-Bordo
Kamirun	Kameruno
Q'umir Kawu	Kaboverdo
Suthusuyu	Lesoto
Libirya	Liberio
Libya	Libio
Aachen	Aachen
Madagaskar	Madagaskaro
Malawi	Malavio
Stuttgart	Stutgarto
Muritanya	Maŭritanio
Mawrisyu	Maŭricio
Maruku	Maroko
Musambik	Mozambiko
Namiwya	Namibio
Niqir	Niĝero
Niqirya	Niĝerio
Charles Darwin	Charles Darwin
Uganda	Ugando
Rwanda	Ruando
Sirkonyu	Zirkonio
Santu Tumiy Prinsipipas	Sao-Tomeo kaj Principeo
Sinigal	Senegalo
Sichillakuna	Sejŝeloj
Carl von Linné	Karolo Lineo
Liyun Urqu	Siera-Leono
Sumalya	Somalio
Niyobyu	Niobio
Jawaharlal Nehru	Jawaharlal Nehru
Gaius Iulius Caesar	Julio Cezaro
Sudan	Sudano
Swasisuyu	Svazilando
K'uychi	Ĉielarko
Molibdenu	Molibdeno
Teknesyu	Teknecio
Hamburg	Hamburgo
Imayay yamkiy	Metabolo
Unquy hark'ay	Imuna sistemo
Ontario qucha	Ontario (lago)
Rikch'aqyay	Evoluismo
Huñusqa Nasyunkuna	Unuiĝintaj Nacioj
Hananqucha	Supra Lago
Dante Alighieri	Dante Alighieri
Allpa saywachi	Geografio
Sunqu	Koro
Ñutqu	Cerbo
Qara	Haŭto
Llimphi	Koloro
Salerno	Salerno
Sutirimana	Substantivo
Praha	Prago
Ruthenyu	Rutenio
Rodyu	Rodio
Anqas	Blua
Paladyu	Paladio
Qullqi q'illay	Arĝento
Kadmiyu	Kadmio
Limburg (Urasuyu) pruwinsya	Limburgo (Nederlando)
Indyu	Indio
Chayanta	Stano
Uranyu	Uranio
Antimunyu	Antimono
Teluryu	Teluro
Noord-Brabant pruwinsya	Norda Brabanto
Plutonyu	Plutonio
Yudu	Jodo
Neptunyu	Neptunio
Senun	Ksenono
Anime	Animeo
Sesyu	Cezio
Protaktinyu	Protaktinio
Pinchikilla chaqna	Elektra ŝargo
Baryu	Bario
Thoryu	Torio
Hafniyu	Hafnio
Aktinyu	Aktinio
Tantalyu	Tantalo
Bill Clinton	William J. Clinton
Radyu q'illay	Radiumo
Radun	Radono
Lorraine	Loreno
Alsace	Alzaco
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Auvergne	Aŭvernjo
Busto Arsizio	Busto Arsizio
Mumbai	Mumbajo
Andhra Pradesh	Andra-Pradeŝo
Michigan suyu	Miĉigano
Michigan qucha	Miĉigano (lago)
Bourgogne	Burgonjo
Aquitaine	Akvitanio
Burinkin	Porto-Riko
Limousin	Limoĝio
Schleswig-Holstein	Ŝlesvigo-Holstinio
Mecklenburg-Vorpommern	Meklenburgo-Antaŭpomerio
Niedersachsen	Malsupra Saksio
Nordrhein-Westfalen	Nordrejn-Vestfalio
Hessen	Hesio
Rheinland-Pfalz	Rejnlando-Palatinato
Saarland	Sarlando
Sachsen	Saksio
John Lennon	John Lennon
Illinois suyu	Ilinojso
Thüringen	Turingio
Sachsen-Anhalt	Saksio-Anhalto
North Dakota suyu	Norda Dakoto
Brandenburg	Brandenburgio
Bremen suyu	Libera hansa urbo Bremeno
Lombardia	Lombardujo
South Dakota suyu	Suda Dakoto
Montana suyu	Montano
Wyoming suyu	Vajomingo
Piemonte	Piemonto
Yerushalayim	Jerusalemo
Idaho suyu	Idaho
Washington suyu	Vaŝingtonio
Rutherfordyu	Ruterfordio
Nevada suyu	Nevado
Dubniyu	Dubnio
Seaborgyu	Seborgio
Trentino Urin Tirul	Trentino-Alto Adige
Indiku mama qucha	Hinda Oceano
Luigi Einaudi	Luigi Einaudi
Veneto	Veneto
Kusuwu	Kosovo
Bohriyu	Borio
Hasyu	Hasio
Kofi Annan	Kofi Annan
Liguria	Ligurio
Butros Butros-Ghali	Boutros Boutros-Ghali
Meitneryu	Mejtnerio
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado suyu	Koloradio
Emilia-Romagna	Emilio-Romanjo
U Thant	U Thant
Darmstadtiyu	Darmŝtatio
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Roentgenyu	Rentgenio
Toscana	Toskanio
Kopernisyu	Kopernicio
Katiguriya:Qhapaq katiguriya	Kategorio:Ĉio
Abruzzo	Abruco
Alpikuna	Alpoj
Grenoble	Grenoblo
Dortmund	Dortmund
Chicago	Ĉikago
The Beatles	The Beatles
Ununtriyu	Ununtrio
Ununkwadyu	Flerovio
Ununpentyu	Ununpentio
Ununheksiyu	Livermorumo
Ununseptiyu	Ununseptio
Ununoktiyu	Ununoktio
Como	Komo (Italio)
Maastricht	Maastricht
Arnhem	Arnhem
Chiri mit'a	Vintro
Ch'iraw mit'a	Printempo
Ruphay mit'a	Somero
Puquy mit'a	Aŭtuno
Saddam Hussein	Saddam Hussein
Kastilla simi	Hispana lingvo
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Taki aranway	Opero
Philadelphia (Pennsylvania)	Filadelfio (Pensilvanio)
Kolkata	Kolkato
Chennai	Ĉenajo
Dilhi	Delhio
Bangalore	Bengaluro
Kunti Banla	Okcident-Bengalo
Awaq uru	Araneuloj
Pakcha	Araneedoj
Sillwichaki	Artropodoj
Ruru	Frukto
K'usillu	Simio
Rantina qullqi	Mono
Virginia suyu	Virginio (ŝtato)
West Virginia suyu	Okcidenta Virginio
Huron qucha	Lago Hurono
New York suyu	Nov-Jorkio
Seryu	Cerio
Praseodimyu	Prazeodimo
Rhode Island suyu	Rod-Insulo
Neodimyu	Neodimo
Palama	Insekto
Maryland suyu	Marilando
Delaware suyu	Delavaro
Lenin	Lenin
Iwrupyu	Eŭropio
Ohio suyu	Ohio
Pennsylvania suyu	Pensilvanio
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Augustus	Aŭgusto Cezaro
Windows	Microsoft Windows
New Jersey suyu	Nov-Ĵerzejo
Phinis simi	Finna lingvo
Indiana suyu	Indianio
Antawa	Aŭtomobilo
Juventus FC	Juventus Football Club
Roger Federer	Roger Federer
Georgia suyu	Georgio
Zagreb	Zagrebo
Texas suyu	Teksaso
Tamil Nadu	Tamilnado
Genova	Ĝenovo
North Carolina suyu	Norda Karolino
South Carolina suyu	Suda Karolino
Sicilia	Sicilio
Manila	Manilo
Sardegna	Sardio
Bordeaux	Bordeaux
Corazón Aquino	Corazón Aquino
Buenos Aires	Bonaero
Mishiku llaqta	Meksik-urbo
Tokyo	Tokio
Chuqiyapu	La-Pazo
Barcelona	Barcelono
Chirimaway	Ananaso
Mississippi suyu	Misisipio
Fernão de Magalhães	Fernão de Magalhães
Mississippi mayu	Misisipo (rivero)
Mizoram	Mizoramo
Pataqunya	Patagonio
Tennessee suyu	Tenesio
Richard Wagner	Richard Wagner
Astana	Astano
Musuq Mishiku suyu	Nov-Meksiko
Athina	Ateno
Minnesota suyu	Minesoto
Bagdad	Bagdado
Karakas	Karakaso
Wisconsin suyu	Viskonsino
Marcus Tullius Cicero	Cicerono
AC Milan	A.C. Milan
Iowa suyu	Iovao
Nebraska suyu	Nebrasko
Watimala llaqta	Gvatemalurbo
Kansas suyu	Kansaso
La Habana	Havano
Hindi simi	Hindia lingvo
Marathi simi	Marata lingvo
Siyaru	Cigaredo
Missouri suyu	Misurio
Louisiana suyu	Luiziano
Luigi Galvani	Luigi Galvani
Kentucky suyu	Kentukio
Arkansas suyu	Arkansaso
Neil Armstrong	Neil Armstrong
Urdu simi	Urduo
Oklahoma suyu	Oklahomo
Danuwyu mayu	Danubo
Düsseldorf	Duseldorfo
Wiesbaden	Wiesbaden
München	Munkeno
Makiyasiy	Flugpilkado
Innsbruck	Innsbruck
Wien	Vieno
København	Kopenhago
Stockholm	Stokholmo
Helsinki	Helsinko
Baile Átha Cliath	Dublino
Reykjavík	Rejkjaviko
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Talino
Riga	Rigo
Louis Armstrong	Louis Armstrong
Bratislava	Bratislavo
Budapest	Budapeŝto
Gdańsk	Gdańsk
Frankfurt am Main	Frankfurto ĉe Majno
Wrocław	Vroclavo
Lanthanu	Lantano
Prometyu	Prometio
Samaryu	Samario (kemio)
Kaliningrad	Kaliningrado
Gadolinyu	Gadolinio
Zinedine Zidane	Zinedine Zidane
Terbyu	Terbio
Luksimbur (llaqta)	Luksemburgo
Disprosyu	Disprozio
Vaduz	Vaduzo
Dyuspa Simin Qillqa	Biblio
Holmyu	Holmio
San Marino (uma llaqta)	San-Marino (urbo)
Erbyu	Erbio
Phnom Penh	Pnom-Peno
Thulyu	Tulio
Ho Chi Minh llaqta	Ho-Ĉi-Min-urbo
Iterbyu	Iterbio
Lutesyu	Lutecio
Ha Nui	Hanojo
Chiqap Jesuspa Inlisyan	Vera Eklezio de Jesuo
Inlish simi	Angla lingvo
Bangkok	Bankoko
Andorra la Vella	Andoro Malnova
T'aypik	Tajpeo
Amerisyu	Americio
Kuriyu	Kuriumo
Dong Hoi	Dong Hoi
Concepción (Chile)	Koncepciono
Berkelyu	Berkelio
Kalifornyu	Kaliforniumo
Bologna	Bolonjo
Einsteinyu	Ejnŝtejnio
Fermyu	Fermio
Cagliari	Kaljaro
Mendelewyu	Mendelevio
Kiyiw	Kievo
Nobelyu	Nobelio
Catania	Katanio
Ontario pruwinsya	Ontario
Lawrensyu	Laŭrencio (elemento)
Caserta	Kaserto
Franck Ribéry	Franck Ribéry
Ottawa	Otavo
Éric Abidal	Éric Abidal
Manitoba pruwinsya	Manitobo
Alberta pruwinsya	Alberto
Nova Scotia pruwinsya	Nov-Skotio
Yerevan	Erevano
Końskowola	Końskowola
Dar es Salaam	Daresalamo
New Brunswick pruwinsya	Nov-Brunsviko
British Columbia pruwinsya	Brita Kolumbio
Prince Edward Island pruwinsya	Insulo de Princo Eduardo
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan pruwinsya	Saskaĉevano
2012	2012
2011	2011
2010	2010
2009	2009
Chimlasay	Karbona dioksido
2013	2013
2014	2014
2015	2015
Newfoundland wan Labrador pruwinsya	Novlando kaj Labradoro
2008	2008
2004	2004
2005	2005
2006	2006
Cesare Pavese	Cesare Pavese
2007	2007
Verona	Verono
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florenco
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
Juan Manuel Fangio	Juan Manuel Fangio
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Saint John (Newfoundland wan Labrador)	St. John's
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Mikhuna	Manĝaĵo
Edmonton	Edmontono
Mach'aqway	Serpento
Jacques Chirac	Jacques Chirac
Arika Parinaqutapas suyu	Arikio kaj Parinakotio
Tarapaka suyu	Tarapakio
Antofagasta suyu	Antofagasta (regiono)
Atakama suyu	Regiono Atakamo
Kukimpu suyu	Kokimbio
Regina (Saskatchewan)	Regina
Valéry Giscard d'Estaing	Valéry Giscard d’Estaing
Charlottetown	Ĉarlotaŭno
Santiago suyu	Metropola Regiono Santiago
Victoria (British Columbia)	Viktorio
O'Higgins suyu	Libertador General Bernardo O'Higgins
Winnipeg	Vinipego
Fredericton	Frederiktono
