Yn Affrick	Afriko
Yn Clovack	Slovakio
Yn Clovean	Slovenio
Vilnius	Vilno
Moldova	Moldava Respubliko
Yn Romaan	Rumanio
Yn Vulgeyr	Bulgario
Yn Raue	Romo
Pobblaght ny Massadoan	Respubliko Makedonio
Yn Albaan	Albanio
Greenlynn	Gronlando
Yn Chroit	Kroatio
Bosnia as Herzegovina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Yn Asserbajaan	Azerbajĝano
Andorra	Andoro
Yn Cheeprey	Kipro
Yn Çhorshey	Kartvelio
Yn Walloon	Valonio
Yn Chassaghstaan	Kazaĥio
Yn Valta	Malto
Yn Flandyryn	Flandrio
Monaco	Monako
Montenegro	Montenegro
Ard-valley yn Phaab	Vatikano
San Marino	San-Marino
Yn Vrussyl	Brusela Ĉefurba Regiono
Yn Choobey	Kubo
Yn Veleesh	Belizo
Barbados	Barbado
Yn Indoneesh	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turkish	Turka lingvo
Yn Affrick Yiass	Sud-Afriko
Yn Algear	Alĝerio
Yn Oosbeckistaan	Uzbekujo
Poznań	Poznano
Warszawa	Varsovio
Feeyn	Vino
Ushtey	Akvo
Coinnagh	Konjako
Çhellveeish	Televido
Eeslynnish	Islanda lingvo
Yn Çhillee	Ĉilio
Yeesey Chreest	Jesuo Kristo
Elvis Presley	Elvis Presley
Curain	Merkuro (planedo)
Shennaghys	Historio
Badlag	Venuso (planedo)
Çhengey (çhaghteraght)	Lingvo
Co-rollageys	Galaksio
Iupiter	Jupitero (planedo)
Raad Mooar Ree Gorree	Lakta vojo
Uraanus	Urano (planedo)
Yn Vritaan (çheer)	Bretonio
Nicolas Sarkozy	Nicolas Sarkozy
Neptioon	Neptuno (planedo)
Rollageydys	Astronomio
Singapore	Singapuro
Oaylleeaght	Scienco
Pluto	Plutono
Cooid vog heyr	Libera programaro
Kemper	Quimper
Liechtenstein	Liĥtenŝtejno
Spoyrt	Sporto
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Yn Chied Chaggey Dowanagh	Unua mondmilito
Yn Nah Chaggey Dowanagh	Dua mondmilito
Koloin	Kolonjo
Vodka	Vodko
Clag (traa)	Horloĝo
Yanka Kupala	Janka Kupala
Skopje	Skopjo
Gdynia	Gdynia
Szczecin	Szczecin
Maddaght	Matematiko
Ladjyn	Latina lingvo
Bahrain	Barejno
Yn Armeain	Armenio
Yn Serb	Serbio
Yn Eayst	Luno
İstanbul	Istanbulo
Yn Austrail	Aŭstralio
Fishig	Fiziko
Yn Argenteen	Argentino
Yn Pheroo	Peruo
Bea-oaylleeaght	Biologio
Yn Chorea Twoaie	Nord-Koreio
Yn Chamboyd	Kamboĝo
Cryss Kuiper	Kujper-zono
Jeeneysoar	Dinosaŭro
Baagh-oaylleeaght	Bestoscienco
Yn Islam	Islamo
Peear	Pirarbo
Ljubljana	Ljubljano
Lus-oaylleeaght	Plantoscienco
Lech Wałęsa	Lech Wałęsa
Yn Unnaneys Oarpagh	Eŭropa Unio
Rhône-Alpes	Rodano-Alpoj
Sofia	Sofio
Feeleeaght	Poezio
Limon	Citrono
Bananey	Banano
Caayr	Urbo
Fyshoaylleeaght	Fiziologio
Rollage	Stelo
Yn Ghrian	Suno
PSR B1257+12	PSR B1257+12
Balley beg	Vilaĝo
Corys ny Greiney	Sunsistemo
Yn Vooir Valtagh	Balta Maro
Wisła	Vistulo
Hiddragien	Hidrogeno
Hailium	Heliumo
Angela Merkel	Angela Merkel
Litçhey	Litio
Beryllium	Berilio
Lioar	Libro
Laa	Tago
Yn Teemor Hiar	Orienta Timoro
Blein	Jaro
Łódź	Lodzo
Oslo	Oslo
Bonn	Bonn
Katowice	Katowice
Towl doo	Nigra truo
Keres (planaid crivassanagh)	Cereso
Lisboa	Lisbono
Rzeszów	Rzeszów
Makemake (planaid crivassanagh)	Makemako (nanoplanedo)
Eris (planaid crivassanagh)	Eriso
Boron	Boro
Carboan	Karbono
Neetragien	Nitrogeno
Ocsygien	Oksigeno
Planaid	Planedo
Kiaull	Muziko
Neva (awin)	Neva
Tempreilyssane	Termometro
Roazhon	Rennes
Lille	Lille
Moscow	Moskvo
Fluoreen	Fluoro
Iddaalish	Itala lingvo
Neoin	Neono
Caayr Pheddyr	Sankt-Peterburgo
Shad	Ĉado
Sodjum	Natrio
Magnaishum	Magnezio
Ollymin	Aluminio
Yn Teelynn Noa	Nov-Zelando
Yn Injey	Barato
Shillagon	Silicio
Frankium	Franciumo
Tuvalu	Tuvalo
Fosfaar	Fosforo
Yiarn	Fero
Yn Tongey	Tongo
Sulfur	Sulfuro
Samoa	Samoo
Ny h-Ellanyn Holomon	Salomonoj
Vanuatu	Vanuatuo
Cloreen	Kloro
Papooey Guinea Noa	Papuo-Nov-Gvineo
Yn Ollan Yiass	Suda Holando
Palau	Palaŭo
Argon	Argono
Naaroo	Nauro
Yn Ollan Hwoaie	Norda Holando
Steatyn Conastit y Vynneeys	Federacio de Mikronezio
Potashum	Kalio
Yn Teelynn, y Çheer Injil	Zelando
Kelkium	Kalcio
Flevoland	Flevolando
Leoaie	Plumbo
Ny h-Ellanyn Varshyl	Marŝala Insularo
Yn Chiribati	Kiribato
Yn Vongoil	Mongolio
Fiji	Fiĝioj
Scandjum	Skandio
Çhitaanium	Titano (elemento)
Yn Veneswaaley	Venezuelo
Vanaadjum	Vanado
Maine	Majno
Cromium	Kromo
Cabbyl	Ĉevalo
Amsterdam	Amsterdamo
Baagh	Bestoj
Yn Toorinam	Surinamo
Manganaish	Mangano
Yn Pharaguay	Paragvajo
Geeaaney	Gujano
Ellyn	Arto
Ecuador	Ekvadoro
Rainium	Renio
Yn Cholombey	Kolombio
Cobalt	Kobalto
Tungsten	Volframo
Nickyl	Nikelo
Groningen (caayr)	Groningen (urbo)
Yn Volivia	Bolivio
Osmium	Osmio
Groningen (queiggey)	Groningen (provinco)
Cobbyr	Kupro
Trinaid as Tobago	Trinidado kaj Tobago
Lus	Plantoj
Noo Winsen as ny Grenadeenyn	Sankta Vincento kaj Grenadinoj
Shinc	Zinko
New Hampshire	Nov-Hampŝiro
Noo Lucia	Sankta Lucio
Białystok	Bjalistoko
Leonardo da Vinci	Leonardo da Vinci
Noo Kitts as Nevis	Sankta-Kito kaj Neviso
Fungys	Fungoj
Yn Yamaicey	Jamajko
Grenada	Grenado (lando)
Yn Reeshlann (queiggey)	Frislando
Massachusetts	Masaĉuseco
Drenthe	Drenthe
Overijssel	Overijssel
Yn Ghuatemaley	Gvatemalo
Gelderland	Gelderland
Utrecht (queiggey)	Utrecht (provinco)
Ny Bahamaghyn	Bahamoj
Connecticut	Konektikuto
Antigua as Barbuda	Antigvo-Barbudo
Hawaii	Havajo
Ny Hondooraghyn	Honduro
Dominica	Dominiko
Jersee	Ĵersejo
Yn Phobblaght Ghominicagh	Domingo
Muc	Porko
Yn Vooir Arctagh	Arkta Oceano
Haiti	Haitio
Yn Salvador	Salvadoro
Yn Eeraan	Irano
Yn Earack	Irako
Alaska	Alasko
Yn Coose Berçhagh	Kostariko
Israel	Israelo
Utrecht (caayr)	Utrecht
Yn Phanamaa	Panamo
Yn Yeaman	Jemeno
Polynnish	Pola lingvo
Yn Jordaan	Jordanio
Yn Nickeraag	Nikaragvo
Florida	Florido
Yn Chyrgistaan	Kirgizio
Arizona	Arizono
Yn Choowait	Kuvajto
Yn Laos	Laoso
Yn Livaan	Libano
Oregon	Oregono
Ny Maldeevaghyn	Maldivoj
Utah	Utaho
Yn Valaysia	Malajzio
Myanmar	Birmo
Nepaal	Nepalo
Yn Omaan	Omano
Yn Phakistaan	Pakistano
Yn Chatar	Kataro
Yn Araab Saudi	Sauda Arabio
Sri Lanka	Sri-Lanko
Yn Teer	Sirio
Gallium	Galiumo
Yn Tajikistaan	Taĝikio
Pobblaght ny Sheen	Respubliko Ĉinio
Germaanium	Germaniumo
Yn Çheer Thai	Tajlando
Traen	Trajno
Arsnick	Arseno
Radio	Radiofonio
Yn Turkmenistaan	Turkmenio
Shellainium	Seleno
Iriddjum	Iridio
Ny h-Emmiraidyn Arabagh Unnaneysit	Unuiĝintaj Arabaj Emirlandoj
Bromeen	Bromo
Platinum	Plateno
Yn Vietnam	Vjetnamio
Novosibirsk	Novosibirsko
Yn Chorea Yiass	Sud-Koreio
Krypton	Kriptono
Yn Afghanistaan	Afganio
J. R. R. Tolkien	John Ronald Reuel Tolkien
Rubiddjum	Rubidio
Airh	Oro
Yn Vangladesh	Bangladeŝo
Rostov-na-Donu	Rostov-na-Donu
Malee	Malio
Angoley	Angolo
Yn Vutaan	Butano
Brunei	Brunejo
Tanzania	Tanzanio
Mercur	Hidrargo
Ny h-Ellanyn Philippeenagh	Filipinoj
Pobblaght yn Affrick Veanagh	Centr-Afrika Respubliko
Thallium	Taliumo
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Stroinçhum	Stroncio
Yttrium	Itrio
Bismut	Bismuto
Yn Togo	Togolando
Yn Tooneesh	Tunizio
Yn Tambia	Zambio
Yn Çhimbabwe	Zimbabvo
Beijing	Pekino
Yn Toodaan Yiass	Sud-Sudano
Benin	Benino
Yn Votswaan	Bocvano
Burkina Faso	Burkino
Burundee	Burundo
Ny h-Ellanyn Chomoro	Komoroj
Pobblaght ny Congo	Respubliko Kongo
Pobblaght Gheynlagh ny Congo	Demokratia Respubliko Kongo
Djibouti	Ĝibutio
Polonium	Polonio
Yn Vaveyr	Bavario
Guinea Chryss ny Cruinney	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Eritrea	Eritreo
Delhi Noa	Nov-Delhio
Tbilisi	Tbiliso
Astatçheen	Astato
Gabon	Gabono
Caslys-skeeal	Bildliteraturo
Yn Ghambia	Gambio
Yn Ghuinea	Gvineo
Yn Ghuinea-Bissau	Gvineo Bisaŭa
Yn Clyst Iuaagagh	Ebur-Bordo
Cameroon	Kameruno
Yn Rheynn Ghlass	Kaboverdo
Lesoto	Lesoto
Yn Laibeer	Liberio
Yn Leeb	Libio
Madagascar	Madagaskaro
Malawi	Malavio
Stuttgart	Stutgarto
Yn Varitaan	Maŭritanio
Ellan Wirrish	Maŭricio
Yn Varoc	Maroko
Yn Vosambeeck	Mozambiko
Yn Nameeb	Namibio
Yn Neegeyr	Niĝero
Yn Naigeer	Niĝerio
Charles Darwin	Charles Darwin
Ooganda	Ugando
Rooandey	Ruando
Shirconium	Zirkonio
São Tomé as Príncipe	Sao-Tomeo kaj Principeo
Yn Tenegaal	Senegalo
Ny h-Ellanyn Heshell	Sejŝeloj
Carolus Linnaeus	Karolo Lineo
Sierra Leone	Siera-Leono
Yn Tomaal	Somalio
Neeobium	Niobio
Jool Kaesar	Julio Cezaro
Yn Toodaan	Sudano
Yn Çheer Swassee	Svazilando
Goal twoaie	Ĉielarko
Molybdenum	Molibdeno
Çheghnaiçhum	Teknecio
Hamburg	Hamburgo
Ny h-Ashoonyn Unnaneysit	Unuiĝintaj Nacioj
Dante Alighieri	Dante Alighieri
Çheer-oaylleeaght	Geografio
Ennymockle	Substantivo
Praag	Prago
Rutainium	Rutenio
Roydjum	Rodio
Pallaadjum	Paladio
Argid (bunstoo)	Arĝento
Cadmium	Kadmio
Limburg, y Çheer Injil	Limburgo (Nederlando)
Indjum	Indio
Stainney	Stano
Uraanium	Uranio
Antimoan	Antimono
Çhellurium	Teluro
Brabant Hwoaie	Norda Brabanto
Plutonium	Plutonio
Eeadeen	Jodo
Nepçhunium	Neptunio
Xenon	Ksenono
Kaishum	Cezio
Protaghtinnium	Protaktinio
Baarium	Bario
Thorium	Torio
Hafnium	Hafnio
Aghtinnium	Aktinio
Tantalum	Tantalo
Bill Clinton	William J. Clinton
Raadjum	Radiumo
Raadon	Radono
Auvergne (ard)	Aŭvernjo
Michigan	Miĉigano
Aquitaine	Akvitanio
Yn Phurt Verçhagh	Porto-Riko
Schleswig-Holstein	Ŝlesvigo-Holstinio
Mecklenburg-Vorpommern	Meklenburgo-Antaŭpomerio
Niedersachsen	Malsupra Saksio
Yn Rhine Hwoaie-Westfalen	Nordrejn-Vestfalio
Hessen	Hesio
Çheer ny Rhiney as y Phalateenaght	Rejnlando-Palatinato
Saarland	Sarlando
Sachsen	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Thüringen	Turingio
Sachsen-Anhalt	Saksio-Anhalto
Dakota Hwoaie	Norda Dakoto
Brandenburg	Brandenburgio
Bremen (steat)	Libera hansa urbo Bremeno
Dakota Yiass	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Jerusalem	Jerusalemo
Idaho	Idaho
Washington	Vaŝingtonio
Rutherfordium	Ruterfordio
Nevada	Nevado
Dubnium	Dubnio
Seeborgium	Seborgio
Yn Keayn Injinagh	Hinda Oceano
Kosovo	Kosovo
Yn Vooir Charibagh	Kariba Maro
Bohrium	Borio
Hassium	Hasio
Meitnerium	Mejtnerio
Colorado	Koloradio
Darmstadtium	Darmŝtatio
Frédéric Chopin	Frédéric Chopin
Roentgenium	Rentgenio
Copernicium	Kopernicio
Chicago	Ĉikago
The Beatles	The Beatles
Oonoontrium	Ununtrio
Flerovium	Flerovio
Oonoonpençhum	Ununpentio
Livermorium	Livermorumo
Oonoonsepçhum	Ununseptio
Oonoonoctium	Ununoktio
Geurey	Vintro
Arragh	Printempo
Sourey	Somero
Fouyr (imbagh)	Aŭtuno
Spaainish	Hispana lingvo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Kiaulldramey	Opero
Apag	Simio
Yn Virjeeney	Virginio (ŝtato)
Yn Virjeeney Heear	Okcidenta Virginio
York Noa (steat)	Nov-Jorkio
Kerrium	Cerio
Prashodymmium	Prazeodimo
Ellan Rhode	Rod-Insulo
Niodymium	Neodimo
Insecta	Insekto
Maryland	Marilando
Delaware	Delavaro
Oarpium	Eŭropio
Ohio	Ohio
Pennsylvania	Pensilvanio
Uetersen	Uetersen
New Jersey	Nov-Ĵerzejo
Gibraaltar	Ĝibraltaro
Finnlynnish	Finna lingvo
Indiana	Indianio
Gleashtan	Aŭtomobilo
Roger Federer	Roger Federer
Yn Çhorshey (steat)	Georgio
Zagreb	Zagrebo
Texas	Teksaso
Carolina Hwoaie	Norda Karolino
Carolina Yiass	Suda Karolino
Yn Tardeen	Sardio
Buenos Aires	Bonaero
Annane	Ananaso
Mississippi	Misisipio
Yn Phatagoan	Patagonio
Tennessee	Tenesio
Richard Wagner	Richard Wagner
Abidjan	Abiĝano
Astana	Astano
New Mexico	Nov-Meksiko
Yn Atheen	Ateno
Minnesota	Minesoto
Wisconsin	Viskonsino
Iowa	Iovao
Nebraska	Nebrasko
Kansas	Kansaso
Hindish	Hindia lingvo
Tudjeen	Cigaredo
Missouri	Misurio
Louisiana	Luiziano
Kentucky	Kentukio
Arkansas	Arkansaso
Oklahoma	Oklahomo
Mooir Hostyn	Norda Maro
Düsseldorf	Duseldorfo
Wiesbaden	Wiesbaden
München	Munkeno
Veen	Vieno
København	Kopenhago
Queiggey Kaliningrad	Kaliningrada provinco
Stockholm	Stokholmo
Helsinki	Helsinko
Divlyn	Dublino
Reykjavík	Rejkjaviko
Tallinn	Talino
Rīga	Rigo
Bratislava	Bratislavo
Budapest	Budapeŝto
Gdańsk	Gdańsk
Frankfurt	Frankfurto ĉe Majno
Wrocław	Vroclavo
Lantanum	Lantano
Promaiçhum	Prometio
Unnid rollageagh	Astronomia unuo
Samaarium	Samario (kemio)
Gadolinnium	Gadolinio
Çherbium	Terbio
Lucsemburg (caayr)	Luksemburgo
Dysproshum	Disprozio
Vaduz	Vaduzo
Yn Vible	Biblio
Holmium	Holmio
San Marino (caayr)	San-Marino (urbo)
Erbium	Erbio
Thulium	Tulio
Caayr Ho Chi Minh	Ho-Ĉi-Min-urbo
Ytterbium	Iterbio
Lootaiçhum	Lutecio
Agglish Yeesey Firrinagh	Vera Eklezio de Jesuo
Baarle	Angla lingvo
Andorra la Vella	Andoro Malnova
Americium	Americio
Curium	Kuriumo
Dong Hoi	Dong Hoi
Concepción, y Çhillee	Koncepciono
Berkelium	Berkelio
Californium	Kaliforniumo
Einsteinium	Ejnŝtejnio
Fermium	Fermio
Mendelevium	Mendelevio
Kyiv	Kievo
Nobelium	Nobelio
Ontario	Ontario
Lawrencium	Laŭrencio (elemento)
Manitoba	Manitobo
Alberta	Alberto
Nalbin Noa	Nov-Skotio
Yerevan	Erevano
Końskowola	Końskowola
New Brunswick	Nov-Brunsviko
Yn Cholombey Ghoaldagh	Brita Kolumbio
Ellan y Phrinse Edard	Insulo de Princo Eduardo
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskaĉevano
2012	2012
2011	2011
2010	2010
2009	2009
Daa-ocseed charboan	Karbona dioksido
2013	2013
2014	2014
Thalloo yn Eeast as Labrador	Novlando kaj Labradoro
2008	2008
Thallooyn yn Eear Hwoaie	Nordokcidentaj Teritorioj
Yukon	Jukonio
2004	2004
2005	2005
2006	2006
Nunavut	Nunavuto
2007	2007
Monocseed charboan	Karbona monooksido
Iqaluit	Ikaluito
1900	1900
1901	1901
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Nurenbergo
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Bielefeld	Bielefeld
1 Jerrey Geuree	1-a de januaro
2 Jerrey Geuree	2-a de januaro
1920	1920
3 Jerrey Geuree	3-a de januaro
1919	1919
1921	1921
1922	1922
4 Jerrey Geuree	4-a de januaro
1923	1923
1924	1924
Pobblaght Hoveidjagh Chonastagh Hoshiallagh ny Roosh	Rusia Soveta Federacia Socialisma Respubliko
Georges Pompidou	Georges Pompidou
Planaid crivassanagh	Nanoplanedo
5 Jerrey Geuree	5-a de januaro
6 Jerrey Geuree	6-a de januaro
7 Jerrey Geuree	7-a de januaro
8 Jerrey Geuree	8-a de januaro
9 Jerrey Geuree	9-a de januaro
10 Jerrey Geuree	10-a de januaro
11 Jerrey Geuree	11-a de januaro
12 Jerrey Geuree	12-a de januaro
13 Jerrey Geuree	13-a de januaro
Birmingham	Birmingham
14 Jerrey Geuree	14-a de januaro
15 Jerrey Geuree	15-a de januaro
16 Jerrey Geuree	16-a de januaro
Tom Hanks	Tom Hanks
17 Jerrey Geuree	17-a de januaro
18 Jerrey Geuree	18-a de januaro
19 Jerrey Geuree	19-a de januaro
20 Jerrey Geuree	20-a de januaro
21 Jerrey Geuree	21-a de januaro
22 Jerrey Geuree	22-a de januaro
23 Jerrey Geuree	23-a de januaro
24 Jerrey Geuree	24-a de januaro
25 Jerrey Geuree	25-a de januaro
Minsk	Minsko
26 Jerrey Geuree	26-a de januaro
27 Jerrey Geuree	27-a de januaro
28 Jerrey Geuree	28-a de januaro
29 Jerrey Geuree	29-a de januaro
30 Jerrey Geuree	30-a de januaro
31 Jerrey Geuree	31-a de januaro
2 Mee ny Nollick	2-a de decembro
1 Mee ny Nollick	1-a de decembro
3 Mee ny Nollick	3-a de decembro
7 Mee ny Nollick	7-a de decembro
5 Mee ny Nollick	5-a de decembro
8 Mee ny Nollick	8-a de decembro
10 Mee ny Nollick	10-a de decembro
6 Mee ny Nollick	6-a de decembro
9 Mee ny Nollick	9-a de decembro
4 Mee ny Nollick	4-a de decembro
1 Toshiaght Arree	1-a de februaro
2 Toshiaght Arree	2-a de februaro
Cloreed sodjum	Natria klorido
3 Toshiaght Arree	3-a de februaro
Kurów	Kurów
4 Toshiaght Arree	4-a de februaro
5 Toshiaght Arree	5-a de februaro
6 Toshiaght Arree	6-a de februaro
7 Toshiaght Arree	7-a de februaro
8 Toshiaght Arree	8-a de februaro
9 Toshiaght Arree	9-a de februaro
10 Toshiaght Arree	10-a de februaro
Kemmig	Kemio
14 Toshiaght Arree	14-a de februaro
13 Toshiaght Arree	13-a de februaro
15 Toshiaght Arree	15-a de februaro
11 Toshiaght Arree	11-a de februaro
12 Toshiaght Arree	12-a de februaro
19 Toshiaght Arree	19-a de februaro
17 Toshiaght Arree	17-a de februaro
16 Toshiaght Arree	16-a de februaro
18 Toshiaght Arree	18-a de februaro
20 Toshiaght Arree	20-a de februaro
21 Toshiaght Arree	21-a de februaro
22 Toshiaght Arree	22-a de februaro
23 Toshiaght Arree	23-a de februaro
24 Toshiaght Arree	24-a de februaro
25 Toshiaght Arree	25-a de februaro
26 Toshiaght Arree	26-a de februaro
27 Toshiaght Arree	27-a de februaro
28 Toshiaght Arree	28-a de februaro
11 Mee ny Nollick	11-a de decembro
29 Toshiaght Arree	29-a de februaro
12 Mee ny Nollick	12-a de decembro
13 Mee ny Nollick	13-a de decembro
14 Mee ny Nollick	14-a de decembro
15 Mee ny Nollick	15-a de decembro
2 Mayrnt	2-a de marto
3 Mayrnt	3-a de marto
5 Mayrnt	5-a de marto
1 Mayrnt	1-a de marto
7 Mayrnt	7-a de marto
8 Mayrnt	8-a de marto
4 Mayrnt	4-a de marto
10 Mayrnt	10-a de marto
11 Mayrnt	11-a de marto
6 Mayrnt	6-a de marto
13 Mayrnt	13-a de marto
9 Mayrnt	9-a de marto
12 Mayrnt	12-a de marto
15 Mayrnt	15-a de marto
14 Mayrnt	14-a de marto
16 Mee ny Nollick	16-a de decembro
17 Mee ny Nollick	17-a de decembro
16 Mayrnt	16-a de marto
17 Mayrnt	17-a de marto
18 Mayrnt	18-a de marto
19 Mayrnt	19-a de marto
1989	1989
1988	1988
20 Mayrnt	20-a de marto
1987	1987
1986	1986
1985	1985
1984	1984
21 Mayrnt	21-a de marto
1983	1983
22 Mayrnt	22-a de marto
1982	1982
1981	1981
18 Mee ny Nollick	18-a de decembro
1980	1980
23 Mayrnt	23-a de marto
19 Mee ny Nollick	19-a de decembro
24 Mayrnt	24-a de marto
25 Mayrnt	25-a de marto
20 Mee ny Nollick	20-a de decembro
26 Mayrnt	26-a de marto
27 Mayrnt	27-a de marto
28 Mayrnt	28-a de marto
29 Mayrnt	29-a de marto
30 Mayrnt	30-a de marto
31 Mayrnt	31-a de marto
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
15 Averil	15-a de aprilo
13 Averil	13-a de aprilo
12 Averil	12-a de aprilo
14 Averil	14-a de aprilo
11 Averil	11-a de aprilo
10 Averil	10-a de aprilo
8 Averil	8-a de aprilo
9 Averil	9-a de aprilo
7 Averil	7-a de aprilo
6 Averil	6-a de aprilo
5 Averil	5-a de aprilo
4 Averil	4-a de aprilo
3 Averil	3-a de aprilo
1 Averil	1-a de aprilo
2 Averil	2-a de aprilo
Fodreayrtan Spoar Hubble	Kosmoteleskopo Hubble
Helmut Schmidt	Helmut Schmidt
16 Averil	16-a de aprilo
17 Averil	17-a de aprilo
18 Averil	18-a de aprilo
19 Averil	19-a de aprilo
20 Averil	20-a de aprilo
21 Averil	21-a de aprilo
22 Averil	22-a de aprilo
23 Averil	23-a de aprilo
24 Averil	24-a de aprilo
25 Averil	25-a de aprilo
26 Averil	26-a de aprilo
27 Averil	27-a de aprilo
28 Averil	28-a de aprilo
29 Averil	29-a de aprilo
30 Averil	30-a de aprilo
1 Boaldyn	1-a de majo
2 Boaldyn	2-a de majo
3 Boaldyn	3-a de majo
4 Boaldyn	4-a de majo
5 Boaldyn	5-a de majo
6 Boaldyn	6-a de majo
7 Boaldyn	7-a de majo
8 Boaldyn	8-a de majo
9 Boaldyn	9-a de majo
10 Boaldyn	10-a de majo
11 Boaldyn	11-a de majo
12 Boaldyn	12-a de majo
13 Boaldyn	13-a de majo
14 Boaldyn	14-a de majo
15 Boaldyn	15-a de majo
Titan (fo-phlannad)	Titano (luno)
16 Boaldyn	16-a de majo
17 Boaldyn	17-a de majo
18 Boaldyn	18-a de majo
19 Boaldyn	19-a de majo
20 Boaldyn	20-a de majo
21 Boaldyn	21-a de majo
22 Boaldyn	22-a de majo
23 Boaldyn	23-a de majo
24 Boaldyn	24-a de majo
25 Boaldyn	25-a de majo
26 Boaldyn	26-a de majo
27 Boaldyn	27-a de majo
28 Boaldyn	28-a de majo
29 Boaldyn	29-a de majo
30 Boaldyn	30-a de majo
31 Boaldyn	31-a de majo
Paul McCartney	Paul McCartney
21 Mee ny Nollick	21-a de decembro
14 Mean Souree	14-a de junio
15 Mean Souree	15-a de junio
13 Mean Souree	13-a de junio
10 Mean Souree	10-a de junio
7 Mean Souree	7-a de junio
11 Mean Souree	11-a de junio
