Afrika	Afriko
F.C. Internazionale Milano	Inter Milano
Planeti	Planedo
Kleopatra VII.	Kleopatra
Muzika	Muziko
Venecia	Venecio
Naruto	Naruto (mangao)
Po (lumë)	Pado
Termometri	Termometro
Lille	Lille
Moska	Moskvo
Fluori	Fluoro
Gjuha italiane	Itala lingvo
Neoni	Neono
Shën Petersburgu	Sankt-Peterburgo
Çadi	Ĉado
Natriumi	Natrio
Veriu (gjeografi)	Nordo
Magneziumi	Magnezio
Alumini	Aluminio
Zelanda e Re	Nov-Zelando
Jugu (gjeografi)	Sudo
India	Barato
Silici	Silicio
Franciumi	Franciumo
Tuvalu	Tuvalo
One Piece	One Piece
Fosfori	Fosforo
Hekuri	Fero
Tonga	Tongo
Perëndimi (gjeografi)	Okcidento
Alessandro Volta	Alessandro Volta
Sulfuri	Sulfuro
Samoa	Samoo
Lindja (gjeografi)	Oriento
Ishujt Solomon	Salomonoj
Vanuatu	Vanuatuo
Klori	Kloro
Delft	Delft
Papua Guinea e Re	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Hollanda e Jugut	Suda Holando
Palau	Palaŭo
Argoni	Argono
Naurua	Nauro
Mozilla Firefox	Mozilla Firefox
Përralla	Fabelo
Hollanda e Veriut	Norda Holando
Federata Mikroneziane	Federacio de Mikronezio
Kaliumi	Kalio
Zeeland (provincë)	Zelando
Kalciumi	Kalcio
Flevoland	Flevolando
Plumbi (element kimik)	Plumbo
Ishujt Marshall	Marŝala Insularo
Kiribati	Kiribato
Mongolia	Mongolio
Fixhi	Fiĝioj
Skandiumi	Skandio
Titani	Titano (elemento)
Venezuela	Venezuelo
Shahu	Ŝako
Genghis Khan	Ĝingis-Ĥano
Vanadiumi	Vanado
Maine	Majno
Kromi	Kromo
Kali	Ĉevalo
Amsterdami	Amsterdamo
Arma	Armilo
Kafsha	Bestoj
Surinami	Surinamo
Mangani	Mangano
Paraguaji	Paragvajo
Guajana	Gujano
Arti	Arto
Ekuadori	Ekvadoro
Rheniumi	Renio
Kolumbia	Kolombio
Kobalti	Kobalto
Zhan Rasin	Jean Racine
Tungsteni	Volframo
Nikeli	Nikelo
Fragaria	Frago
Budizmi	Budhismo
Groningen	Groningen (urbo)
Bolivia	Bolivio
Osmiumi	Osmio
Groningen (provincë)	Groningen (provinco)
Bakri	Kupro
Trinidadi dhe Tobagoja	Trinidado kaj Tobago
Bimët	Plantoj
Shën Vincenti dhe Grenadinet	Sankta Vincento kaj Grenadinoj
Zinku	Zinko
New Hampshire	Nov-Hampŝiro
Shën Luçia	Sankta Lucio
Białystok	Bjalistoko
Leonardo da Vinçi	Leonardo da Vinci
Shën Kits dhe Nevis	Sankta-Kito kaj Neviso
Dario Fo	Dario Fo
Xhamajka	Jamajko
Grenada	Grenado (lando)
Friesland	Frislando
Massachusetts	Masaĉuseco
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Gvatemalo
Gelderland (provincë)	Gelderland
Utrecht (provincë)	Utrecht (provinco)
Google Chrome	Google Chrome
Bahamet	Bahamoj
Konektikati	Konektikuto
Pula (shpend)	Koko
Antigua dhe Barbuda	Antigvo-Barbudo
Hawaii	Havajo
Hondurasi	Honduro
Dominika	Dominiko
Xhersi	Ĵersejo
Republika Dominikane	Domingo
Derri	Porko
Haitia	Haitio
Salvadori	Salvadoro
Zwolle	Zwolle
Irani	Irano
Iraku	Irako
Alaska	Alasko
Assen	Assen
Kosta Rika	Kostariko
Izraeli	Israelo
Utrecht	Utrecht
Panamaja	Panamo
Jemeni	Jemeno
Lozana	Laŭzano
Gjuha polake	Pola lingvo
Jordania	Jordanio
Nikaraguaja	Nikaragvo
Florida	Florido
Kirgistani	Kirgizio
Arizona	Arizono
Kuvejti	Kuvajto
Laosi	Laoso
Libani	Libano
Oregon	Oregono
Maldivet	Maldivoj
Amerika (kontinent)	Ameriko
Utah	Utaho
Lopa	Bovo
Malajzia	Malajzio
Kantoni Valais	Kantono Valezo
Birmania	Birmo
Nepali	Nepalo
Omani	Omano
Pakistani	Pakistano
James Bond	James Bond (fikcia universo)
Katari	Kataro
Tenisi	Teniso
MySQL	MySQL
Arabia Saudite	Sauda Arabio
Sri Lanka	Sri-Lanko
Stalini	Josif Stalin
Barkodi	Strekokodo
Siria	Sirio
Platoni	Platono
Galiumi	Galiumo
Joseph Brodsky	Iosif Brodskij
Taxhikistani	Taĝikio
Pokémon	Pokemono
Republika e Kinës	Respubliko Ĉinio
YouTube	YouTube
Germaniumi	Germaniumo
Aristoteli	Aristotelo
Tajlanda	Tajlando
Arseniku	Arseno
Radio	Radiofonio
Meryl Streep	Meryl Streep
Turkmenistani	Turkmenio
Seleni	Seleno
Iridiumi	Iridio
Emiratet e Bashkuara Arabe	Unuiĝintaj Arabaj Emirlandoj
Bromi	Bromo
Platina	Plateno
Vietnami	Vjetnamio
Charlie Chaplin	Charlie Chaplin
Koreja e Jugut	Sud-Koreio
Simpsons	La Simpsonoj
Kriptoni	Kriptono
Afganistani	Afganio
J. R. R. Tolkien	John Ronald Reuel Tolkien
Rubidiumi	Rubidio
Ari	Oro
Omsk	Omsk
Kanali i Suezit	Sueza Kanalo
Kazani	Kazano
Shkencëtari	Sciencisto
Bangladeshi	Bangladeŝo
Bleach	Bleach
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Mali	Malio
Sokrati	Sokrato
Volgograd	Volgogrado
Angola	Angolo
Butani	Butano
Twitter	Twitter
Brunei	Brunejo
Braç (ishull)	Brač
Tanzania	Tanzanio
Zhiva	Hidrargo
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipinet	Filipinoj
Republika e Afrikës Qendrore	Centr-Afrika Respubliko
Taliumi	Taliumo
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Stronciumi	Stroncio
Itriumi	Itrio
Bismuti	Bismuto
Ngjyra e verdhë	Flava
Mekanika kuantike	Kvantuma mekaniko
Togo	Togolando
Tunizia	Tunizio
Zambia	Zambio
Zimbabveja	Zimbabvo
Pekini	Pekino
Sudani i Jugut	Sud-Sudano
Tëvaja	Tuvio
Benini	Benino
Bocvana	Bocvano
Wikinews	Vikinovaĵoj
Burkina Faso	Burkino
Burundi	Burundo
Komoret	Komoroj
Republika e Kongos	Respubliko Kongo
Alkmaar	Alkmaar
Republika Demokratike e Kongos	Demokratia Respubliko Kongo
San Antonio	San Antonio (Teksaso)
Xhibuti	Ĝibutio
Poloniumi	Polonio
Bavaria	Bavario
Guinea Ekuatoriale	Ekvatora Gvineo
Baden-Vyrtemberg	Baden-Virtembergo
Eritrea	Eritreo
New Delhi	Nov-Delhio
Almelo	Almelo
Papa Gjon Pali II	Johano Paŭlo la 2-a
Fëdor Michajlovič Dostoevskij	Fjodor Dostojevskij
Amersfoort	Amersforto
Tbilisi	Tbiliso
Appingedam	Appingedam
Foshnja	Bebo
Astati	Astato
Gaboni	Gabono
Mahatma Gandi	Mohandas Karamchand Gandhi
Stripi	Bildliteraturo
Gambia	Gambio
Guinea	Gvineo
Guinea Bisau	Gvineo Bisaŭa
Bregu i Fildishtë	Ebur-Bordo
Kameruni	Kameruno
Kepi i Gjelbër	Kaboverdo
Lesoto	Lesoto
Liberia	Liberio
Libia	Libio
Madagaskari	Madagaskaro
Malavi	Malavio
Shtutgarti	Stutgarto
Trigllavi	Triglav
Mauritania	Maŭritanio
Mauritiusi	Maŭricio
Maroku	Maroko
Mozambiku	Mozambiko
Namibia	Namibio
Nigeri	Niĝero
Nigeria	Niĝerio
Biel/Bienne	Bielo
Charles Darwin	Charles Darwin
Uganda	Ugando
Ruanda	Ruando
Zirkoniumi	Zirkonio
Sao Tome dhe Principe	Sao-Tomeo kaj Principeo
Karlsruhe	Karlsruhe
Senegali	Senegalo
Sejshellet	Sejŝeloj
Carl Linné	Karolo Lineo
Siera Leone	Siera-Leono
Somalia	Somalio
Niobiumi	Niobio
Jul Çezari	Julio Cezaro
Sudani	Sudano
Suazilendi	Svazilando
Ylberi	Ĉielarko
Molibdeni	Molibdeno
Teknetiumi	Teknecio
Hamburgu	Hamburgo
Metabolizmi	Metabolo
Guxharat	Guĝaratio
Evolucioni	Evoluismo
Organizata e Kombeve të Bashkuara	Unuiĝintaj Nacioj
Dante Alighieri	Dante Alighieri
Gjeologjia	Geologio
Gjeografia	Geografio
Zemra	Koro
Truri	Cerbo
Lëkura	Haŭto
Ngjyra	Koloro
Breaking Bad	Breaking Bad
Praga	Prago
Rutheniumi	Rutenio
Rhodiumi	Rodio
Ngjyra e kaltër	Blua
Palladiumi	Paladio
Argjendi	Arĝento
Kadmiumi	Kadmio
Udhëtimi yjor	Star Trek
Limburgu (Holandë)	Limburgo (Nederlando)
Indiumi	Indio
Kallaj	Stano
Urani (element kimik)	Uranio
Antimoni	Antimono
Teluri	Teluro
Brabanta Veriore	Norda Brabanto
Plutoni (element kimik)	Plutonio
Jodi	Jodo
Neptuni (element kimik)	Neptunio
Ksenoni	Ksenono
Anime	Animeo
Ceziumi	Cezio
Protaktini	Protaktinio
Ngarkesa elektrike	Elektra ŝargo
Bariumi	Bario
Toriumi	Torio
Hafniumi	Hafnio
Aktiniumi	Aktinio
Tantali	Tantalo
Bill Clinton	William J. Clinton
Radiumi	Radiumo
Radoni	Radono
Lorena (rajon francez)	Loreno
Alsasa	Alzaco
Indira Gandhi	Indira Gandhi
Hector Berlioz	Louis Hector Berlioz
Auvernia	Aŭvernjo
Andra Pradesh	Andra-Pradeŝo
Arunaçal Pradesh	Arunaĉal-Pradeŝo
Assam	Asamo
Michigan	Miĉigano
Çatisgar	Ĉhatisgaro
Burgonja	Burgonjo
Akuitania	Akvitanio
Portorikoja	Porto-Riko
Usain Bolt	Usain Bolt
Limousin	Limoĝio
Shlesvig-Holshtajni	Ŝlesvigo-Holstinio
Mecklenburg-Vorpommern	Meklenburgo-Antaŭpomerio
Saksonia e Ulët	Malsupra Saksio
Nordrhein-Westfalen	Nordrejn-Vestfalio
Hesia	Hesio
Rheinland-Pfalz	Rejnlando-Palatinato
Saarland	Sarlando
Saksonia	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Tyringia	Turingio
Saksonia Anhalt	Saksio-Anhalto
North Dakota	Norda Dakoto
Brandenburgu	Brandenburgio
Bremen (krahinë)	Libera hansa urbo Bremeno
Lombardia	Lombardujo
South Dakota	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Piemonti	Piemonto
Jerusalemi	Jerusalemo
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lugina e Aostës	Aosta Valo
Washington	Vaŝingtonio
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordiumi	Ruterfordio
Nevada	Nevado
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Francesco Cossiga	Francesco Cossiga
Dubniumi	Dubnio
Sandro Pertini	Alessandro Pertini
Seaborgiumi	Seborgio
Giovanni Leone	Giovanni Leone
Trentino-Tiroli Jugor	Trentino-Alto Adige
Giuseppe Saragat	Giuseppe Saragat
Oqeani Indian	Hinda Oceano
Veneto	Veneto
Kosova	Kosovo
Bohriumi	Borio
Friuli-Venecia Xhulia	Friulo-Venecio Julia
Hassiumi	Hasio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligurio
Meitneriumi	Mejtnerio
Kurt Waldheim	Kurt Waldheim
Colorado	Koloradio
Emilia-Romanja	Emilio-Romanjo
Lumi Kolorado	Kolorado (rivero)
Darmstadtiumi	Darmŝtatio
Frédéric Chopin	Frédéric Chopin
Roentgeniumi	Rentgenio
Toskana	Toskanio
Coperniciumi	Kopernicio
Marke	Markio (Italio)
Umbria	Umbrio
Kategoria:!Kategori kryesore	Kategorio:Ĉio
Lacio	Latio
Abruco	Abruco
Malet Apenine	Apeninoj
Alpet	Alpoj
Karpatet	Karpatoj
Grenoble	Grenoblo
Blaise Pascal	Blaise Pascal
Dortmundi	Dortmund
Chicago	Ĉikago
The Beatles	The Beatles
Ununtriumi	Ununtrio
Ununquadiumi	Flerovio
Ununpentiumi	Ununpentio
Ununhexiumi	Livermorumo
Wageningen	Wageningen
Ununseptiumi	Ununseptio
Ununoctiumi	Ununoktio
Maastricht	Maastricht
Arnhem	Arnhem
Dimri	Vintro
Pranvera s'erdhi vetëm	Printempo
Vera (stinë)	Somero
Vjeshta	Aŭtuno
Ekuinoksi	Ekvinokso
Sadam Husein	Saddam Hussein
Bin Laden	Usama bin Laden
Gjuha spanjolle	Hispana lingvo
Friedrich Hayek	Friedrich August von Hayek
Rimouski	Rimouski
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Opera	Opero
Filadelfia	Filadelfio (Pensilvanio)
Kalkuta	Kolkato
Dhaka	Dako
Bengali Perëndimor	Okcident-Bengalo
Merimanga	Araneuloj
Këmbënyjorët	Artropodoj
Islamabadi	Islamabado
Tripura	Tripuro
Fruti	Frukto
Majmuni	Simio
Paraja	Mono
Virginia	Virginio (ŝtato)
West Virginia	Okcidenta Virginio
Matehorn	Materhorno
New York	Nov-Jorkio
Keriumi	Cerio
Praseodimi	Prazeodimo
Rhode Island	Rod-Insulo
Neodimi	Neodimo
Kandrra	Insekto
Maryland	Marilando
Delaware	Delavaro
Lenini	Lenin
Europi	Eŭropio
Ohio	Ohio
Vergili	Vergilio
Niccolò Machiavelli	Makiavelo
Pennsylvania	Pensilvanio
Françesko Petrarka	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augusti	Aŭgusto Cezaro
Microsoft Windows	Microsoft Windows
New Jersey	Nov-Ĵerzejo
Gjibraltari	Ĝibraltaro
Klaudi	Klaŭdio
Gjuha finlandeze	Finna lingvo
Neroni	Nerono
Indiana	Indianio
Nokia	Nokia (kompanio)
Automobili	Aŭtomobilo
Juventus F.C.	Juventus Football Club
Trajan	Trajano
Roger Federer	Roger Federer
Georgia	Georgio
Marcus Aurelius	Marko Aŭrelio
Zagrebi	Zagrebo
Kampania	Kampanio
Texas	Teksaso
Molize	Molizo
Tamil Nadu	Tamilnado
Pulia	Apulio
Gjenova	Ĝenovo
Bazilikata	Basilikato
North Carolina	Norda Karolino
South Carolina	Suda Karolino
U.C. Sampdoria	Sampdoria Genova
Kalabria	Kalabrio
Sicilia	Sicilio
Manila	Manilo
Sardenja	Sardio
Sena	Sejno
Morbus Crohn	Crohn-malsano
Bordeaux	Bordeaux
Buenos Aires	Bonaero
Hakeri	Kodumulo
Meksiko (qytet)	Meksik-urbo
Tokjo	Tokio
La Paz	La-Pazo
Barcelona	Barcelono
Ananasi	Ananaso
Mississippi	Misisipio
Ferdinand Magelani	Fernão de Magalhães
Misisipi (lumë)	Misisipo (rivero)
Uttarakand	Utarakando
Mizoram	Mizoramo
Sikkim	Sikimo
Tennessee	Tenesio
Richard Wagner	Richard Wagner
Abidjan	Abiĝano
Ebu Dhabi	Abu-Dabio
Astana	Astano
New Mexico	Nov-Meksiko
Athina	Ateno
Minnesota	Minesoto
Bagdadi	Bagdado
Karakas	Karakaso
Coordinated Universal Time	UTC
Wisconsin	Viskonsino
Ciceroni	Cicerono
A.C. Milan	A.C. Milan
Iowa	Iovao
Nebraska	Nebrasko
Kanzas	Kansaso
Havana	Havano
Hindi	Hindia lingvo
Internet Explorer	Internet Explorer
Mizuri	Misurio
Georg Ohm	Georg Ohm
Louisiana	Luiziano
Nagaland	Nagalando
Kentucky	Kentukio
Arkansas	Arkansaso
Neil Armstrong	Neil Armstrong
Charles Lindbergh	Charles Lindbergh
Osijeku	Osijek
Elba	Elbo (rivero)
Rieka	Rijeko
Oklahoma	Oklahomo
Danubi	Danubo
Split	Split
Main	Majno (rivero)
Neckar	Neckar
Zaleja	Saale
Deti i Veriut	Norda Maro
Kiel	Kilo (urbo)
Shverini	Schwerin
Pocdami	Potsdamo
Hanoveri	Hanovro
Dyzeldorfi	Duseldorfo
Majnci	Majenco
Vizëbadeni	Wiesbaden
Dubrovniku	Dubrovnik
Sarëbryken	Saarbrücken
Mynihu	Munkeno
Erfurti	Erfurto
Drezdeni	Dresdeno
Magdeburgu	Magdeburgo
Volejbolli	Flugpilkado
Vjena	Vieno
Madonna	Madonna
Kopenhaga	Kopenhago
Stokholmi	Stokholmo
Helsinki	Helsinko
Dublini	Dublino
Reykjavík	Rejkjaviko
Ella Fitzgerald	Ella Fitzgerald
Talini	Talino
Epitafi	Epitafo
Riga	Rigo
Zanzibari	Zanzibaro
Louis Armstrong	Louis Armstrong
Bratisllava	Bratislavo
Budapesti	Budapeŝto
Dancigu	Gdańsk
Frankfurti mbi Majn	Frankfurto ĉe Majno
Lantani	Lantano
Prometiumi	Prometio
Saint-Tropez	Saint-Tropez
Samariumi	Samario (kemio)
Gadolini	Gadolinio
Death Note	Kajero de Morto
Zinedine Zidane	Zinedine Zidane
Terbiumi	Terbio
Veenendaal	Veenendaal
Luksemburgu (qyteti)	Luksemburgo
Disprosiumi	Disprozio
Vaduzi	Vaduzo
Bibla	Biblio
Holmiumi	Holmio
San Marino (qytet)	San-Marino (urbo)
Erbiumi	Erbio
Tuliumi	Tulio
Ho-Chi-Minh-Qytet	Ho-Ĉi-Min-urbo
Yterbiumi	Iterbio
Lutetiumi	Lutecio
Hanoi	Hanojo
Kisha e Vërtetë e Jezusit	Vera Eklezio de Jesuo
Gjuha angleze	Angla lingvo
Bangkoku	Bankoko
Andorra la Vella	Andoro Malnova
Kuala Lumpur	Kuala-Lumpuro
Americi	Americio
Odesa	Odesa
Curiumi	Kuriumo
Dong Hoi	Dong Hoi
Concepción	Koncepciono
Fyresdal	Fyresdal
Berkeliumi	Berkelio
Kaliforniumi	Kaliforniumo
Diplomacia	Diplomatio
Bolonja	Bolonjo
Einsteiniumi	Ejnŝtejnio
Fermiumi	Fermio
