Aprika	Afriko
Inuming alkohol	Alkoholaĵo
Brazil	Brazilo
Alkohol	Alkoholo
François Hollande	François Hollande
Rusya	Rusio
Cetacea	Cetacoj
Parisukat	Kvadrato (geometrio)
Dagat	Maro
Dagat Itim	Nigra Maro
Pi	Pi (nombro)
Wiki	Vikio
Toronto	Toronto
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
Québec	Kebekio
Boeing 747	Boeing 747
Pundasyong Wikimedia	Fondaĵo Vikimedio
Jimmy Wales	Jimmy Wales
Alemanya	Germanio
Belarus	Belorusio
Wikang Aleman	Germana lingvo
Iceland	Islando
Diyos	Dio
Estonia	Estonio
David Cameron	David Cameron
Saturno (planeta)	Saturno (planedo)
Tsokolate	Ĉokolado
Seresa	Ĉerizo
Eroplano	Aviadilo
Digmaan	Milito
1 (bilang)	1 (nombro)
2 (bilang)	2 (nombro)
3 (bilang)	3 (nombro)
4 (bilang)	4 (nombro)
5 (bilang)	5 (nombro)
0 (bilang)	Nulo
Kawalang hangganan	Senfineco
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Parihaba	Ortangulo
Latbiya	Latvio
Ukraine	Ukrainio
Republikang Tseko	Ĉeĥio
Eslobakya	Slovakio
Eslobenya	Slovenio
Vilna	Vilno
Moldavia	Moldava Respubliko
Romania	Rumanio
Bulgarya	Bulgario
Roma	Romo
Republika ng Macedonia	Respubliko Makedonio
Albanya	Albanio
Greenland	Gronlando
Kroasya	Kroatio
Bosnia at Herzegovina	Bosnio kaj Hercegovino
Aserbayan	Azerbajĝano
Andorra	Andoro
Tsipre	Kipro
Georgia (bansa)	Kartvelio
Valonia	Valonio
Kazakhstan	Kazaĥio
Malta	Malto
Flandes	Flandrio
Monako	Monako
Montenegro	Montenegro
Lungsod ng Vaticano	Vatikano
San Marino	San-Marino
Lungsod ng Bruselas	Bruselo
Kuba	Kubo
Belise	Belizo
Toreng Eiffel	Eiffel-Turo
Barbados	Barbado
Tipaan (ng kompyuter)	Komputila klavaro
Java (wikang pamprograma)	Java (programlingvo)
Indonesia	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Wikang Turko	Turka lingvo
South Africa	Sud-Afriko
Linkin Park	Linkin Park
Algeria	Alĝerio
Uzbekistan	Uzbekujo
Taskent	Taŝkento
Varsovia	Varsovio
Paligsahang Pang-awitin ng Eurovision	Eŭrovido-Kantokonkurso
Modena (lungsod)	Modeno
Alak	Vino
Tubig	Akvo
Katad	Ledo
Kahoy	Ligno
Telebisyon	Televido
Pornograpiya	Pornografio
Claude Monet	Claude Monet
Chile	Ĉilio
Hesus	Jesuo Kristo
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galilejo
Merkuryo (planeta)	Merkuro (planedo)
Kasaysayan	Historio
Apple Inc.	Apple
Benus (planeta)	Venuso (planedo)
Wika	Lingvo
Pag-ibig	Amo
Diktadura	Diktatoreco
Galaksiya	Galaksio
Hupiter (planeta)	Jupitero (planedo)
Daang Magatas	Lakta vojo
Big Bang	Praeksplodo
Urano	Urano (planedo)
Bretanya	Bretonio
Nicolas Sarkozy	Nicolas Sarkozy
Neptuno	Neptuno (planedo)
Astronomiya	Astronomio
Singapore	Singapuro
Agham	Scienco
Kosmolohiya	Kosmologio
Pluton (astronomiya)	Plutono
Montréal, Québec	Montrealo
Malayang sopwer	Libera programaro
Kinabukasan	Estonteco
Maria (ina ni Hesus)	Maria (patrino de Jesuo)
Louis IX ng Pransiya	Ludoviko la 9-a (Francio)
Liechtenstein	Liĥtenŝtejno
Palakasan	Sporto
Cambridge	Kembriĝo (Britio)
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Julian Assange	Julian Assange
Unang Digmaang Pandaigdig	Unua mondmilito
Ikalawang Digmaang Pandaigdig	Dua mondmilito
Cologne	Kolonjo
Korupsiyon	Korupto
Augusto Pinochet	Augusto Pinochet
Yanka Kupala	Janka Kupala
Ubuntu	Ubuntu (linukso)
Skopje	Skopjo
Linux	Linukso
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Matematika	Matematiko
U2	U2
Wikang Latin	Latina lingvo
Barein	Barejno
Armenya	Armenio
Kuneiporme	Kojnoskribo
Higgs boson	Bosono de Higgs
Serbiya	Serbio
Buwan (astronomiya)	Luno
Istanbul	Istanbulo
Linda Lovelace	Linda Lovelace
Australya	Aŭstralio
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiyolohiya	Astrobiologio
Pisika	Fiziko
Arhentina	Argentino
Telekomunikasyon	Telekomunikado
Peru	Peruo
Biyolohiya	Biologio
UFO	Nifo
Hilagang Korea	Nord-Koreio
Kambodya	Kamboĝo
Koran	Korano
Dinosauro	Dinosaŭro
Soolohiya	Bestoscienco
Islam	Islamo
Peras	Pirarbo
Liubliana	Ljubljano
Botanika	Plantoscienco
Lech Wałęsa	Lech Wałęsa
Gulong	Rado
Isip	Menso
Kapayapaan	Paco
Encyclopædia Britannica	Encyclopaedia Britannica
Lyon	Liono
Unyong Europeo	Eŭropa Unio
Plovdiv	Plovdiv
Star Wars	Star Wars
World Wide Web	TTT
Babae	Virino
Sofia	Sofio
Akwedukto	Akvedukto
Ñ	Ñ
Don Quixote	Kiĥoto
Panulaan	Poezio
Birus ng kompyuter	Komputviruso
Lungsod ng Milano	Milano
Kaibigan	Amikeco
Alaala	Memoro
Arthur Rimbaud	Arthur Rimbaud
Lungsod ng Turino	Torino
Ipot	Fekaĵo
Butas ng puwit	Anuso
Kili-kili	Akselo
Lemon	Citrono
Saging	Banano
Émile Zola	Émile Zola
666	666
Bulaklak	Floro
Googol	Guglo
Bambang ng Marianas	Mariana Fosego
Bundok Everest	Ĉomolungmo
Anatomiya	Anatomio
Lungsod	Urbo
Napoleon I ng Pransiya	Napoleono Bonaparte
Pisyolohiya	Fiziologio
Bituin	Stelo
Vesubio	Vezuvio
Araw (astronomiya)	Suno
Louis Pasteur	Louis Pasteur
Sinag-taon	Lumjaro
Victor Hugo	Victor Hugo
Oceania	Oceanio
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletiks	Atletiko
Sistemang Pang-araw	Sunsistemo
Dagat Baltiko	Balta Maro
Champs-Élysées	Avenuo de la Elizeaj Kampoj
Ngipin	Dento
Idrohino	Hidrogeno
Helyo	Heliumo
Impiyerno	Infero
Wikimedia Commons	Vikimedia Komunejo
Purgatoryo	Purgatorio
Angela Merkel	Angela Merkel
Lityo	Litio
Berilyo	Berilio
Palakas-tinig	Laŭtparolilo
Aklat	Libro
Araw (panahon)	Tago
Silangang Timor	Orienta Timoro
Taon	Jaro
Daang taon	Jarcento
Canegrate	Canegrate
Ilog Rin	Rejno
Oslo	Oslo
Undas	Ĉiuj Sanktuloj
Itim na butas	Nigra truo
Seres (astronomiya)	Cereso
Lisboa	Lisbono
Haumea (astronomiya)	Haŭmeo
Rodano (ilog)	Rodano
Makemake (astronomiya)	Makemako (nanoplanedo)
Michael Bloomberg	Michael Bloomberg
Gawaing seksuwal ng tao	Seksumado
Kateri Tekakwitha	Kateri Tekakvida
Eris (astronomiya)	Eriso
Dubai	Dubajo
Lionel Messi	Lionel Messi
Lungsod ng Padua	Padovo
Boron	Boro
Nicolaus Copernicus	Koperniko
Karbon	Karbono
Ilog Volga	Volgo
Nitroheno	Nitrogeno
Lungsod ng Bergamo	Bergamo
Oksiheno	Oksigeno
Planeta	Planedo
Cleopatra VII ng Ehipto	Kleopatra
Tugtugin	Muziko
Lungsod ng Venezia	Venecio
Naruto	Naruto (mangao)
Mosku	Moskvo
Plurina	Fluoro
Wikang Italyano	Itala lingvo
Tsiwawa	Ĉivava hundo
Neon	Neono
Chihuahua	Chihuahua
San Petersburgo	Sankt-Peterburgo
Chad	Ĉado
Sodyo	Natrio
Magnesyo	Magnezio
Neon Genesis Evangelion (anime)	Neon Genesis Evangelion
Aluminyo	Aluminio
New Zealand	Nov-Zelando
India	Barato
Silikon	Silicio
Pransiyo	Franciumo
Tuvalu	Tuvalo
One Piece	One Piece
Posporo (elemento)	Fosforo
André-Marie Ampère	André-Marie Ampère
Tuluyan	Prozo
Bakal	Fero
Tonga	Tongo
Alessandro Volta	Alessandro Volta
Asupre	Sulfuro
Samoa	Samoo
Kapuluang Salomon	Salomonoj
Vanuatu	Vanuatuo
Molière	Molière
Kloro	Kloro
Papua New Guinea	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Pabula	Fablo
Palau	Palaŭo
Argon	Argono
Nauru	Nauro
Mozilla Firefox	Mozilla Firefox
Kuwentong bibit	Fabelo
Mga Estadong Pederado ng Mikronesya	Federacio de Mikronezio
Potasyo	Kalio
Kalsiyo	Kalcio
Tingga	Plumbo
Kapuluang Marshall	Marŝala Insularo
Kiribati	Kiribato
Mongolia	Mongolio
Fiji	Fiĝioj
Eskandiyo	Skandio
Stevie Wonder	Stevie Wonder
Titanyo	Titano (elemento)
Venezuela	Venezuelo
Ahedres	Ŝako
Genghis Khan	Ĝingis-Ĥano
Banadyo	Vanado
Maine	Majno
Kromyo	Kromo
Kabayo	Ĉevalo
Amsterdam	Amsterdamo
Sandata	Armilo
Hayop	Bestoj
Surinam	Surinamo
Mangganeso	Mangano
Paraguay	Paragvajo
Guyana	Gujano
Sining	Arto
Ecuador	Ekvadoro
Colombia	Kolombio
Kobalto	Kobalto
Wolpramyo	Volframo
Budismo	Budhismo
Bolivia	Bolivio
Tanso	Kupro
Trinidad at Tobago	Trinidado kaj Tobago
Halaman	Plantoj
San Vicente at ang Kagranadinahan	Sankta Vincento kaj Grenadinoj
Sink	Zinko
Bagong Hampshire	Nov-Hampŝiro
Santa Lucia (bansa)	Sankta Lucio
Leonardo da Vinci	Leonardo da Vinci
San Cristobal at Niyebes	Sankta-Kito kaj Neviso
Fungus	Fungoj
Hamayka	Jamajko
Grenada	Grenado (lando)
Massachusetts	Masaĉuseco
Guwatemala	Gvatemalo
Google Chrome	Google Chrome
Bahamas	Bahamoj
Connecticut	Konektikuto
Manok	Koko
Antigua at Barbuda	Antigvo-Barbudo
Hawaii	Havajo
Honduras	Honduro
Dominika	Dominiko
Hersey	Ĵersejo
Republikang Dominikano	Domingo
Baboy	Porko
Karagatang Artiko	Arkta Oceano
Hayti	Haitio
El Salvador	Salvadoro
Iran	Irano
Iraq	Irako
Alaska	Alasko
Karunungan	Saĝo
Costa Rica	Kostariko
Israel	Israelo
Panama	Panamo
Yemen	Jemeno
Birus	Viruso (biologio)
Wikang Polako	Pola lingvo
Hordan	Jordanio
Nicaragua	Nikaragvo
Florida	Florido
Kyrgyzstan	Kirgizio
Arisona	Arizono
Kuwait	Kuvajto
Laos (bansa)	Laoso
Lebanon	Libano
Oregon	Oregono
Maldives	Maldivoj
Kaamerikahan	Ameriko
Utah	Utaho
Baka	Bovo
Malaysia	Malajzio
Myanmar	Birmo
Nepal	Nepalo
Oman	Omano
Pakistan	Pakistano
James Bond	James Bond (fikcia universo)
Qatar	Kataro
Tenis	Teniso
Saudi Arabia	Sauda Arabio
Sri Lanka	Sri-Lanko
Joseph Stalin	Josif Stalin
Syria	Sirio
Platon	Platono
Tayikistan	Taĝikio
Pokémon	Pokemono
Republika ng Tsina	Respubliko Ĉinio
YouTube	YouTube
Aristoteles	Aristotelo
Taylandiya	Tajlando
Tren	Trajno
Arseniko	Arseno
Radyo	Radiofonio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenio
Abakan	Abakan
United Arab Emirates	Unuiĝintaj Arabaj Emirlandoj
Bromina	Bromo
Platino	Plateno
Vietnam	Vjetnamio
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsko
Timog Korea	Sud-Koreio
The Simpsons	La Simpsonoj
Yekaterinburg	Jekaterinburg
Kripton	Kriptono
Afghanistan	Afganio
Gangnam Style	Gangnam Style
Nizhny Novgorod	Niĵnij Novgorod
J. R. R. Tolkien	John Ronald Reuel Tolkien
Rubidyo	Rubidio
Ginto	Oro
Omsk	Omsk
Agusan ng Suez	Sueza Kanalo
Kazan	Kazano
Bangladesh	Bangladeŝo
Bleach	Bleach
Franz Kafka	Franz Kafka
Chelyabinsk	Ĉeljabinsk
Rostov-on-Don	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali (bansa)	Malio
Socrates	Sokrato
Volgograd	Volgogrado
Angola	Angolo
Perm	Permjo
Bhutan	Butano
Twitter	Twitter
Krasnoyarsk	Krasnojarsk
Brunei	Brunejo
Tanzania	Tanzanio
Asoge	Hidrargo
Roald Amundsen	Roald Amundsen
Pilipinas	Filipinoj
Republika ng Gitnang Aprika	Centr-Afrika Respubliko
Polong Timog	Suda poluso
Hilagang Polo	Norda poluso
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estronsiyo	Stroncio
Pedro I ng Brasil	Petro la 1-a (Brazilo)
Itriyo	Itrio
Bismuto	Bismuto
Dilaw	Flava
Mekaniks na kwantum	Kvantuma mekaniko
Togo	Togolando
Tunisya	Tunizio
John Bardeen	John Bardeen
Sambya	Zambio
Zimbabwe	Zimbabvo
Beijing	Pekino
Timog Sudan	Sud-Sudano
Vladivostok	Vladivostok
Tuva	Tuvio
Benin	Benino
Botswana	Bocvano
Burkina Faso	Burkino
Burundi	Burundo
Comoros	Komoroj
Republika ng Congo	Respubliko Kongo
Demokratikong Republika ng Congo	Demokratia Respubliko Kongo
San Antonio, Texas	San Antonio (Teksaso)
Tomsk	Tomsk
Djibouti	Ĝibutio
Meme	Memeo
Polonium	Polonio
Bavaria	Bavario
Gineang Ekwatoriyal	Ekvatora Gvineo
Eritrea	Eritreo
New Delhi	Nov-Delhio
Papa Juan Pablo II	Johano Paŭlo la 2-a
Fëdor Dostoevskij	Fjodor Dostojevskij
Tangway ng Kamchatka	Kamĉatko
Tiflis	Tbiliso
Sanggol	Bebo
Astatino	Astato
Gabon	Gabono
Mahatma Gandhi	Mohandas Karamchand Gandhi
Komiks	Bildliteraturo
Ang Gambiya	Gambio
Ginea	Gvineo
Ginea-Bissau	Gvineo Bisaŭa
Côte d'Ivoire	Ebur-Bordo
Cameroon	Kameruno
Kabo Berde	Kaboverdo
Lesoto	Lesoto
Liberia	Liberio
Libya	Libio
Aachen	Aachen
Madagascar	Madagaskaro
Malawi	Malavio
Stuttgart	Stutgarto
Mauritania	Maŭritanio
Mauritius	Maŭricio
Maruekos	Maroko
Mozambique	Mozambiko
Namibia	Namibio
Niger	Niĝero
Nigerya	Niĝerio
Charles Darwin	Charles Darwin
Uganda	Ugando
Rwanda	Ruando
Sirkonyo	Zirkonio
Santo Tome at Prinsipe	Sao-Tomeo kaj Principeo
Senegal	Senegalo
Seychelles	Sejŝeloj
Carl Linnaeus	Karolo Lineo
Sierra Leone	Siera-Leono
Somalia	Somalio
Julio Cesar	Julio Cezaro
Sudan	Sudano
Swaziland	Svazilando
Bahaghari	Ĉielarko
Metabolismo	Metabolo
Sistemang immuno	Imuna sistemo
Gujarat	Guĝaratio
Ebolusyon	Evoluismo
Mga Nagkakaisang Bansa	Unuiĝintaj Nacioj
Dante Alighieri	Dante Alighieri
Heolohiya	Geologio
Ahmedabad	Ahmadabado
Heograpiya	Geografio
Puso (anatomiya)	Koro
Utak	Cerbo
Balat (anatomiya)	Haŭto
Kulay	Koloro
Pangngalan	Substantivo
Praga	Prago
Bughaw	Blua
Pilak	Arĝento
Star Trek	Star Trek
Lata	Stano
Uranyo	Uranio
Antimonyo	Antimono
Plutonyo	Plutonio
Iodine	Jodo
Henon (elemento)	Ksenono
Anime	Animeo
Sesyo	Cezio
Karga ng kuryente	Elektra ŝargo
Baryo (elemento)	Bario
Aktinyo	Aktinio
Bill Clinton	William J. Clinton
Radyo (elemento)	Radiumo
Radon	Radono
Indira Gandhi	Indira Gandhi
Merkuryo (mitolohiya)	Merkuro (dio)
Busto Arsizio	Busto Arsizio
Mumbai	Mumbajo
Andhra Pradesh	Andra-Pradeŝo
Michigan	Miĉigano
Goa	Goao
Borgonya	Burgonjo
Maurice Ravel	Maurice Ravel
Aquitania	Akvitanio
Puerto Rico	Porto-Riko
Madhya Pradesh	Madhja-Pradeŝo
Usain Bolt	Usain Bolt
Maharashtra	Maharaŝtro
Hilagang Renania-Westfalia	Nordrejn-Vestfalio
Hesse	Hesio
Sahonya	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Hilagang Dakota	Norda Dakoto
Brandeburgo	Brandenburgio
Lombardy	Lombardujo
Timog Dakota	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Piemonte	Piemonto
Herusalem	Jerusalemo
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lambak ng Aosta	Aosta Valo
Washington	Vaŝingtonio
Nebada	Nevado
Trentino-Alto Adige/Südtirol	Trentino-Alto Adige
Karagatang Indiyano	Hinda Oceano
Veneto	Veneto
Kosovo	Kosovo
Dagat Karibe	Kariba Maro
Boryo	Borio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligurio
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Colorado	Koloradio
Frederic Francois Chopin	Frédéric Chopin
Tuskanya	Toskanio
Marche	Markio (Italio)
Umbria	Umbrio
Kategorya:Mga nilalaman	Kategorio:Ĉio
Lazio	Latio
Abruzzo	Abruco
Alpes	Alpoj
Jansenismo	Jansenismo
Kabundukang Carpatos	Karpatoj
Blaise Pascal	Blaise Pascal
Dama	Damludo
Gante	Gento (urbo)
Chicago	Ĉikago
The Beatles	The Beatles
Ununquadium	Flerovio
Ununoctium	Ununoktio
Como (lungsod)	Komo (Italio)
Taglamig	Vintro
Tagsibol	Printempo
Tag-init	Somero
Taglagas	Aŭtuno
Ekinoks	Ekvinokso
Saddam Hussein	Saddam Hussein
Osama bin Laden	Usama bin Laden
Wikang Kastila	Hispana lingvo
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Tolyatti	Toljatti
Pittsburgh, Pennsylvania	Pittsburgh (Pensilvanio)
Opera	Opero
Philadelphia, Pennsylvania	Filadelfio (Pensilvanio)
Kolkata	Kolkato
Chennai	Ĉenajo
Delhi	Delhio
Dhaka	Dako
Bangalore	Bengaluro
West Bengal	Okcident-Bengalo
Gagamba	Araneuloj
Arachnida	Araneedoj
Arthropoda	Artropodoj
Hyderabad, Andhra Pradesh	Hajderabado
Islamabad	Islamabado
Bungang-kahoy	Frukto
Unggoy	Simio
Salapi	Mono
Virginia (estado)	Virginio (ŝtato)
West Virginia	Okcidenta Virginio
New York	Nov-Jorkio
Seryo	Cerio
Rhode Island	Rod-Insulo
Neodimyo	Neodimo
Kulisap	Insekto
Maryland	Marilando
Delaware	Delavaro
Vladimir Lenin	Lenin
Ohio	Ohio
Vergilius	Vergilio
Niccolò Machiavelli	Makiavelo
Pennsylvania	Pensilvanio
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Cesar Augusto	Aŭgusto Cezaro
Microsoft Windows	Microsoft Windows
Tiberius	Tiberio
New Jersey	Nov-Ĵerzejo
Caligula	Kaligulo
Gibraltar	Ĝibraltaro
Claudius	Klaŭdio
Wikang Pinlandes	Finna lingvo
Nero	Nerono
Galba	Galbo
Indiyana (Estado ng Estados Unidos)	Indianio
Otho	Oto
Vitellius	Vitelio
Nokia	Nokia (kompanio)
Vespasian	Vespasiano
Kotse	Aŭtomobilo
Titus	Tito (imperiestro)
Domitian	Domiciano
Nerva	Nerva
Trajan	Trajano
Roger Federer	Roger Federer
Hadrian	Hadriano
Georgia	Georgio
Antoninus Pius	Antonino Pia
Marcus Aurelius	Marko Aŭrelio
Commodus	Komodo (imperiestro)
Lungsod ng Zagreb	Zagrebo
Pertinax	Pertinakso
Rajasthan	Raĝastano
Campania	Kampanio
Texas	Teksaso
Didius Julianus	Didio Juliano
Septimius Severus	Septimo Severo
Molise	Molizo
Caracalla	Karakalo
Apulia	Apulio
Lungsod ng Genova	Ĝenovo
Basilicata	Basilikato
Hilagang Karolina	Norda Karolino
South Carolina	Suda Karolino
Calabria	Kalabrio
Sicilia	Sicilio
Maynila	Manilo
Sardinia	Sardio
Ferdinand Marcos	Ferdinand Marcos
Benigno Aquino III	Benigno Aquino la 3-a
Lungsod ng Cebu	Cebuurbo
Ilog Sena	Sejno
Lungsod ng Dabaw	Davao (urbo)
Lungsod Quezon	Kezonurbo
Kalookan	Kalukano
Burdeos	Bordeaux
Corazon Aquino	Corazón Aquino
Bulkang Mayon	Monto Majono (vulkano)
Lungsod ng Buenos Aires	Bonaero
Lungsod ng Mehiko	Meksik-urbo
Tokyo	Tokio
Lungsod ng Barcelona	Barcelono
Pinya	Ananaso
Misisipi	Misisipio
Fernando de Magallanes	Fernão de Magalhães
Ilog Mississippi	Misisipo (rivero)
José Rizal	José Rizal
Sikkim	Sikimo
Tennessee	Tenesio
Richard Wagner	Richard Wagner
Nagpur	Nagpur
Abidjan	Abiĝano
Abu Dhabi	Abu-Dabio
Astana	Astano
Bagong Mehiko	Nov-Meksiko
Ramesses II	Ramseso la 2-a
Atenas	Ateno
Rotonda	Trafikocirklo
Minesota	Minesoto
Ramesses III	Ramseso la 3-a
Baghdad	Bagdado
Caracas	Karakaso
Pandaigdigang Batayan ng Oras	UTC
Wisconsin	Viskonsino
Pune	Puneo
Cicero	Cicerono
Ayowa	Iovao
Nebraska	Nebrasko
Lungsod ng Guwatemala	Gvatemalurbo
Kansas	Kansaso
Havana	Havano
Tabako	Tabako
Wikang Hindi	Hindia lingvo
Internet Explorer	Internet Explorer
Sigarilyo	Cigaredo
Missouri	Misurio
George Ohm	Georg Ohm
Louisiana	Luiziano
Luigi Galvani	Luigi Galvani
Kentucky	Kentukio
Arkansas	Arkansaso
Neil Armstrong	Neil Armstrong
Charles Lindbergh	Charles Lindbergh
Lungsod ng Valenzuela	Valenzuela (Filipinoj)
Lungsod ng Pasig	Pasig
Lungsod ng Zamboanga	Zamboanga
Édith Piaf	Édith Piaf
Antipolo	Antipolo
Taguig	Taguig
Ilog Elba	Elbo (rivero)
Cagayan de Oro	Cagayan de Oro
Oklahoma	Oklahomo
Danubio	Danubo
Dagat Hilaga	Norda Maro
Moscow Oblast	Moskva provinco
Serge Gainsbourg	Serge Gainsbourg
Mainz	Majenco
Wiesbaden	Wiesbaden
Munich	Munkeno
Samara Oblast	Samara provinco (Rusio)
Dresde	Dresdeno
Balibol (palakasan)	Flugpilkado
Vienna	Vieno
Madonna	Madonna
Copenhague	Kopenhago
Kaliningrad Oblast	Kaliningrada provinco
Macrinus	Makrino
Estokolmo	Stokholmo
Lungsod ng Helsinki	Helsinko
Murmansk Oblast	Murmanska provinco
Dublin	Dublino
Elagabalus	Elagabalo
Murmansk	Murmansko
Reikiavik	Rejkjaviko
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Aleksandro Severo
Tallin	Talino
Riga	Rigo
Maximinus Thrax	Maximinus Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislavo
Budapest	Budapeŝto
Gordian I	Gordiano la 1-a
Frankfurt	Frankfurto ĉe Majno
Pupienus	Pupieno
Breslavia	Vroclavo
Gordian II	Gordiano la 2-a
Balbinus	Balbino
Prometyo	Prometio
Yunit na pang-astronomiya	Astronomia unuo
Gordian III	Gordiano la 3-a
Felipe ang Arabo	Filipo la araba
Aceh	Aceho
Kaliningrado	Kaliningrado
Decius (emperor)	Decio
Death Note	Kajero de Morto
Katolisismo	Katolikismo
Lungsod ng Luksemburgo	Luksemburgo
Vaduz	Vaduzo
Bibliya	Biblio
San Marino, San Marino	San-Marino (urbo)
Phnom Penh	Pnom-Peno
Arkhangelsk	Arĥangelsko
Lungsod ng Ho Chi Minh	Ho-Ĉi-Min-urbo
Iterbiyo	Iterbio
Hanoi	Hanojo
Totoong Simbahan ni Hesus	Vera Eklezio de Jesuo
Wikang Ingles	Angla lingvo
Bangkok	Bankoko
Lungsod ng Andorra la Vella	Andoro Malnova
Kuala Lumpur	Kuala-Lumpuro
Taipei	Tajpeo
Amerisyo	Americio
Odessa	Odesa
Arkhangelsk Oblast	Arĥangelska provinco
Dong Hoi	Dong Hoi
Concepción, Tsile	Koncepciono
Berkelyo	Berkelio
Diplomasya	Diplomatio
Petrozavodsk	Petrozavodsk
Lungsod ng Cagliari	Kaljaro
Kiev	Kievo
Nobelyo	Nobelio
Lungsod ng Catania	Katanio
Ontario, Canada	Ontario
Republika ng Karelia	Karelio (respubliko)
Ottawa	Otavo
Juba, Timog Sudan	Ĵubo
Manitoba	Manitobo
Alberta	Alberto
Nova Scotia	Nov-Skotio
Yerevan	Erevano
Vologda	Vologda
Końskowola	Końskowola
Hartum	Ĥartumo
New Brunswick	Nov-Brunsviko
Formula One	Formulo 1
British Columbia	Brita Kolumbio
Prince Edward Island	Insulo de Princo Eduardo
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskaĉevano
2012	2012
Masashi Kishimoto	Kishimoto Masashi
2011	2011
2010	2010
2009	2009
Dioksidong karbono	Karbona dioksido
2013	2013
2014	2014
2015	2015
