Afrig	Afriko
Israayil	Israelo
Panamaa	Panamo
Yaman	Jemeno
Jordaani	Jordanio
Nikaraaguwa	Nikaragvo
Kirgistaan	Kirgizio
Kowet	Kuvajto
Réewum Lawos	Laoso
Libaa	Libano
Maldiif	Maldivoj
Aamerig	Ameriko
Maleesi	Malajzio
Miyanmaar	Birmo
Nepaal	Nepalo
Omaan	Omano
Pakistaan	Pakistano
Kataar	Kataro
Araabi Sawdit	Sauda Arabio
Siri Laanka	Sri-Lanko
Siri	Sirio
Tajikistaan	Taĝikio
Taaywaan	Respubliko Ĉinio
Taaylaand	Tajlando
Ceññeer-mbej	Radiofonio
Turkumenistaan	Turkmenio
Imaaraat yu Araab yu Bennoo yi	Unuiĝintaj Arabaj Emirlandoj
Wiyetnaam	Vjetnamio
Kore gu Bëj-saalum	Sud-Koreio
Afganistaan	Afganio
Banglaades	Bangladeŝo
Mali	Malio
Angolaa	Angolo
Butaan	Butano
Tansani	Tanzanio
Filipiin	Filipinoj
Réewum Diggu Afrig	Centr-Afrika Respubliko
Dottub Bëj-saalum	Suda poluso
Dottub Bëj-gànnaar	Norda poluso
Albert Einstein	Albert Einstein
Mboq	Flava
Togóo	Togolando
Tiniisi	Tunizio
Saambi	Zambio
Simbaawee	Zimbabvo
Bene	Benino
Botswana	Bocvano
Burkinaa Faaso	Burkino
Buruundi	Burundo
Komoor	Komoroj
Kongóo-Brasaawiil	Respubliko Kongo
Kongóo-Kinshasa	Demokratia Respubliko Kongo
Jibuti	Ĝibutio
Gineg yamoo	Ekvatora Gvineo
Eritere	Eritreo
Tibilisi	Tbiliso
Gaboŋ	Gabono
Gàmbi	Gambio
Gine	Gvineo
Gine Bisaawóo	Gvineo Bisaŭa
Kodiwaar	Ebur-Bordo
Kamerun	Kameruno
Kap Weert	Kaboverdo
Lesoto	Lesoto
Libeeria	Liberio
Libi	Libio
Madagaskaar	Madagaskaro
Malawi	Malavio
Gànnaar	Maŭritanio
Móoris	Maŭricio
Marok	Maroko
Mosambik	Mozambiko
Namibi	Namibio
Niseer	Niĝero
Charles Darwin	Charles Darwin
Ugandaa	Ugando
Ruwandaa	Ruando
Saw Tome ak Preesip	Sao-Tomeo kaj Principeo
Senegaal	Senegalo
Seysel	Sejŝeloj
Siraa Leyoon	Siera-Leono
Somali	Somalio
Julius Caesar	Julio Cezaro
Sudaan	Sudano
Suwaasilaand	Svazilando
Kureelu Mbootayu Xeet yi	Unuiĝintaj Nacioj
Melosuuf	Geografio
Melo	Koloro
Prag	Prago
Baxa	Blua
Yanu mbëj	Elektra ŝargo
Poortorikoo	Porto-Riko
Mbàmbulaanug End	Hinda Oceano
Wàll:Xët wu njëkk	Kategorio:Ĉio
Golo	Simio
Koppar	Mono
Gunóor	Insekto
Niccolò Machiavelli	Makiavelo
Uetersen	Uetersen
Jibraltaar	Ĝibraltaro
Sagreb	Zagrebo
Astana	Astano
Aten	Ateno
Bagdad	Bagdado
Caracas	Karakaso
Wiyen	Vieno
Kopenagen	Kopenhago
Stokolm	Stokholmo
Elsinki	Helsinko
Dublin	Dublino
Reykjawik	Rejkjaviko
Talin	Talino
Riga	Rigo
Baratislawa	Bratislavo
Budapest	Budapeŝto
Luksambuur (péy)	Luksemburgo
Wadus	Vaduzo
Biibël	Biblio
San Marino (péy)	San-Marino (urbo)
Ho Chi Minh City	Ho-Ĉi-Min-urbo
Jàngu Yéesu bu Dëggu bi	Vera Eklezio de Jesuo
Wu-angalteer	Angla lingvo
Andorra la Vella	Andoro Malnova
Đồng Hới	Dong Hoi
Concepción (Ciili)	Koncepciono
Kiyew	Kievo
Końskowola	Końskowola
Xartum	Ĥartumo
Sharles Degóol	Charles de Gaulle
Mbëjfepp	Elektrono
Minsk	Minsko
Feppsaal	Protono
Kurów	Kurów
Feppmaandu	Neŭtrono
Mogadisu	Mogadiŝo
Football	Futbalo
Madrid	Madrido
Wert	Verdo
Xonq	Ruĝa
Safara	Fajro
Lourdes	Lourdes
Niiruw jant	Suna nebulozo
Rabat	Rabato
Alse	Alĝero
Dexub Senegaal	Senegalo (rivero)
Tunis	Tunizo
Tripoli (Libi)	Tripolo
Jibuti (dëkk)	Ĝibuto
Addis-Abeba	Adis-Abebo
Ankara	Ankaro
Asmara	Asmaro
Njamena	Nĵameno
Nouakchott	Nuakŝoto
Belgrad	Beogrado
Ndakaaru	Dakaro
Banjul	Banĵulo
Wàll:Royuwaay	Kategorio:Vikipedio:Ŝablonoj
Praia	Prajo
Guyaana gu Faraas	Franca Gviano
Amman	Amano
Yaunde	Jaundeo
Malabo	Malabo
Libarwil	Librevilo
Bangi	Bango
Kinshasa	Kinŝaso
Brasawil	Brazavilo
Bujumbura	Buĵumburo
Kigali	Kigalo
Dodoma	Dodomao
Nairobi	Najrobo
Lilongwe	Lilongvo
Lusaka	Lusako
Maputo	Maputo
Kampala	Kampalo
Luanda	Luando
Moroni	Moronio
Antananariwo	Antananarivo
Arare	Harareo
Wiktoria (Seysel)	Viktorio (Sejŝeloj)
Kër	Domo
Lonkoyoon	Mapo
Dex	Rivero
Osasco	Osasco (San-Paŭlo)
Curitiba	Kuritibo
Sowwu Afrig	Okcidentafriko
Confucius	Konfuceo
Corbin Bleu	Corbin Bleu
Wàll:Xayma	Kategorio:Matematiko
Duni Faarow	Ferooj
Géej gu Diggu	Mediteraneo
Gox	Kontinento
Monzón	Monzono
Weer	Monato
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Almazán	Almazán
Jimbulang	Enciklopedio
Xët wu njëkk	Vikipedio:Ĉefpaĝo
Dëgërlukaay	Rezistilo
Fattalukaay(mbëj)	Kondensilo
Xiirtalukaay	Induktilo
Tugalasi	Eŭrazio
Babilon	Babilono
Dunu Aland	Alando
Betleyem	Bet-Leĥem
Duni Kanaari	Kanarioj
Xeltu	Filozofio
Rap	Repo
Hebe Camargo	Hebe Camargo
Sahara gu Sowwu	Okcidenta Saharo
Atali	Antalya
Wàll:Saytubiddiw	Kategorio:Astronomio
Saara	Saharo
Niels Bohr	Niels Bohr
Politig	Politiko
Qin Shi Huang	Qin Shihuangdi
Penku gu Diggu	Mezoriento
Réew	Ŝtato
Mbàmbulaan gu Bëj-saalum	Suda Oceano
Bët	Okulo
Ñay	Elefanto
Melentaan	Formiko
Simili	Minuto
Mburu	Pano
Kiswahili	Svahila lingvo
Dereet	Sango
Toulouse	Tuluzo
Xam-xamu suuf si ak jawwu ji	Terscienco
Doj	Rokaĵo
Jawwu ji	Atmosfero (astro)
Koom-koom	Ekonomiko
Yewwute gu ndefar	Industrio
Wàll:Bulgaari	Kategorio:Bulgario
Njàngat	Literaturo
Wàll:Faraas	Kategorio:Francio
Wàll:Woy	Kategorio:Muziko
Wàll:Njàngat	Kategorio:Literaturo
.ac	.ac
Xay	Civilizo
Gόor	Viro
Tangor	Monto
Yay	Dezerto
Ooŋ Koŋ	Honkongo
HTML	HTML
Xarefulwoon	Atomo
Nosteg doxiin	Operaciumo
Baku	Bakuo
Mbàmbulaan	Oceano
Budda	Sidarto Gotamo
Premier League	F.A. Supra Ligo
Mohammed	Mohamedo
Dunu Falkland	Insuloj Falklandoj
Ronald Reagan	Ronald Reagan
Gordon Brown	Gordon Brown
Wàll:Benesuwela	Kategorio:Venezuelo
Pitax	Kolombedoj
Garab	Arbo
Wuutuloxo	Maŝino
Xibaar	Informo
Paj	Medicino
Saarayego	Sarajevo
Wàll:Breesil	Kategorio:Brazilo
Wàll:Romaani	Kategorio:Rumanio
Xeet	Kemia elemento
Kàttan	Energio
Hip-hop	Hiphopo
Mbëjbijjaakon	Elektromagnetismo
Toolu bijjaakon	Magneta kampo
Dooley ñoddi	Gravito
Bijjaan	Magneto
Yolaakon	Likvo
Féex	Vakuo
Yaatuwaay	Areo
Saa	Sekundo
Cuub	Pentrado
Nataal	Fotarto
Yatt	Skulptarto
Mbëjfeppal	Elektroniko
Dawaanu mbëj	Elektra kurento
Baraay	Frekvenco
Soppalikaay	Transformatoro
Xaralay xibaar ak jokkoo	Informa teknologio
Duni Virgin (us)	Usonaj Virgulininsuloj
Bëj-saalum-penku Asi	Sud-Orienta Azio
Limu réewi àdduna bi	Listo de sendependaj ŝtatoj
Njëkk-taariix	Prahistorio
Réewum ñaari dex yi	Mezopotamio
Las Palmasu Kanaari gu Mag	Las Palmas de Gran Canaria
Arminaat	Kalendaro
Xarey jóoñe	Krucmilitoj
Mbëj	Elektro
Montserrat	Moncerato
Ndajem Berlin	Berlina Konferenco
Adiratig	Adriatiko
Ngiste	Optiko
Makaaw	Makao
Soviet Yi Benno	Sovetunio
Queen	Queen
Royuwaay:Lien AdQ	Ŝablono:LigoElstara
Àdduna	Mondo
Wikipedia:Pénc mi	Vikipedio:Diskutejo
Guam	Gvamo
Samoa gu Aamerig	Usona Samoo
Northern Mariana Islands	Nord-Marianoj
United States Minor Outlying Islands	Usonaj Malgrandaj Insuloj
Guwaadalup	Gvadelupo
Martinik	Martiniko
Mayoot	Majoto
Reiñõo	Reunio
Turks and Caicos Islands	Turkoj kaj Kajkoj
Manchester United	Manchester United
Juróom ñent	9 (nombro)
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Bukarest	Bukareŝto
Louvre	Luvro
Kureelu tembte bu Poortorikoo	Partio de la Sendependeco de Porto-Riko
Tirana	Tirano
Nowel	Kristnasko
Breinigerberg	Breinigerberg
Ségg	Tigro
Kisinawu	Kiŝinevo
Şalom	Şalom
Aruba	Arubo
Juróom ñaar	7 (nombro)
Juróom ñett	8 (nombro)
Ayubés	Semajno
Ngéej	Lago
Jeexiituwaay bu Orsay	Musée d'Orsay
Dunu Buwet	Buvet-Insulo
Dun	Insulo
Juróom benn	6 (nombro)
Moshchena	Moŝĉena
Yamoo	Ekvatoro
Mérida, Benesuwela	Merido (Venezuelo)
Podgorika	Podgorico
Baatukaay	Vortaro
Bermuda	Bermudo
Palestiin	Palestino
Waleta	La-Valeto
Fukk	10 (nombro)
Tene	Gepardo
Looy	Strigoformaj birdoj
Angila	Angvilo
Waxtu	Horo
Pichilemu	Piĉilemo
Duni Virgin (angalteer)	Britaj Virgulininsuloj
Phan Thiet	Phan Thiết
Goxub Dottub Bëj-gànnaar	Arkto
Ngóora (jëmm)	Povumo
Ndëgërlu gu mbëj	Elektra rezistanco
Dendu mbëj	Elektra tensio
Niccolò Cusano University	Università degli Studi Niccolò Cusano
Mbëjtekkaaral	Elektrostatiko
Anet	Aneto
Dunu Kook	Kukinsuloj
Penku Asi	Orienta Azio
Diggu Asi	Centra Azio
Bëj-gànnaaru Afrig	Nord-Afriko
Bëj-saalumu Afrig	Suda Afriko
Penku Afrig	Orientafriko
Diggu Afrig	Centra Afriko
Bëj-saalumu Tugal	Suda Eŭropo
Penku Tugal	Orienta Eŭropo
Bëj-gànnaaru Tugal	Norda Eŭropo
Sowwu Tugal	Okcidenta Eŭropo
Afritugalasi	Afrik-Eŭrazio
Diggu Aamerig	Centra Ameriko
Maghreb	Magrebo
Weeri wolof	Islama kalendaro
Ecser	Ecser
Polineesi gu Faraas	Franca Polinezio
Dunu Norfolk	Norfolkinsulo
Dunu Christmas	Kristnaskinsulo
Arabi	Arabio
Paaka	Tranĉilo
Pullaar	Fula lingvo
Kaledooni-Gu-Bees	Nov-Kaledonio
Way-dëkk	Loĝantaro
Niwe	Niuo
Tus-wu-gaar	Latitudo
Wolof (làkk)	Volofa lingvo
Gëstubiddiw	Astrologio
Seent Eleen	Sankta Heleno
Saint Pierre ak Miquelon	Sankta-Piero kaj Mikelono
Njëkk-xaymà	Telefona landokodo
Tequixquiac	Tequixquiac
Jeoorji gu Bëj-saalum ak Duni Islaand yi Bëj-saalum	Sud-Georgio kaj Sud-Sandviĉinsuloj
Dalub web	TTT-ejo
Araab	Araboj
Wallis ak Futuna	Valiso kaj Futuno
Pitkeern	Pitkarna insularo
Ne-ne	Materio
Al Bayda	Al Bajda
Gaal	Boato
Polineesi	Polinezio
Dunu Kokos	Kokosinsuloj
Thanh Hoa	Thanh Hoa
Siligo	Siligo
Tus-wu-taxaw	Longitudo
Dàngin	Gorilo
Ben Tre	Ben Tre
Xëtu web	TTT-paĝo
Tokelau	Tokelao
Tembte	Sendependeco
Melaneesi	Melanezio
Téeméer	100 (nombro)
Campora San Giovanni	Campora San Giovanni
Besançon	Besançon
Jinax	Muso (besto)
Suraas	Oranĝkolora
Artemis	Artemiso
Esaas	Benzino
Radio Studio 54 Network	Radio Studio 54 Network
Tëriinuw nosukaay	Komputila programo
Jëf ya	Agoj de la Apostoloj
Bejjenu Afrig	Korno de Afriko
Fatt-jawwu	Troposfero
Al Pacino	Al Pacino
Doolerandu	Mekaniko
Sinemaa	Kinejo
Jum	Raketo (fajraĵo)
Daawuda	Davido
Liggéey (jëmm)	Laboro (fiziko)
Penku gu Sori	Fora Oriento
Gëwéel	Tropikoj
Junni	1000 (nombro)
Xaralaymbëj	Elektrotekniko
Waañ	Kuirejo
Andare	Sankta Andreo
Bartelemi	Apostolo Bartolomeo
The Doors	The Doors
Toolu mbëj	Elektra kampo
Kàttanug imbiku	Kineta energio
Mbootaayu Réewi Jullit yi	Organizaĵo de Islama Kunlaboro
Penku gu Jege	Proksima Oriento
Almasi bi	Mesio
Bànni Israyil	Izraelidoj
Aaroona	Aaron
Jàngoroy Ebola	Ebola malsano
Locri	Locri
Monaako (péy)	Monako (urbo)
Wàll:Filmi	Kategorio:Filmo
Aset	Telero
Truong Tan Sang	Truong Tan Sang
Duran Duran	Duran Duran
Ron-goxu End	Hinda subkontinento
Diiwaani dott	Polusa regiono
Sahel	Sahelo
Aadama	Adamo (Biblio)
Doxalukaay bu mbëj	Elektromotoro
Ametist	Ametisto
Coronel Fabriciano	Coronel Fabriciano
Junj	Simbolo
1 Korent	1-a epistolo al la korintanoj
Furset	Forko
Kuddu	Kulero
Royan	Royan
Lepton	Leptono
Bundesliga	Unua germania ligo de futbalo (Bundesliga)
Dencukaay	Dosiero
Cosaan	Tradicio
Jéeri ji	Litosfero
Lëkkalekaay	Hiperligilo
Nukleon	Nukleono
Beril	Berilo (mineralo)
Xarey àdduna	Mondmilito
Abdulaay Wàdd	Abdoulaye Wade
Dëgërluwiin	Elektra rezistivo
Yolom-jawwu	Stratosfero
Melosuufug Tugal	Geografio de Eŭropo
Dawaan bu safaanu	Alterna kurento
Disc jockey	Diskĵokeo
2 Piyeer	2-a epistolo de Petro
Heard Island and McDonald Islands	Insulo Herdo kaj insuloj Makdonaldaj
IMMAGINE&POESIA	Immagine & Poesia
Jurukaayu mbëj	Generatoro
Ndombo gu mbëj	Elektra cirkvito
Mamudsu	Mamudzo
Afrig gu bëj-saalumu-Sahara	Afriko sude de Saharo
Sawara	Brulo
Raaya wu Senegaal	Flago de Senegalo
Leopool Sedaar Sengoor	Léopold Sédar Senghor
Dóox	Duklando
Dawaan bu wéy	Kontinua kurento
Digg bu mbëj	Elektrejo
Kom-kom	Ekonomio
Pachuca de Soto	Pachuca de Soto
Iyon-jawwu	Jonosfero
Break dancing	Rompdancado
Asot	Aŝdod
Amiin	Amen
Amos	Libro de Amos
Toolu mbëjbijjaakon	Elektromagneta kampo
Xiirtalu	Induktanco
Mbëjbijjaan	Elektromagneto
Ayóoba	Ijob
Aakimoo jawwu ji	Kosmoesploro
Dalu Archimède	Leĝoj de Arkimedo
Imbraatóor gu Mali	Imperio Malio
Barnabas	Barnabaso
Armagedon	Armagedono
Njël	Sunleviĝo
Ancos ci Siri	Antioĥio
Beelsebul	Belzebubo
Pël	Fulboj
Vesoul	Vesoul
Akayi	Achaea
Imbraatóor gu Gana	Ganaa imperio
Kàttanug mbëj	Elektra energio
Duusub sin	Sinusoido
Njeexitu joule	Ĵula leĝo
Ajara	Hagar
Wolof (askan)	Volofoj
Turu Way-Dëkk	Laŭloka nomo
Haj	Haĝo
Krushynka	Kruŝinka
Arkelawus	Herodo Arĥelao
Beer	Gorée
Mboolaay	Societo
Ndar	Saint-Louis (Senegalo)
Abadon	Abadon
Wommat wu mbëj	Konduktado (elektro)
Asaf	Asa
Agaripa	Herodo Agripo la 2-a
Abel	Habelo
Ousmane Sembène	Ousmane Sembene
Apolos	Apolo (Biblio)
Bitini	Bitinio
Yolet	Viola
Ben-yamin	Benjamen
Planoise	Planoise Châteaufarine
Betsayda	Betsaida
Bisub Tabaski	Eid ul-Adha
Dalmasi	Dalmatio
Max	Termito
Wure	Ovare
Baal	Baalo
Cees	Tieso
Tuubaa	Tuba
Antipataris	Antipatrido
Taariixu Aamerig	Historio de Ameriko
Séeréer	Sereroj
Asos	Assos
Jolof	Volofa Imperio
Baynuk	Bajnunkoj
Barag	Barak (Biblio)
Bartime	Bartimeo
Beliyar	Belialo
Mandinke	Mandinkoj
Awa	Eva
Betesda	Lageto Betesda
Kaasamaas	Kazamanco
Santiago Tequixquiac	Santiago Tequixquiac
Kawlak	Kaolack
Nosteg galag	Fiska juro
Oiapoque	Oiapoque
Jurbel	Diourbel
Xolaxol	Longvosta lamprotorno
Wuutuloxo bu mbëj	Elektra maŝino
Xiirtalug mbëjbijjaakon	Elektromagneta indukto
Tëngéej	Rufisko
Mbuur	Mbur
Catir	Tiatira
Maatam	Matam (Senegalo)
Joolaa (askan)	Djoloj
Màkkaanum mbëjfeppal	Retadreso
Wàll:Gόor	Kategorio:Viroj
Wàll:Almaañ	Kategorio:Germanio
Wàll:Itaali	Kategorio:Italio
Wàll:Riisi	Kategorio:Rusio
Wàll:Kanadaa	Kategorio:Kanado
Wàll:Nguur-Yu-Bennoo	Kategorio:Unuiĝinta Reĝlando
Wàll:Ispaañ	Kategorio:Hispanio
Wàll:Sapoŋ	Kategorio:Japanio
Wàll:Óstraali	Kategorio:Aŭstralio
Wàll:Meksik	Kategorio:Meksiko
Wàll:End	Kategorio:Barato
Wàll:Araabi Sawdit	Kategorio:Sauda Arabio
Wàll:Israayil	Kategorio:Israelo
Wàll:Watikaa	Kategorio:Vatikano
Wàll:Tirki	Kategorio:Turkio
Wàll:Afrig gu Bëj-saalum	Kategorio:Sud-Afriko
Wàll:Isipt	Kategorio:Egiptio
Wàll:Iraan	Kategorio:Irano
Wàll:Arsantin	Kategorio:Argentino
Wàll:Afganistaan	Kategorio:Afganio
Wàll:Alseeri	Kategorio:Alĝerio
Wàll:Banglaades	Kategorio:Bangladeŝo
Wàll:Kubaa	Kategorio:Kubo
Wàll:Ecoopi	Kategorio:Etiopio
Wàll:Endoneesi	Kategorio:Indonezio
Wàll:Iraak	Kategorio:Irako
Wàll:Niseeria	Kategorio:Niĝerio
Wàll:Poloñ	Kategorio:Pollando
Wàll:Portugaal	Kategorio:Portugalio
Wàll:Kore gu Bëj-saalum	Kategorio:Sud-Koreio
Wàll:Sudaan	Kategorio:Sudano
Wàll:Suwis	Kategorio:Svislando
Wàll:Tansani	Kategorio:Tanzanio
Wàll:Ukreen	Kategorio:Ukrainio
Wàll:Wiyetnaam	Kategorio:Vjetnamio
Wàll:Picc	Kategorio:Birdoj
Wàll:Gàncax	Kategorio:Plantoj
Wàll:Jëmm	Kategorio:Fiziko
Wàll:Taariix	Kategorio:Historio
Wàll:Melosuuf	Kategorio:Geografio
Wàll:Diine	Kategorio:Religio
Wàll:Sport	Kategorio:Sporto
Wàll:Xam-xam	Kategorio:Scienco
Wàll:Sinemaa	Kategorio:Kino
Wàll:Suuf	Kategorio:Tero
Wàll:Xibaar	Kategorio:Informado
Wàll:Xeltu	Kategorio:Filozofio
Wàll:Lislaam	Kategorio:Islamo
Benedicta Boccoli	Benedicta Boccoli
Wàll:Junj	Kategorio:Ĝermo
Wàll:Gox yi	Kategorio:Kontinentoj
Bunt:Melosuuf	Portalo:Geografio
Mikroneesi	Mikronezio
Anna Rita Del Piano	Anna Rita Del Piano
Royuwaay:M	Ŝablono:Ŝ
Royuwaay:Yeneenlàkk	Ŝablono:ĈefPaĝo/AliajLingvoj
Wàll:Réew	Kategorio:Landoj
Wàll:Koom-koom	Kategorio:Ekonomiko
Wikipedia:Yorkat	Vikipedio:Administrantoj
Wàll:Kasakistaan	Kategorio:Kazaĥio
Wikipedia:Bureaucrats	Vikipedio:Burokratoj
Wikipedia:Bot	Vikipedio:Roboto
Wàll:Paj	Kategorio:Medicino
Wàll:Politig	Kategorio:Politiko
Wàll:Fànn	Kategorio:Arto
Isipt	Egiptujo
Royuwaay:Bot	Ŝablono:Bot
Kanadaa	Kanado
Wàll:Beljik	Kategorio:Belgio
Wàll:Ciipër	Kategorio:Kipro
Wàll:Réewum Cek	Kategorio:Ĉeĥio
Wàll:Danmaark	Kategorio:Danio
Wàll:Estooni	Kategorio:Estonio
Wàll:Finlaand	Kategorio:Finnlando
Wàll:Girees	Kategorio:Grekio
Wàll:Letóoni	Kategorio:Latvio
Wàll:Islaand	Kategorio:Islando
Wàll:Luksambuur	Kategorio:Luksemburgo
Wàll:Lituwaani	Kategorio:Litovio
Wàll:Malt	Kategorio:Malto
Wàll:Suweed	Kategorio:Svedio
Wàll:Eslowaaki	Kategorio:Slovakio
Wàll:Esloweeni	Kategorio:Slovenio
Wàll:Xare	Kategorio:Militoj
Wàll:Tugal	Kategorio:Eŭropo
Wommatiinu mbëj	Elektra konduktivo
Wàll:Waa-wikipedia ci làkk-ak-làkk	Kategorio:Vikipediistoj laŭ lingvo
Sung Jae-gi	Sung Jae-gi
Royuwaay:Softredirect	Ŝablono:Intervikia plusendilo
Royuwaay:Far	Ŝablono:Forigu tuj
Wàll:Xarala	Kategorio:Teknologio
Wàll:Làkk	Kategorio:Lingvoj
Wàll:Arminaat	Kategorio:Kalendaro
Wàll:Wikipedia	Kategorio:Vikipedio
Wàll:Barab bu tolluwaay bu njëkk	Kategorio:Domajnoj de plej alta nivelo
Royuwaay:!	Ŝablono:!
Wàll:Afrig	Kategorio:Afriko
Wàll:Sulet	Kategorio:Julio
Wàll:Suwe	Kategorio:Junio
Wàll:Mbëjfeppal	Kategorio:Elektroniko
Wàll:Leeral Biibël	Kategorio:Biblio
