Afrika	Afriko
Grenada	Grenado (lando)
Massachusetts	Masaĉuseco
Gvatemala	Gvatemalo
Google Chrome	Google Chrome
Bahami	Bahamoj
Connecticut	Konektikuto
Kokoška	Koko
Antigva i Barbuda	Antigvo-Barbudo
Hawaii	Havajo
Honduras	Honduro
Dominika	Dominiko
Jersey	Ĵersejo
Dominikanska Republika	Domingo
Svinja	Porko
Arktički okean	Arkta Oceano
Haiti	Haitio
El Salvador	Salvadoro
Iran	Irano
Irak	Irako
Aljaska	Alasko
Mudrost	Saĝo
Kostarika	Kostariko
Izrael	Israelo
Panama	Panamo
Jemen	Jemeno
Lausanne	Laŭzano
Virus (biologija)	Viruso (biologio)
Poljski jezik	Pola lingvo
Jordan	Jordanio
Nikaragva	Nikaragvo
Florida	Florido
Kirgistan	Kirgizio
Arizona	Arizono
Kuvajt	Kuvajto
Laos	Laoso
Liban	Libano
Oregon	Oregono
Maldivi	Maldivoj
Amerika	Ameriko
Utah	Utaho
Domaće govedo	Bovo
Malezija	Malajzio
Valais	Kantono Valezo
Mihail Bulgakov	Miĥail Bulgakov
Mjanmar	Birmo
Nepal	Nepalo
Oman	Omano
Pakistan	Pakistano
James Bond	James Bond (fikcia universo)
Katar	Kataro
Tenis	Teniso
MySQL	MySQL
Saudijska Arabija	Sauda Arabio
Šri Lanka	Sri-Lanko
Josif Staljin	Josif Stalin
Barkod	Strekokodo
Sirija	Sirio
Platon	Platono
Galij	Galiumo
Josif Brodski	Iosif Brodskij
Tadžikistan	Taĝikio
Pokémon	Pokemono
Tajvan	Respubliko Ĉinio
YouTube	YouTube
Germanij	Germaniumo
Aristotel	Aristotelo
Tajland	Tajlando
Voz	Trajno
Arsen	Arseno
Radio	Radiofonio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenio
Selen	Seleno
Iridij	Iridio
Ujedinjeni Arapski Emirati	Unuiĝintaj Arabaj Emirlandoj
Brom	Bromo
Platina	Plateno
Vijetnam	Vjetnamio
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsko
Južna Koreja	Sud-Koreio
Józef Piłsudski	Józef Piłsudski
Simpsoni	La Simpsonoj
Jekaterinburg	Jekaterinburg
Kripton	Kriptono
Afganistan	Afganio
Njižni Novgorod	Niĵnij Novgorod
J. R. R. Tolkien	John Ronald Reuel Tolkien
Limunada	Limonado
Samara	Samara (urbo)
Rubidij	Rubidio
Zlato	Oro
Omsk	Omsk
Sueski kanal	Sueza Kanalo
Kazanj	Kazano
Bangladeš	Bangladeŝo
Franz Kafka	Franz Kafka
Rostov na Donu	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Malio
Sokrat	Sokrato
Volgograd	Volgogrado
Angola	Angolo
Perm (grad)	Permjo
Butan (država)	Butano
Twitter	Twitter
Krasnojarsk	Krasnojarsk
Brunej	Brunejo
Brač	Brač
Tanzanija	Tanzanio
Živa	Hidrargo
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipini	Filipinoj
Srednjoafrička Republika	Centr-Afrika Respubliko
Talij	Taliumo
Južni pol	Suda poluso
Sjeverni pol	Norda poluso
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Stroncij	Stroncio
Itrij	Itrio
Bizmut	Bismuto
Žuta	Flava
Kvantna mehanika	Kvantuma mekaniko
Togo	Togolando
Republika Tunis	Tunizio
Zambija	Zambio
Zimbabve	Zimbabvo
Peking	Pekino
Južni Sudan	Sud-Sudano
Vladivostok	Vladivostok
Tuva	Tuvio
Benin	Benino
Bocvana	Bocvano
Wikivijesti	Vikinovaĵoj
Burkina Faso	Burkino
Burundi	Burundo
Komori	Komoroj
Republika Kongo	Respubliko Kongo
Ob	Obo
Demokratska Republika Kongo	Demokratia Respubliko Kongo
San Antonio	San Antonio (Teksaso)
Džibuti	Ĝibutio
Polonij	Polonio
Bavarska	Bavario
Ekvatorijalna Gvineja	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Eritreja	Eritreo
New Delhi	Nov-Delhio
Papa Ivan Pavao II	Johano Paŭlo la 2-a
Fjodor Dostojevski	Fjodor Dostojevskij
Kamčatka	Kamĉatko
Tbilisi	Tbiliso
Astat	Astato
Gabon	Gabono
Mahatma Gandhi	Mohandas Karamchand Gandhi
Solidarnost (sindikat)	Solidareco (Pollando)
Strip	Bildliteraturo
Gambija	Gambio
Gvineja	Gvineo
Gvineja-Bisau	Gvineo Bisaŭa
Obala Slonovače	Ebur-Bordo
Kamerun	Kameruno
Maribor	Mariboro
Zelenortska Ostrva	Kaboverdo
Celje	Celje
Lesoto	Lesoto
Liberija	Liberio
Koper	Kapodistrio
Libija	Libio
Aachen	Aachen
Madagaskar	Madagaskaro
Malavi	Malavio
Kranj	Kranj
Stuttgart	Stutgarto
Triglav (planina)	Triglav
Mauritanija	Maŭritanio
Poljaci	Poloj
Mauricijus	Maŭricio
Maroko	Maroko
Mozambik	Mozambiko
Namibija	Namibio
France Prešeren	France Prešeren
Niger	Niĝero
Nigerija	Niĝerio
Charles Darwin	Charles Darwin
Uganda	Ugando
Ruanda	Ruando
Cirkonij	Zirkonio
Sveti Toma i Princip	Sao-Tomeo kaj Principeo
Senegal	Senegalo
Sejšeli	Sejŝeloj
Carl von Linné	Karolo Lineo
Sijera Leone	Siera-Leono
Somalija	Somalio
Niobij	Niobio
Džavaharlal Nehru	Jawaharlal Nehru
Julije Cezar	Julio Cezaro
Sudan	Sudano
Svazilend	Svazilando
Duga	Ĉielarko
Molibden	Molibdeno
Tehnecij	Teknecio
Hamburg	Hamburgo
Metabolizam	Metabolo
Imunološki sistem	Imuna sistemo
Ontario (jezero)	Ontario (lago)
Evolucija	Evoluismo
Alessandro Manzoni	Alessandro Manzoni
Ujedinjeni narodi	Unuiĝintaj Nacioj
Dante Alighieri	Dante Alighieri
Geologija	Geologio
Geografija	Geografio
Srce	Koro
Mozak	Cerbo
Koža	Haŭto
Boja	Koloro
Breaking Bad	Breaking Bad
Imenice	Substantivo
Prag	Prago
Rutenij	Rutenio
Rodij	Rodio
Plava	Blua
Paladij	Paladio
Srebro	Arĝento
Kadmij	Kadmio
Zvjezdane staze	Star Trek
Indij	Indio
Kalaj	Stano
Uranij	Uranio
Antimon	Antimono
Telur	Teluro
Plutonij	Plutonio
Jod	Jodo
Neptunij	Neptunio
Ksenon	Ksenono
Anime	Animeo
Cezij	Cezio
Protaktinij	Protaktinio
Električni naboj	Elektra ŝargo
Barij	Bario
Torij	Torio
Hafnij	Hafnio
Aktinij	Aktinio
Tantal	Tantalo
Bill Clinton	William J. Clinton
Radij	Radiumo
Radon	Radono
Lorena (regija)	Loreno
Alsace	Alzaco
Indira Gandhi	Indira Gandhi
Merkur (mitologija)	Merkuro (dio)
Hector Berlioz	Louis Hector Berlioz
Auvergne	Aŭvernjo
Mumbai	Mumbajo
Andhra Pradesh	Andra-Pradeŝo
Michigan	Miĉigano
Michigan (jezero)	Miĉigano (lago)
Bourgogne	Burgonjo
Akvitanija	Akvitanio
Jammu i Kashmir	Ĝamuo kaj Kaŝmiro
Portoriko	Porto-Riko
Kerala	Keralao
Usain Bolt	Usain Bolt
Limousin	Limoĝio
Schleswig-Holstein	Ŝlesvigo-Holstinio
Mecklenburg-Zapadno Pomorje	Meklenburgo-Antaŭpomerio
Donja Saksonija	Malsupra Saksio
Sjeverna Rajna-Vestfalija	Nordrejn-Vestfalio
Hessen	Hesio
Porajnje-Falačka	Rejnlando-Palatinato
Saarland	Sarlando
Saksonija	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Tiringija	Turingio
Saksonija-Anhalt	Saksio-Anhalto
Sjeverna Dakota	Norda Dakoto
Brandenburg	Brandenburgio
Bremen (pokrajina)	Libera hansa urbo Bremeno
Lombardija	Lombardujo
Južna Dakota	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Pijemont	Piemonto
Jerusalem	Jerusalemo
Alster	Außenalster
Idaho	Idaho
Valle d'Aosta	Aosta Valo
Washington	Vaŝingtonio
Bruce Springsteen	Bruce Springsteen
Raderfordij	Ruterfordio
Nevada	Nevado
Don (rijeka)	Don (rivero)
Dubnij	Dubnio
Siborgij	Seborgio
Trentino-Južni Tirol	Trentino-Alto Adige
Indijski okean	Hinda Oceano
Veneto	Veneto
Kosovo	Kosovo
Karipsko more	Kariba Maro
Borij	Borio
Furlanija-Julijska Krajina	Friulo-Venecio Julia
Hasij	Hasio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Ligurija	Ligurio
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Majtnerij	Mejtnerio
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Koloradio
Emilia-Romagna	Emilio-Romanjo
U Thant	U Thant
Darmštatij	Darmŝtatio
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Rendgenij	Rentgenio
Toskana	Toskanio
Gladwyn Jebb	Gladwyn Jebb
Leonard Cohen	Leonard Cohen
Kopernicij	Kopernicio
Marche	Markio (Italio)
Umbrija	Umbrio
Kategorija:Sadržaj	Kategorio:Ĉio
Lazio	Latio
Abruzzo	Abruco
Alpi	Alpoj
Blaise Pascal	Blaise Pascal
Dama (igra)	Damludo
Dortmund	Dortmund
Chicago	Ĉikago
The Beatles	The Beatles
Ununtrij	Ununtrio
Flerovij	Flerovio
Ununpentij	Ununpentio
Livermorij	Livermorumo
Ununseptij	Ununseptio
Ununoktij	Ununoktio
Como	Komo (Italio)
Zima	Vintro
Proljeće	Printempo
Ljeto	Somero
Jesen	Aŭtuno
Ravnodnevnica	Ekvinokso
Sadam Husein	Saddam Hussein
Osama bin Laden	Usama bin Laden
Španski jezik	Hispana lingvo
Friedrich August von Hayek	Friedrich August von Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Opera (muzika)	Opero
Philadelphia	Filadelfio (Pensilvanio)
Kolkata	Kolkato
Chennai	Ĉenajo
Delhi	Delhio
Dhaka	Dako
Pauk	Araneuloj
Arachnide	Araneedoj
Zglavkari	Artropodoj
Islamabad	Islamabado
Plod	Frukto
Majmun	Simio
Novac	Mono
Virginia	Virginio (ŝtato)
Zapadna Virginia	Okcidenta Virginio
Matterhorn	Materhorno
New York (država)	Nov-Jorkio
Cerij	Cerio
Prazeodij	Prazeodimo
Rhode Island	Rod-Insulo
Neodij	Neodimo
Insekti	Insekto
Maryland	Marilando
Delaware	Delavaro
Vladimir Iljič Lenjin	Lenin
Europij	Eŭropio
Ohio	Ohio
Vergilije	Vergilio
Niccolò Machiavelli	Makiavelo
Pennsylvania	Pensilvanio
Francesco Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Oktavijan August	Aŭgusto Cezaro
Microsoft Windows	Microsoft Windows
Tiberije	Tiberio
New Jersey	Nov-Ĵerzejo
Kaligula	Kaligulo
Gibraltar	Ĝibraltaro
Klaudije	Klaŭdio
Finski jezik	Finna lingvo
Neron	Nerono
Galba	Galbo
Indiana	Indianio
Oton	Oto
Vitelije	Vitelio
Nokia	Nokia (kompanio)
Vespazijan	Vespasiano
Automobil	Aŭtomobilo
Tit	Tito (imperiestro)
Juventus FC	Juventus Football Club
Domicijan	Domiciano
Nerva	Nerva
Trajan	Trajano
Roger Federer	Roger Federer
Hadrijan	Hadriano
Georgia	Georgio
Antonin Pio	Antonino Pia
Marko Aurelije	Marko Aŭrelio
KDE	KDE
Komod	Komodo (imperiestro)
Zagreb	Zagrebo
Pertinaks	Pertinakso
Kampanija	Kampanio
Texas	Teksaso
Didije Julijan	Didio Juliano
Septimije Sever	Septimo Severo
Molise	Molizo
Karakala	Karakalo
Apulija	Apulio
Genova	Ĝenovo
Basilicata	Basilikato
Sjeverna Karolina	Norda Karolino
Hokej na travi	Herbohokeo
Južna Karolina	Suda Karolino
Kalabrija	Kalabrio
Sicilija	Sicilio
Manila	Manilo
Sardinija	Sardio
Loara	Luaro
M. C. Escher	M. C. Escher
Sena (rijeka)	Sejno
Crohnova bolest	Crohn-malsano
Mayon	Monto Majono (vulkano)
Buenos Aires	Bonaero
Haker	Kodumulo
Ciudad de México	Meksik-urbo
Tokio	Tokio
La Paz	La-Pazo
Barcelona	Barcelono
Ananas	Ananaso
Mississippi	Misisipio
Ferdinand Magellan	Fernão de Magalhães
Mississippi (rijeka)	Misisipo (rivero)
Sikkim	Sikimo
Patagonija	Patagonio
Tennessee	Tenesio
Richard Wagner	Richard Wagner
Abidjan	Abiĝano
Abu Dhabi (grad)	Abu-Dabio
Astana	Astano
Novi Meksiko	Nov-Meksiko
Ramzes II	Ramseso la 2-a
Atina (grad)	Ateno
Minnesota	Minesoto
Bagdad	Bagdado
Caracas	Karakaso
Koordinirano svjetsko vrijeme	UTC
Wisconsin	Viskonsino
Ciceron	Cicerono
AC Milan	A.C. Milan
Iowa	Iovao
Nebraska	Nebrasko
Kansas	Kansaso
Havana	Havano
Duhan (proizvod)	Tabako
Hindu	Hindia lingvo
Internet Explorer	Internet Explorer
Cigara	Cigaro
Cigareta	Cigaredo
Missouri	Misurio
Georg Simon Ohm	Georg Ohm
Louisiana	Luiziano
Luigi Galvani	Luigi Galvani
Kentucky	Kentukio
Arkansas	Arkansaso
Neil Armstrong	Neil Armstrong
Urdu jezik	Urduo
Edith Piaf	Édith Piaf
Osijek	Osijek
Laba	Elbo (rivero)
Rijeka (grad)	Rijeko
Oklahoma	Oklahomo
Dunav	Danubo
Split	Split
Jacques Brel	Jacques Brel
Aare	Aro (rivero)
Sjeverno more	Norda Maro
Skagerrak	Skagerrak
Moskovska oblast	Moskva provinco
Hannover	Hanovro
Düsseldorf	Duseldorfo
Mainz	Majenco
Wiesbaden	Wiesbaden
Dubrovnik	Dubrovnik
Saarbrücken	Saarbrücken
München	Munkeno
Samarska oblast	Samara provinco (Rusio)
Erfurt	Erfurto
Dresden	Dresdeno
Odbojka	Flugpilkado
Innsbruck	Innsbruck
Beč	Vieno
Madonna	Madonna
Kopenhagen	Kopenhago
Kalinjingradska oblast	Kaliningrada provinco
Makrin	Makrino
Stockholm	Stokholmo
Helsinki	Helsinko
Murmanska oblast	Murmanska provinco
Dublin	Dublino
Heliogabal	Elagabalo
Reykjavík	Rejkjaviko
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Talino
Riga	Rigo
Zanzibar	Zanzibaro
