Afrik	Afriko
1684 (almanak gregoryen)	1684
1763 (almanak gregoryen)	1763
1851 (almanak gregoryen)	1851
1764 (almanak gregoryen)	1764
1685 (almanak gregoryen)	1685
1852 (almanak gregoryen)	1852
1686 (almanak gregoryen)	1686
1765 (almanak gregoryen)	1765
1853 (almanak gregoryen)	1853
1687 (almanak gregoryen)	1687
1766 (almanak gregoryen)	1766
1854 (almanak gregoryen)	1854
1688 (almanak gregoryen)	1688
1767 (almanak gregoryen)	1767
1855 (almanak gregoryen)	1855
1689 (almanak gregoryen)	1689
1768 (almanak gregoryen)	1768
1856 (almanak gregoryen)	1856
1690 (almanak gregoryen)	1690
1769 (almanak gregoryen)	1769
1857 (almanak gregoryen)	1857
1691 (almanak gregoryen)	1691
1770 (almanak gregoryen)	1770
1858 (almanak gregoryen)	1858
1692 (almanak gregoryen)	1692
1771 (almanak gregoryen)	1771
1859 (almanak gregoryen)	1859
1693 (almanak gregoryen)	1693
1772 (almanak gregoryen)	1772
1860 (almanak gregoryen)	1860
1773 (almanak gregoryen)	1773
1861 (almanak gregoryen)	1861
1694 (almanak gregoryen)	1694
1695 (almanak gregoryen)	1695
1774 (almanak gregoryen)	1774
1862 (almanak gregoryen)	1862
1696 (almanak gregoryen)	1696
1775 (almanak gregoryen)	1775
1863 (almanak gregoryen)	1863
1697 (almanak gregoryen)	1697
1776 (almanak gregoryen)	1776
1864 (almanak gregoryen)	1864
1698 (almanak gregoryen)	1698
1865 (almanak gregoryen)	1865
1777 (almanak gregoryen)	1777
1699 (almanak gregoryen)	1699
1866 (almanak gregoryen)	1866
1778 (almanak gregoryen)	1778
1779 (almanak gregoryen)	1779
1867 (almanak gregoryen)	1867
1780 (almanak gregoryen)	1780
1868 (almanak gregoryen)	1868
1781 (almanak gregoryen)	1781
1869 (almanak gregoryen)	1869
Maten	Mateno
Minit	Minuto
Plonjon	Plonĝado
Lang ris	Rusa lingvo
1782 (almanak gregoryen)	1782
1870 (almanak gregoryen)	1870
1783 (almanak gregoryen)	1783
1871 (almanak gregoryen)	1871
Lwa (dwa)	Leĝo (jura)
1784 (almanak gregoryen)	1784
1872 (almanak gregoryen)	1872
Konstitisyon	Konstitucio
1785 (almanak gregoryen)	1785
1873 (almanak gregoryen)	1873
1786 (almanak gregoryen)	1786
1874 (almanak gregoryen)	1874
1787 (almanak gregoryen)	1787
1875 (almanak gregoryen)	1875
1788 (almanak gregoryen)	1788
1876 (almanak gregoryen)	1876
1789 (almanak gregoryen)	1789
1877 (almanak gregoryen)	1877
1790 (almanak gregoryen)	1790
1878 (almanak gregoryen)	1878
1879 (almanak gregoryen)	1879
1791 (almanak gregoryen)	1791
Pen	Pano
1792 (almanak gregoryen)	1792
1880 (almanak gregoryen)	1880
1793 (almanak gregoryen)	1793
1881 (almanak gregoryen)	1881
INESKO	Unesko
1794 (almanak gregoryen)	1794
1882 (almanak gregoryen)	1882
1795 (almanak gregoryen)	1795
1883 (almanak gregoryen)	1883
1796 (almanak gregoryen)	1796
1884 (almanak gregoryen)	1884
1797 (almanak gregoryen)	1797
1885 (almanak gregoryen)	1885
1886 (almanak gregoryen)	1886
1798 (almanak gregoryen)	1798
1887 (almanak gregoryen)	1887
1799 (almanak gregoryen)	1799
1888 (almanak gregoryen)	1888
1889 (almanak gregoryen)	1889
1890 (almanak gregoryen)	1890
1891 (almanak gregoryen)	1891
1892 (almanak gregoryen)	1892
1893 (almanak gregoryen)	1893
1894 (almanak gregoryen)	1894
1895 (almanak gregoryen)	1895
1896 (almanak gregoryen)	1896
1897 (almanak gregoryen)	1897
1898 (almanak gregoryen)	1898
1899 (almanak gregoryen)	1899
Selil	Ĉelo (biologio)
San (non)	Sango
Lapli	Pluvo
Klima	Klimato
El Niño	El-Ninjo
Rechofman atmosferik	Tutmonda varmiĝo
Tranblemanntè	Tertremo
Mineral	Mineralo
Tektonik plak	Platotektoniko
Nelson Mandela	Nelson Mandela
Martin Luther King	Martin Luther King
Anzim	Enzimo
Proteyin	Proteino
Ròch	Rokaĵo
Asid amine	Aminoacido
Inondasyon	Inundo
Radmare	Cunamo
Vòlkan	Vulkano
Nwaj	Nubo
Tònad	Tornado (ŝtormo)
Jewometri	Geometrio
Siklòn twopikal	Uragano
Van	Vento
Atmosfè	Atmosfero (astro)
Ekonomi	Ekonomiko
Endistri	Industrio
Lengwistik	Lingvoscienco
Mo	Vorto
Alfabèt sirilik	Cirila alfabeto
Alfabèt grèk	Greka alfabeto
Literati	Literaturo
Kategori:Frans	Kategorio:Francio
Kategori:Mizik	Kategorio:Muziko
Kategori:Literati	Kategorio:Literaturo
Dikotiledon	Dukotiledonaj plantoj
Akennsas (rivyè)	Arkansaso (rivero)
Rena	Vulpo
Dyaz	Ĵazo
Sosyete	Socio
Edikasyon timoun	Eduko
Fanmi	Familio
Moun	Viro
Maryaj	Geedzeco
Esklavay	Sklaveco
Kafe	Kafo
Ji	Suko
Lèt (likid)	Lakto
Mòn	Monto
Dezè	Dezerto
Miami, Florid	Miamo
Seoul	Seulo
Shanghai	Ŝanhajo
Walt Disney	Walt Disney
Archimedes	Arkimedo
Michael Faraday	Michael Faraday
Enrico Fermi	Enrico Fermi
Fibonacci	Fibonacci
Joseph Fourier	Jean Baptiste Joseph Fourier
Augustin Louis Cauchy	Augustin Louis Cauchy
Konsey Ewòp	Konsilio de Eŭropo
Konstelasyon	Konstelacio
James Prescott Joule	James Prescott Joule
Johannes Kepler	Keplero
Max Planck	Max Planck
Nikola Tesla	Nikola Tesla
James Watt	James Watt
Gottfried Leibniz	Gottfried Wilhelm Leibniz
Knowledge	Scio
Endouyis	Hinduismo
James Clerk Maxwell	James Clerk Maxwell
Sen	Mamo
Atòm	Atomo
Ernest Rutherford	Ernest Rutherford
Limyè	Lumo
Erwin Schrödinger	Erwin Schrödinger
Monoteyis	Monoteismo
Nanm	Animo
Relijyon	Religio
Lang kore	Korea lingvo
Rene Descartes	René Descartes
Sigmund Freud	Sigmund Freud
Bakou	Bakuo
Jidayis	Judismo
Timfou	Timbuo
Banda Seri	Bandar-Seri-Begavano
Dili	Dilo
Vyantyàn	Vjentiano
Konpòtman	Konduto
Male	Maleo (Maldivoj)
Bichkek	Biŝkeko
Douchanbe	Duŝanbeo
Fwa	Hepato
Ren	Reno
Blad pipi	Urina veziko
Irèt	Uretro
Lapen	Kuniklo
Zonbi	Zombio
Panse	Pensado
Oseyan	Oceano
Mahomet	Mohamedo
Etiik	Etiko
Suspense	Suspenso
Alèn	Spirado
Vant	Ventro
Lang (ògan)	Lango (anatomio)
Ovè (plant)	Ovario
Kou	Kolo
Bouch	Buŝo
Zantray	Intesto
Atikilasyon	Artiko
Glann	Glando
Disjesyon	Digesta sistemo
Dyafragm	Toraka diafragmo
Atè	Arterio
A	A
Michael Schumacher	Michael Schumacher
Elizabeth II	Elizabeto la 2-a (Britio)
John Fitzgerald Kennedy	John F. Kennedy
B	B
Espèm	Ejakulaĵo
G	G
U	U
Z	Z
F	F
J	J
Alfabèt	Alfabeto
Lèt	Litero
T	T
C	C
R	R
D	D
Α	Alfo
Ω	Omego
I	I
Μ	Muo (litero)
E	E
H	H
K	K
L	L
M	M
N	N
O	O
P	P
Q	Q
S	S
Ronald Reagan	Ronald Reagan
V	V
W	W
X	X
Y	Y
Φ	Fio (litero)
Plasma (fizik)	Plasmo
Almería (Almería)	Almerio
Fernando Alonso	Fernando Alonso
David Beckham	David Beckham
Gordon Brown	Gordon Brown
1100 (almanak jilyen)	1100
Kategori:Venezwela	Kategorio:Venezuelo
Bèlfast	Belfasto
Kadif	Cardiff
Tablo klasifikasyon peryodik eleman	Perioda tabelo
Jòjtòn	Ĝorĝtaŭno (Gujano)
Toutouni	Nudeco
Rèptil	Reptilioj
Pijon	Kolombedoj
Akeyo	Arĥioj
Bakteri	Bakterioj
Pyebwa	Arbo
Pwotis	Protistoj
Λ	Lambdo
Kòde	Ĥorduloj
Fromaj	Fromaĝo
Rezen	Vinbero
Siwo	Mielo
Vyann	Viando
Pòm tè	Terpomo
Sik (materyo)	Sukero
Nwa (fwi)	Nukso
Teknoloji	Teknologio
Elis	Ŝraŭbo
Enjenieri	Inĝenierarto
Kominikasyon	Komunikado
Enfòmasyon	Informo
Jounal	Gazeto
Kilti	Kulturo
Asid ribonikleyik	RNA
Sistèm sikilatwa fèmen	Kardiovaskula sistemo
Gwo trip	Dika intesto
Ti trip	Maldika intesto
Lugo	Lugo (Hispanio)
Asid	Acido
Konpoze	Kemia kombinaĵo
Almanak jilyen	Julia kalendaro
Medsin	Medicino
Baz (chimi)	Bazo (kemio)
Sarayevo	Sarajevo
Sistèm kouwòdone	Koordinatsistemo
Sèl	Salo
Fidel Castro	Fidel Castro
Kategori:Brezil	Kategorio:Brazilo
Eleman chimik	Kemia elemento
Chimi òganik	Organika kemio
Ang	Angulo
Kabonidrat	Karbonhidrato
Òmòn	Hormono
Lipid	Lipido
Akselerasyon santripèd	Akcelo
Enèji	Energio
Lwa konsèvasyon enèji	Principo de konservado de energio
Onn elektwomayetik	Elektromagneta ondo
Espès ki reprezante menas	Minacata specio
Dezyèm lwa Newton	Klasika mekaniko
Fòs	Forto
Chan mayetik	Magneta kampo
Karate	Karateo
Jido	Ĵudo
Jwèt	Ludilo
Mas inèsi	Maso
Sinema	Filmo
Metal	Metalo (fiziko)
Asye	Ŝtalo
Eta matyè	Materistato
Gaz	Gaso
Likid	Likvo
Solid	Solido
Radyo-aktivite	Radiaktiveco
Agrikilti	Agrikulturo
Semi-kondiktè	Duonkonduktaĵo
Rad	Vesto
Onn sonò	Sono
Vitès mwayèn	Vektora rapido
Tanperati	Temperaturo
Vè (materyo)	Vitro
Tan	Tempo
Tèmodinamik	Termodinamiko
Plastik	Plasto
Reyon gama	Gama-radiado
Nonm	Nombro
Kilogram	Kilogramo
Segonn	Sekundo
Mayi	Maizo
Òj	Ordinara hordeo
Kelven	Kelvino
Penti	Pentrado
Fotografi	Fotarto
Elektwonik	Elektroniko
Kouran elektrik	Elektra kurento
Frekans	Frekvenco
Dyòd	Diodo
Transfòmatè	Transformatoro
Lis peyi	Listo de sendependaj ŝtatoj
Preyistwa	Prahistorio
Lous	Urso
William Rowan Hamilton	William Rowan Hamilton
Dijesyon chimik	Digestado
Fotosentèz	Fotosintezo
Repwodiksyon	Reproduktado
Grosès	Gravedeco
Chèn	Kverko
1101 (almanak jilyen)	1101
1102 (almanak jilyen)	1102
Kansè	Kancero
Wa	Reĝo
Avwàn	Kutima aveno
Ble (sereyal)	Tritiko
Maladi	Malsano
Almanak gregoryen	Gregoria kalendaro
Lasante	Sano
Malarya	Malario
Antibyotik	Antibiotiko
Penisilin	Penicilino
Nant	Nanto (Francio)
Sida	Aidoso
Huelva (Huelva)	Onubo
Achitekti	Arkitekturo
Pon	Ponto
Mezi	Mezuro
Simetri	Simetrio
1103 (almanak jilyen)	1103
1104 (almanak jilyen)	1104
Eskalye	Ŝtuparo
Aztèk	Aztekoj
Mwayenaj	Mezepoko
Maine-ak-Lwar	Maine-et-Loire
Baden Powell	Robert Baden-Powell
Konbistib fosil	Fosilia brulaĵo
Reinhard Selten	Reinhard Selten
Helmar Frank	Helmar Frank
Majouro	Majuro
Georges Lemaître	Georges Lemaître
Fizyon	Fuzio
Ronda (Málaga)	Arundo
Franbwaz	Frambo
Kokoye	Kokoso
Grenad (fwi)	Granatujo
Pèch (fwi)	Persiko
Zoranj	Oranĝo (frukto)
Gato	Kuko
Montserrat	Moncerato
Thomas Malthus	Thomas Malthus
Wikispecies	Vikispecioj
1105 (almanak jilyen)	1105
Kapot	Kondomo
Palmis	Arekacoj
Kors	Korsiko
Santiago de Compostela	Santiago de Compostela
Β	Beto (litero)
Γ	Gamo (litero)
Δ	Delto (litero)
Ε	Epsilono
Ζ	Zeto
Η	Eto (litero)
Θ	Teto
Ι	Joto
Κ	Kapo (litero)
Ν	Nuo (litero)
Ξ	Ksio
Ο	Omikrono
Ρ	Roto (litero)
Σ	Sigmo
Τ	Taŭo (litero)
Υ	Upsilono
Χ	Ĥio (litero)
Ψ	Psio (litero)
Iquique	Iquique
La Serena, Chili	La Serena (Ĉilio)
Drapo	Flago
Labapen	Panarbo
Mèb	Meblo
Tab	Tablo
Lage	Lage (Lipo)
Chèz	Seĝo
ד	Daleto
Jiraf	Ĝirafo (specio)
ט	Tet (hebrea alfabeto)
Lèv	Lipo
Moustach	Lipharoj
Pwen konjelasyon	Fandopunkto
Radyasyon kosmik natirèl	Kosma fona radiado
Kòdelya	Kordelio (luno)
Ofeli	Ofelio (luno)
Byanka	Bianko (luno)
Kresida	Kresido (luno)
Dèsdemòn	Dezdemono (luno)
Jilyèt	Julieto (luno)
Pòtya	Porcio (luno)
Rozalinn	Rozalindo (luno)
Kipidon	Kupido (luno)
Belinda	Belindo (luno)
Pèdita	Perdito (luno)
Pik	Puko (luno)
Mab	Mabo (luno)
Jaén (Jaén)	Ĥaeno
Pye	Piedo
Queen	Queen
Brian May	Brian May
Leza	Lacertuloj
Nayad	Najado (luno)
Nereyid	Nereido (luno)
Pwote	Proteo (luno)
Braintree, Massachusetts	Braintree (Masaĉuseco)
Б	Be (cirila alfabeto)
А	A (cirila alfabeto)
Г	Ge (cirila alfabeto)
Д	De (cirila alfabeto)
В	Ve (cirila alfabeto)
Zepòl	Ŝultro
Gòj	Gorĝo (anatomio)
Modèl:Link FA	Ŝablono:LigoElstara
Lemonn	Mondo
Jij	Juĝisto
Vèmont	Vermonto
San Diego, Kalifòni	San-Diego
San Jose, Kalifòni	San Jose (Kalifornio)
Denver, Kolorado	Denvero (Koloradio)
Houston, Texas	Houston (Teksaso)
Phoenix, Arizona	Fenikso (Arizono)
Dalas (Teksas)	Dallas (Teksaso)
Fort Worth, Texas	Fort Worth
Austin, Texas	Aŭstino
Palè (gwo kay)	Palaco
El Paso, Texas	El Paso (Teksaso)
Memphis, Tennessee	Memphis (Tenesio)
Charlotte	Charlotte
Columbus, Ohio	Columbus (Ohio)
Jacksonville, Florid	Jacksonville (Florido)
Jožef Stefan	Jožef Stefan
Long Beach, Kalifòni	Long Beach
Laredo, Texas	Laredo (Teksaso)
Los Ángeles (Chili)	Los Ángeles (Ĉilio)
Lota	Lota
Lopital	Malsanulejo
Etna	Etna
Gwadloup	Gvadelupo
Oakland, Kalifòni	Oakland (Kalifornio)
Matinik	Martiniko
Ze	Ovo
Sèk (non)	Cirklo
John von Neumann	John von Neumann
Donald Knuth	Donald Knuth
Stephen Hawking	Stephen Hawking
Teyori	Teorio
Arlington, Texas	Arlington (Teksaso)
Sacramento, Kalifòni	Sakramento (Kalifornio)
1925 (almanak gregoryen)	1925
1927 (almanak gregoryen)	1927
Aspirin	Aspirino
Konpòtman natirèl	Instinkto
Radyasyon	Radiado
Providence (Rod Aylann)	Providence (Rod-Insulo)
Alatri	Alatri
1000 (almanak jilyen)	1000
999 (almanak jilyen)	999
Fransisko	Francisko (luno)
Kaliban	Kalibano (luno)
Stefano	Stefano (luno)
Trenkilo	Trinkulo (luno)
Sikoraks	Sikorakso (luno)
Magarèt	Margareto (luno)
Pwospero	Prospero (luno)
Lou	Lupo
Setebos	Setebo (luno)
Fèdinan	Ferdinando (luno)
Byomas	Biomaso
Ball, Lwizyana	Pilko
Tucson, Arizona	Tucson (Arizono)
1955 (almanak gregoryen)	1955
1954 (almanak gregoryen)	1954
1953 (almanak gregoryen)	1953
1951 (almanak gregoryen)	1951
1950 (almanak gregoryen)	1950
1946 (almanak gregoryen)	1946
1943 (almanak gregoryen)	1943
1942 (almanak gregoryen)	1942
1940 (almanak gregoryen)	1940
1939 (almanak gregoryen)	1939
Club de Gimnasia y Esgrima La Plata	Club Gimnasia y Esgrima La Plata
1938 (almanak gregoryen)	1938
1937 (almanak gregoryen)	1937
1936 (almanak gregoryen)	1936
1935 (almanak gregoryen)	1935
1934 (almanak gregoryen)	1934
1933 (almanak gregoryen)	1933
1932 (almanak gregoryen)	1932
1931 (almanak gregoryen)	1931
1930 (almanak gregoryen)	1930
1929 (almanak gregoryen)	1929
Pyongyang	Pjongjango
Nouvo Testaman	Nova testamento
Sistèm pozisyon global	Tutmonda loktrova sistemo
Pwokaryòt	Prokariotoj
Ekaryòt	Eŭkariotoj
9 (nonm)	9 (nombro)
י	Jod (hebrea alfabeto)
1001 (almanak jilyen)	1001
1002 (almanak jilyen)	1002
1003 (almanak jilyen)	1003
1005 (almanak jilyen)	1005
1006 (almanak jilyen)	1006
1007 (almanak jilyen)	1007
1008 (almanak jilyen)	1008
1009 (almanak jilyen)	1009
1010 (almanak jilyen)	1010
1011 (almanak jilyen)	1011
1012 (almanak jilyen)	1012
1013 (almanak jilyen)	1013
1014 (almanak jilyen)	1014
1015 (almanak jilyen)	1015
1016 (almanak jilyen)	1016
1017 (almanak jilyen)	1017
1018 (almanak jilyen)	1018
1019 (almanak jilyen)	1019
1020 (almanak jilyen)	1020
1021 (almanak jilyen)	1021
1022 (almanak jilyen)	1022
1023 (almanak jilyen)	1023
1024 (almanak jilyen)	1024
1025 (almanak jilyen)	1025
1026 (almanak jilyen)	1026
1027 (almanak jilyen)	1027
1028 (almanak jilyen)	1028
1029 (almanak jilyen)	1029
1030 (almanak jilyen)	1030
1031 (almanak jilyen)	1031
1032 (almanak jilyen)	1032
1033 (almanak jilyen)	1033
1034 (almanak jilyen)	1034
1035 (almanak jilyen)	1035
1036 (almanak jilyen)	1036
1037 (almanak jilyen)	1037
1038 (almanak jilyen)	1038
1039 (almanak jilyen)	1039
1040 (almanak jilyen)	1040
1041 (almanak jilyen)	1041
San Pedro de la Paz	San Pedro de la Paz
1042 (almanak jilyen)	1042
1043 (almanak jilyen)	1043
1044 (almanak jilyen)	1044
1045 (almanak jilyen)	1045
1046 (almanak jilyen)	1046
1047 (almanak jilyen)	1047
1049 (almanak jilyen)	1049
1050 (almanak jilyen)	1050
1051 (almanak jilyen)	1051
1052 (almanak jilyen)	1052
1053 (almanak jilyen)	1053
1054 (almanak jilyen)	1054
1055 (almanak jilyen)	1055
1056 (almanak jilyen)	1056
1057 (almanak jilyen)	1057
1058 (almanak jilyen)	1058
1059 (almanak jilyen)	1059
1060 (almanak jilyen)	1060
1061 (almanak jilyen)	1061
1062 (almanak jilyen)	1062
1063 (almanak jilyen)	1063
1064 (almanak jilyen)	1064
1065 (almanak jilyen)	1065
1066 (almanak jilyen)	1066
1067 (almanak jilyen)	1067
1068 (almanak jilyen)	1068
1069 (almanak jilyen)	1069
1070 (almanak jilyen)	1070
1071 (almanak jilyen)	1071
1072 (almanak jilyen)	1072
1073 (almanak jilyen)	1073
1074 (almanak jilyen)	1074
1075 (almanak jilyen)	1075
1076 (almanak jilyen)	1076
1077 (almanak jilyen)	1077
1078 (almanak jilyen)	1078
1079 (almanak jilyen)	1079
Talasa	Talaso (luno)
1080 (almanak jilyen)	1080
1081 (almanak jilyen)	1081
1082 (almanak jilyen)	1082
Despina	Despino (luno)
1083 (almanak jilyen)	1083
1084 (almanak jilyen)	1084
1085 (almanak jilyen)	1085
1086 (almanak jilyen)	1086
1087 (almanak jilyen)	1087
1088 (almanak jilyen)	1088
Galate	Galateo (luno)
1089 (almanak jilyen)	1089
1090 (almanak jilyen)	1090
1091 (almanak jilyen)	1091
Larisa	Lariso (luno)
1092 (almanak jilyen)	1092
1093 (almanak jilyen)	1093
1094 (almanak jilyen)	1094
1095 (almanak jilyen)	1095
1096 (almanak jilyen)	1096
1097 (almanak jilyen)	1097
Nha Trang	Nha Trang
1098 (almanak jilyen)	1098
1099 (almanak jilyen)	1099
1106 (almanak jilyen)	1106
1107 (almanak jilyen)	1107
1108 (almanak jilyen)	1108
1109 (almanak jilyen)	1109
1110 (almanak jilyen)	1110
1111 (almanak jilyen)	1111
1112 (almanak jilyen)	1112
1113 (almanak jilyen)	1113
1114 (almanak jilyen)	1114
1115 (almanak jilyen)	1115
Samate	Psamato (luno)
1116 (almanak jilyen)	1116
1117 (almanak jilyen)	1117
1118 (almanak jilyen)	1118
1119 (almanak jilyen)	1119
1120 (almanak jilyen)	1120
Pap	Papo
Metal alkalen	Alkala metalo
1130 (almanak jilyen)	1130
Metal alkaline-tere	Teralkala metalo
1131 (almanak jilyen)	1131
Rafael Correa	Rafael Correa
1132 (almanak jilyen)	1132
1133 (almanak jilyen)	1133
Metal tranzisyon entèn	Transirmetalo
1134 (almanak jilyen)	1134
1135 (almanak jilyen)	1135
1136 (almanak jilyen)	1136
1137 (almanak jilyen)	1137
Alojèn	Halogeno
1138 (almanak jilyen)	1138
1139 (almanak jilyen)	1139
Gaz nòb	Nobla gaso
5 (almanak jilyen)	5
1140 (almanak jilyen)	1140
1141 (almanak jilyen)	1141
1142 (almanak jilyen)	1142
1143 (almanak jilyen)	1143
1144 (almanak jilyen)	1144
4 (almanak jilyen)	4
1145 (almanak jilyen)	1145
1146 (almanak jilyen)	1146
1147 (almanak jilyen)	1147
1148 (almanak jilyen)	1148
3 (almanak jilyen)	3
1149 (almanak jilyen)	1149
1150 (almanak jilyen)	1150
1151 (almanak jilyen)	1151
1152 (almanak jilyen)	1152
1153 (almanak jilyen)	1153
2 (almanak jilyen)	2
1154 (almanak jilyen)	1154
1155 (almanak jilyen)	1155
1156 (almanak jilyen)	1156
1157 (almanak jilyen)	1157
1158 (almanak jilyen)	1158
1159 (almanak jilyen)	1159
Boukarès	Bukareŝto
1160 (almanak jilyen)	1160
1161 (almanak jilyen)	1161
1162 (almanak jilyen)	1162
1163 (almanak jilyen)	1163
1164 (almanak jilyen)	1164
1165 (almanak jilyen)	1165
1166 (almanak jilyen)	1166
1167 (almanak jilyen)	1167
1168 (almanak jilyen)	1168
1169 (almanak jilyen)	1169
1170 (almanak jilyen)	1170
Pati Endepandantis Pòtoriken	Partio de la Sendependeco de Porto-Riko
1171 (almanak jilyen)	1171
1172 (almanak jilyen)	1172
1173 (almanak jilyen)	1173
Tirana	Tirano
1174 (almanak jilyen)	1174
1175 (almanak jilyen)	1175
1176 (almanak jilyen)	1176
1177 (almanak jilyen)	1177
1178 (almanak jilyen)	1178
Motorhead	Motörhead
1179 (almanak jilyen)	1179
1180 (almanak jilyen)	1180
1181 (almanak jilyen)	1181
Bourik	Azeno
1182 (almanak jilyen)	1182
1928 (almanak gregoryen)	1928
1183 (almanak jilyen)	1183
1184 (almanak jilyen)	1184
1185 (almanak jilyen)	1185
1186 (almanak jilyen)	1186
1187 (almanak jilyen)	1187
1188 (almanak jilyen)	1188
1189 (almanak jilyen)	1189
1190 (almanak jilyen)	1190
1191 (almanak jilyen)	1191
1192 (almanak jilyen)	1192
1193 (almanak jilyen)	1193
1194 (almanak jilyen)	1194
1195 (almanak jilyen)	1195
1196 (almanak jilyen)	1196
1197 (almanak jilyen)	1197
1198 (almanak jilyen)	1198
1199 (almanak jilyen)	1199
6 (almanak jilyen)	6
Ansyen Testaman	Malnova testamento
Nowèl	Kristnasko
Lang roman	Latinida lingvaro
Triyang	Triangulo
Bisektil	Superjaro
Breinigerberg	Breinigerberg
Tig	Tigro
IU	IU (kantistino)
Pandil	Pendolo
Louis Couturat	Louis Couturat
Pak (fèt)	Pasko
Chisinaou	Kiŝinevo
Sosyoloji	Sociologio
Şalom	Şalom
Monotrèm	Monotremoj
Aurora, Ilinwa	Aurora (Ilinojo)
Illkirch	Illkirch-Graffenstaden
Maurice Rene Frechet	Maurice René Fréchet
Soulye	Ŝuo
Pak (rezèv natirèl)	Parko
Eskalad	Grimpado
1 (almanak jilyen)	1
10 (almanak jilyen)	10
Nashville, Tennessee	Naŝvilo (Tenesio)
20 (almanak jilyen)	20
30 (almanak jilyen)	30
40 (almanak jilyen)	40
Salt Lake City, Utah	Sallaga Urbo
9 (almanak jilyen)	9
7 (almanak jilyen)	7
8 (almanak jilyen)	8
7 (nonm)	7 (nombro)
8 (nonm)	8 (nombro)
12 (almanak jilyen)	12
Lamare	Tajdo
Semèn	Semajno
Sèf	Cervedoj
Glas (materyo)	Glacio
Lak	Lago
Lay	Ajlo
Antropoloji	Antropologio
930 (almanak jilyen)	930
13 (almanak jilyen)	13
Chato	Burgo
985 (almanak jilyen)	985
1122 (almanak jilyen)	1122
981 (almanak jilyen)	981
939 (almanak jilyen)	939
Konkonm	Kukumo
Oulan-Batò	Ulaanbaataro
Edinbo	Edinburgo
Achgabat	Aŝgabato
51 (almanak jilyen)	51
Octave Mirbeau	Octave Mirbeau
Il	Insulo
Provo, Utah	Provo (urbo)
Blan	Blanko
Nwa (koulè)	Nigro
814 (almanak jilyen)	814
678 (almanak jilyen)	678
950 (almanak jilyen)	950
679 (almanak jilyen)	679
996 (almanak jilyen)	996
680 (almanak jilyen)	680
37 (almanak jilyen)	37
980 (almanak jilyen)	980
900 (almanak jilyen)	900
1129 (almanak jilyen)	1129
843 (almanak jilyen)	843
Lordi	Lordi
690 (almanak jilyen)	690
691 (almanak jilyen)	691
988 (almanak jilyen)	988
692 (almanak jilyen)	692
476 (almanak jilyen)	476
693 (almanak jilyen)	693
Masey	Marsejlo
694 (almanak jilyen)	694
695 (almanak jilyen)	695
Zonyon	Cepo
696 (almanak jilyen)	696
6 (nonm)	6 (nombro)
697 (almanak jilyen)	697
698 (almanak jilyen)	698
699 (almanak jilyen)	699
700 (almanak jilyen)	700
Mostchena	Moŝĉena
701 (almanak jilyen)	701
702 (almanak jilyen)	702
Akeyoloji	Arkeologio
703 (almanak jilyen)	703
Tomat	Tomato
704 (almanak jilyen)	704
705 (almanak jilyen)	705
706 (almanak jilyen)	706
68 (almanak jilyen)	68
89 (almanak jilyen)	89
707 (almanak jilyen)	707
708 (almanak jilyen)	708
Phong Nha-Ke Bang	Nacia Parko Phong Nha-Ke Bang
709 (almanak jilyen)	709
11 (almanak jilyen)	11
710 (almanak jilyen)	710
711 (almanak jilyen)	711
712 (almanak jilyen)	712
713 (almanak jilyen)	713
714 (almanak jilyen)	714
715 (almanak jilyen)	715
716 (almanak jilyen)	716
717 (almanak jilyen)	717
Quang Binh	Provinco Quang Binh
718 (almanak jilyen)	718
719 (almanak jilyen)	719
Ekwatè (liy imajinè)	Ekvatoro
720 (almanak jilyen)	720
721 (almanak jilyen)	721
722 (almanak jilyen)	722
Selena	Selena
723 (almanak jilyen)	723
724 (almanak jilyen)	724
Mérida, Venezwela	Merido (Venezuelo)
725 (almanak jilyen)	725
726 (almanak jilyen)	726
Atlanta (Djòdji)	Atlanta (Georgio)
727 (almanak jilyen)	727
728 (almanak jilyen)	728
729 (almanak jilyen)	729
963 (almanak jilyen)	963
730 (almanak jilyen)	730
731 (almanak jilyen)	731
962 (almanak jilyen)	962
732 (almanak jilyen)	732
733 (almanak jilyen)	733
997 (almanak jilyen)	997
734 (almanak jilyen)	734
972 (almanak jilyen)	972
735 (almanak jilyen)	735
955 (almanak jilyen)	955
901 (almanak jilyen)	901
736 (almanak jilyen)	736
737 (almanak jilyen)	737
936 (almanak jilyen)	936
738 (almanak jilyen)	738
953 (almanak jilyen)	953
902 (almanak jilyen)	902
739 (almanak jilyen)	739
15 (almanak jilyen)	15
740 (almanak jilyen)	740
14 (almanak jilyen)	14
741 (almanak jilyen)	741
742 (almanak jilyen)	742
17 (almanak jilyen)	17
743 (almanak jilyen)	743
958 (almanak jilyen)	958
744 (almanak jilyen)	744
500 (almanak jilyen)	500
745 (almanak jilyen)	745
150 (almanak jilyen)	150
746 (almanak jilyen)	746
880 (almanak jilyen)	880
747 (almanak jilyen)	747
748 (almanak jilyen)	748
Diksyonè	Vortaro
749 (almanak jilyen)	749
870 (almanak jilyen)	870
903 (almanak jilyen)	903
750 (almanak jilyen)	750
751 (almanak jilyen)	751
Bermid	Bermudo
752 (almanak jilyen)	752
Tèt	Kapo
753 (almanak jilyen)	753
987 (almanak jilyen)	987
754 (almanak jilyen)	754
