An Afraic	Afriko
Vicífhoclóir	Vikivortaro
Iasc	Fiŝoj
Eatánól	Etanolo
An Bhrasaíl	Brazilo
Alcóil	Alkoholo
François Hollande	François Hollande
An Rúis	Rusio
Snáithín	Fibro
Snáithín optúil	Optika fibro
Cearnóg	Kvadrato (geometrio)
Farraige	Maro
An Mhuir Dhubh	Nigra Maro
Pi	Pi (nombro)
Pí	Pio (litero)
Mangó	Mango (frukto)
Vicí	Vikio
Torontó	Toronto
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
São Paulo (stát)	San-Paŭlo
Québec	Kebekio
Píotsa	Pico
Wikimedia Foundation	Fondaĵo Vikimedio
Jimmy Wales	Jimmy Wales
An Ghearmáin	Germanio
An Bhealarúis	Belorusio
Il Canto degli Italiani	Il Canto degli Italiani
An Ghearmáinis	Germana lingvo
An Íoslainn	Islando
Dia	Dio
An Eastóin	Estonio
David Cameron	David Cameron
Satarn (pláinéad)	Saturno (planedo)
Seacláid	Ĉokolado
Silín	Ĉerizo
Eitleán	Aviadilo
Cogadh	Milito
1 (uimhir)	1 (nombro)
2 (uimhir)	2 (nombro)
3 (uimhir)	3 (nombro)
4 (uimhir)	4 (nombro)
5 (uimhir)	5 (nombro)
Éigríoch	Senfineco
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Dronuilleog	Ortangulo
An Laitvia	Latvio
An Úcráin	Ukrainio
Poblacht na Seice	Ĉeĥio
An tSlóvaic	Slovakio
An tSlóivéin	Slovenio
Vilnias	Vilno
An Mholdóiv	Moldava Respubliko
An Rómáin	Rumanio
An Bhulgáir	Bulgario
An Róimh	Romo
Poblacht na Macadóine	Respubliko Makedonio
An Albáin	Albanio
An Ghraonlainn	Gronlando
An Chróit	Kroatio
An Bhoisnia-Heirseagaivéin	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
An Asarbaiseáin (tír)	Azerbajĝano
Andóra	Andoro
An Chipir	Kipro
An tSeoirsia	Kartvelio
An Vallóin	Valonio
An Chasacstáin	Kazaĥio
Málta	Malto
Flóndras	Flandrio
Monacó	Monako
Montainéagró	Montenegro
Cathair na Vatacáine	Vatikano
San Mairíne	San-Marino
An Bhruiséil	Brusela Ĉefurba Regiono
Cúba	Kubo
An Bheilís	Belizo
Túr Eiffel	Eiffel-Turo
Barbadós	Barbado
Intel	Intel
Méarchlár (ríomhaire)	Komputila klavaro
Java	Java (programlingvo)
An Indinéis	Indonezio
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
An Tuircis	Turka lingvo
An Afraic Theas	Sud-Afriko
Jean François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
An Ailgéir	Alĝerio
An Úisbéiceastáin	Uzbekujo
Drúchtín móna	Drozero
Poznań	Poznano
Tashkent	Taŝkento
Vársá	Varsovio
Ìle	Islay
Comórtas Amhránaíochta na hEoraifíse	Eŭrovido-Kantokonkurso
Uisce beatha	Viskio
Fíon	Vino
Uisce	Akvo
Leathar	Ledo
Adhmad	Ligno
Tours	Tours
Teilifís	Televido
Gnéas	Sekso
Pornagrafaíocht	Pornografio
An Íoslainnis	Islanda lingvo
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
An tSile	Ĉilio
El Greco	El Greco
Íosa Críost	Jesuo Kristo
Elvis Presley	Elvis Presley
Galileo Galilei	Galilejo
Mearcair (pláinéad)	Merkuro (planedo)
Stair	Historio
Apple Inc.	Apple
Véineas (pláinéad)	Venuso (planedo)
Teanga (cumarsáid)	Lingvo
Deachtóireacht	Diktatoreco
Réaltra	Galaksio
Iúpatar (pláinéad)	Jupitero (planedo)
Michelle Bachelet	Michelle Bachelet
Bealach na Bó Finne	Lakta vojo
Ollphléasc	Praeksplodo
Úránas (pláinéad)	Urano (planedo)
An Bhriotáin	Bretonio
Vicipéid Bhéarla	Anglalingva Vikipedio
Nicolas Sarkozy	Nicolas Sarkozy
Neiptiún (pláinéad)	Neptuno (planedo)
Réalteolaíocht	Astronomio
Singeapór	Singapuro
Eolaíocht	Scienco
Cosmeolaíocht	Kosmologio
Plútón (abhacphláinéad)	Plutono
Montréal	Montrealo
Bogearraí saora	Libera programaro
Kemper	Quimper
Muire	Maria (patrino de Jesuo)
Lichtinstéin	Liĥtenŝtejno
Spórt	Sporto
Cambridge	Kembriĝo (Britio)
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
An Chéad Chogadh Domhanda	Unua mondmilito
An Dara Cogadh Domhanda	Dua mondmilito
Köln	Kolonjo
Augusto Pinochet	Augusto Pinochet
Vodca	Vodko
Clog	Horloĝo
Ubuntu	Ubuntu (linukso)
Scóipé	Skopjo
Linux	Linukso
Bob Dylan	Bob Dylan
Matamaitic	Matematiko
U2	U2
An Laidin	Latina lingvo
Bairéin	Barejno
An Airméin	Armenio
Dingchruthach	Kojnoskribo
An Bósón Higgs	Bosono de Higgs
An tSeirbia	Serbio
An Ghealach	Luno
Iostanbúl	Istanbulo
An Astráil	Aŭstralio
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Eisibhitheolaíocht	Astrobiologio
Fisic	Fiziko
An Airgintín	Argentino
Teileachumarsáid	Telekomunikado
Peiriú	Peruo
Bitheolaíocht	Biologio
Úfó	Nifo
An Chóiré Thuaidh	Nord-Koreio
An Chambóid	Kamboĝo
Crios Kuiper	Kujper-zono
An Córan	Korano
Dineasár	Dinosaŭro
Zó-eolaíocht	Bestoscienco
An tIoslam	Islamo
Piorra	Pirarbo
Leabharlann Chathair Alastair	Librejo de Aleksandrio
Liúibleána	Ljubljano
Salvador Allende	Salvador Allende
Luibheolaíocht	Plantoscienco
Lech Wałęsa	Lech Wałęsa
Roth	Rado
Denis Diderot	Denis Diderot
Intinn	Menso
Síocháin	Paco
Lyon	Liono
An tAontas Eorpach	Eŭropa Unio
Star Wars	Star Wars
Gréasán Domhanda	TTT
Bean	Virino
Sóifia	Sofio
Uiscerian	Akvedukto
Don Quixote	Kiĥoto
Filíocht	Poezio
Víreas ríomhaireachta	Komputviruso
Tubaiste Shearnóbail	Nuklea akcidento de Ĉernobilo
Milano	Milano
Cuimhne	Memoro
Arthur Rimbaud	Arthur Rimbaud
Torino	Torino
Faecas	Fekaĵo
Anas	Anuso
Líomóid	Citrono
Charles Baudelaire	Charles Baudelaire
Banana	Banano
Émile Zola	Émile Zola
666	666
Bláth (planda)	Floro
Trinse Máirianach	Mariana Fosego
Vladimir Vysotsky	Vladimir Visockij
Sliabh Everest (Teomólungma)	Ĉomolungmo
Anatamaíocht	Anatomio
Cathair (lonnaíocht)	Urbo
Napoléon Bonaparte	Napoleono Bonaparte
Olympus Mons	Olympus Mons
Fiseolaíocht	Fiziologio
Réalta	Stelo
An Veasúiv	Vezuvio
An Ghrian	Suno
Spéir	Ĉielo
Louis Pasteur	Louis Pasteur
Solasbhliain	Lumjaro
Sráidbhaile	Vilaĝo
Victor Hugo	Victor Hugo
An Aigéine	Oceanio
Giuseppe Garibaldi	Giuseppe Garibaldi
Lúthchleasaíocht	Atletiko
An Grianchóras	Sunsistemo
Muir Bhailt	Balta Maro
Trieste	Triesto
Champs-Élysées	Avenuo de la Elizeaj Kampoj
Fiacail	Dento
Hidrigin	Hidrogeno
Héiliam	Heliumo
Cómhaoin Wikimedia	Vikimedia Komunejo
Angela Merkel	Angela Merkel
Litiam	Litio
Beirilliam	Berilio
Callaire	Laŭtparolilo
Leabhar	Libro
Lá	Tago
An Tíomór Thoir	Orienta Timoro
Oíche	Nokto
Bliain	Jaro
Aois	Jarcento
An Réin	Rejno
Osló	Oslo
Bonn (cathair)	Bonn
Katowice	Katowice
Dúpholl	Nigra truo
Aerach	Gejo
Ceres (abhacphlainéad)	Cereso
Liospóin	Lisbono
Haumea (abhacphlainéad)	Haŭmeo
Makemake (abhacphláinéad)	Makemako (nanoplanedo)
Michael Bloomberg	Michael Bloomberg
Kateri Tekakwitha	Kateri Tekakvida
Eris (abhacphláinéad)	Eriso
Dubai	Dubajo
Lionel Messi	Lionel Messi
Padua	Padovo
Bórón	Boro
Nicolaus Copernicus	Koperniko
Carbón	Karbono
An Volga	Volgo
Nítrigin	Nitrogeno
Bergamo	Bergamo
Ocsaigin	Oksigeno
Football Club Internazionale Milano	Inter Milano
Neil Young	Neil Young
Pláinéad	Planedo
Cléópatra	Kleopatra
Kate Bush	Kate Bush
Ceol	Muziko
Iomrall (optaic)	Aberacio (optiko)
An Veinéis	Venecio
Sharm el-Sheikh	Ŝarm el Ŝeiĥ
Teirmiméadar	Termometro
Roazhon	Rennes
Lille	Lille
Moscó	Moskvo
Fluairín	Fluoro
An Iodáilis	Itala lingvo
Sí-abhabha	Ĉivava hundo
Neon	Neono
Chihuahua	Chihuahua
Cathair Pheadair	Sankt-Peterburgo
Sead	Ĉado
Sóidiam	Natrio
Tuaisceart	Nordo
Maignéisiam	Magnezio
Alúmanam	Aluminio
An Nua-Shéalainn	Nov-Zelando
Deisceart	Sudo
An India	Barato
Sileacan	Silicio
Frainciam	Franciumo
Tuvalu	Tuvalo
Fosfar	Fosforo
André-Marie Ampère	André-Marie Ampère
Iarann	Fero
Tonga	Tongo
Iarthar	Okcidento
Alessandro Volta	Alessandro Volta
Sulfar	Sulfuro
Samó	Samoo
Oirthear	Oriento
Oileáin Sholamón	Salomonoj
Vanuatú	Vanuatuo
Molière	Molière
Clóirín	Kloro
Nua-Ghuine Phapua	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
An Ollainn Theas	Suda Holando
Palau	Palaŭo
Argón	Argono
Nárú	Nauro
Mozilla Firefox	Mozilla Firefox
An Ollainn Thuaidh	Norda Holando
Stáit Chónaidhme na Micrinéise	Federacio de Mikronezio
Potaisiam	Kalio
Zeeland	Zelando
Cailciam	Kalcio
Flevoland	Flevolando
Luaidhe	Plumbo
Oileáin Marshall	Marŝala Insularo
An Mhongóil	Mongolio
Fidsí	Fiĝioj
Scaindiam	Skandio
Stevie Wonder	Stevie Wonder
Tíotáiniam	Titano (elemento)
Veiniséala	Venezuelo
Ficheall	Ŝako
Geingeas Cán	Ĝingis-Ĥano
Vanaidiam	Vanado
Maine	Majno
Cróimiam	Kromo
Capall	Ĉevalo
Amstardam	Amsterdamo
Ainmhí	Bestoj
Suranam	Surinamo
Mangainéis	Mangano
Paragua	Paragvajo
An Ghuáin	Gujano
Ealaín	Arto
Eacuadór	Ekvadoro
Réiniam	Renio
An Cholóim	Kolombio
Cóbalt	Kobalto
Jean Racine	Jean Racine
Tungstan	Volframo
Nicil	Nikelo
Sú talún	Frago
An Búdachas	Budhismo
Groningen, Groningen	Groningen (urbo)
An Bholaiv	Bolivio
Oismiam	Osmio
Groningen (cúige)	Groningen (provinco)
Copar	Kupro
Oileán na Tríonóide agus Tobága	Trinidado kaj Tobago
Paul Verlaine	Paul Verlaine
Planda	Plantoj
San Uinseann agus na Greanáidíní	Sankta Vincento kaj Grenadinoj
Sinc	Zinko
New Hampshire	Nov-Hampŝiro
San Lucia	Sankta Lucio
Białystok	Bjalistoko
Leonardo da Vinci	Leonardo da Vinci
San Críostóir-Nimheas	Sankta-Kito kaj Neviso
Fungas	Fungoj
Iamáice	Jamajko
Stéphane Mallarmé	Stéphane Mallarmé
Greanáda	Grenado (lando)
Friesland	Frislando
Massachusetts	Masaĉuseco
Drenthe	Drenthe
Overijssel	Overijssel
Guatamala	Gvatemalo
Gelderland	Gelderland
Utrecht (cúige)	Utrecht (provinco)
Na Bahámaí	Bahamoj
Connecticut	Konektikuto
Sicín	Koko
Antigua agus Barbúda	Antigvo-Barbudo
Haváí	Havajo
Hondúras	Honduro
Doiminice	Dominiko
Geirsí	Ĵersejo
An Phoblacht Dhoiminiceach	Domingo
Muc	Porko
An tAigéan Artach	Arkta Oceano
Háítí	Haitio
An tSalvadóir	Salvadoro
An Iaráin	Irano
An Iaráic	Irako
Alasca	Alasko
Assen	Assen
Cósta Ríce	Kostariko
Iosrael	Israelo
Utrecht (cathair)	Utrecht
Panama	Panamo
Poblacht Éimin	Jemeno
Randstad	Randstad
Lausanne	Laŭzano
Víreas	Viruso (biologio)
An Pholainnis	Pola lingvo
An Iordáin	Jordanio
Nicearagua	Nikaragvo
Florida	Florido
An Chirgeastáin	Kirgizio
Arizona	Arizono
Cuáit	Kuvajto
Laos	Laoso
An Liobáin	Libano
Oregon	Oregono
Oileáin Mhaildíve	Maldivoj
Utah	Utaho
Bó	Bovo
An Mhalaeisia	Malajzio
Maenmar	Birmo
Neipeal	Nepalo
Andrey Rublyev	Andreo Rublov
Óman	Omano
An Phacastáin	Pakistano
Catar	Kataro
Leadóg	Teniso
MySQL	MySQL
An Araib Shádach	Sauda Arabio
Srí Lanca	Sri-Lanko
Iósaf Stailín	Josif Stalin
Barrachód	Strekokodo
An tSiria	Sirio
Platón	Platono
Gailliam	Galiumo
An Táidsíceastáin	Taĝikio
Pokémon	Pokemono
An Téaváin	Respubliko Ĉinio
YouTube	YouTube
Gearmáiniam	Germaniumo
Arastotail	Aristotelo
An Téalainn	Tajlando
Traein	Trajno
Arsanaic	Arseno
Raidió	Radiofonio
Meryl Streep	Meryl Streep
An Tuircméanastáin	Turkmenio
Abakan	Abakan
Seiléiniam	Seleno
Iridiam	Iridio
Aontas na nÉimíríochtaí Arabacha	Unuiĝintaj Arabaj Emirlandoj
Bróimín	Bromo
Platanam	Plateno
Vítneam	Vjetnamio
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsko
An Chóiré Theas	Sud-Koreio
The Simpsons	La Simpsonoj
Crioptón	Kriptono
An Afganastáin	Afganio
Nizhny Novgorod	Niĵnij Novgorod
J. R. R. Tolkien	John Ronald Reuel Tolkien
Rubaidiam	Rubidio
Ór	Oro
Omsk	Omsk
Kazan	Kazano
Eolaí	Sciencisto
An Bhanglaidéis	Bangladeŝo
Franz Kafka	Franz Kafka
Chelyabinsk	Ĉeljabinsk
Rostov na Donu	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mailí	Malio
Sócraitéas	Sokrato
Volgograd	Volgogrado
Angóla	Angolo
Perm	Permjo
An Bhútáin	Butano
Twitter	Twitter
Krasnoyarsk	Krasnojarsk
Brúiné	Brunejo
An Tansáin	Tanzanio
Mearcair (airgead beo)	Hidrargo
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Na hOileáin Fhilipíneacha	Filipinoj
Poblacht na hAfraice Láir	Centr-Afrika Respubliko
Tailliam	Taliumo
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strointiam	Stroncio
Itriam	Itrio
Biosmat	Bismuto
Buí	Flava
Meicnic chandamach	Kvantuma mekaniko
Tóga	Togolando
An Túinéis	Tunizio
John Bardeen	John Bardeen
An tSaimbia	Zambio
An tSiombáib	Zimbabvo
Béising	Pekino
An tSúdáin Theas	Sud-Sudano
Vladivostok	Vladivostok
Túva	Tuvio
Beinin	Benino
An Bhotsuáin	Bocvano
Buircíne Fasó	Burkino
An Bhurúin	Burundo
Oileáin Chomóra	Komoroj
Poblacht an Chongó	Respubliko Kongo
Alkmaar	Alkmaar
Poblacht Dhaonlathach an Chongó	Demokratia Respubliko Kongo
San Antonio, Texas	San Antonio (Teksaso)
Diobúití	Ĝibutio
Polóiniam	Polonio
An Bhaváir	Bavario
An Ghuine Mheánchriosach	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
An Eiritré	Eritreo
Nua-Deilí	Nov-Delhio
Pápa Eoin Pól II	Johano Paŭlo la 2-a
Fyodor Dostoyevsky	Fjodor Dostojevskij
Tbilisi	Tbiliso
Appingedam	Appingedam
Andrey Sakharov	Andrej Saĥarov
Astaitín	Astato
An Ghabúin	Gabono
Mahatma Gandhi	Mohandas Karamchand Gandhi
An Ghaimbia	Gambio
An Ghuine	Gvineo
Guine-Bissau	Gvineo Bisaŭa
An Cósta Eabhair	Ebur-Bordo
Camarún	Kameruno
Rinn Verde	Kaboverdo
Leosóta	Lesoto
An Libéir	Liberio
An Libia	Libio
Aachen	Aachen
Madagascar	Madagaskaro
An Mhaláiv	Malavio
Stuttgart	Stutgarto
An Mháratáin	Maŭritanio
Polannaigh (grúpa eitneach)	Poloj
Oileán Mhuirís	Maŭricio
Maracó	Maroko
Poblacht Mhósaimbíc	Mozambiko
An Namaib	Namibio
An Nígir	Niĝero
An Nigéir	Niĝerio
Biel/Bienne	Bielo
Charles Darwin	Charles Darwin
Uganda	Ugando
Ruanda	Ruando
Siorcóiniam	Zirkonio
São Tomé agus Príncipe	Sao-Tomeo kaj Principeo
An tSeineagáil	Senegalo
Na Séiséil	Sejŝeloj
Carl von Linné	Karolo Lineo
Siarra Leon	Siera-Leono
An tSomáil	Somalio
Niaibiam	Niobio
Jawaharlal Nehru	Jawaharlal Nehru
Iúil Caesar	Julio Cezaro
An tSúdáin	Sudano
An tSuasalainn	Svazilando
Tuar ceatha	Ĉielarko
Molaibdéineam	Molibdeno
Teicnéitiam	Teknecio
Hamburg	Hamburgo
Meitibileacht	Metabolo
Córas imdhíonach	Imuna sistemo
An Ghúisearáit	Guĝaratio
Loch Ontario	Ontario (lago)
Éabhlóid	Evoluismo
Náisiúin Aontaithe	Unuiĝintaj Nacioj
Dante Alighieri	Dante Alighieri
Geolaíocht	Geologio
Tíreolaíocht	Geografio
Croí	Koro
Inchinn	Cerbo
Craiceann	Haŭto
Dath	Koloro
Star Trek: The Original Series	Stela Vojaĝo: La Origina Serio
Breaking Bad	Breaking Bad
Prág	Prago
Ruitéiniam	Rutenio
Róidiam	Rodio
Gorm	Blua
Pallaidiam	Paladio
Airgead (dúil)	Arĝento
Caidmiam	Kadmio
Star Trek	Star Trek
Limburg (an Ísiltír)	Limburgo (Nederlando)
Indiam	Indio
Stán	Stano
Úráiniam	Uranio
Antamón	Antimono
Teallúiriam	Teluro
Brabant Thuaidh	Norda Brabanto
Plútóiniam	Plutonio
Iaidín	Jodo
Neiptiúiniam	Neptunio
Xeanón	Ksenono
Caeisiam	Cezio
Prótachtainiam	Protaktinio
Lucht leictreach	Elektra ŝargo
Bairiam	Bario
Tóiriam	Torio
Haifniam	Hafnio
Achtainiam	Aktinio
Tantalam	Tantalo
William J. Clinton	William J. Clinton
Raidiam	Radiumo
Radón	Radono
Hector Berlioz	Louis Hector Berlioz
Mumbai	Mumbajo
Michigan	Miĉigano
Goa	Goao
Pórtó Ríce	Porto-Riko
Usain Bolt	Usain Bolt
Schleswig-Holstein	Ŝlesvigo-Holstinio
Mecklenburg-Vorpommern	Meklenburgo-Antaŭpomerio
An tSacsain Íochtarach	Malsupra Saksio
Tuaisceart na Réine agus an Viostfáil	Nordrejn-Vestfalio
Hessen	Hesio
Tír na Réine agus an Phalaitíneacht	Rejnlando-Palatinato
An tSárlainn	Sarlando
An tSacsain	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Thüringen	Turingio
An tSacsain-Anhalt	Saksio-Anhalto
Dakota Thuaidh	Norda Dakoto
Brandenburg	Brandenburgio
Bremen	Libera hansa urbo Bremeno
An Lombaird	Lombardujo
Dakota Theas	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Píodmant	Piemonto
Iarúsailéim	Jerusalemo
Idaho	Idaho
Valle d'Aosta	Aosta Valo
Washington	Vaŝingtonio
Bruce Springsteen	Bruce Springsteen
Rutarfoirdiam	Ruterfordio
Nevada	Nevado
Dúibniam	Dubnio
Seaboirgiam	Seborgio
Trentino-Tirol Theas	Trentino-Alto Adige
An tAigéan Indiach	Hinda Oceano
Veneto	Veneto
An Chosaiv	Kosovo
Muir Chairib	Kariba Maro
Bóiriam	Borio
Friuli-Venezia Giulia	Friulo-Venecio Julia
Haisiam	Hasio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligurio
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitniriam	Mejtnerio
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Colorado	Koloradio
Emilia-Romagna	Emilio-Romanjo
Frédéric Chopin	Frédéric Chopin
An Tuscáin	Toskanio
Coipeirniciam	Kopernicio
Marche	Markio (Italio)
Umbria	Umbrio
Catagóir:Bunúsach	Kategorio:Ĉio
Lazio	Latio
Abruzzo	Abruco
Na hAlpa	Alpoj
Blaise Pascal	Blaise Pascal
Gent	Gento (urbo)
Chicago	Ĉikago
The Beatles	The Beatles
Únúinheicsiam	Livermorumo
Únúinseiptiam	Ununseptio
Únúnoictiam	Ununoktio
Como	Komo (Italio)
Maastricht	Maastricht
Geimhreadh	Vintro
Earrach	Printempo
Samhradh	Somero
Fómhar	Aŭtuno
Cónocht	Ekvinokso
Saddam Hussein	Saddam Hussein
Osama bin Laden	Usama bin Laden
An Spáinnis	Hispana lingvo
Friedrich Hayek	Friedrich August von Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Tolyatti	Toljatti
Pittsburgh	Pittsburgh (Pensilvanio)
Ceoldráma	Opero
Philadelphia	Filadelfio (Pensilvanio)
Calcúta	Kolkato
Chennai	Ĉenajo
Delhi	Delhio
Dhaka	Dako
Bangalore	Bengaluro
Damhán alla	Araneuloj
Araicnid	Araneedoj
Artrapód	Artropodoj
Islamabad	Islamabado
Toradh	Frukto
Moncaí	Simio
Virginia	Virginio (ŝtato)
Virginia Thiar	Okcidenta Virginio
An Mhatterhorn	Materhorno
Nua-Eabhrac (stát)	Nov-Jorkio
Ceiriam	Cerio
Praiséidimiam	Prazeodimo
Oileán Rhode	Rod-Insulo
Neoidimiam	Neodimo
Feithid	Insekto
Maryland	Marilando
Delaware	Delavaro
Vlaidímír Leinín	Lenin
Eoraipiam	Eŭropio
Ohio	Ohio
Veirgil	Vergilio
Niccolò Machiavelli	Makiavelo
Pennsylvania	Pensilvanio
Francesco Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Ágastas	Aŭgusto Cezaro
Microsoft Windows	Microsoft Windows
Tiberius	Tiberio
New Jersey	Nov-Ĵerzejo
Caligula	Kaligulo
Giobráltar	Ĝibraltaro
An Fhionlainnis	Finna lingvo
Nearó	Nerono
Indiana	Indianio
Nokia	Nokia (kompanio)
Vespasian	Vespasiano
Gluaisteán	Aŭtomobilo
Juventus Football Club	Juventus Football Club
Roger Federer	Roger Federer
Georgia (stát S.A.M.)	Georgio
Ságrab	Zagrebo
Campania	Kampanio
Texas	Teksaso
Molise	Molizo
Puglia	Apulio
Genova	Ĝenovo
Basilicata	Basilikato
Carolina Thuaidh	Norda Karolino
Haca	Herbohokeo
Carolina Theas	Suda Karolino
Unione Calcio Sampdoria	Sampdoria Genova
Calabria	Kalabrio
An tSicil	Sicilio
Mainile	Manilo
An tSairdín	Sardio
M. C. Escher	M. C. Escher
Galar Crohn	Crohn-malsano
Bordeaux	Bordeaux
Corazon Aquino	Corazón Aquino
Buenos Aires	Bonaero
Cathair Mheicsiceo	Meksik-urbo
Tóiceo	Tokio
La Paz	La-Pazo
Barcelona	Barcelono
Anann	Ananaso
Mississippi	Misisipio
Fernão de Magalhães	Fernão de Magalhães
Abhainn Mississippi	Misisipo (rivero)
José Rizal	José Rizal
An Phatagóin	Patagonio
Tennessee	Tenesio
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Abú Daibí	Abu-Dabio
Astana	Astano
Nua-Mheicsiceo	Nov-Meksiko
An Aithin	Ateno
Minnesota	Minesoto
Bagdad	Bagdado
Caracas	Karakaso
Am Uilíoch Comheagartha	UTC
Wisconsin	Viskonsino
Cicearó	Cicerono
Associazione Calcio Milan	A.C. Milan
Iowa	Iovao
Nebraska	Nebrasko
Kansas	Kansaso
Tobac	Tabako
An Hiondúis	Hindia lingvo
Todóg	Cigaro
Toitín	Cigaredo
Missouri	Misurio
Georg Ohm	Georg Ohm
Louisiana	Luiziano
Luigi Galvani	Luigi Galvani
Kentucky	Kentukio
Arkansas	Arkansaso
Neil Armstrong	Neil Armstrong
An Urdais	Urduo
Charles Lindbergh	Charles Lindbergh
Édith Piaf	Édith Piaf
An Eilbe	Elbo (rivero)
Oklahoma	Oklahomo
An Danóib	Danubo
An tSaale	Saale
An Mhuir Thuaidh	Norda Maro
Skagerrak	Skagerrak
Cúige Mhoscó	Moskva provinco
Kiel	Kilo (urbo)
Potsdam	Potsdamo
Hannover	Hanovro
Düsseldorf	Duseldorfo
Mainz	Majenco
Wiesbaden	Wiesbaden
Sárbrúch	Saarbrücken
München	Munkeno
Cúige Shamara	Samara provinco (Rusio)
Erfurt	Erfurto
Dresden	Dresdeno
Magdeburg	Magdeburgo
Innsbruck	Innsbruck
Bregenz	Bregenz
Vín	Vieno
Madonna	Madonna
Cóbanhávan	Kopenhago
Cúige Kaliningrad	Kaliningrada provinco
Stócólm	Stokholmo
Heilsincí	Helsinko
