Африка	Afriko
Век	Jarcento
Лођ	Lodzo
Canegrate, Milano	Canegrate
Вилербан	Villeurbanne
Монблан	Blanka Monto
Рајна	Rejno
Осло	Oslo
Бон	Bonn
Сви свети	Ĉiuj Sanktuloj
Катовице	Katowice
Црна рупа	Nigra truo
Луис де Камоис	Luís Vaz de Camões
Геј	Gejo
Церера (патуљаста планета)	Cereso
Лисабон	Lisbono
Жешов	Rzeszów
Хаумеа (патуљаста планета)	Haŭmeo
Рона	Rodano
Макемаке (патуљаста планета)	Makemako (nanoplanedo)
Ерида (патуљаста планета)	Eriso
Дубаи	Dubajo
Лионел Меси	Lionel Messi
Падова	Padovo
Бор (хемијски елемент)	Boro
Никола Коперник	Koperniko
Версај	Versailles
Лудвигсбург	Ludwigsburg
Угљеник	Karbono
Алесандро дел Пјеро	Alessandro del Piero
Волга	Volgo
Азот	Nitrogeno
Бергамо	Bergamo
Кисеоник	Oksigeno
ФК Интер Милано	Inter Milano
Планета	Planedo
Клеопатра VII	Kleopatra
Kejt Buš	Kate Bush
Музика	Muziko
Венеција	Venecio
Naruto	Naruto (mangao)
По (река)	Pado
Шарм ел Шеик	Ŝarm el Ŝeiĥ
Нева	Neva
Термометар	Termometro
Рен (Француска)	Rennes
Лил	Lille
Москва	Moskvo
Флуор	Fluoro
Италијански језик	Itala lingvo
Неон	Neono
Чивава	Chihuahua
Санкт Петербург	Sankt-Peterburgo
Чад	Ĉado
Натријум	Natrio
Север	Nordo
Магнезијум	Magnezio
Neon Genesis Evangelion	Neon Genesis Evangelion
Алуминијум	Aluminio
Нови Зеланд	Nov-Zelando
Југ	Sudo
Индија	Barato
Силицијум	Silicio
Францијум	Franciumo
Тувалу	Tuvalo
Фосфор	Fosforo
Андре-Мари Ампер	André-Marie Ampère
Проза	Prozo
Гвожђе	Fero
Тонга	Tongo
Запад	Okcidento
Алесандро Волта	Alessandro Volta
Сумпор	Sulfuro
Самоа	Samoo
Исток	Oriento
Соломонова Острва	Salomonoj
Вануату	Vanuatuo
Молијер	Molière
Хлор	Kloro
Делфт	Delft
Папуа Нова Гвинеја	Papuo-Nov-Gvineo
Вилијам Шекспир	William Shakespeare
Басна	Fablo
Јужна Холандија	Suda Holando
Палау	Palaŭo
Аргон	Argono
Науру	Nauro
Мозила фајерфокс	Mozilla Firefox
Бајка	Fabelo
Северна Холандија	Norda Holando
Савезне Државе Микронезије	Federacio de Mikronezio
Калијум	Kalio
Зеланд	Zelando
Калцијум	Kalcio
Флеволанд	Flevolando
Олово	Plumbo
Маршалска Острва	Marŝala Insularo
Кирибати	Kiribato
Монголија	Mongolio
Фиџи	Fiĝioj
Скандијум	Skandio
Stivi Vonder	Stevie Wonder
Хајлброн	Hajlbrono
Титанијум	Titano (elemento)
Венецуела	Venezuelo
Шах	Ŝako
Џингис-кан	Ĝingis-Ĥano
Ванадијум	Vanado
Мејн	Majno
Хром	Kromo
Домаћи коњ	Ĉevalo
Амстердам	Amsterdamo
Оружје	Armilo
Животиње	Bestoj
Суринам	Surinamo
Манган	Mangano
Парагвај	Paragvajo
Гвајана	Gujano
Уметност	Arto
Еквадор	Ekvadoro
Ренијум	Renio
Колумбија	Kolombio
Кобалт	Kobalto
Жан Расин	Jean Racine
Волфрам	Volframo
Никл	Nikelo
Јагода	Frago
Пјер Корнеј	Pierre Corneille
Будизам	Budhismo
Гронинген	Groningen (urbo)
Боливија	Bolivio
Осмијум	Osmio
Гронинген (провинција)	Groningen (provinco)
Бакар	Kupro
Тринидад и Тобаго	Trinidado kaj Tobago
Пол Верлен	Paul Verlaine
Биљке	Plantoj
Сент Винсент и Гренадини	Sankta Vincento kaj Grenadinoj
Цинк	Zinko
Њу Хемпшир	Nov-Hampŝiro
Света Луција	Sankta Lucio
Бјалисток	Bjalistoko
Леонардо да Винчи	Leonardo da Vinci
Сент Китс и Невис	Sankta-Kito kaj Neviso
Гљиве	Fungoj
Дарио Фо	Dario Fo
Јамајка	Jamajko
Стефан Маларме	Stéphane Mallarmé
Гренада	Grenado (lando)
Фризија	Frislando
Масачусетс	Masaĉuseco
Дренте	Drenthe
Оверејсел	Overijssel
Гватемала	Gvatemalo
Хелдерланд	Gelderland
Утрехт (провинција)	Utrecht (provinco)
Гуглов Хром	Google Chrome
Бахаме	Bahamoj
Конектикат	Konektikuto
Кокошка	Koko
Антигва и Барбуда	Antigvo-Barbudo
Хаваји	Havajo
Хондурас	Honduro
Доминика	Dominiko
Џерзи	Ĵersejo
Доминиканска Република	Domingo
Домаћа свиња	Porko
Северни ледени океан	Arkta Oceano
Хаити	Haitio
Салвадор	Salvadoro
Зволе	Zwolle
Иран	Irano
Ирак	Irako
Аљаска	Alasko
Асен	Assen
Мудрост	Saĝo
Костарика	Kostariko
Израел	Israelo
Нови Сонч	Nowy Sącz
Утрехт	Utrecht
Панама	Panamo
Јемен	Jemeno
Лозана	Laŭzano
Вирус	Viruso (biologio)
Пољски језик	Pola lingvo
Јордан	Jordanio
Никарагва	Nikaragvo
Флорида	Florido
Киргистан	Kirgizio
Аризона	Arizono
Кувајт	Kuvajto
Лаос	Laoso
Либан	Libano
Орегон	Oregono
Малдиви	Maldivoj
Америке	Ameriko
Јута	Utaho
Domaće govedo	Bovo
Малезија	Malajzio
Кантон Вале	Kantono Valezo
Михаил Булгаков	Miĥail Bulgakov
Мјанмар	Birmo
Непал	Nepalo
Андреј Рубљов	Andreo Rublov
Оман	Omano
Пакистан	Pakistano
Џејмс Бонд	James Bond (fikcia universo)
Катар	Kataro
Тенис	Teniso
Франсоа Вијон	François Villon
MySQL	MySQL
Саудијска Арабија	Sauda Arabio
Андреј Тарковски	Andrei Arsenjewitsch Tarkowski
Шри Ланка	Sri-Lanko
Јосиф Стаљин	Josif Stalin
Бар-код	Strekokodo
Сирија	Sirio
Платон	Platono
Галијум	Galiumo
Јосиф Бродски	Iosif Brodskij
Таџикистан	Taĝikio
Покемони	Pokemono
Република Кина	Respubliko Ĉinio
Јутуб	YouTube
Германијум	Germaniumo
Аристотел	Aristotelo
Тајланд	Tajlando
Воз	Trajno
Арсен	Arseno
Радио	Radiofonio
Мерил Стрип	Meryl Streep
Туркменистан	Turkmenio
Абакан (град)	Abakan
Селен	Seleno
Иридијум	Iridio
Уједињени Арапски Емирати	Unuiĝintaj Arabaj Emirlandoj
Бром	Bromo
Платина	Plateno
Вијетнам	Vjetnamio
Чарли Чаплин	Charlie Chaplin
Новосибирск	Novosibirsko
Јужна Кореја	Sud-Koreio
Јозеф Пилсудски	Józef Piłsudski
Симпсонови	La Simpsonoj
Јекатеринбург	Jekaterinburg
Криптон	Kriptono
Авганистан	Afganio
Gangnam Style	Gangnam Style
Нижњи Новгород	Niĵnij Novgorod
Џ. Р. Р. Толкин	John Ronald Reuel Tolkien
Лимунада	Limonado
Самара	Samara (urbo)
Рубидијум	Rubidio
Злато	Oro
Омск	Omsk
Суецки канал	Sueza Kanalo
Казањ	Kazano
Научник	Sciencisto
Бангладеш	Bangladeŝo
BLEACH	Bleach
Франц Кафка	Franz Kafka
Чељабинск	Ĉeljabinsk
Ростов на Дону	Rostov-na-Donu
Хорхе Луис Борхес	Jorge Luis Borges
Уфа	Ufa
Мали	Malio
Сократ	Sokrato
Волгоград	Volgogrado
Ангола	Angolo
Перм (Русија)	Permjo
Бутан	Butano
Твитер	Twitter
Краснојарск	Krasnojarsk
Брунеј	Brunejo
Брач	Brač
Танзанија	Tanzanio
Жива	Hidrargo
Роалд Амундсен	Roald Amundsen
Hari Muliš	Harry Mulisch
Филипини	Filipinoj
Централноафричка Република	Centr-Afrika Respubliko
Талијум	Taliumo
Јужни пол	Suda poluso
Сјеверни пол	Norda poluso
Исак Њутн	Isaac Newton
Опен стрит мап	OpenStreetMap
Алберт Ајнштајн	Albert Einstein
Стронцијум	Stroncio
Педро I од Бразила	Petro la 1-a (Brazilo)
Итријум	Itrio
Бизмут	Bismuto
Жута боја	Flava
Квантна механика	Kvantuma mekaniko
Того	Togolando
Доналд Туск	Donald Tusk
Тунис	Tunizio
Џон Бардин	John Bardeen
Reggiolo, Reggio Emilia	Reggiolo
Замбија	Zambio
Зимбабве	Zimbabvo
Пекинг	Pekino
Јужни Судан	Sud-Sudano
Владивосток	Vladivostok
Тува	Tuvio
Бенин	Benino
Боцвана	Bocvano
Викивести	Vikinovaĵoj
Буркина Фасо	Burkino
Бурунди	Burundo
Варбург	Warburg
Комори	Komoroj
Република Конго	Respubliko Kongo
Алкмар	Alkmaar
Об (река у Русији)	Obo
Демократска Република Конго	Demokratia Respubliko Kongo
Сан Антонио	San Antonio (Teksaso)
Томск	Tomsk
Џибути	Ĝibutio
Mem (jedinica)	Memeo
Полонијум	Polonio
Баварска	Bavario
Екваторијална Гвинеја	Ekvatora Gvineo
Баден-Виртемберг	Baden-Virtembergo
Еритреја	Eritreo
Њу Делхи	Nov-Delhio
Папа Јован Павле II	Johano Paŭlo la 2-a
Фјодор Достојевски	Fjodor Dostojevskij
Амерсфорт	Amersforto
Камчатка	Kamĉatko
Тбилиси	Tbiliso
Андреј Сахаров	Andrej Saĥarov
Новорођенче	Bebo
Астат	Astato
Габон	Gabono
Махатма Ганди	Mohandas Karamchand Gandhi
Чукотско полуострво	Ĉukotko
Солидарност (синдикат)	Solidareco (Pollando)
Стрип	Bildliteraturo
Гамбија	Gambio
Гвинеја	Gvineo
Гвинеја Бисао	Gvineo Bisaŭa
Обала Слоноваче	Ebur-Bordo
Камерун	Kameruno
Марибор	Mariboro
Зеленортска Острва	Kaboverdo
Цеље	Celje
Лесото	Lesoto
Либерија	Liberio
Копар	Kapodistrio
Либија	Libio
Ахен	Aachen
Нова Горица	Nova Gorica
Мадагаскар	Madagaskaro
Малави	Malavio
Крањ	Kranj
Штутгарт	Stutgarto
Триглав (врх)	Triglav
Мауританија	Maŭritanio
Пољаци	Poloj
Маурицијус	Maŭricio
Мароко	Maroko
Мозамбик	Mozambiko
Намибија	Namibio
Франце Прешерен	France Prešeren
Нигер	Niĝero
Нигерија	Niĝerio
Бил/Бјен	Bielo
Чарлс Дарвин	Charles Darwin
Уганда	Ugando
Руанда	Ruando
Цирконијум	Zirkonio
Сао Томе и Принсипе	Sao-Tomeo kaj Principeo
Карлсруе	Karlsruhe
Сенегал	Senegalo
Сејшели	Sejŝeloj
Карл фон Лине	Karolo Lineo
Сијера Леоне	Siera-Leono
Сомалија	Somalio
Ниобијум	Niobio
Џавахарлал Нехру	Jawaharlal Nehru
Гај Јулије Цезар	Julio Cezaro
Судан	Sudano
Свазиленд	Svazilando
Дуга	Ĉielarko
Молибден	Molibdeno
Технецијум	Teknecio
Хамбург	Hamburgo
Итало Балбо	Italo Balbo
Метаболизам	Metabolo
Нарендра Моди	Narendra Modi
Имунски систем	Imuna sistemo
Гуџарат	Guĝaratio
Онтарио (језеро)	Ontario (lago)
Еволуција (биологија)	Evoluismo
Организација уједињених нација	Unuiĝintaj Nacioj
Горње језеро	Supra Lago
Данте Алигијери	Dante Alighieri
Геологија	Geologio
Ахмедабад	Ahmadabado
Географија	Geografio
Срце	Koro
Мозак	Cerbo
Кожни систем	Haŭto
Боја	Koloro
Звездане стазе: Оригинална серија	Stela Vojaĝo: La Origina Serio
Чиста хемија	Breaking Bad
Салерно	Salerno
Именице	Substantivo
Праг	Prago
Рутенијум	Rutenio
Родијум	Rodio
Плава боја	Blua
Паладијум	Paladio
Сребро	Arĝento
Кадмијум	Kadmio
Звездане стазе	Star Trek
Лимбург (Холандија)	Limburgo (Nederlando)
Индијум	Indio
Провинција Лимбург (Белгија)	Limburgo (Belgio)
Калај	Stano
Уранијум	Uranio
Антимон	Antimono
Телур	Teluro
Северни Брабант	Norda Brabanto
Плутонијум	Plutonio
Јод	Jodo
Хемер	Hemer
Нептунијум	Neptunio
Ксенон	Ksenono
Аниме	Animeo
Цезијум	Cezio
Протактинијум	Protaktinio
Ujedinjena Federacija Planeta	Unuiĝinta Federacio de Planedoj
Наелектрисање	Elektra ŝargo
Баријум	Bario
Западна Фландрија	Okcidenta Flandrio
Источна Фландрија	Orienta Flandrio
Торијум	Torio
Провинција Антверпен	Antverpeno (provinco)
Фламански Брабант	Flandra Brabanto
Хафнијум	Hafnio
Актинијум	Aktinio
Валонски Брабант	Valona Brabanto
Тантал	Tantalo
Бил Клинтон	William J. Clinton
Провинција Намир	Namuro (provinco)
Провинција Луксембург	Luksemburgo (Belgio)
Провинција Лијеж	Lieĝo (provinco)
Радијум	Radiumo
Провинција Ено	Henegovio
Исерлон	Iserlohn
Ален (Варендорф)	Ahlen
Радон	Radono
Лорена	Loreno
Алзас	Alzaco
Жан Филип Рамо	Jean-Philippe Rameau
Индира Ганди	Indira Gandhi
Меркур (бог)	Merkuro (dio)
Ектор Берлиоз	Louis Hector Berlioz
Оверња	Aŭvernjo
Џамнагар	Ĝamnagar
Бусто Арсицио	Busto Arsizio
Мумбај	Mumbajo
ИААФ	Internacia Asocio de Atletikaj Federacioj
Андра Прадеш	Andra-Pradeŝo
Лимбург	Limburg
Аруначал Прадеш	Arunaĉal-Pradeŝo
Асам	Asamo
Бихар	Biharo
Мичиген	Miĉigano
Чатисгар	Ĉhatisgaro
Мичиген (језеро)	Miĉigano (lago)
Гоа	Goao
Бургоња	Burgonjo
Харајана	Harjano
Химачал Прадеш	Himaĉal-Pradeŝo
Морис Равел	Maurice Ravel
Аквитанија	Akvitanio
Џаму и Кашмир	Ĝamuo kaj Kaŝmiro
Порторико	Porto-Riko
Џарканд	Ĝharkhando
Карнатака	Karnatako
Керала	Keralao
Мадја Прадеш	Madhja-Pradeŝo
Јусејн Болт	Usain Bolt
Лимузен	Limoĝio
Махараштра	Maharaŝtro
Жан-Батист Лили	Jean-Baptiste Lully
Манипур	Manipuro
Шлезвиг-Холштајн	Ŝlesvigo-Holstinio
Мегхалаја	Meghalajo
Мекленбург-Западна Померанија	Meklenburgo-Antaŭpomerio
Доња Саксонија	Malsupra Saksio
Северна Рајна-Вестфалија	Nordrejn-Vestfalio
Хесен	Hesio
Рајна-Палатинат	Rejnlando-Palatinato
Сарланд	Sarlando
Саксонија	Saksio
Џон Ленон	John Lennon
Илиноис	Ilinojso
Тирингија	Turingio
Саксонија-Анхалт	Saksio-Anhalto
Северна Дакота	Norda Dakoto
Бранденбург	Brandenburgio
Бремен (покрајина)	Libera hansa urbo Bremeno
Ломбардија	Lombardujo
Јужна Дакота	Suda Dakoto
Монтана	Montano
Вајоминг	Vajomingo
Пијемонт	Piemonto
Јерусалим	Jerusalemo
Ђорђо Наполитано	Giorgio Napolitano
Ајдахо	Idaho
Долина Аосте	Aosta Valo
Вашингтон (држава)	Vaŝingtonio
Брус Спрингстин	Bruce Springsteen
Радерфордијум	Ruterfordio
Невада	Nevado
Дон	Don (rivero)
Франческо Косига	Francesco Cossiga
Дубнијум	Dubnio
Сандро Пертини	Alessandro Pertini
Сиборгијум	Seborgio
Трентино-Јужни Тирол	Trentino-Alto Adige
Индијски океан	Hinda Oceano
Венето	Veneto
Република Косово	Kosovo
Карипско море	Kariba Maro
Боријум	Borio
Фурланија-Јулијска крајина	Friulo-Venecio Julia
Хасијум	Hasio
Бан Ки-Мун	Ban Ki-moon
Кофи Анан	Kofi Annan
Лигурија	Ligurio
Бутрос Бутрос-Гали	Boutros Boutros-Ghali
Мајтнеријум	Mejtnerio
Хавијер Перез де Куељар	Javier Pérez de Cuéllar
Курт Валдхајм	Kurt Waldheim
Колорадо	Koloradio
Емилија-Ромања	Emilio-Romanjo
У Тант	U Thant
Колорадо (река)	Kolorado (rivero)
Дармштатијум	Darmŝtatio
Даг Хамаршелд	Dag Hammarskjöld
Фредерик Шопен	Frédéric Chopin
Тригве Ли	Trygve Lie
Рендгенијум	Rentgenio
Тоскана	Toskanio
Коперницијум	Kopernicio
Марке	Markio (Italio)
Умбрија	Umbrio
Категорија:Садржај	Kategorio:Ĉio
Лацио	Latio
Dolomiti	Dolomitoj
Абруцо	Abruco
Апенини	Apeninoj
Алпи	Alpoj
Карпати	Karpatoj
Гренобл	Grenoblo
Блез Паскал	Blaise Pascal
Брон (Рона)	Bron
Дама (игра)	Damludo
Дортмунд	Dortmund
Гент	Gento (urbo)
Чикаго	Ĉikago
Битлси	The Beatles
Унунтријум	Ununtrio
Флеровијум	Flerovio
Унунпентијум	Ununpentio
Ливерморијум	Livermorumo
Унунсептијум	Ununseptio
Унуноктијум	Ununoktio
