Àfrica	Afriko
Lopado­temakho­selakho­galeo­kranio­leipsano­drim­hypo­trimmato­silphio­karabo­melito­katakekhy­meno­kikhl­epi­kossypho­phatto­perister­alektryon­opto­kephallio­kigklo­peleio­lagōio­siraio­baphē­tragano­pterýgōn	Lopadotemakhoselakhogaleokranioleipsanodrimypotrimmatosilphiokarabomelitokatakekhymenokikhlepikossyphophattoperisteralektryonoptekephalliokinklopeleiolagōiosiraiobaphētraganopterygṓn
Dilluns	Lundo
Espai	Spaco
Gener	Januaro
Febrer	Februaro
Març	Marto
Mart (planeta)	Marso
Mart (mitologia)	Marso (dio)
Kenya	Kenjo
Etiòpia	Etiopio
Ghana	Ganao
Abril	Aprilo
Maig	Majo
Juny	Junio
Juliol	Julio
Agost	Aŭgusto
Setembre	Septembro
Octubre	Oktobro
Novembre	Novembro
Desembre	Decembro
Dimarts	Mardo
Dimecres	Merkredo
Dijous	Ĵaŭdo
Divendres	Vendredo
Dissabte	Sabato
Diumenge	Dimanĉo
Alfil	Kuriero (ŝako)
Peó (escacs)	Peono (ŝako)
Cavall (escacs)	Ĉevalo (ŝako)
Torre (escacs)	Turo (ŝako)
Rei (escacs)	Reĝo (ŝako)
Dama (escacs)	Damo (ŝako)
Lleó	Leono
França	Francio
Esperanto	Esperanto
Gos	Hundo
Regne Unit	Unuiĝinta Reĝlando
Gat	Hejma kato
República Popular de la Xina	Ĉina Popola Respubliko
Francès	Franca lingvo
Viccionari	Vikivortaro
Peix	Fiŝoj
Etanol	Etanolo
Beguda alcohòlica	Alkoholaĵo
Brasil	Brazilo
Alcohol	Alkoholo
François Hollande	François Hollande
Rússia	Rusio
Cetaci	Cetacoj
Fibra tèxtil	Fibro
Fibra òptica	Optika fibro
Yorkshire	Jorkŝiro
Quadrat (polígon)	Kvadrato (geometrio)
Mar	Maro
Mar Negra	Nigra Maro
Nombre π	Pi (nombro)
Pi (lletra grega)	Pio (litero)
Partits Pirata Internacional	Internacia Pirata Partio
Wiki	Vikio
Toronto	Toronto
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
Estat de São Paulo	San-Paŭlo
Quebec	Kebekio
Pizza	Pico
Boeing 747	Boeing 747
Fundació Wikimedia	Fondaĵo Vikimedio
Jimmy Wales	Jimmy Wales
Alemanya	Germanio
Bielorússia	Belorusio
Larry Sanger	Larry Sanger
Il Canto degli Italiani	Il Canto degli Italiani
Alemany	Germana lingvo
Islàndia	Islando
Déu	Dio
Estònia	Estonio
David Cameron	David Cameron
Saturn (planeta)	Saturno (planedo)
Anells de Saturn	Ringoj de Saturno
Xocolata	Ĉokolado
Cirera	Ĉerizo
Avió	Aviadilo
Guerra	Milito
U (nombre)	1 (nombro)
Dos	2 (nombro)
Tres	3 (nombro)
Quatre	4 (nombro)
Cinc	5 (nombro)
Zero	Nulo
Infinit	Senfineco
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Rectangle	Ortangulo
Letònia	Latvio
Ucraïna	Ukrainio
República Txeca	Ĉeĥio
Eslovàquia	Slovakio
Eslovènia	Slovenio
Vílnius	Vilno
República de Moldàvia	Moldava Respubliko
Romania	Rumanio
Bulgària	Bulgario
Roma	Romo
República de Macedònia	Respubliko Makedonio
Albània	Albanio
Grenlàndia	Gronlando
Croàcia	Kroatio
Bòsnia i Hercegovina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Azerbaidjan	Azerbajĝano
Andorra	Andoro
Xipre	Kipro
Geòrgia	Kartvelio
Valònia	Valonio
Kazakhstan	Kazaĥio
República de Malta	Malto
Flandes	Flandrio
Mònaco	Monako
Montenegro	Montenegro
Ciutat del Vaticà	Vatikano
San Marino	San-Marino
Brussel·les	Bruselo
Regió de Brussel·les-Capital	Brusela Ĉefurba Regiono
Cuba	Kubo
Belize	Belizo
Torre Eiffel	Eiffel-Turo
Barbados	Barbado
Volkswagen	Volkswagen
Intel	Intel
Teclat d'ordinador	Komputila klavaro
Java (llenguatge de programació)	Java (programlingvo)
Indonèsia	Indonezio
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turc	Turka lingvo
Conjunt de Mandelbrot	Aro de Mandelbrot
Sud-àfrica	Sud-Afriko
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Algèria	Alĝerio
Viquitexts	Vikifontaro
Uzbekistan	Uzbekujo
Dròsera	Drozero
Poznań	Poznano
Taixkent	Taŝkento
Varsòvia	Varsovio
Islay	Islay
Festival de la Cançó d'Eurovisió	Eŭrovido-Kantokonkurso
Mòdena	Modeno
Whisky	Viskio
Vi	Vino
Aigua	Akvo
Conyac	Konjako
Cognac	Cognac
Cuir	Ledo
Fusta	Ligno
Tours	Tours
Televisió	Televido
Sexe	Sekso
Pornografia	Pornografio
Islandès	Islanda lingvo
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Xile	Ĉilio
Saga islandesa	Islandanaj sagaoj
El Greco	El Greco
Jesús de Natzaret	Jesuo Kristo
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galilejo
Mercuri (planeta)	Merkuro (planedo)
Història	Historio
Cementiri del Père-Lachaise	Tombejo Père-Lachaise
Apple Inc	Apple
Venus (planeta)	Venuso (planedo)
Llenguatge	Lingvo
Amor	Amo
Dictadura	Diktatoreco
Galàxia	Galaksio
Júpiter (planeta)	Jupitero (planedo)
Michelle Bachelet	Michelle Bachelet
Via Làctia	Lakta vojo
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Big Bang	Praeksplodo
Urà (planeta)	Urano (planedo)
Bretanya	Bretonio
Viquipèdia en anglès	Anglalingva Vikipedio
Nicolas Sarkozy	Nicolas Sarkozy
Batalla de Marignano	Batalo de Marignano
Ricardo Lagos	Ricardo Lagos
Neptú (planeta)	Neptuno (planedo)
Astronomia	Astronomio
Singapur	Singapuro
Ciència	Scienco
Llac Chargoggagoggmanchauggagoggchaubunagungamaugg	Chargoggagogg­manchauggagogg­chaubunagungamaugg
Cosmologia	Kosmologio
Plutó (planeta nan)	Plutono
Mont-real	Montrealo
Programari lliure	Libera programaro
Quimper	Quimper
La Flèche	La Flèche
Futur	Estonteco
Maria, mare de Jesús	Maria (patrino de Jesuo)
Lluís IX de França	Ludoviko la 9-a (Francio)
Liechtenstein	Liĥtenŝtejno
Esport	Sporto
Cambridge	Kembriĝo (Britio)
Parc Nacional de Yellowstone	Nacia Parko Yellowstone
Adolf Hitler	Adolf Hitler
Blanca de Castella i d'Anglaterra	Blanka de Kastilio
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Primera Guerra Mundial	Unua mondmilito
Segona Guerra Mundial	Dua mondmilito
Tercera Guerra Mundial	Tria mondmilito
Colònia (Alemanya)	Kolonjo
Corrupció	Korupto
Viquillibres	Vikilibroj
Augusto Pinochet Ugarte	Augusto Pinochet
Viquidites	Vikicitaro
Wikiversity	Vikiversitato
Viquiviatges	Vikivojaĝo
Vodka	Vodko
Gofra	Vaflo
Rellotge	Horloĝo
Ianka Kupala	Janka Kupala
Ubuntu	Ubuntu (linukso)
Skopje	Skopjo
Gdynia	Gdynia
Linux	Linukso
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Matemàtiques	Matematiko
U2	U2
Llatí	Latina lingvo
Bahrain	Barejno
Armènia	Armenio
Escriptura cuneïforme	Kojnoskribo
Bosó de Higgs	Bosono de Higgs
Sèrbia	Serbio
Lluna	Luno
Istanbul	Istanbulo
Linda Lovelace	Linda Lovelace
Austràlia	Aŭstralio
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologia	Astrobiologio
Placa de les Pioneer	Tabulo de la kosmosondiloj Pioneer
Física	Fiziko
Argentina	Argentino
Xiulet gomerenc	Silbo
Telecomunicació	Telekomunikado
Perú	Peruo
Biologia	Biologio
Objecte volador no identificat	Nifo
Museu de Tolosa	Naturhistoria Muzeo de Tuluzo
Corea del Nord	Nord-Koreio
Cambodja	Kamboĝo
Drets dels animals	Bestaj rajtoj
Cinturó de Kuiper	Kujper-zono
Alcorà	Korano
Dinosaure	Dinosaŭro
Zoologia	Bestoscienco
Islam	Islamo
Perera	Pirarbo
Biblioteca d'Alexandria	Librejo de Aleksandrio
Ljubljana	Ljubljano
Salvador Allende Gossens	Salvador Allende
Botànica	Plantoscienco
Ich bin ein Berliner	Ich bin ein Berliner
Lech Wałęsa	Lech Wałęsa
Roda	Rado
Encyclopédie	Encyclopédie ou dictionnaire raisonné des sciences, des arts et des métiers
Denis Diderot	Denis Diderot
Georges Brassens	Georges Brassens
Ment	Menso
Pau	Paco
Encyclopædia Britannica	Encyclopaedia Britannica
Lió	Liono
Poissy	Poissy
Unió Europea	Eŭropa Unio
Plòvdiv	Plovdiv
Internet Archive	Internet Archive
La guerra de les galàxies	Star Wars
Roine-Alps	Rodano-Alpoj
World Wide Web	TTT
Dona	Virino
Esfera de Dyson	Dajsonstrukturo
Sofia	Sofio
Aqüeducte	Akvedukto
Ñ	Ñ
El Quixot	Kiĥoto
Poesia	Poezio
Peresa	Maldiligento
Virus informàtic	Komputviruso
Accident de Txernòbil	Nuklea akcidento de Ĉernobilo
Milà	Milano
Amistat	Amikeco
Memòria (psicologia)	Memoro
Arthur Rimbaud	Arthur Rimbaud
Torí	Torino
Excrement	Fekaĵo
Anus	Anuso
Aixella	Akselo
Llimoner	Citrono
Charles Pierre Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Banana	Banano
Émile Zola	Émile Zola
666	666
Flor	Floro
Googol	Guglo
Googolplex	Gugloplekso
Fossa de les Mariannes	Mariana Fosego
Vladímir Vissotski	Vladimir Visockij
Everest	Ĉomolungmo
Anatomia	Anatomio
Ciutat	Urbo
Napoleó Bonaparte	Napoleono Bonaparte
Olympus Mons	Olympus Mons
Fisiologia	Fiziologio
Estrella	Stelo
Vesuvi	Vezuvio
Sol	Suno
Cel	Ĉielo
Louis Pasteur	Louis Pasteur
Any llum	Lumjaro
Poble (localitat)	Vilaĝo
Victor Hugo	Victor Hugo
Oceania	Oceanio
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletisme	Atletiko
Censura	Cenzuro
Sistema solar	Sunsistemo
Mar Bàltica	Balta Maro
Trieste	Triesto
Vístula	Vistulo
Avinguda dels Camps Elisis	Avenuo de la Elizeaj Kampoj
Oder	Odro
Dent	Dento
Hidrogen	Hidrogeno
Heli	Heliumo
Infern	Infero
Wikimedia Commons	Vikimedia Komunejo
Purgatori	Purgatorio
Angela Merkel	Angela Merkel
Liti	Litio
Beril·li	Berilio
Altaveu	Laŭtparolilo
Llibre	Libro
Dia	Tago
Timor Oriental	Orienta Timoro
Nit	Nokto
Any	Jaro
Segle	Jarcento
Łódź	Lodzo
Villeurbanne	Villeurbanne
Mont Blanc	Blanka Monto
Rin	Rejno
Oslo	Oslo
Bonn	Bonn
Tots Sants	Ĉiuj Sanktuloj
Katowice	Katowice
Forat negre	Nigra truo
Luís de Camões	Luís Vaz de Camões
Gai	Gejo
El rei de Roma	The King of Rome
Ceres (planeta nan)	Cereso
Lisboa	Lisbono
Rzeszów	Rzeszów
Haumea (planeta nan)	Haŭmeo
Roine	Rodano
Makemake (planeta nan)	Makemako (nanoplanedo)
Michael Bloomberg	Michael Bloomberg
Comportament sexual humà	Seksumado
Kateri Tekakwitha	Kateri Tekakvida
Eris (planeta nan)	Eriso
Dubai (ciutat)	Dubajurbo
Dubai	Dubajo
Lionel Andrés Messi	Lionel Messi
Pàdua	Padovo
Bor	Boro
Nicolau Copèrnic	Koperniko
Versalles	Versailles
Ludwigsburg	Ludwigsburg
Carboni	Karbono
Alessandro Del Piero	Alessandro del Piero
Volga	Volgo
Nitrogen	Nitrogeno
Bèrgam	Bergamo
Oxigen	Oksigeno
Football Club Internazionale Milano	Inter Milano
Jean Moulin	Jean Moulin
Neil Young	Neil Young
Planeta	Planedo
Cleòpatra VII	Kleopatra
Kate Bush	Kate Bush
Música	Muziko
Aberració (òptica)	Aberacio (optiko)
Venècia	Venecio
Naruto	Naruto (mangao)
Riu Po	Pado
Xarm el-Xeikh	Ŝarm el Ŝeiĥ
Riu Nevà	Neva
Termòmetre	Termometro
Rennes	Rennes
Lilla	Lille
Moscou	Moskvo
Fluor	Fluoro
Italià	Itala lingvo
Chihuahua (gos)	Ĉivava hundo
Neó	Neono
Estat de Chihuahua	Chihuahua
Sant Petersburg	Sankt-Peterburgo
Txad	Ĉado
Sodi	Natrio
Nord	Nordo
Magnesi	Magnezio
Bomba d'ariet	Ŝafofrapa pumpilo
Neon Genesis Evangelion	Neon Genesis Evangelion
Alumini	Aluminio
Nova Zelanda	Nov-Zelando
Sud	Sudo
Índia	Barato
Silici	Silicio
Franci	Franciumo
Tuvalu	Tuvalo
One Piece	One Piece
Fòsfor	Fosforo
André-Marie Ampère	André-Marie Ampère
Prosa	Prozo
Ferro	Fero
Tonga	Tongo
Oest	Okcidento
Alessandro Volta	Alessandro Volta
Sofre	Sulfuro
Samoa	Samoo
Est	Oriento
Salomó (estat)	Salomonoj
Vanuatu	Vanuatuo
Molière	Molière
Clor	Kloro
Delft	Delft
Papua Nova Guinea	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Faula	Fablo
Holanda Meridional	Suda Holando
República de Palau	Palaŭo
Argó	Argono
Nauru	Nauro
Mozilla Firefox	Mozilla Firefox
Conte de fades	Fabelo
Holanda Septentrional	Norda Holando
Estats Federats de Micronèsia	Federacio de Mikronezio
Potassi	Kalio
Zelanda	Zelando
Calci	Kalcio
Flevoland	Flevolando
Plom	Plumbo
Illes Marshall	Marŝala Insularo
Kiribati	Kiribato
Mongòlia	Mongolio
Fiji	Fiĝioj
Escandi	Skandio
Stevie Wonder	Stevie Wonder
Heilbronn	Hajlbrono
Titani	Titano (elemento)
Veneçuela	Venezuelo
Escacs	Ŝako
Genguis Khan	Ĝingis-Ĥano
Vanadi	Vanado
Maine	Majno
Crom	Kromo
Cavall	Ĉevalo
Amsterdam	Amsterdamo
Arma	Armilo
Animal	Bestoj
Surinam	Surinamo
Manganès	Mangano
Paraguai	Paragvajo
Guyana	Gujano
Art	Arto
Equador	Ekvadoro
Reni	Renio
Colòmbia	Kolombio
Cobalt	Kobalto
Jean Racine	Jean Racine
Tungstè	Volframo
Níquel	Nikelo
Fragaria	Frago
Pierre Corneille	Pierre Corneille
Budisme	Budhismo
Groningen	Groningen (urbo)
Bolívia	Bolivio
Osmi	Osmio
Província de Groningen	Groningen (provinco)
Coure	Kupro
Trinitat i Tobago	Trinidado kaj Tobago
Paul Verlaine	Paul Verlaine
Planta	Plantoj
Saint Vincent i les Grenadines	Sankta Vincento kaj Grenadinoj
Zinc	Zinko
Nou Hampshire	Nov-Hampŝiro
Saint Lucia	Sankta Lucio
Białystok	Bjalistoko
Leonardo da Vinci	Leonardo da Vinci
Saint Christopher i Nevis	Sankta-Kito kaj Neviso
Fong	Fungoj
Dario Fo	Dario Fo
Jamaica	Jamajko
Stéphane Mallarmé	Stéphane Mallarmé
Grenada	Grenado (lando)
Província de Frísia	Frislando
Massachusetts	Masaĉuseco
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Gvatemalo
Gelderland	Gelderland
Província d'Utrecht	Utrecht (provinco)
Google Chrome	Google Chrome
Bahames	Bahamoj
Connecticut	Konektikuto
Gall	Koko
Antigua i Barbuda	Antigvo-Barbudo
Hawaii	Havajo
Hondures	Honduro
Dominica	Dominiko
Jersey	Ĵersejo
República Dominicana	Domingo
Porc	Porko
Oceà Àrtic	Arkta Oceano
Haití	Haitio
El Salvador	Salvadoro
Zwolle	Zwolle
Iran	Irano
Iraq	Irako
Alaska	Alasko
Assen	Assen
Saviesa	Saĝo
Costa Rica	Kostariko
Israel	Israelo
Utrecht	Utrecht
Panamà	Panamo
Iemen	Jemeno
Randstad	Randstad
Lausana	Laŭzano
Virus	Viruso (biologio)
Polonès	Pola lingvo
Jordània	Jordanio
Nicaragua	Nikaragvo
Florida	Florido
Kirguizistan	Kirgizio
Arizona	Arizono
Kuwait	Kuvajto
Laos	Laoso
Província de Cercado (Beni)	Provinco Cercado (Beniio)
Líban	Libano
Província d'Iténez	Provinco Iténez (Beniio)
Oregon	Oregono
Maldives	Maldivoj
Província de José Ballivián	Provinco José Ballivián (Beniio)
Amèrica	Ameriko
Utah	Utaho
Bou	Bovo
Província de Mamoré	Provinco Mamoré (Beniio)
Malàisia	Malajzio
Valais	Kantono Valezo
Mikhaïl Bulgàkov	Miĥail Bulgakov
Myanmar	Birmo
Nepal	Nepalo
Andrei Rubliov	Andreo Rublov
Província de Marbán	Provinco Marbán (Beniio)
Oman	Omano
Pakistan	Pakistano
James Bond	James Bond (fikcia universo)
Qatar	Kataro
Tennis	Teniso
François Villon	François Villon
MySQL	MySQL
Aràbia Saudita	Sauda Arabio
Andrei Tarkovski	Andrei Arsenjewitsch Tarkowski
Sri Lanka	Sri-Lanko
Ióssif Stalin	Josif Stalin
Codi de barres	Strekokodo
República Àrab Siriana	Sirio
Plató	Platono
Gal·li	Galiumo
Joseph Brodsky	Iosif Brodskij
Tadjikistan	Taĝikio
Pokémon	Pokemono
República de la Xina	Respubliko Ĉinio
YouTube	YouTube
Germani	Germaniumo
Aristòtil	Aristotelo
Tailàndia	Tajlando
Tren	Trajno
Arsènic	Arseno
Ràdio	Radiofonio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenio
Abakan	Abakan
Seleni	Seleno
Iridi	Iridio
Emirats Àrabs Units	Unuiĝintaj Arabaj Emirlandoj
Brom	Bromo
Platí	Plateno
Vietnam	Vjetnamio
Charles Chaplin	Charlie Chaplin
Novossibirsk	Novosibirsko
Corea del Sud	Sud-Koreio
Józef Piłsudski	Józef Piłsudski
Els Simpson	La Simpsonoj
Iekaterinburg	Jekaterinburg
Criptó	Kriptono
Afganistan	Afganio
Gangnam Style	Gangnam Style
Nijni Nóvgorod	Niĵnij Novgorod
John R.R. Tolkien	John Ronald Reuel Tolkien
Llimonada	Limonado
Samara	Samara (urbo)
Rubidi	Rubidio
Or	Oro
Omsk	Omsk
Canal de Suez	Sueza Kanalo
Kazan	Kazano
Científic	Sciencisto
Bangla Desh	Bangladeŝo
Bleach	Bleach
Franz Kafka	Franz Kafka
Txeliàbinsk	Ĉeljabinsk
Rostov del Don	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Ufà	Ufa
Mali	Malio
Sòcrates	Sokrato
Volgograd	Volgogrado
Angola	Angolo
Perm	Permjo
Bhutan	Butano
Twitter	Twitter
Krasnoiarsk	Krasnojarsk
Brunei	Brunejo
Tanzània	Tanzanio
Mercuri (element)	Hidrargo
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipines	Filipinoj
República Centreafricana	Centr-Afrika Respubliko
Tal·li	Taliumo
Pol Sud	Suda poluso
Pol Nord	Norda poluso
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Estronci	Stroncio
Pere I del Brasil i IV de Portugal	Petro la 1-a (Brazilo)
Itri	Itrio
Bismut	Bismuto
Groc	Flava
Mecànica quàntica	Kvantuma mekaniko
Togo	Togolando
Donald Tusk	Donald Tusk
Tunísia	Tunizio
John Bardeen	John Bardeen
Zàmbia	Zambio
Zimbabwe	Zimbabvo
Pequín	Pekino
Sudan del Sud	Sud-Sudano
Vladivostok	Vladivostok
Tuvà	Tuvio
Benín	Benino
Botswana	Bocvano
Viquinotícies	Vikinovaĵoj
Burkina Faso	Burkino
Burundi	Burundo
Comores	Komoroj
República del Congo	Respubliko Kongo
Alkmaar	Alkmaar
Obi	Obo
República Democràtica del Congo	Demokratia Respubliko Kongo
San Antonio (Texas)	San Antonio (Teksaso)
Tomsk	Tomsk
Djibouti	Ĝibutio
Mem	Memeo
Poloni	Polonio
Baviera	Bavario
Guinea Equatorial	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Eritrea	Eritreo
Nova Delhi	Nov-Delhio
Almelo	Almelo
Joan Pau II	Johano Paŭlo la 2-a
Fiódor Dostoievski	Fjodor Dostojevskij
Amersfoort	Amersforto
Kamtxatka	Kamĉatko
Tbilissi	Tbiliso
Appingedam	Appingedam
Andrei Sàkharov	Andrej Saĥarov
Nadó	Bebo
Àstat	Astato
Gabon	Gabono
Mohandas Gandhi	Mohandas Karamchand Gandhi
Península de Txukotka	Ĉukotko
Solidarność	Solidareco (Pollando)
Còmic	Bildliteraturo
Gàmbia	Gambio
República de Guinea	Gvineo
Guinea Bissau	Gvineo Bisaŭa
Costa d'Ivori	Ebur-Bordo
Camerun	Kameruno
Maribor	Mariboro
Cap Verd	Kaboverdo
Celje	Celje
Lesotho	Lesoto
Libèria	Liberio
Koper	Kapodistrio
Líbia	Libio
Aquisgrà	Aachen
Nova Gorica	Nova Gorica
Madagascar	Madagaskaro
Malawi	Malavio
Kranj	Kranj
Stuttgart	Stutgarto
Mauritània	Maŭritanio
Polonesos	Poloj
Maurici	Maŭricio
Marroc	Maroko
Moçambic	Mozambiko
Namíbia	Namibio
France Prešeren	France Prešeren
Níger	Niĝero
Nigèria	Niĝerio
Biel/Bienne	Bielo
Charles Robert Darwin	Charles Darwin
Uganda	Ugando
Rwanda	Ruando
Zirconi	Zirkonio
São Tomé i Príncipe	Sao-Tomeo kaj Principeo
Karlsruhe	Karlsruhe
Senegal	Senegalo
Seychelles	Sejŝeloj
Carl von Linné	Karolo Lineo
Sierra Leone	Siera-Leono
Somàlia	Somalio
Niobi	Niobio
Jawaharlal Nehru	Jawaharlal Nehru
Juli Cèsar	Julio Cezaro
Sudan	Sudano
Swazilàndia	Svazilando
Ivan Regen	Ivan Regen
Arc de Sant Martí	Ĉielarko
Molibdè	Molibdeno
Tecneci	Teknecio
Hamburg	Hamburgo
Italo Balbo	Italo Balbo
Metabolisme	Metabolo
Narendra Modi	Narendra Modi
Sistema immunitari	Imuna sistemo
Gujarat	Guĝaratio
Llac Ontàrio	Ontario (lago)
Evolució	Evoluismo
Alessandro Manzoni	Alessandro Manzoni
Organització de les Nacions Unides	Unuiĝintaj Nacioj
Llac Superior	Supra Lago
Dante Alighieri	Dante Alighieri
Geologia	Geologio
Ahmedabad	Ahmadabado
Geografia	Geografio
Cor	Koro
Cervell	Cerbo
Pell	Haŭto
Color	Koloro
Star Trek (sèrie original)	Stela Vojaĝo: La Origina Serio
Breaking Bad	Breaking Bad
Salern	Salerno
Substantiu	Substantivo
Praga	Prago
Ruteni	Rutenio
Rodi	Rodio
Blau	Blua
Pal·ladi (element)	Paladio
Plata	Arĝento
Cadmi	Kadmio
Star Trek	Star Trek
Limburg (Països Baixos)	Limburgo (Nederlando)
Indi (element)	Indio
Limburg (Bèlgica)	Limburgo (Belgio)
Estany (element)	Stano
Urani	Uranio
Antimoni	Antimono
Tel·luri	Teluro
Brabant Septentrional	Norda Brabanto
Plutoni	Plutonio
Iode	Jodo
Hemer	Hemer
Neptuni	Neptunio
Xenó	Ksenono
Anime	Animeo
Cesi	Cezio
Protoactini	Protaktinio
Federació Unida de Planetes	Unuiĝinta Federacio de Planedoj
Càrrega elèctrica	Elektra ŝargo
Bari (element)	Bario
Flandes Occidental	Okcidenta Flandrio
Flandes Oriental	Orienta Flandrio
Tori	Torio
Província d'Anvers	Antverpeno (provinco)
Brabant Flamenc	Flandra Brabanto
Hafni	Hafnio
Actini	Aktinio
Brabant Való	Valona Brabanto
Tàntal	Tantalo
Bill Clinton	William J. Clinton
Província de Namur	Namuro (provinco)
Província de Luxemburg	Luksemburgo (Belgio)
Província de Lieja	Lieĝo (provinco)
Radi (element)	Radiumo
Hainaut	Henegovio
Iserlohn	Iserlohn
Radó	Radono
Lorena	Loreno
Alsàcia	Alzaco
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Mercuri (mitologia)	Merkuro (dio)
Hector Berlioz	Louis Hector Berlioz
Alvèrnia	Aŭvernjo
Jamnagar	Ĝamnagar
Busto Arsizio	Busto Arsizio
Bombai	Mumbajo
Associació Internacional de Federacions d'Atletisme	Internacia Asocio de Atletikaj Federacioj
Andhra Pradesh	Andra-Pradeŝo
Limburg	Limburg
Arunachal Pradesh	Arunaĉal-Pradeŝo
Assam	Asamo
Bihar	Biharo
Michigan	Miĉigano
Chhattisgarh	Ĉhatisgaro
Llac Michigan	Miĉigano (lago)
Goa	Goao
Borgonya	Burgonjo
Haryana	Harjano
Langenhorn	Hamburgo-Langenhorn
Himachal Pradesh	Himaĉal-Pradeŝo
Maurice Ravel	Maurice Ravel
Aquitània	Akvitanio
Jammu i Caixmir	Ĝamuo kaj Kaŝmiro
Puerto Rico	Porto-Riko
Jharkhand	Ĝharkhando
Estat de Karnataka	Karnatako
Kerala	Keralao
Madhya Pradesh	Madhja-Pradeŝo
Usain Bolt	Usain Bolt
Llemosí (regió)	Limoĝio
Maharashtra	Maharaŝtro
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipuro
Slesvig-Holstein	Ŝlesvigo-Holstinio
Meghalaya	Meghalajo
Mecklemburg – Pomerània Occidental	Meklenburgo-Antaŭpomerio
Baixa Saxònia	Malsupra Saksio
Rin del Nord-Westfàlia	Nordrejn-Vestfalio
Hessen	Hesio
Renània-Palatinat	Rejnlando-Palatinato
Saarland	Sarlando
Saxònia	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Turíngia	Turingio
Saxònia-Anhalt	Saksio-Anhalto
Dakota del Nord	Norda Dakoto
