აფრიკა	Afriko
წყნარი ოკეანე	Pacifika Oceano
კალიფორნია	Kalifornio
ბოსტონი	Bostono
ორშაბათი	Lundo
სივრცე	Spaco
იანვარი	Januaro
თებერვალი	Februaro
მარტი	Marto
მარსი	Marso
მარსი (ღმერთი)	Marso (dio)
კენია	Kenjo
ეთიოპია	Etiopio
განა	Ganao
აპრილი	Aprilo
მაისი	Majo
ივნისი	Junio
ივლისი	Julio
აგვისტო	Aŭgusto
სექტემბერი	Septembro
ოქტომბერი	Oktobro
ნოემბერი	Novembro
დეკემბერი	Decembro
სამშაბათი	Mardo
ოთხშაბათი	Merkredo
ხუთშაბათი	Ĵaŭdo
პარასკევი	Vendredo
შაბათი	Sabato
კვირა	Dimanĉo
კუ (ჭადრაკი)	Kuriero (ŝako)
პაიკი	Peono (ŝako)
მხედარი (ჭადრაკი)	Ĉevalo (ŝako)
ეტლი (ჭადრაკი)	Turo (ŝako)
მეფე (ჭადრაკი)	Reĝo (ŝako)
ლაზიერი	Damo (ŝako)
ლომი	Leono
საფრანგეთი	Francio
ესპერანტო	Esperanto
ძაღლი	Hundo
გაერთიანებული სამეფო	Unuiĝinta Reĝlando
შინაური კატა	Hejma kato
ჩინეთი	Ĉina Popola Respubliko
ფრანგული ენა	Franca lingvo
ვიქსიკონი	Vikivortaro
თევზები	Fiŝoj
ეთანოლამიდი	Etanolo
ალკოჰოლური სასმელი	Alkoholaĵo
ბრაზილია	Brazilo
სპირტი	Alkoholo
ფრანსუა ოლანდი	François Hollande
რუსეთი	Rusio
ვეშაპისნაირნი	Cetacoj
ოპტიკური ბოჭკო	Optika fibro
იორკშირი	Jorkŝiro
კვადრატი	Kvadrato (geometrio)
ზღვა	Maro
შავი ზღვა	Nigra Maro
პი (რიცხვი)	Pi (nombro)
პი (ასო)	Pio (litero)
Wiki	Vikio
ტორონტო	Toronto
ალაბამა	Alabamo
სან-პაულუ	San-Paŭlo (urbo)
სან-პაულუს შტატი	San-Paŭlo
კვებეკი	Kebekio
პიცა	Pico
ფონდი ვიკიმედია	Fondaĵo Vikimedio
ჯიმი უელსი	Jimmy Wales
გერმანია	Germanio
ბელარუსი	Belorusio
იტალიის ჰიმნი	Il Canto degli Italiani
გერმანული ენა	Germana lingvo
ისლანდია	Islando
ღმერთი	Dio
ესტონეთი	Estonio
დეივიდ კამერონი	David Cameron
სატურნი	Saturno (planedo)
შოკოლადი	Ĉokolado
თვითმფრინავი	Aviadilo
ომი	Milito
ერთი	1 (nombro)
ორი	2 (nombro)
სამი	3 (nombro)
ოთხი	4 (nombro)
ხუთი	5 (nombro)
ნული	Nulo
უსასრულობა	Senfineco
სტივენ ჰარპერი	Stephen Harper
ჯორჯ უოლკერ ბუში	George W. Bush
მართკუთხედი	Ortangulo
ლატვია	Latvio
უკრაინა	Ukrainio
ჩეხეთი	Ĉeĥio
სლოვაკეთი	Slovakio
სლოვენია	Slovenio
ვილნიუსი	Vilno
მოლდოვა	Moldava Respubliko
რუმინეთი	Rumanio
ბულგარეთი	Bulgario
რომი	Romo
მაკედონია	Respubliko Makedonio
ალბანეთი	Albanio
გრენლანდია	Gronlando
ხორვატია	Kroatio
ბოსნია და ჰერცეგოვინა	Bosnio kaj Hercegovino
ნუუკი	Nuko (Gronlando)
აზერბაიჯანი	Azerbajĝano
ანდორა	Andoro
კვიპროსი	Kipro
საქართველო	Kartvelio
ვალონია	Valonio
ყაზახეთი	Kazaĥio
მალტა	Malto
ფლანდრია (ისტორიული ოლქი)	Flandrio
მონაკო	Monako
ჩერნოგორია	Montenegro
ვატიკანი	Vatikano
სან-მარინო	San-Marino
ბრიუსელი	Bruselo
ბრიუსელი (რეგიონი)	Brusela Ĉefurba Regiono
კუბა	Kubo
ბელიზი	Belizo
ეიფელის კოშკი	Eiffel-Turo
ბარბადოსი	Barbado
Intel	Intel
კომპიუტერის კლავიატურა	Komputila klavaro
ჯავა (პროგრამირების ენა)	Java (programlingvo)
ინდონეზია	Indonezio
ვოლფგანგ ამადეუს მოცარტი	Wolfgang Amadeus Mozart
ლუდვიგ ვან ბეთჰოვენი	Ludwig van Beethoven
თურქული ენა	Turka lingvo
სამხრეთ აფრიკის რესპუბლიკა	Sud-Afriko
ჟან-ფრანსუა შამპოლიონი	Jean-François Champollion
ლინკინ პარკი	Linkin Park
ალჟირი	Alĝerio
ვიკიწყარო	Vikifontaro
უზბეკეთი	Uzbekujo
დროზერა	Drozero
პოზნანი	Poznano
ტაშკენტი	Taŝkento
ვარშავა	Varsovio
ევროვიზიის სიმღერის კონკურსი	Eŭrovido-Kantokonkurso
მოდენა	Modeno
შოტლანდიური ვისკი	Viskio
ღვინო	Vino
წყალი	Akvo
კონიაკი	Konjako
მერქანი	Ligno
ტური (საფრანგეთი)	Tours
ტელევიზია	Televido
სქესი	Sekso
პორნოგრაფია	Pornografio
ისლანდიური ენა	Islanda lingvo
კლოდ მონე	Claude Monet
დიეგო ველასკესი	Diego Velázquez
ჩილე	Ĉilio
ელ გრეკო	El Greco
იესო ქრისტე	Jesuo Kristo
ელვის პრესლი	Elvis Presley
სებასტიან პინიერა	Sebastián Piñera
გალილეო გალილეი	Galilejo
მერკური	Merkuro (planedo)
ისტორია	Historio
პერ-ლაშეზის სასაფლაო	Tombejo Père-Lachaise
Apple	Apple
ვენერა	Venuso (planedo)
ენა	Lingvo
სიყვარული	Amo
დიქტატურა	Diktatoreco
გალაქტიკა	Galaksio
იუპიტერი	Jupitero (planedo)
მიშელ ბაჩელეტი	Michelle Bachelet
ირმის ნახტომი	Lakta vojo
დიდი აფეთქების თეორია	Praeksplodo
ურანი	Urano (planedo)
ბრეტანი (ისტორიული მხარე)	Bretonio
ინგლისური ვიკიპედია	Anglalingva Vikipedio
ნიკოლა სარკოზი	Nicolas Sarkozy
მარინიანოს ბრძოლა	Batalo de Marignano
რიკარდო ლაგოსი	Ricardo Lagos
ნეპტუნი	Neptuno (planedo)
ასტრონომია	Astronomio
სინგაპური	Singapuro
მეცნიერება	Scienco
კოსმოლოგია	Kosmologio
პლუტონი	Plutono
მონრეალი	Montrealo
კემპერი	Quimper
მარიამ ღვთისმშობელი	Maria (patrino de Jesuo)
ლუი IX	Ludoviko la 9-a (Francio)
ლიხტენშტაინი	Liĥtenŝtejno
სპორტი	Sporto
კემბრიჯი	Kembriĝo (Britio)
იელოუსტოუნის ეროვნული პარკი	Nacia Parko Yellowstone
ადოლფ ჰიტლერი	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
ჯულიან ასანჟი	Julian Assange
პირველი მსოფლიო ომი	Unua mondmilito
მეორე მსოფლიო ომი	Dua mondmilito
კელნი	Kolonjo
კორუფცია	Korupto
ვიკიწიგნები	Vikilibroj
აუგუსტო პინოჩეტი	Augusto Pinochet
ვიკიციტატა	Vikicitaro
ვიკივერსიტეტი	Vikiversitato
Wikivoyage	Vikivojaĝo
არაყი	Vodko
საათი	Horloĝo
Ubuntu	Ubuntu (linukso)
სკოპიე	Skopjo
გდინია	Gdynia
Linux	Linukso
ბობ დილანი	Bob Dylan
შჩეცინი	Szczecin
მათემატიკა	Matematiko
U2	U2
ლათინური ენა	Latina lingvo
ბაჰრეინი	Barejno
სომხეთი	Armenio
სოლისებრი დამწერლობა	Kojnoskribo
ჰიგსის ბოზონი	Bosono de Higgs
სერბეთი	Serbio
მთვარე	Luno
სტამბოლი	Istanbulo
ავსტრალია	Aŭstralio
ბობ მარლი	Bob Marley
კარლ სეიგანი	Carl Sagan
ფიზიკა	Fiziko
არგენტინა	Argentino
ტელეკომუნიკაცია	Telekomunikado
პერუ	Peruo
ბიოლოგია	Biologio
ამოუცნობი მფრინავი ობიექტი	Nifo
კორეის სახალხო დემოკრატიული რესპუბლიკა	Nord-Koreio
კამბოჯა	Kamboĝo
კოიპერის სარტყელი	Kujper-zono
ყურანი	Korano
დინოზავრები	Dinosaŭro
ზოოლოგია	Bestoscienco
ისლამი	Islamo
მსხალი	Pirarbo
ალექსანდრიის ბიბლიოთეკა	Librejo de Aleksandrio
ლიუბლიანა	Ljubljano
სალვადორ ალიენდე	Salvador Allende
ბოტანიკა	Plantoscienco
ლეხ ვალენსა	Lech Wałęsa
ბორბალი	Rado
დენი დიდრო	Denis Diderot
მშვიდობა	Paco
ენციკლოპედია ბრიტანიკა	Encyclopaedia Britannica
ლიონი	Liono
ევროპის კავშირი	Eŭropa Unio
პლოვდივი	Plovdiv
ვარსკვლავური ომები	Star Wars
რონა-ალპები	Rodano-Alpoj
ქალი	Virino
სოფია	Sofio
აკვედუკი	Akvedukto
დონ კიხოტი	Kiĥoto
პოეზია	Poezio
ჩერნობილის კატასტროფა	Nuklea akcidento de Ĉernobilo
მილანი	Milano
მეგობრობა	Amikeco
მეხსიერება	Memoro
ჟან ნიკოლა არტიურ რემბო	Arthur Rimbaud
ტურინი	Torino
ყითა ნაწლავი	Anuso
ლიმონი	Citrono
შარლ ბოდლერი	Charles Baudelaire
სტენდალი	Stendhal
ემილ ზოლა	Émile Zola
666	666
ყვავილი	Floro
მარიანას ღარი	Mariana Fosego
ვლადიმერ ვისოცკი	Vladimir Visockij
ევერესტი	Ĉomolungmo
ანატომია	Anatomio
დიდი ქალაქი	Urbo
ნაპოლეონ ბონაპარტი	Napoleono Bonaparte
ოლიმპი (მარსი)	Olympus Mons
ფიზიოლოგია	Fiziologio
ვარსკვლავი	Stelo
ვეზუვი	Vezuvio
მზე	Suno
ცა	Ĉielo
ლუი პასტერი	Louis Pasteur
სინათლის წელიწადი	Lumjaro
სოფელი	Vilaĝo
ვიქტორ ჰიუგო	Victor Hugo
ოკეანეთი	Oceanio
ჯუზეპე გარიბალდი	Giuseppe Garibaldi
ცენზურა	Cenzuro
მზის სისტემა	Sunsistemo
ბალტიის ზღვა	Balta Maro
ტრიესტი	Triesto
ვისლა	Vistulo
შანზ-ელიზე	Avenuo de la Elizeaj Kampoj
ოდრა	Odro
წყალბადი	Hidrogeno
ჰელიუმი	Heliumo
ჯოჯოხეთი	Infero
ვიკისაწყობი	Vikimedia Komunejo
ანგელა მერკელი	Angela Merkel
ლითიუმი	Litio
ბერილიუმი	Berilio
წიგნი	Libro
დღე-ღამე	Tago
აღმოსავლეთი ტიმორი	Orienta Timoro
წელი	Jaro
საუკუნე	Jarcento
ლოძი	Lodzo
ვილერბანი	Villeurbanne
მონბლანი	Blanka Monto
რაინი	Rejno
ოსლო	Oslo
ბონი	Bonn
კატოვიცე	Katowice
შავი ხვრელი	Nigra truo
ლუიშ დი კამოენსი	Luís Vaz de Camões
გეი	Gejo
ცერერა	Cereso
ლისაბონი	Lisbono
ჰაუმეა	Haŭmeo
რონა	Rodano
მაკემაკე	Makemako (nanoplanedo)
მაიკლ ბლუმბერგი	Michael Bloomberg
ერისი	Eriso
დუბაი	Dubajurbo
დუბაის საამირო	Dubajo
ლიონელ მესი	Lionel Messi
პადუა	Padovo
ბორი	Boro
ნიკოლოზ კოპერნიკი	Koperniko
ნახშირბადი	Karbono
ალესანდრო დელ პიერო	Alessandro del Piero
ვოლგა	Volgo
აზოტი	Nitrogeno
ბერგამო	Bergamo
ჟანგბადი	Oksigeno
ინტერი მილანი (საფეხბურთო კლუბი)	Inter Milano
ნილ იანგი	Neil Young
პლანეტა	Planedo
კლეოპატრა VII	Kleopatra
კეიტ ბუში	Kate Bush
მუსიკა	Muziko
ვენეცია	Venecio
ნარუტო	Naruto (mangao)
პო (მდინარე)	Pado
შარმ-ელ-შეიხი	Ŝarm el Ŝeiĥ
ნევა	Neva
რენი	Rennes
ლილი	Lille
მოსკოვი	Moskvo
ფთორი	Fluoro
იტალიური ენა	Itala lingvo
ჩიუაუა (ძაღლი)	Ĉivava hundo
ნეონი	Neono
ჩიუაუის შტატი	Chihuahua
სანქტ-პეტერბურგი	Sankt-Peterburgo
ჩადი	Ĉado
ნატრიუმი	Natrio
ჩრდილოეთი	Nordo
მაგნიუმი	Magnezio
ალუმინი	Aluminio
ახალი ზელანდია	Nov-Zelando
სამხრეთი	Sudo
ინდოეთი	Barato
სილიციუმი	Silicio
ფრანციუმი	Franciumo
ტუვალუ	Tuvalo
ფოსფორი	Fosforo
ანდრე მარი ამპერი	André-Marie Ampère
პროზა	Prozo
რკინა	Fero
ტონგა	Tongo
დასავლეთი	Okcidento
ალესანდრო ვოლტა	Alessandro Volta
გოგირდი	Sulfuro
სამოა	Samoo
აღმოსავლეთი	Oriento
სოლომონის კუნძულები	Salomonoj
ვანუატუ	Vanuatuo
მოლიერი	Molière
ქლორი	Kloro
პაპუა-ახალი გვინეა	Papuo-Nov-Gvineo
უილიამ შექსპირი	William Shakespeare
სამხრეთი ჰოლანდია	Suda Holando
პალაუ	Palaŭo
არგონი	Argono
ნაურუ	Nauro
Mozilla Firefox	Mozilla Firefox
ზღაპარი	Fabelo
ჩრდილოეთი ჰოლანდია	Norda Holando
მიკრონეზიის ფედერაციული შტატები	Federacio de Mikronezio
კალიუმი	Kalio
ზელანდიის პროვინცია	Zelando
კალციუმი	Kalcio
ფლევოლანდი	Flevolando
ტყვია	Plumbo
მარშალის კუნძულები	Marŝala Insularo
კირიბატი	Kiribato
მონღოლეთი	Mongolio
ფიჯი	Fiĝioj
სკანდიუმი	Skandio
სტივი უანდერი	Stevie Wonder
ჰაილბრონი	Hajlbrono
ტიტანი	Titano (elemento)
ვენესუელა	Venezuelo
ჭადრაკი	Ŝako
ჩინგიზ-ყაენი	Ĝingis-Ĥano
ვანადიუმი	Vanado
მენის შტატი	Majno
ქრომი	Kromo
ცხენი	Ĉevalo
ამსტერდამი	Amsterdamo
იარაღი (სამხედრო)	Armilo
ცხოველები	Bestoj
სურინამი	Surinamo
მანგანუმი	Mangano
პარაგვაი	Paragvajo
გაიანა	Gujano
ხელოვნება	Arto
ეკვადორი	Ekvadoro
რენიუმი	Renio
კოლუმბია	Kolombio
კობალტი	Kobalto
ვოლფრამი	Volframo
ნიკელი	Nikelo
მარწყვი	Frago
პიერ კორნელი	Pierre Corneille
ბუდიზმი	Budhismo
გრონინგენი	Groningen (urbo)
ბოლივია	Bolivio
ოსმიუმი	Osmio
გრონინგენის პროვინცია	Groningen (provinco)
სპილენძი	Kupro
ტრინიდადი და ტობაგო	Trinidado kaj Tobago
პოლ ვერლენი	Paul Verlaine
მცენარეები	Plantoj
სენტ-ვინსენტი და გრენადინები	Sankta Vincento kaj Grenadinoj
თუთია	Zinko
ნიუ-ჰემფშირი	Nov-Hampŝiro
სენტ-ლუსია	Sankta Lucio
ბელოსტოკი	Bjalistoko
ლეონარდო და ვინჩი	Leonardo da Vinci
სენტ-კიტსი და ნევისი	Sankta-Kito kaj Neviso
სოკოები	Fungoj
იამაიკა	Jamajko
სტეფან მალარმე	Stéphane Mallarmé
გრენადა	Grenado (lando)
ფრისლანდია	Frislando
მასაჩუსეტსი	Masaĉuseco
დრენთე	Drenthe
ოვერეისელი	Overijssel
გვატემალა	Gvatemalo
გელდერლანდი	Gelderland
უტრეხტის პროვინცია	Utrecht (provinco)
Google Chrome	Google Chrome
ბაჰამის კუნძულები	Bahamoj
კონექტიკუტი	Konektikuto
ქათამი	Koko
ანტიგუა და ბარბუდა	Antigvo-Barbudo
ჰავაის შტატი	Havajo
ჰონდურასი	Honduro
დომინიკა	Dominiko
ჯერზი	Ĵersejo
დომინიკელთა რესპუბლიკა	Domingo
ღორი	Porko
ჩრდილოეთის ყინულოვანი ოკეანე	Arkta Oceano
ჰაიტი	Haitio
სალვადორი	Salvadoro
ზვოლე	Zwolle
ირანი	Irano
ერაყი	Irako
ალასკა	Alasko
კოსტა-რიკა	Kostariko
ისრაელი	Israelo
ნოვი-სონჩი	Nowy Sącz
უტრეხტი	Utrecht
პანამა	Panamo
იემენი	Jemeno
ლოზანა	Laŭzano
ვირუსები	Viruso (biologio)
პოლონური ენა	Pola lingvo
იორდანია	Jordanio
ნიკარაგუა	Nikaragvo
ფლორიდა	Florido
ყირგიზეთი	Kirgizio
არიზონა	Arizono
ქუვეითი	Kuvajto
ლაოსი	Laoso
სერკადოს პროვინცია (ბენი)	Provinco Cercado (Beniio)
ლიბანი	Libano
იტენესის პროვინცია	Provinco Iténez (Beniio)
ორეგონი	Oregono
მალდივის რესპუბლიკა	Maldivoj
ხოსე-ბალივიანის პროვინცია	Provinco José Ballivián (Beniio)
ამერიკა	Ameriko
იუტა	Utaho
მამორეს პროვინცია	Provinco Mamoré (Beniio)
მალაიზია	Malajzio
ვალეს კანტონი	Kantono Valezo
მიხეილ ბულგაკოვი	Miĥail Bulgakov
მიანმარი	Birmo
ნეპალი	Nepalo
ანდრია რუბლიოვი	Andreo Rublov
მარბანის პროვინცია	Provinco Marbán (Beniio)
ომანი	Omano
პაკისტანი	Pakistano
კატარი	Kataro
ჩოგბურთი	Teniso
ფრანსუა ვიიონი	François Villon
საუდის არაბეთი	Sauda Arabio
ანდრეი ტარკოვსკი	Andrei Arsenjewitsch Tarkowski
შრი-ლანკა	Sri-Lanko
იოსებ სტალინი	Josif Stalin
სირია	Sirio
პლატონი	Platono
გალიუმი	Galiumo
ტაჯიკეთი	Taĝikio
ტაივანი	Respubliko Ĉinio
YouTube	YouTube
გერმანიუმი	Germaniumo
არისტოტელე	Aristotelo
ტაილანდი	Tajlando
დარიშხანი	Arseno
რადიო	Radiofonio
მერილ სტრიპი	Meryl Streep
თურქმენეთი	Turkmenio
სელენიუმი	Seleno
ირიდიუმი	Iridio
არაბთა გაერთიანებული საამიროები	Unuiĝintaj Arabaj Emirlandoj
ბრომი	Bromo
პლატინა	Plateno
ვიეტნამი	Vjetnamio
ჩარლზ ჩაპლინი	Charlie Chaplin
ნოვოსიბირსკი	Novosibirsko
სამხრეთი კორეა	Sud-Koreio
იუზეფ პილსუდსკი	Józef Piłsudski
სიმპსონები	La Simpsonoj
ეკატერინბურგი	Jekaterinburg
კრიპტონი	Kriptono
ავღანეთი	Afganio
Gangnam Style	Gangnam Style
ნიჟნი-ნოვგოროდი	Niĵnij Novgorod
ჯონ რონალდ რუელ ტოლკინი	John Ronald Reuel Tolkien
სამარა (რუსეთი)	Samara (urbo)
რუბიდიუმი	Rubidio
ოქრო	Oro
ომსკი	Omsk
სუეცის არხი	Sueza Kanalo
ყაზანი	Kazano
ბანგლადეში	Bangladeŝo
ფრანც კაფკა	Franz Kafka
ჩელიაბინსკი	Ĉeljabinsk
დონის როსტოვი	Rostov-na-Donu
ხორხე ლუის ბორხესი	Jorge Luis Borges
უფა	Ufa
მალი	Malio
სოკრატე	Sokrato
ვოლგოგრადი	Volgogrado
ანგოლა	Angolo
პერმი	Permjo
ბჰუტანი	Butano
Twitter	Twitter
კრასნოიარსკი	Krasnojarsk
ბრუნეი	Brunejo
ტანზანია	Tanzanio
ვერცხლისწყალი	Hidrargo
რუალ ამუნდსენი	Roald Amundsen
ფილიპინები	Filipinoj
ცენტრალური აფრიკის რესპუბლიკა	Centr-Afrika Respubliko
თალიუმი	Taliumo
სამხრეთი პოლუსი	Suda poluso
ჩრდილოეთი პოლუსი	Norda poluso
ისააკ ნიუტონი	Isaac Newton
ალბერტ აინშტაინი	Albert Einstein
სტრონციუმი	Stroncio
პედრუ I (ბრაზილია)	Petro la 1-a (Brazilo)
იტრიუმი	Itrio
ბისმუტი	Bismuto
ყვითელი	Flava
კვანტური მექანიკა	Kvantuma mekaniko
ტოგო	Togolando
დონალდ ტუსკი	Donald Tusk
ტუნისი	Tunizio
ჯონ ბარდინი	John Bardeen
ზამბია	Zambio
ზიმბაბვე	Zimbabvo
პეკინი	Pekino
სამხრეთი სუდანი	Sud-Sudano
ვლადივოსტოკი	Vladivostok
ტუვა	Tuvio
ბენინი	Benino
ბოტსვანა	Bocvano
ვიკისიახლეები	Vikinovaĵoj
ბურკინა-ფასო	Burkino
ბურუნდი	Burundo
კომორის კუნძულების კავშირი	Komoroj
კონგოს რესპუბლიკა	Respubliko Kongo
ობი	Obo
კონგოს დემოკრატიული რესპუბლიკა	Demokratia Respubliko Kongo
სან-ანტონიო	San Antonio (Teksaso)
ჯიბუტი	Ĝibutio
პოლონიუმი	Polonio
ბავარია	Bavario
ეკვატორული გვინეა	Ekvatora Gvineo
ბადენ-ვიურტემბერგი	Baden-Virtembergo
ერიტრეა	Eritreo
ნიუ-დელი	Nov-Delhio
იოანე პავლე II	Johano Paŭlo la 2-a
თედორე დოსტოევსკი	Fjodor Dostojevskij
ამერსფორტი	Amersforto
კამჩატკის ნახევარკუნძული	Kamĉatko
თბილისი	Tbiliso
ანდრია სახაროვი	Andrej Saĥarov
ასტატი	Astato
გაბონი	Gabono
მაჰათმა განდი	Mohandas Karamchand Gandhi
ჩუკოტკის ნახევარკუნძული	Ĉukotko
სოლიდარობა (პოლონური პროფკავშირი)	Solidareco (Pollando)
კომიქსი	Bildliteraturo
გამბია	Gambio
გვინეა	Gvineo
გვინეა-ბისაუ	Gvineo Bisaŭa
კოტ-დ’ივუარი	Ebur-Bordo
კამერუნი	Kameruno
მარიბორი	Mariboro
კაბო-ვერდე	Kaboverdo
ცელიე	Celje
ლესოთო	Lesoto
ლიბერია	Liberio
კოპერი	Kapodistrio
ლიბია	Libio
აახენი	Aachen
ნოვა-გორიცა	Nova Gorica
მადაგასკარი	Madagaskaro
მალავი	Malavio
კრანი	Kranj
შტუტგარტი	Stutgarto
ტრიგლავი	Triglav
მავრიტანია	Maŭritanio
პოლონელები	Poloj
მავრიკი	Maŭricio
მაროკო	Maroko
მოზამბიკი	Mozambiko
ნამიბია	Namibio
ნიგერი	Niĝero
ნიგერია	Niĝerio
ბილი (ქალაქი)	Bielo
ჩარლზ დარვინი	Charles Darwin
უგანდა	Ugando
რუანდა	Ruando
ცირკონიუმი	Zirkonio
სან-ტომე და პრინსიპი	Sao-Tomeo kaj Principeo
კარლსრუე	Karlsruhe
სენეგალი	Senegalo
სეიშელის კუნძულები	Sejŝeloj
კარლ ლინე	Karolo Lineo
სიერა-ლეონე	Siera-Leono
სომალი	Somalio
ნიობიუმი	Niobio
ჯავაჰარლალ ნერუ	Jawaharlal Nehru
იულიუს კეისარი	Julio Cezaro
სუდანი	Sudano
სვაზილენდი	Svazilando
ცისარტყელა	Ĉielarko
მოლიბდენი	Molibdeno
ტექნეციუმი	Teknecio
ჰამბურგი	Hamburgo
მეტაბოლიზმი	Metabolo
ნარენდრა მოდი	Narendra Modi
იმუნური სისტემა	Imuna sistemo
გუჯარათი	Guĝaratio
ონტარიოს ტბა	Ontario (lago)
ევოლუცია	Evoluismo
გაერთიანებული ერების ორგანიზაცია	Unuiĝintaj Nacioj
ზემო ტბა	Supra Lago
დანტე ალიგიერი	Dante Alighieri
გეოლოგია	Geologio
აჰმადაბადი	Ahmadabado
გეოგრაფია	Geografio
გული	Koro
თავის ტვინი	Cerbo
კანი	Haŭto
ფერი	Koloro
ვარსკვლავური გზა: ორიგინალური სერიალი	Stela Vojaĝo: La Origina Serio
სალერნო	Salerno
არსებითი სახელი	Substantivo
პრაღა	Prago
რუთენიუმი	Rutenio
როდიუმი	Rodio
ლურჯი	Blua
პალადიუმი	Paladio
ვერცხლი	Arĝento
კადმიუმი	Kadmio
ვარსკვლავური გზა	Star Trek
ლიმბურგის პროვინცია (ნიდერლანდი)	Limburgo (Nederlando)
ინდიუმი	Indio
ლიმბურგის პროვინცია	Limburgo (Belgio)
კალა	Stano
ურანი (ელემენტი)	Uranio
სტიბიუმი	Antimono
ტელური	Teluro
ჩრდილოეთი ბრაბანტი	Norda Brabanto
პლუტონიუმი	Plutonio
იოდი	Jodo
ნეპტუნიუმი	Neptunio
ქსენონი	Ksenono
ანიმე	Animeo
ცეზიუმი	Cezio
პროტაქტინიუმი	Protaktinio
პლანეტების გაერთიანებული ფედერაცია	Unuiĝinta Federacio de Planedoj
მუხტი	Elektra ŝargo
ბარიუმი	Bario
დასავლეთი ფლანდრია	Okcidenta Flandrio
აღმოსავლეთი ფლანდრია	Orienta Flandrio
თორიუმი	Torio
ანტვერპენის პროვინცია	Antverpeno (provinco)
ფლამანდიის ბრაბანტი	Flandra Brabanto
ჰაფნიუმი	Hafnio
აქტინიუმი	Aktinio
ვალონიის ბრაბანტი	Valona Brabanto
ტანტალი	Tantalo
ბილ კლინტონი	William J. Clinton
ნამიურის პროვინცია	Namuro (provinco)
ლუქსემბურგის პროვინცია (ბელგია)	Luksemburgo (Belgio)
ლიეჟის პროვინცია	Lieĝo (provinco)
რადიუმი	Radiumo
ენოს პროვინცია	Henegovio
რადონი	Radono
ლოთარინგია	Loreno
ელზასი	Alzaco
ჟან ფილიპ რამო	Jean-Philippe Rameau
ინდირა განდი	Indira Gandhi
მერკური (ღმერთი)	Merkuro (dio)
ჰექტორ ბერლიოზი	Louis Hector Berlioz
ოვერნი	Aŭvernjo
მუმბაი	Mumbajo
ანდჰრა-პრადეში	Andra-Pradeŝo
არუნაჩალ-პრადეში	Arunaĉal-Pradeŝo
ასამის შტატი	Asamo
ბიჰარი	Biharo
მიჩიგანის შტატი	Miĉigano
ჩატისგარჰი	Ĉhatisgaro
მიჩიგანის ტბა	Miĉigano (lago)
გოა (შტატი)	Goao
ბურგუნდია	Burgonjo
ჰარიანა	Harjano
ჰიმაჩალ-პრადეში	Himaĉal-Pradeŝo
მორის რაველი	Maurice Ravel
აკვიტანია	Akvitanio
ჯამუ და ქაშმირი	Ĝamuo kaj Kaŝmiro
პუერტო-რიკო	Porto-Riko
ჯარხანდი	Ĝharkhando
კარნატაკა	Karnatako
კერალა	Keralao
მადჰია-პრადეში	Madhja-Pradeŝo
უსაინ ბოლტი	Usain Bolt
ლიმუზენი	Limoĝio
მაჰარაშტრა	Maharaŝtro
ჟან ბატისტ ლული	Jean-Baptiste Lully
მანიპური	Manipuro
