非洲	Afriko
布鲁塞尔	Bruselo
古巴	Kubo
大众汽车	Volkswagen
Java	Java (programlingvo)
印度尼西亚	Indonezio
南非	Sud-Afriko
阿尔及利亚	Alĝerio
乌兹别克斯坦	Uzbekujo
欧罗维竞唱歌比赛	Eŭrovido-Kantokonkurso
水	Akvo
木	Ligno
电视机	Televido
冰岛文	Islanda lingvo
智利	Ĉilio
耶稣	Jesuo Kristo
語言	Lingvo
英语维基百科	Anglalingva Vikipedio
尼古拉·萨科齐	Nicolas Sarkozy
新加坡	Singapuro
科学	Scienco
自由軟件	Libera programaro
列支敦士登	Liĥtenŝtejno
希特拉	Adolf Hitler
WikiLeaks	WikiLeaks
第二次世界大战	Dua mondmilito
科隆	Kolonjo
Linux	Linukso
数学	Matematiko
拉丁文	Latina lingvo
巴林	Barejno
亚美尼亚	Armenio
塞尔维亚	Serbio
月球	Luno
澳大利亚	Aŭstralio
物理学	Fiziko
阿根廷	Argentino
秘鲁	Peruo
朝鲜民主主义人民共和国	Nord-Koreio
柬埔寨	Kamboĝo
恐龙	Dinosaŭro
回教	Islamo
里昂	Liono
欧洲联盟	Eŭropa Unio
女性	Virino
诗	Poezio
米蘭	Milano
屁眼	Anuso
古高尔	Guglo
珠穆朗玛峰	Ĉomolungmo
城市	Urbo
巴斯德	Louis Pasteur
村	Vilaĝo
大洋洲	Oceanio
太阳系	Sunsistemo
氢	Hidrogeno
维基共享	Vikimedia Komunejo
揚聲器	Laŭtparolilo
东帝汶	Orienta Timoro
维嘞合朋纳	Villeurbanne
学纳河	Rodano
迪拜	Dubajo
哥白尼	Koperniko
碳	Karbono
音乐	Muziko
圣皮得斯堡	Sankt-Peterburgo
北	Nordo
新西兰	Nov-Zelando
南	Sudo
印度	Barato
西	Okcidento
氯气	Kloro
铅	Plumbo
蒙古国	Mongolio
委内瑞拉	Venezuelo
国际象棋	Ŝako
缅因	Majno
苏里南	Surinamo
巴拉圭	Paragvajo
圭亚那	Gujano
艺术	Arto
厄瓜多尔	Ekvadoro
哥伦比亚	Kolombio
佛教	Budhismo
玻利维亚	Bolivio
特里尼达搭仔多巴哥	Trinidado kaj Tobago
新罕布什爾	Nov-Hampŝiro
马萨诸塞	Masaĉuseco
康涅狄格	Konektikuto
鸡	Koko
澤西島	Ĵersejo
猪猡	Porko
伊朗	Irano
伊拉克	Irako
阿拉斯加	Alasko
以色列	Israelo
巴拿马	Panamo
也門	Jemeno
约旦	Jordanio
佛罗里达州	Florido
吉尔吉斯斯坦	Kirgizio
科威特	Kuvajto
老挝	Laoso
黎巴嫩	Libano
俄勒冈	Oregono
马尔代芙	Maldivoj
马来西亚	Malajzio
缅甸	Birmo
尼泊尔	Nepalo
阿曼	Omano
巴基斯坦	Pakistano
卡塔尔	Kataro
沙特阿拉伯	Sauda Arabio
斯里兰卡	Sri-Lanko
史太林	Josif Stalin
叙利亚	Sirio
塔吉克斯坦	Taĝikio
口袋妖怪	Pokemono
中华民国	Respubliko Ĉinio
泰国	Tajlando
火车	Trajno
土库曼斯坦	Turkmenio
阿拉伯联合酋长国	Unuiĝintaj Arabaj Emirlandoj
越南	Vjetnamio
新西伯利亚	Novosibirsko
大韩民国	Sud-Koreio
阿富汗	Afganio
金	Oro
喀山	Kazano
孟加拉	Bangladeŝo
马里	Malio
安哥拉	Angolo
不丹	Butano
文莱	Brunejo
菲律宾	Filipinoj
牛顿	Isaac Newton
OpenStreetMap	OpenStreetMap
量子力学	Kvantuma mekaniko
突尼斯	Tunizio
赞比亚	Zambio
津巴布韦	Zimbabvo
北京	Pekino
贝宁	Benino
博茨瓦纳	Bocvano
布隆迪	Burundo
刚果共和国	Respubliko Kongo
刚果民主共和国	Demokratia Respubliko Kongo
甘地	Mohandas Karamchand Gandhi
连环画	Bildliteraturo
冈比亚	Gambio
科特迪瓦	Ebur-Bordo
喀麦隆	Kameruno
尼日利亚	Niĝerio
索马里	Somalio
铌	Niobio
凱撒	Julio Cezaro
苏丹	Sudano
汉堡	Hamburgo
联合国	Unuiĝintaj Nacioj
唐担	Dante Alighieri
艾哈迈德堡	Ahmadabado
锡	Stano
克林顿总统	William J. Clinton
孟买	Mumbajo
波多黎各	Porto-Riko
卡纳塔克邦	Karnatako
列农	John Lennon
爱达荷州	Idaho
华盛顿州	Vaŝingtonio
科索沃	Kosovo
潘基文	Ban Ki-moon
Kofi Annan	Kofi Annan
分类:页面分类	Kategorio:Ĉio
多特蒙德	Dortmund
冬天	Vintro
西班牙语	Hispana lingvo
匹兹堡	Pittsburgh (Pensilvanio)
费城	Filadelfio (Pensilvanio)
金奈	Ĉenajo
班加罗尔	Bengaluro
钞票	Mono
纽约州	Nov-Jorkio
罗德岛	Rod-Insulo
昆虫	Insekto
宾夕法尼亚	Pensilvanio
Uetersen	Uetersen
奧古斯都	Aŭgusto Cezaro
微软视窗	Microsoft Windows
直布罗陀	Ĝibraltaro
布宜诺斯艾利斯	Bonaero
东京都	Tokio
爱荷华州	Iovao
里昂地铁	Metroo de Liono
印地语	Hindia lingvo
艾迪托·比娅呋	Édith Piaf
因斯孛鲁克	Innsbruck
都柏林	Dublino
法兰克福	Frankfurto ĉe Majno
天主教	Katolikismo
圣经	Biblio
金边	Pnom-Peno
胡志明市	Ho-Ĉi-Min-urbo
河內市	Hanojo
真耶稣教会	Vera Eklezio de Jesuo
英语	Angla lingvo
曼谷	Bankoko
臺北市	Tajpeo
同海市	Dong Hoi
Końskowola	Końskowola
达累斯萨拉姆	Daresalamo
Al-Khartoum	Ĥartumo
1月11号	11-a de januaro
明斯克	Minsko
微软公司	Microsoft
库鲁夫	Kurów
化学	Kemio
2月19号	19-a de februaro
Visual Basic	Visual Basic
本笃十六世	Benedikto la 16-a
12月25号	25-a de decembro
8月4号	4-a de aŭgusto
8月31号	31-a de aŭgusto
迈克尔·杰克逊	Michael Jackson
巴西利亞	Braziljo
圣地牙哥	Santiago de Ĉilio
坎培拉	Kanbero
悉尼	Sidnejo
墨尔本	Melburno
木卫三	Ganimedo (luno)
珀斯	Perto
西澳大利亚州	Okcidenta Aŭstralio
北领地 (澳大利亚)	Norda Teritorio
苏门答腊岛	Sumatro
突尼斯市	Tunizo
德黑兰	Teherano
亚的斯亚贝巴	Adis-Abebo
安卡拉	Ankaro
贝尔格莱德	Beogrado
分类:维基百科模板	Kategorio:Vikipedio:Ŝablonoj
爪哇岛	Javo
法属圭亚娜	Franca Gviano
安曼	Amano
贝鲁特	Bejruto
分类:国家模板	Kategorio:Ŝablono:laŭ lando
内罗毕	Najrobo
分类:地理模板	Kategorio:Ŝablono:Geografio
学堂	Lernejo
大学	Universitato
Wikipedia:沙盘	Vikipedio:Provejo
屋	Domo
卡尔梅克共和国	Kalmukio
地图	Mapo
奥萨斯库	Osasco (San-Paŭlo)
同海机场	Flughaveno Dong Hoi
里昂祭光节	Festo de la lumoj en Lyon
世界言话排名	Listo de lingvoj laŭ parolantaro
分类:日本历史	Kategorio:Historio de Japanio
孔子	Konfuceo
分类:数学	Kategorio:Matematiko
法罗群岛	Ferooj
分类:印度历史	Kategorio:Historio de Barato
分类:泰国历史	Kategorio:Historio de Tajlando
巴厘岛	Balio
分类:缅甸历史	Kategorio:Historio de Birmo
欧元	Eŭro
美元	Usona dolaro
地中海	Mediteraneo
威尼斯共和国	Venecia respubliko
杭州市	Hangĝoŭo
基督教	Kristanismo
模板:Support	Ŝablono:Por
洲	Kontinento
模板:ALA	Ŝablono:ALA
阿德来得	Adelajdo
首都	Ĉefurbo
葡萄牙语	Portugala lingvo
模板:Portal	Ŝablono:Portalo
公元1949年	1949
阿嘞玛桑	Almazán
黄现璠	Huang Senfan
日语	Japana lingvo
荧光屏	Komputila ekrano
百科全书	Enciklopedio
封面	Vikipedio:Ĉefpaĝo
路由器	Enkursigilo
棒球	Basbalo
奧林匹克运动会	Olimpiaj ludoj
长江	Jangzio
里海	Kaspio
拉斐尔	Rafaelo
电车	Tramo
加泰罗尼亚	Katalunio
毛泽东	Mao Zedong
西安	Ŝjiano
拉萨市	Lasao
性行为	Amoro
加夫列尔·加西亚·马尔克斯	Gabriel García Márquez
分类:快速删除候选	Kategorio:Tujforigendaj artikoloj
马可·波罗	Marko Polo
共产主义	Komunismo
1368年	1368
國家	Lando
Joe Biden	Joe Biden
希拉里·克林顿	Hillary Rodham Clinton
Yelena Isinbayeva	Jelena Isinbajeva
大英博物馆	Brita Muzeo
蒙彼利埃	Montpellier
分类:天文学	Kategorio:Astronomio
汉堡包	Hamburgero
班合比让	Perpinjano
标致汽车	Peugeot
李白	Li Bai
图书馆	Librarejo
世界银行	Monda Banko
汉武帝	Wu Di
女权主义	Feminismo
元朝	Dinastio Yuan
库克船长	James Cook
郑和	Ĉeng He
黃河	Flava Rivero
蚂蚁	Formiko
宋朝	Dinastio Song
落苏	Melongeno
龙	Drako (mitologio)
姆妈	Patrino
隆波岛	Lomboko
小人	Infano
俄语	Rusa lingvo
人家	Hejmo (loĝejo)
普京	Vladimir Putin
东南亚国家联盟	ASEAN
面包	Pano
国际货币基金组织	Internacia Monunua Fonduso
联合国教育科学文化组织	Unesko
联合国卫生组织	Monda Organizaĵo pri Sano
漢語	Ĉina lingvaro
雨	Pluvo
全球暖化	Tutmonda varmiĝo
纳尔逊·曼德拉	Nelson Mandela
马丁·路德·金	Martin Luther King
蛋白质	Proteino
天灾	Naturkatastrofo
海啸	Cunamo
云	Nubo
几何学	Geometrio
日圆	Japana eno
单词	Vorto
漢字	Ĉina skribo
希腊字母	Greka alfabeto
諺文	Korea alfabeto
分类:法国	Kategorio:Francio
分类:音乐	Kategorio:Muziko
红楼梦	Ruĝdoma sonĝo
漫画	Mangao
狐狸	Vulpo
哈利波特	Harry Potter
小提琴	Violono
肛交	Anusa seksumado
教育	Eduko
男性	Viro
婚姻	Geedzeco
法语维基百科	Franclingva Vikipedio
咖啡	Kafo
果汁	Suko
山	Monto
第29届奧林匹克运动会	Somera Olimpiko 2008
孙中山	Sun Jatsen
香港	Honkongo
首尔	Seulo
上海	Ŝanhajo
伦敦 海斯楼 飞机场	Flughaveno London Heathrow
清朝	Dinastio Qing
越南战争	Vjetnama milito
巴斯克语	Eŭska lingvo
阿拉贡语	Aragona lingvo
瓦伦西亚	Valencio
玛丽咏·高帝娅	Marion Cotillard
麦克斯韦	James Clerk Maxwell
原子	Atomo
光	Lumo
韩语	Korea lingvo
官話	Nordĉina dialektaro
高棉文	Kmera lingvo
弗洛伊德	Sigmund Freud
泰语	Siama lingvo
马来语	Malaja lingvo
蒙古语	Mongola lingvo
犹太教	Judismo
万象	Vjentiano
莫白桑	Guy de Maupassant
司马迁	Sima Qian
朱熹	Zhu Xi
廷巴克图	Timbuktuo
伦理学	Etiko
沙·卢克·康	Shahrukh Khan
什叶派	Ŝijaismo
道教	Taoismo
子宫	Utero
颈	Kolo
富克朗特群岛	Insuloj Falklandoj
马恩岛	Manksinsulo
戴安娜王妃	Diana Spencer
Α	Alfo
Ω	Omego
Μ	Muo (litero)
明朝	Dinastio Ming
朱元璋	Ĵu Juanĵang
Φ	Fio (litero)
2008年欧罗维竞唱歌比赛	Eŭrovido-Kantokonkurso 2008
强·马凯恩	John McCain
金正日	Kim Ĝong-il
元素周期表	Perioda tabelo
罗別脫 姆格比	Robert Mugabe
自杀	Sinmortigo
爬蟲類	Reptilioj
Λ	Lambdo
伍老虎	Tiger Woods
洋山芋	Terpomo
三宝垄	Semarang
报纸	Gazeto
电话	Telefono
?	Demandosigno
菲德尔·卡斯特罗	Fidel Castro
元素单子	Kemia elemento
广域网	Malloka reto
围棋	Goo
电影	Filmo
气体	Gaso
液体	Likvo
固体	Solido
脚踏车	Biciklo
农业	Agrikulturo
温度	Temperaturo
面积	Areo
数	Nombro
玛丽亚·莎拉波娃	Marija Ŝarapova
重慶	Ĉongĉingo
天津市	Tjanĝino
武汉	Vuhano
世界地理索引	Listo de sendependaj ŝtatoj
担桑身	Gravedeco
Google地图	Google Maps
癌	Kancero
残疾人	Malkapablo
抗生素	Antibiotiko
青霉素	Penicilino
肺炎	Pneŭmonito
克来普	Patkuko
麻将	Maĝango
运河	Kanalo (akvovojo)
坝	Akvobaraĵo
牛顿 (单位)	Neŭtono (mezurunuo)
世界报 (法国)	Le Monde
万里长城	Granda Ĉina Muro
可再生能源	Renoviĝanta energio
电	Elektro
核武器	Atombombo
Joomla!	Joomla!
吉卜赛语	Cigana lingvo
壮语	Ĝŭanga lingvo
自由人报 (法国)	Libération
安吉丽娜	Angelina Jolie
阿拉伯语	Araba lingvo
马多符	Bernard Madoff
扬马延岛	Janmajeno
弗	Dolaro (monunuo)
科西嘉岛	Korsiko
奥克语	Okcitana lingvo
克里斯蒂娜 艾伐脱	Chris Evert
李明博	Ji Mjong-bak
Β	Beto (litero)
Γ	Gamo (litero)
Δ	Delto (litero)
Ε	Epsilono
Ζ	Zeto
Η	Eto (litero)
Θ	Teto
Ι	Joto
Κ	Kapo (litero)
Ν	Nuo (litero)
Ξ	Ksio
Ο	Omikrono
Ρ	Roto (litero)
Σ	Sigmo
Τ	Taŭo (litero)
Υ	Upsilono
Χ	Ĥio (litero)
Ψ	Psio (litero)
复活节岛	Paskinsulo
澳门	Makao
胡锦涛	Hu Jintao
习近平	Xi Jinping
深圳市	Ŝenĵeno
廣東省	Gŭangdongo
广西壮族自治区	Gŭangŝjio
鹿儿岛县	Gubernio Kagoŝimo
C语言	C (programlingvo)
手铐	Mankateno
艾米·麦克唐纳 (歌手)	Amy Macdonald
Wikipedia:Featured articles	Vikipedio:Elstaraj artikoloj
模板:Link FA	Ŝablono:LigoElstara
Wikipedia:红茶坊	Vikipedio:Diskutejo
釜山广域市	Pusano
佛蒙特	Vermonto
广州	Kantono (Ĉinio)
蔣中正	Ĉiang Kai-ŝek
江泽民	Jiang Zemin
南京市	Nankingo
首都圈电铁	Metroo de Seulo
北京大学	Pekina Universitato
江苏省	Ĝjangsuo
浙江省	Ĝeĝjango
邓小平	Deng Xiaoping
琶兰那克	Parañaque
菲律宾比索	Filipina peso
西藏	Tibeto
圆	Cirklo
同性婚姻	Samseksaj edzeco kaj edzineco
Francesc Fàbregas	Cesc Fàbregas
手机	Poŝtelefono
欧洲杯足球赛	Ligo de Ĉampionoj de UEFA
马来亚半岛	Malaja Duoninsulo
平壤市	Pjongjango
奥斯卡奖	Oskar-premio
ی	Jod (hebrea alfabeto)
黑龍江省	Hejlongĝjango
芽庄市	Nha Trang
教皇	Papo
波多黎各独立党	Partio de la Sendependeco de Porto-Riko
四川省	Siĉuano
蔡元培	Cai Yuanpei
圣诞	Kristnasko
闰年	Superjaro
大田广域市	Deĝon
大邱广域市	Teguo
仁川广域市	Inĉono
阿鲁巴	Arubo
国际音标	Internacia Fonetika Alfabeto
河北省	Hebejo
GNU自由文档许可证	Permesilo de GNU por Liberaj Dokumentoj
台湾	Tajvano
纽约	New York
2012年欧洲足球冠军赛	Eŭropa Futbal-Ĉampionado 2012
人口密度	Loĝdenso
爱尔兰	Irlando (insulo)
鲁迅	Lu Xun
湖	Lago
黄瓜	Kukumo
南奥赛西亚	Sud-Osetio
阿什哈巴德	Aŝgabato
岛屿	Insulo
马赛	Marsejlo
风牙己榜国家公园	Nacia Parko Phong Nha-Ke Bang
广平省	Provinco Quang Binh
赤道	Ekvatoro
字典	Vortaro
北塞浦路斯	Turka Respubliko Norda Kipro
死海	Morta Maro
英镑	Brita pundo
金兰国际机场	Flughaveno Cam Ranh
荷属安地列斯	Nederlandaj Antiloj
根西岛	Guernsey
斯瓦尔巴群岛	Svalbardo
摄氏温标	Grado celsia
大叻市	Da Lat
岘港市	Da Nang
Washington	Washington
甴巴子	Blato
鱷魚	Krokodilulo
人造卫星	Artefarita satelito
杀人鲸	Granda orcino
日本海	Japana Maro
东亚	Orienta Azio
北亚	Norda Azio
南欧	Suda Eŭropo
东欧	Orienta Eŭropo
北欧	Norda Eŭropo
西欧	Okcidenta Eŭropo
中欧	Mezeŭropo
琉球国	Rjukju-reĝlando
县	County
氨基糖苷类抗生素	Aminoglikozido
伊斯兰历	Islama kalendaro
柳京饭店	Hotelo Ryugyong
市长	Urbestro
中文维基百科	Ĉinlingva Vikipedio
总统	Prezidanto
满洲国	Manĉukuo
安娜·伊凡诺维琪	Ana Ivanović
圣诞岛	Kristnaskinsulo
臺灣省	Provinco Tajvano
拳击	Boksado
快达航空	Qantas
斑马	Zebro
客家语	Hakaa lingvo
优八克	IUPAK
赣语	Gana lingvo
海地克里奥耳语	Haitia kreola lingvo
大熊猫	Granda pando
孤立語言	Senparenca lingvo
卡纳达语	Kannada lingvo
杜甫	Du Fu
瓦尔帕莱索	Valparaiso
演员	Aktoro
分类:程序编制言话	Kategorio:Programlingvoj
瓦哈卡	Oaxaca
侗台语	Kradaja lingvaro
白脱	Butero
尼亚加拉瀑布	Niagara Akvofalaro
吴语	Vua lingvo
塔斯马尼亚	Tasmanio
贝拉齐尔‧布托	Benazir Bhutto
费利佩二世 (西班牙)	Filipo la 2-a (Hispanio)
牛津大学	Universitato de Oksfordo
基地 (恐怖组织)	Al-Kaida
英吉利海峡	Manika Markolo
柴尔兹孛格	Salzburg
半岛	Duoninsulo
新疆維吾爾自治區	Ŝinĝjango
布里司班	Brisbano
各国首都列表	Listo de ĉefurboj
平面镜	Spegulo
孛拉特 皮此	Brad Pitt
欧洲足球联合会	UEFA
美国个州	Usona ŝtato
议会	Parlamento
大阪市	Osako
剑桥大学	Universitato de Kembriĝo
牙膏	Dentopasto
通货膨胀	Inflacio
艾美 羅森	Emmy Rossum
竹	Bambuo
刚果	Kongo
科科斯群岛	Kokosinsuloj
昆士兰州	Kvinslando
明尼阿波利斯	Minneapolis
顺化市	Hue
马拉雅南语	Malajala lingvo
逻辑语	Loĵbano
耶稣会	Jezuitoj
阿伯丁	Aberdeen
政治學	Politika scienco
闽东语	Min-donga lingvo
闽南语	Minnana lingvo
Tycho Brahe	Tycho Brahe
约旦河西岸	Cisjordanio
维克多利亚州	Viktorio (Aŭstralio)
水晶之夜	Kristala nokto
台语	Hokla lingvo
门	Pordo
猪流感	Porka gripo
三船敏郎	Mifune Toshiro
AK-47	AK-47
八国集团	G8
孙武	Sun Tzu
国际商用机器公司	IBM
互聯網電影數據庫	Interreta filma datumbazo
贝克特	Samuel Beckett
达赖喇嘛	Dalai-lamao
邮政编码	Poŝtkodo
Nicole Kidman	Nicole Kidman
联合国安理会	Konsilio de Sekureco de Unuiĝintaj Nacioj
洋火棒儿	Alumeto
雹	Hajlo
南海	Sudĉina Maro
肯波拉圣吉奥瓦尼	Campora San Giovanni
朝鮮世宗	Seĝong
奥克兰格兰玛学校	Auckland Grammar School
电冰箱	Fridujo
黄海	Flava Maro
大仲马	Alexandre Dumas (patro)
孟加拉湾	Bengala Golfo
哈马斯	Hamas
阿斯旺水坝	Asuana Baraĵo
人民币	Renminbio
富士山	Fuĵi-Monto
小鼠	Muso (besto)
索契	Soĉi
迈克尔·菲尔普斯	Michael Phelps
卡地马党	Kadima
加沙地带	Gaza Sektoro
霍巴特	Hobarto
金草莓奖	Premio Ora Frambo
律师	Advokato
相扑	Sumoo
希斯·莱杰	Heath Ledger
安徽省	Anhujo
内蒙古自治区	Interna Mongolio
金日成	Kim Il-sung
济州特别自治道	Jeju-do
郁陵岛	Ulleungdo
湄公河	Mekongo
索尼	Sony
巴別塔	Babela turo
力学	Mekaniko
南半球	Suda duonglobo
蔚山广域市	Ulsan
光州广域市	Kŭangĵuo
温室效应	Forceja efiko
Julia Gillard	Julia Gillard
华国锋	Hua Guofeng
福建省	Fuĝjano
克拉耿富合脱	Klagenfurt
小熊猫	Malgranda pando
大溪地	Tahitio
海南省	Hajnano
汉语拼音	Hanyu Pinyin
远东	Fora Oriento
西班牙国家足球队	Hispana nacia teamo de futbalo
华氏温标	Grado farenhejta
海峡群岛	Manikinsuloj
甘肃省	Gansuo
苏州市	Suĝoŭo
无锡市	Vuŝio
绍兴市	Ŝaosing
汉族	Hanoj
宁波市	Ningbo
ETA (民族组织)	ETA
隆城国际机场	Flughaveno Long Thanh
数据	Datumo
迪马 皮郎	Dima Bilan
基本粒子	Elementa partiklo
陆克文	Kevin Rudd
沙菲娅 劳塔露	Sofia Rotaru
些拉·班琳	Sarah Palin
云南省	Junano
苏丹 (称谓)	Sultano
德国国家足球队	Germana nacia teamo de futbalo
山东省	Ŝandongo
福楼拜	Gustave Flaubert
英属印度洋领地	Brita Hindoceana Teritorio
地质年代	Geologia temposkalo
河南省	Henano
乃堂雅虎	Benjamin Netanjahu
护照	Pasporto
遼寧省	Ljaŭningo
件西卡 阿尔白	Jessica Alba
GNOME	GNOME
色子	Ĵetpluredro
吉林省	Ĝilinio
东海	Orientĉina Maro
阿南德	Viswanathan Anand
湖南省	Hunano
水族馆	Akvario
青海省	Ĉinghajo
豪納省	Rhône (departemento)
金一葉	Kim Il-yeop
陸龜	Teraj testudoj
話筒	Mikrofono
山西省	Ŝanŝio
魔方	Kubo de Rubik
尼德兰国家足球队	Nederlanda nacia teamo de futbalo
谜子	Ŝarado
艾西瓦娅·巴克罕	Aishwarya Rai
贵州省	Gŭiĝoŭo
Warren Buffett	Warren Buffett
蹔𧉆	Grilo
纸币	Monbileto
加沙城	Gaza-urbo
白斯克	Eŭskio
安达曼海	Andamana Maro
穆斯林	Islamano
孛路內 (Blu-Ray)	Blu-radia disko
法国国家足球队	Franca nacia teamo de futbalo
后现代	Postmodernismo
宮城县	Gubernio Mijagi
帕荔斯 希尔顿	Paris Hilton
陕西省	Ŝenŝjio
模板:Commonscat	Ŝablono:Commonscat
岩手县	Gubernio Iŭate
死人	Kadavro
莱纳斯·鲍林	Linus Pauling
Patrick Swayze	Patrick Swayze
嫦娥1号	Chang'e 1
水彩画	Akvarelo
李舜臣	Ji Sun-sin
巴黎地铁	Metroo de Parizo
清迈	Ĉiang Mai
珍珠港事件	Atako kontraŭ Pearl Harbor
分类:化学模板	Kategorio:Ŝablono:Kemio
模板:Taxobox	Ŝablono:Taksonomio
松下电器	Matsushita
丰田汽车	Toyota
田鸡	Anuro
艾奇亚	IKEA
火车站	Fervoja stacidomo
模板:中国历史	Ŝablono:Historio de Ĉinio
金正恩	Kim Ĝong-un
豪萨语	Haŭsa lingvo
江西省	Ĝjangŝio
纳姆耶尔·旺楚克 (不丹国王)	Jigme Khesar Namgyel Wangchuck
阮明哲	Nguyễn Minh Triết
宁夏回族自治区	Ningŝjao
拿督阿都拉萨	Naĝib Razak
扬州市	Janĉĵou
泰州	Tajĝou (Ĝjangsuo)
南通	Nantong
镇江市	Ĉĵencjan
常州市	Ĉangĝoŭo
迪斯科	Diskoo
阉	Kastro
寿春机场	Flughaveno Sao Vang
海蒂·克鲁姆	Heidi Klum
空军	Aerarmeo
大名	Daimio
数码照相机	Cifereca fotilo
数词	Nombrovorto
哈里发	Kalifo
汇率	Kurzo
青森县	Gubernio Aomori
福岛县	Gubernio Fukuŝima
青蛙	Rano
海防市	Hai Phong
斯堪的纳维亚半岛	Skandinavia duoninsulo
里尔克	Rainer Maria Rilke
排列组合	Kombinatoriko
鲍林标度	Elektronegativeco
街道	Strato
Wikipedia:新闻发布	Vikipedio:Historio
机器翻译	Maŝintradukado
阿根廷国家足球队	Argentina nacia teamo de futbalo
面向对象程式编制	Objektema programado
千叶县	Gubernio Ĉiba
定积分	Integralo
故宫	Malpermesita Urbo
泰米尔猛虎解放组织	Tamilaj tigroj
印度卢比	Barata rupio
Microsoft Outlook	Microsoft Outlook
早饭	Matenmanĝo
自动银行出纳机	Bankaŭtomato
秋田县	Gubernio Akita
乌克兰元	Ukraina hrivno
Ségolène Royal	Ségolène Royal
通用汽车	General Motors
差头	Taksio
乌赛	Regiono (geografio)
雷 (天气)	Tondro
拿塔莎 康埔西	Natascha Kampusch
模板:Cite book	Ŝablono:Citaĵo el libro
香农 (计算数学家)	Claude Shannon
索里亚省	Komunumoj de Sorio
三角函数	Trigonometria funkcio
2009年甲型H1N1流感疫情	Gripa pandemio de 2009
草	Trudherbo
文瑾莹	Moon Geun Young
2004年欧洲足球冠军赛	Eŭropa Futbal-Ĉampionado 2004
严重急性呼吸道综合症	Netipa pneŭmonio
John C. Mather	John C. Mather
索尔·珀尔马特	Saul Perlmutter
希腊数字	Grekaj ciferoj
克里米亚鞑靼人	Krime-tataroj
爱媛县	Gubernio Ehime
圣灰星期三	Cindra merkredo
邻舍	Kvartalo
沙地	Stepo
鸡窠生凤凰 (电影)	Slumdog Millionaire
天坛	Ĉiela Altaro
山形县	Gubernio Jamagata
基呒湖	Kivuo
电子工程	Terminaro pri elektro
神奈川县	Gubernio Kanagaŭa
中国地区	Ĉugoku
长野县	Gubernio Nagano
埼玉县	Gubernio Sajtama
笼	Kaĝo
英属印度	Brita Hindio
法国高速铁路	TGV
Ϝ	Digamo
群马县	Gubernio Gunma
Ϙ	Kuoppo
Hugh Jackman	Hugh Jackman
兵库县	Gubernio Hjogo
2004年东南亚大地震搭海啸	Tertremo en Hinda Oceano en 2004
安娜·库妮可娃	Anna Kurnikova
泰国湾	Golfo de Tajlando
2000年欧洲足球冠军赛	Eŭropa Futbal-Ĉampionado 2000
Ϛ	Stigmo (litero)
兵房	Kazerno
石川县	Gubernio Iŝikaŭa
妓院	Bordelo
