Africa	Afriko
Ilhuicatl	Ĉielo
Tlāhuīlxihuitl	Lumjaro
Victor Hugo	Victor Hugo
Oceania	Oceanio
Tonacayōhuapāhualiztli	Atletiko
Tōnatiuh Īchān	Sunsistemo
Baltico huēyātl	Balta Maro
Āyōcoxqui	Hidrogeno
Tōnatiuhyoh	Heliumo
Angela Merkel	Angela Merkel
Iztactlāltepoztli	Berilio
Āmoxtli	Libro
Tōnalli	Tago
Timor Tlāpcopa	Orienta Timoro
Yohualli	Nokto
Xihuitl (cāhuitl)	Jaro
Mācuīlpōhualxihuitl	Jarcento
Lodz	Lodzo
Oslo	Oslo
Bonn	Bonn
Katowice	Katowice
Tecuīlontiliztli	Gejo
Ceres	Cereso
Lisboa	Lisbono
Makemake	Makemako (nanoplanedo)
Eris	Eriso
Lionel Messi	Lionel Messi
Padova	Padovo
Xacoiztatl	Boro
Mikołaj Kopernik	Koperniko
Tecolli	Karbono
Ehēcatehuiltic	Nitrogeno
Bergamo	Bergamo
Ehēcayoh	Oksigeno
Nehnencācītlalli	Planedo
Cuīcayōtl	Muziko
Venezia	Venecio
Naruto	Naruto (mangao)
Moscohuia	Moskvo
Italiatlahtōlli	Itala lingvo
Techichi	Ĉivava hundo
Yancuīquehēcatl	Neono
Chihuahhua	Chihuahua
Sankt Peterburg	Sankt-Peterburgo
Chad	Ĉado
Yancuīc Zetlālpan	Nov-Zelando
India	Barato
Tecpatepozteuh	Silicio
Tuvalu	Tuvalo
Tlīltic tepoztli	Fero
Tonga	Tongo
Tlequiquiztlālli	Sulfuro
Samoa	Samoo
Salomón Tlālhuāctli	Salomonoj
Vanuatu	Vanuatuo
Papua Yancuīc Guinea	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Palaos	Palaŭo
Nauru	Nauro
Micronesia	Federacio de Mikronezio
Tenextepoztli	Kalcio
Temētztli	Plumbo
Marshall Tlālhuāctli	Marŝala Insularo
Quiribati	Kiribato
Mongolia	Mongolio
Fiyi	Fiĝioj
Venezuela	Venezuelo
Cuappatōlli	Ŝako
Maine	Majno
Tlapāltepoztli	Kromo
Cahuāyoh	Ĉevalo
Amsterdam	Amsterdamo
Yōlcatl	Bestoj
Surinam	Surinamo
Paraguay	Paragvajo
Guyana	Gujano
Tōltēcayōtl	Arto
Ecuador	Ekvadoro
Colombia	Kolombio
Iztāctepoztli	Nikelo
Bolivia	Bolivio
Chīchīltic tepoztli	Kupro
Trinidad īhuān Tobago	Trinidado kaj Tobago
Tlanelhuayōtl	Plantoj
San Vicente īhuān in Granadinas	Sankta Vincento kaj Grenadinoj
Yancuīc Hampshire	Nov-Hampŝiro
Santa Lucía	Sankta Lucio
Leonardo da Vinci	Leonardo da Vinci
San Cristóbal īhuān Nevis	Sankta-Kito kaj Neviso
Nanacatl	Fungoj
Xamaica	Jamajko
Granada (tlācatiyān)	Grenado (lando)
Massachusetts	Masaĉuseco
Cuauhtēmallān	Gvatemalo
Bahamas	Bahamoj
Connecticut	Konektikuto
Cuānaca	Koko
Antigua īhuān Barbuda	Antigvo-Barbudo
Hawaii	Havajo
Honduras	Honduro
Dominica	Dominiko
Domingotlācatlahtohcāyōtl	Domingo
Ilhuicaātl Ártico	Arkta Oceano
Haiti	Haitio
Cōzcatlān	Salvadoro
Iran	Irano
Irac	Irako
Alaska	Alasko
Costa Rica	Kostariko
Israel	Israelo
Utrecht	Utrecht
Panama	Panamo
Yemen	Jemeno
Poloniatlahtōlli	Pola lingvo
Iordania	Jordanio
Nicānāhuac	Nikaragvo
Florida	Florido
Quirhuistan	Kirgizio
Arizona	Arizono
Cuhuait	Kuvajto
Lao	Laoso
Libano	Libano
Oregon	Oregono
Maldivas	Maldivoj
Ixachitlān	Ameriko
Utah	Utaho
Cuācuahueh	Bovo
Malasia	Malajzio
Mianma	Birmo
Nepal	Nepalo
Omān	Omano
Paquistan	Pakistano
Catar	Kataro
Saudarabia	Sauda Arabio
Sri Lanca	Sri-Lanko
Siria	Sirio
Plátōn	Platono
Tayiquistan	Taĝikio
Pokémon	Pokemono
Taihuan	Respubliko Ĉinio
YouTube	YouTube
Aristotelēs	Aristotelo
Taitlālpan	Tajlando
Tepozcōātl	Trajno
Turcmenistan	Turkmenio
Tlacetilīlli Arabiaemiryōtl	Unuiĝintaj Arabaj Emirlandoj
Vietnam	Vjetnamio
Charles Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsko
Corea Huitztlāmpa	Sud-Koreio
The Simpsons	La Simpsonoj
Yekaterinburg	Jekaterinburg
Afganistan	Afganio
Nizhniy Novgorod	Niĵnij Novgorod
J.R.R. Tolkien	John Ronald Reuel Tolkien
Cōztic teōcuitlatl	Oro
Omsk	Omsk
Tlamatiliztlācatl	Sciencisto
Bangladex	Bangladeŝo
Chelyabinsk	Ĉeljabinsk
Rostov na Donu	Rostov-na-Donu
Mali	Malio
Sōcratēs	Sokrato
Volgograd	Volgogrado
Angola	Angolo
Butan	Butano
Brunei	Brunejo
Tanzania	Tanzanio
Yōliamochitl	Hidrargo
Roald Amundsen	Roald Amundsen
Filipinas	Filipinoj
Tlācatlahtohcāyōtl Tlahco Africa	Centr-Afrika Respubliko
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Cōztic	Flava
Togo	Togolando
Tunez	Tunizio
Zambia	Zambio
Zimbahue	Zimbabvo
Pequin	Pekino
Sudan Huitztlāmpa	Sud-Sudano
Benin	Benino
Botzhuana	Bocvano
Burquina Faso	Burkino
Burundi	Burundo
Comoras	Komoroj
Tlācatlahtohcāyōtl in Congo	Respubliko Kongo
Tlācatlahtohcāyōtl Tlācatēpacholiztli in Congo	Demokratia Respubliko Kongo
San Antonio, Texas	San Antonio (Teksaso)
Yibuti	Ĝibutio
Bavaria	Bavario
Guinea Tlahcotlālticpac	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Eritrea	Eritreo
Yancuīc Delhi	Nov-Delhio
Ioannes Paulus II	Johano Paŭlo la 2-a
Tibilisi	Tbiliso
Conētzintli	Bebo
Gabon	Gabono
Gambia	Gambio
Guinea	Gvineo
Guinea Bissau	Gvineo Bisaŭa
Tlanomihuēyātēnco	Ebur-Bordo
Camerun	Kameruno
Cabo Xoxoctic	Kaboverdo
Lesoto	Lesoto
Liberia	Liberio
Libia	Libio
Madagascar	Madagaskaro
Malahui	Malavio
Stuttgart	Stutgarto
Mauritania	Maŭritanio
Mauricio	Maŭricio
Marruecos	Maroko
Mozambique	Mozambiko
Namibia	Namibio
Niger	Niĝero
Nigeria	Niĝerio
Charles Darwin	Charles Darwin
Uganda	Ugando
Ruanda	Ruando
Santo Tomé īhuān Tlahtohcāpilli	Sao-Tomeo kaj Principeo
Senegal	Senegalo
Seychelles	Sejŝeloj
Sierra Leona	Siera-Leono
Somalia	Somalio
Nextictepoztli	Niobio
Julius Caesar	Julio Cezaro
Sudan	Sudano
Suazitlālpan	Svazilando
Cōzamālōtl	Ĉielarko
Hamburg	Hamburgo
Tlacetilīlli Tlācatiyān	Unuiĝintaj Nacioj
Dante Alighieri	Dante Alighieri
Tlālmatiliztli	Geologio
Cemānāhuacāyōtl	Geografio
Yōllōtl	Koro
Cuāyōllōtl	Cerbo
Cuetlaxtli	Haŭto
Tlapālli	Koloro
Praha	Prago
Texohtic	Blua
Iztāc teōcuitlatl	Arĝento
Amochitl	Stano
Ilhuicateōtepoztli	Uranio
Mictlāntēuctepoztli	Plutonio
Tlāloctepoztli	Neptunio
Anime	Animeo
Nelnextictepoztli	Tantalo
Bill Clinton	William J. Clinton
Mumbai	Mumbajo
Michigan	Miĉigano
Aquitania	Akvitanio
Puerto Rico	Porto-Riko
Schleswig-Holstein	Ŝlesvigo-Holstinio
Mecklenburg-Pommern Cihuātlāmpa	Meklenburgo-Antaŭpomerio
Tlani Saxonia	Malsupra Saksio
Rhein Mictlāmpa-Westfalen	Nordrejn-Vestfalio
Hessen	Hesio
Rheinland-Pfalz	Rejnlando-Palatinato
Saarland	Sarlando
Saxonia	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Thüringen	Turingio
Saxonia-Anhalt	Saksio-Anhalto
Dakota Mictlāmpa	Norda Dakoto
Brandenburg	Brandenburgio
Bremen	Libera hansa urbo Bremeno
Lombardia	Lombardujo
Dakota Huitztlāmpa	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Ierusalem	Jerusalemo
Idaho	Idaho
Washington	Vaŝingtonio
Nevada	Nevado
Ilhuicaātl Índico	Hinda Oceano
Cosovo	Kosovo
Huēyātl Caribe	Kariba Maro
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Colorado	Koloradio
Frédéric Chopin	Frédéric Chopin
Neneuhcāyōtl:Índice de categorías	Kategorio:Ĉio
Gent	Gento (urbo)
Chicago	Ĉikago
The Beatles	The Beatles
Maastricht	Maastricht
Cehuetzilizpan	Vintro
Xōxōpan	Printempo
Xōpantlah	Somero
Pixcayān	Aŭtuno
Caxtillāntlahtōlli	Hispana lingvo
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Opera	Opero
Calcuta	Kolkato
Daca	Dako
Tocatl	Araneuloj
Islamabad	Islamabado
Ozomahtli	Simio
Virginia	Virginio (ŝtato)
Virginia Tlāpcopa	Okcidenta Virginio
Yancuīc York	Nov-Jorkio
Rhode Island	Rod-Insulo
Yolcatzin	Insekto
Maryland	Marilando
Delaware	Delavaro
Ohio	Ohio
Pennsylvania	Pensilvanio
Uetersen	Uetersen
Augustus	Aŭgusto Cezaro
Yancuīc Jersey	Nov-Ĵerzejo
Fintlahtōlli	Finna lingvo
Indiana	Indianio
Nokia	Nokia (kompanio)
Tepozmalacatl	Aŭtomobilo
Georgia (Tlacetilīlli Tlahtohcāyōtl)	Georgio
Zagreb	Zagrebo
Texas	Teksaso
Genova	Ĝenovo
Carolina Mictlāmpa	Norda Karolino
Carolina Huitztlāmpa	Suda Karolino
Calabria	Kalabrio
Sicilia	Sicilio
Manillah	Manilo
Sardegna	Sardio
Feltre	Feltre
Buenos Aires	Bonaero
Āltepētl Mēxihco	Meksik-urbo
Tōquiō	Tokio
La Paz, Bolivia	La-Pazo
Barcelona	Barcelono
Matzahtli	Ananaso
Mississippi	Misisipio
Tennessee	Tenesio
Richard Wagner	Richard Wagner
Astana	Astano
Yancuīc Mēxihco	Nov-Meksiko
Atēna	Ateno
Minnesota	Minesoto
Bagdād	Bagdado
Caracas	Karakaso
Tlatēcpānalli cemānāhuaccāhuitl	UTC
Wisconsin	Viskonsino
Iowa	Iovao
Nebraska	Nebrasko
Āltepētl Cuauhtēmallān	Gvatemalurbo
Kansas	Kansaso
La Ahuana	Havano
Inditlahtōlli	Hindia lingvo
Maratitlahtōlli	Marata lingvo
Missouri	Misurio
Louisiana	Luiziano
Kentucky	Kentukio
Arkansas	Arkansaso
Urdutlahtōlli	Urduo
Oklahoma	Oklahomo
Danubio	Danubo
Kiel	Kilo (urbo)
Schwerin	Schwerin
Potsdam	Potsdamo
Hannover	Hanovro
Düsseldorf	Duseldorfo
Mainz	Majenco
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Munich	Munkeno
Erfurt	Erfurto
Dresden	Dresdeno
Magdeburg	Magdeburgo
Innsbruck	Innsbruck
Viena	Vieno
Madonna	Madonna
Copenague	Kopenhago
Estocolmo	Stokholmo
Helsinqui	Helsinko
Dublin	Dublino
Reikiavik	Rejkjaviko
Tallin	Talino
Rīga	Rigo
Bratislava	Bratislavo
Budapest	Budapeŝto
Gdansk	Gdańsk
Frankfurt in Main	Frankfurto ĉe Majno
Wroclaw	Vroclavo
Cemānāuhtic Quixtianayōtl	Katolikismo
Vaduz	Vaduzo
Teōāmoxtli	Biblio
Āltepētl San Marino	San-Marino (urbo)
Nom Pen	Pnom-Peno
Āltepētl Ho Chi Minh	Ho-Ĉi-Min-urbo
Hanoi	Hanojo
Jesús Nelli Iglesia	Vera Eklezio de Jesuo
Inglatlahtōlli	Angla lingvo
Andorra in Huehcāuh	Andoro Malnova
Dong Hoi	Dong Hoi
Concepción, Chile	Koncepciono
Bologna	Bolonjo
Cagliari	Kaljaro
Kiev	Kievo
Ontario	Ontario
Ottawa	Otavo
Huēyitzitzimicītlalli īmētz	Naturaj satelitoj de Jupitero
Yuba	Ĵubo
Manitoba	Manitobo
Alberta	Alberto
Yancuīc Escocia	Nov-Skotio
Erevan	Erevano
Końskowola	Końskowola
Formula 1	Formulo 1
Tzitzimicītlalli īmētz	Naturaj satelitoj de Saturno
British Columbia	Brita Kolumbio
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskaĉevano
2012	2012
2011	2011
2010	2010
2009	2009
2013	2013
2014	2014
2015	2015
2008	2008
Yukon	Jukonio
2004	2004
2005	2005
2006	2006
Nunavut	Nunavuto
2007	2007
Verona	Verono
1900	1900
1901	1901
1902	1902
Florencia	Florenco
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Nurenbergo
1999	1999
1917	1917
1918	1918
Tlacualli	Manĝaĵo
Cōātl	Serpento
Onohuayān Arica īhuān Parinacota	Arikio kaj Parinakotio
Onohuayān Antofagasta	Antofagasta (regiono)
Onohuayān Atacama	Regiono Atakamo
Onohuayān Coquimbo	Kokimbio
Winnipeg	Vinipego
Tlāloccītlalli īmētz	Naturaj satelitoj de Neptuno
Āltepētl Quebec	Kebeko
1 ic cē mētztli	1-a de januaro
2 ic cē mētztli	2-a de januaro
Ilhuicateōcītlalli īmētz	Naturaj satelitoj de Urano
1920	1920
3 ic cē mētztli	3-a de januaro
1919	1919
1921	1921
1922	1922
Onohuayān Maule	Maule (Ĉilio)
4 ic cē mētztli	4-a de januaro
1923	1923
Onohuayān Biobío	Biobío
1924	1924
Onohuayān La Araucanía	Araŭkanio
Onohuayān Los Lagos	Los Lagos
5 ic cē mētztli	5-a de januaro
Arica	Arica (Ĉilia urbo)
UTC-7	UTC-07:00
6 ic cē mētztli	6-a de januaro
7 ic cē mētztli	7-a de januaro
8 ic cē mētztli	8-a de januaro
9 ic cē mētztli	9-a de januaro
10 ic cē mētztli	10-a de januaro
11 ic cē mētztli	11-a de januaro
12 ic cē mētztli	12-a de januaro
13 ic cē mētztli	13-a de januaro
14 ic cē mētztli	14-a de januaro
15 ic cē mētztli	15-a de januaro
16 ic cē mētztli	16-a de januaro
17 ic cē mētztli	17-a de januaro
18 ic cē mētztli	18-a de januaro
19 ic cē mētztli	19-a de januaro
20 ic cē mētztli	20-a de januaro
21 ic cē mētztli	21-a de januaro
22 ic cē mētztli	22-a de januaro
23 ic cē mētztli	23-a de januaro
Roma Emperadoryōtl	Romia Imperio
24 ic cē mētztli	24-a de januaro
25 ic cē mētztli	25-a de januaro
Minsk	Minsko
26 ic cē mētztli	26-a de januaro
27 ic cē mētztli	27-a de januaro
28 ic cē mētztli	28-a de januaro
29 ic cē mētztli	29-a de januaro
30 ic cē mētztli	30-a de januaro
31 ic cē mētztli	31-a de januaro
2 Tlamahtlācōnti	2-a de decembro
1 Tlamahtlācōnti	1-a de decembro
Tlamahtlācōnti 3	3-a de decembro
Tlamahtlācōnti 7	7-a de decembro
Tlamahtlācōnti 5	5-a de decembro
Tlamahtlācōnti 8	8-a de decembro
Tlamahtlācōnti 10	10-a de decembro
Tlamahtlācōnti 6	6-a de decembro
Tlamahtlācōnti 9	9-a de decembro
Pink Floyd	Pink Floyd
AvtoVAZ	AvtoVAZ
Tlamahtlācōnti 4	4-a de decembro
1 Tlaōnti	1-a de februaro
2 Tlaōnti	2-a de februaro
3 Tlaōnti	3-a de februaro
Kurów	Kurów
Tlaōnti 4	4-a de februaro
Tlaōnti 5	5-a de februaro
Tlaōnti 6	6-a de februaro
Tlaōnti 7	7-a de februaro
Tlaōnti 8	8-a de februaro
Tlaōnti 9	9-a de februaro
10 Tlaōnti	10-a de februaro
14 Tlaōnti	14-a de februaro
13 Tlaōnti	13-a de februaro
15 Tlaōnti	15-a de februaro
11 Tlaōnti	11-a de februaro
12 Tlaōnti	12-a de februaro
19 Tlaōnti	19-a de februaro
17 Tlaōnti	17-a de februaro
16 Tlaōnti	16-a de februaro
18 Tlaōnti	18-a de februaro
Tlaōnti 20	20-a de februaro
21 Tlaōnti	21-a de februaro
Tlaōnti 22	22-a de februaro
Tlaōnti 23	23-a de februaro
24 tlaōnti	24-a de februaro
25 tlaōnti	25-a de februaro
Tlaōnti 26	26-a de februaro
27	27
Tlaōnti 27	27-a de februaro
Tlaōnti 28	28-a de februaro
Tlamahtlācōnti 11	11-a de decembro
Tlaōnti 29	29-a de februaro
Tlamahtlācōnti 12	12-a de decembro
Tlamahtlācōnti 13	13-a de decembro
Tlamahtlācōnti 14	14-a de decembro
Tlamahtlācōnti 15	15-a de decembro
Tlayēti 2	2-a de marto
Tlayēti 3	3-a de marto
Tlayēti 5	5-a de marto
Tlayēti 1	1-a de marto
Tlayēti 7	7-a de marto
Tlayēti 8	8-a de marto
Tlayēti 4	4-a de marto
Tlayēti 10	10-a de marto
11 tlayēti	11-a de marto
Tlayēti 6	6-a de marto
Tlayēti 13	13-a de marto
Tlayēti 9	9-a de marto
12 tlayēti	12-a de marto
Tlayēti 15	15-a de marto
Tlayēti 14	14-a de marto
Tlamahtlācōnti 16	16-a de decembro
Tlamahtlācōnti 17	17-a de decembro
Tlayēti 16	16-a de marto
Tlayēti 17	17-a de marto
Tlayēti 18	18-a de marto
Tlayēti 19	19-a de marto
1989	1989
1988	1988
Tlayēti 20	20-a de marto
1987	1987
1986	1986
1985	1985
1984	1984
Tlayēti 21	21-a de marto
1983	1983
Tlayēti 22	22-a de marto
1982	1982
1981	1981
Tlamahtlācōnti 18	18-a de decembro
1980	1980
Tlayēti 23	23-a de marto
19 tlamahtlācōnti	19-a de decembro
Tlayēti 24	24-a de marto
Tlayēti 25	25-a de marto
Tlamahtlācōnti 20	20-a de decembro
Tlayēti 26	26-a de marto
Tlayēti 27	27-a de marto
Tlayēti 28	28-a de marto
Tlayēti 29	29-a de marto
Tlayēti 30	30-a de marto
Tlayēti 31	31-a de marto
Nassau	Nasaŭo (Bahamoj)
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Konrad Adenauer	Konrad Adenauer
Benedictus XVI	Benedikto la 16-a
Ludwig Erhard	Ludwig Erhard
15 Tlanāuhti	15-a de aprilo
Tlanāuhti 13	13-a de aprilo
Tlanāuhti 12	12-a de aprilo
Tlanāuhti 14	14-a de aprilo
Tlanāuhti 11	11-a de aprilo
Tlanāuhti 10	10-a de aprilo
Tlanāuhti 8	8-a de aprilo
Tlanāuhti 9	9-a de aprilo
7 tlanāuhti	7-a de aprilo
Tlanāuhti 6	6-a de aprilo
Tlanāuhti 5	5-a de aprilo
Tlanāuhti 4	4-a de aprilo
Tlanāuhti 3	3-a de aprilo
Tlanāuhti 1	1-a de aprilo
Tlanāuhti 2	2-a de aprilo
Kurt Georg Kiesinger	Kurt Georg Kiesinger
Willy Brandt	Willy Brandt
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
Tlanāuhti 16	16-a de aprilo
Tlanāuhti 17	17-a de aprilo
Tlanāuhti 18	18-a de aprilo
Tlanāuhti 19	19-a de aprilo
20 Tlanāuhti	20-a de aprilo
Tlanāuhti 21	21-a de aprilo
22 Tlanāuhti	22-a de aprilo
Tlanāuhti 23	23-a de aprilo
Tlanāuhti 24	24-a de aprilo
Gerhard Schröder	Gerhard Schröder
Tlanāuhti 25	25-a de aprilo
Tlanāuhti 26	26-a de aprilo
Tlanāuhti 27	27-a de aprilo
Tlanāuhti 28	28-a de aprilo
Tlanāuhti 29	29-a de aprilo
Tlanāuhti 30	30-a de aprilo
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
Tlamācuīlti 1	1-a de majo
Tlamācuīlti 2	2-a de majo
Tlamācuīlti 3	3-a de majo
Tlamācuīlti 4	4-a de majo
Tlamācuīlti 5	5-a de majo
Johannes Rau	Johannes Rau
Tlamācuīlti 6	6-a de majo
Tlamācuīlti 7	7-a de majo
Tlamācuīlti 8	8-a de majo
Tlamācuīlti 9	9-a de majo
Tlamācuīlti 10	10-a de majo
Tlamācuīlti 11	11-a de majo
Tlamācuīlti 12	12-a de majo
Tlamācuīlti 13	13-a de majo
Tlamācuīlti 14	14-a de majo
Tlamācuīlti 15	15-a de majo
Tlamācuīlti 16	16-a de majo
Tlamācuīlti 17	17-a de majo
Tlamācuīlti 18	18-a de majo
