Naakaii Łizhiní Bikéyah	Afriko
Wooméiniya	Rumanio
Bálgaa Bikéyah	Bulgario
Dziłigaii Bikéyah	Albanio
Haʼaʼaahjí Hakʼaz Dineʼé Bikéyah	Gronlando
Kwóóʼad Bikéyah	Kroatio
Bosna dóó Hetsog Bikéyah	Bosnio kaj Hercegovino
Azééwii Bikéyah	Azerbajĝano
Andówa	Andoro
Béésh Łichíiʼii Bikéyah	Kipro
Jóojah (Kéyah)	Kartvelio
Kʼazah Bikéyah	Kazaĥio
Dziłizhin Bikéyah	Montenegro
Bádikin Sídii	Vatikano
San Mawínoo Bikéyah	San-Marino
Kyóoba	Kubo
Hashkʼaan Bikéyah	Barbado
Indoníízha	Indonezio
Tʼóok bizaad	Turka lingvo
Kéyah Naakai Łizhinii Bikéyah Shádiʼááhjí Siʼánígíí	Sud-Afriko
Aljííya	Alĝerio
Ózbeʼ Bikéyah	Uzbekujo
Tó	Akvo
Níłchʼi naalkidí	Televido
Chíilii	Ĉilio
Doodaatsaahii (Jíísas)	Jesuo Kristo
Mókiwii	Merkuro (planedo)
Ákáʼátʼįįł (béésh ntsékeesígíí álʼíní)	Apple
Biinis	Venuso (planedo)
Jíbitoo	Jupitero (planedo)
Yoowéinis	Urano (planedo)
Néʼtoon	Neptuno (planedo)
Sį́ʼgaboo	Singapuro
Tłóotoo	Plutono
Łííhtensain	Liĥtenŝtejno
Dágháilchįįh	Adolf Hitler
Naaltsoos biniiʼ	Facebook
Naaki góneʼ yéigo daʼahijoogą́ą́ʼ	Dua mondmilito
Ałhíʼayiiltááh	Matematiko
Aooméénii Bikéyah	Armenio
Ooljééʼ	Luno
Nahatʼeʼiitsoh Bikéyah	Aŭstralio
Béésh Łigaii Bikéyah	Argentino
Kolíya Bikéyah Náhookǫsjí Siʼánígíí	Nord-Koreio
Naayééʼ	Dinosaŭro
Bilasáana bitseeʼ nineezígíí	Pirarbo
Encyclopædia Britannica	Encyclopaedia Britannica
Tó yaʼnidaʼaazgééd	Akvedukto
Chʼil łitsooí díkʼǫ́zhígíí	Citrono
Hashkʼaan (łitsooígíí)	Banano
Sǫʼ	Stelo
Jóhonaaʼéí	Suno
Háájiʼjin	Hidrogeno
Níłchʼi Ászólí	Heliumo
Haʼaʼaahjí Tíímow	Orienta Timoro
Séwes	Cereso
Haʼooméya	Haŭmeo
Maakiimaakii	Makemako (nanoplanedo)
Ééwis	Eriso
Káábin	Karbono
Níłchʼi Yáʼátʼéehii	Oksigeno
Hadoh dóó hakʼaz neiłkidígíí	Termometro
Níłchʼi Łitsxooí	Neono
Chihuahua Hahoodzo	Chihuahua
Soodin	Natrio
Béésh Łikoní	Magnezio
Béésh Ászólí	Aluminio
Tó Wónaanídę́ę́ʼ Bitsįʼ Yishtłizhii Bikéyah	Barato
Tʼoobááloo	Tuvalo
Béésh (Fe)	Fero
Tʼónga	Tongo
Łeetsoii	Sulfuro
Samóa	Samoo
Sólomon Tó Bináhaazyínígíí	Salomonoj
Banoʼáátʼoo	Vanuatuo
Páápowa Bigíní Ániidí	Papuo-Nov-Gvineo
Níłchʼi Dootłʼizhí	Argono
Eʼeʼaahjí Tónteel bikáaʼgi Kéyah Yázhí dah Ndaaʼeełgo Ałhidadiidzooígíí	Federacio de Mikronezio
Káálsiiyin	Kalcio
Dilyį́hí	Plumbo
Kílíbas	Kiribato
Chʼah Diʼilii Bikéyah	Mongolio
Fííjii	Fiĝioj
Béésh doo Ńdiniichxíihii	Titano (elemento)
Táłkááʼ Bighan Dineʼé Bikéyah	Venezuelo
Méíin Hahoodzo	Majno
Łį́į́ʼ	Ĉevalo
Naaldeehii	Bestoj
Sówinam	Surinamo
Kéyah Nahasdzáán Ałníiʼgi Siʼánígíí	Ekvadoro
Kolámbiya	Kolombio
Béésh Łibáhí	Kobalto
Bolíbiya	Bolivio
Béésh Łichíiʼii	Kupro
Niihémpshoo Hahoodzo	Nov-Hampŝiro
Chʼosh doo yitʼíinii dláádí dóó Ábishjaaʼ	Fungoj
Jaméíkʼa	Jamajko
Méésíchóoshish Hahoodzo	Masaĉuseco
Kanédikiʼ Hahoodzo	Konektikuto
Naaʼahóóhai	Koko
Antíígwa dóó Hashkʼaan Bikéyah Yázhí	Antigvo-Barbudo
Kéyah Ałkéé Nitį́įgo Dah Ndaaʼeełí	Havajo
Damóo Bikéyah	Dominiko
Domingo Bikéyah	Domingo
Bisóodi	Porko
Héítii	Haitio
Iiwą́ą́	Irano
Iiwááʼ	Irako
Hakʼaz Dineʼé Bikéyah Hahoodzo	Alasko
Ízrel Bikéyah	Israelo
Shádiʼááhjí Ásáí Bikéyah	Jemeno
Jóoʼdan	Jordanio
Gah Bikeeʼ Taahíʼahí	Florido
Kíígiz Bikéyah	Kirgizio
Hoozdo Hahoodzo	Arizono
Kóóweiʼ	Kuvajto
Lááʼos	Laoso
Łíbanoo	Libano
Óogin Hahoodzo	Oregono
Naakaii Dootłʼizhí Bikéyah Yázhí (Tó Bináhaazyínígíí)	Maldivoj
Kéyah dah siʼánígíí	Ameriko
Áshįįh Biiʼtó Hahoodzo	Utaho
Béégashii	Bovo
Maléízha	Malajzio
Dziłgaiitsoh Honeezkʼazii Bikéyah	Nepalo
Omą́ą́	Omano
Eʼeʼaahjí Naakaii Dootłʼizhí Bikéyah	Pakistano
Kʼatár	Kataro
Ásáí Bikéyah Saʼoodí	Sauda Arabio
Swii Lankʼa	Sri-Lanko
Sííwiya	Sirio
Tʼajiʼ Bikéyah	Taĝikio
Tʼáí Bikéyah	Tajlando
Kǫʼ naʼałbąąsii diné bee nágéhéʼ	Trajno
Tʼóokmen Bikéyah	Turkmenio
Ásáí Bikéyah Yázhí Ałhidadiidzooígíí	Unuiĝintaj Arabaj Emirlandoj
Biʼednam	Vjetnamio
Kolíya Bikéyah Shádiʼááhjí Siʼánígíí	Sud-Koreio
Óola	Oro
Naʼałkaahí	Sciencisto
Bangla Bikéyah	Bangladeŝo
Angóola	Angolo
Iiʼniʼ Tłʼiishtsoh Bikéyah	Butano
Bwoonéí	Brunejo
Tʼanzanííya	Tanzanio
Béésh Tózháanii	Hidrargo
Kéyah Dańlíinii	Filipinoj
Naakaii Łizhinii Bikéyah Beʼałnííʼ	Centr-Afrika Respubliko
Hastiin Albert Einstein	Albert Einstein
Tʼóogo	Togolando
Hooghan Tsé Bee Ádaalyaaí Bikéyah	Zimbabvo
Shádiʼááhjí Soodą́ą	Sud-Sudano
Tswana Dineʼé Bikéyah	Bocvano
Wóndii Dineʼé Bikéyah	Burundo
Ooljééʼ Bikéyah Yázhí	Komoroj
Kéyah Káango Náhookǫsjí Siʼánígíí	Respubliko Kongo
Kéyah Káango Shádiʼááhjí Siʼánígíí	Demokratia Respubliko Kongo
Jibótii	Ĝibutio
Gíní Nahasdzáán Ałníiʼgi Siʼánígíí	Ekvatora Gvineo
Gabǫ́ǫ́ (Kéyah)	Gabono
Géémbiya	Gambio
Gíní	Gvineo
Gíní Bisó	Gvineo Bisaŭa
Chį́į́h Yee Adilohii Bideeʼ Tónteel Bibąąh	Ebur-Bordo
Táłtłʼááh Chʼosh Daadánígíí Bitooh (Łizhinii Bikéyahdi)	Kameruno
Tónteel Bibąąh Dootłʼizhí	Kaboverdo
Sotho Dineʼé Bikéyah	Lesoto
Łíbya	Libio
Madaʼgéésgáá	Madagaskaro
Malááwii	Malavio
Moowitéínya	Maŭritanio
Moroko	Maroko
Namííbya	Namibio
Yogénda	Ugando
Wánda Dineʼé Bikéyah	Ruando
Seishel	Sejŝeloj
Náshdóítsoh Bitsiijįʼ Daditłʼooʼígíí Bidził	Siera-Leono
Soomáálii Bikéyah	Somalio
Soodą́ą	Sudano
Swáazi Dineʼé Bikéyah	Svazilando
Nahasdzáán Bikáaʼgi Kéyah Naaznilgo Ałhidadiidzooígíí	Unuiĝintaj Nacioj
Nidaashchʼąąʼígíí	Koloro
Béésh Łigaii	Arĝento
Béésh Dildǫʼí	Stano
Łéétsoh	Uranio
Hastiin alą́ąjįʼ dahsidáhígíí Bill Clinton	William J. Clinton
Míshigin Hahoodzo	Miĉigano
Tó Nitsaa Nílį́bąąh Hahoodzo	Ilinojso
Náhookǫsjí Dzígaii	Norda Dakoto
Ałnííʼjí Dzígaii	Suda Dakoto
Ayání Naakaii Hahoodzo	Montano
Tóʼííbézhí	Vajomingo
Nímasii Kʼidadilyéhé	Idaho
Ahééhałtį́į́h Hahoodzo	Vaŝingtonio
Naʼazhǫǫsh Hahoodzo	Nevado
Kayíbíyinsíí (tónteel)	Kariba Maro
Dibé Nitsaa Hahoodzo	Koloradio
Naakaii bizaad	Hispana lingvo
Naʼashjéʼii	Araneuloj
Chʼosh bijáád tseebíhígíí	Araneedoj
Chʼosh bideeʼ ádaadinígíí	Chelicerata
Chʼosh bijáád dahólónígíí	Artropodoj
Béeso	Mono
Bijíniyah Hahoodzo	Virginio (ŝtato)
Eʼeʼaahjí Bijiniyah Hahoodzo	Okcidenta Virginio
Kin Yótʼááh Deezʼá Hahoodzo	Nov-Jorkio
Wóód Áalin Hahoodzo	Rod-Insulo
Chʼosh bijáád hastání	Insekto
Méelin Hahoodzo	Marilando
Déláwee Hahoodzo	Delavaro
Oohááyoo Hahoodzo	Ohio
Pénsówéíniyah Hahoodzo	Pensilvanio
Niijéízii Hahoodzo	Nov-Ĵerzejo
Índíʼyéenah Hahoodzo	Indianio
Chidí	Aŭtomobilo
Jóojah Hahoodzo	Georgio
Akałii Bikéyah	Teksaso
Náhookǫsjí Kééláanah Hahoodzo	Norda Karolino
Shádiʼááhjí Kééláanah Hahoodzo	Suda Karolino
Méhigoʼ sídii	Meksik-urbo
Bilasáana diwozhí	Ananaso
Mísísípii Hahoodzo	Misisipio
Ténésii Hahoodzo	Tenesio
Yootó Hahoodzo	Nov-Meksiko
Mínisóodah Hahoodzo	Minesoto
Wiskaansin Hahoodzo	Viskonsino
Haʼaʼaahjí Dzígaii	Iovao
Nabeeskah Hahoodzo	Nebrasko
Shádiʼááhjí Dzígaii	Kansaso
Tó Dzígaii Nílį́	Misurio
Tónteel Chʼínílį́	Luiziano
Kentákii Hahoodzo	Kentukio
Dził Biiʼ Dzígaii	Arkansaso
Halgai Hóteel Hahoodzo	Oklahomo
Ho Chi Min Sídii	Ho-Ĉi-Min-urbo
Bilagáana bizaad	Angla lingvo
Náhookǫsjí Hakʼaz Dineʼé Bikéyah	Nunavuto
1901 – 1950	1902
Tłʼiish	Serpento
1951 – 2000	1979
Pope Benedict XVI	Benedikto la 16-a
Maʼii Ashkii	Geronimo
Tsin naaʼeeł táłtłʼááh naagháhígíí	Submarŝipo
Tahoniigááh	Gripo
Tłʼízí	Hejma kapro
Kǫʼ	Fajro
Tʼááłáhági átʼéego:Templates	Kategorio:Vikipedio:Ŝablonoj
Dloziłchííʼ	Rufa sciuro
Tʼááłáhági átʼéego:Bideeʼtsʼinígíí	Kategorio:Bovedoj
Tʼááłáhági átʼéego:Ndaaʼnaʼii	Kategorio:Skvamuloj
Tiníléítsoh	Komoda varano
Aymara bizaad	Ajmara lingvo
Łeeyiʼ chʼoshtsoh binááʼ hólónígíí	Senkruraj amfibioj
Tʼááłáhági átʼéego:Dééł dóó Tóidoozohii	Kategorio:Gruoformaj
Médíwííyin Sii	Mediteraneo
Alóós	Rizo
Tsídii	Birdoj
Kéchwa bizaad	Keĉua lingvaro
Ínsadoobíídiiya	Enciklopedio
Íiyisíí Naaltsoos	Vikipedio:Ĉefpaĝo
Dziłgaiitsoh Honeezkʼazii	Himalajo
Tʼááłáhági átʼéego:Candidates for speedy deletion	Kategorio:Tujforigendaj artikoloj
Chʼil ahwééh	Teo
Kéyah Sahééwa Eʼeʼaahjí Siʼánígíí	Okcidenta Saharo
1801 – 1850	1815
Łį́į́ʼ Bideeʼłáaʼii	Unukornulo
Hastiin Hernán Cortés	Hernán Cortés
Tsʼíʼii daʼaneezí	Moskito
Dibé	Ŝafo
Łóóʼ hashkéhé	Ŝarko
Ghą́ą́ʼaskʼidii	Kamelo
Bidił Daazdoígíí dóó Daʼałtʼoʼígíí	Mamuloj
Bíchį́į́h yee adilohii	Elefanto
Mágí dóó Mágí Ndahalinígíí	Primatoj
(*wálá-)	Formiko
Tsísʼná	Abelo
Naayízítsʼósí	Legomkukurbo
Sęęschʼil	Florbrasiko
Ayęęzhii yiltʼąąʼí	Melongeno
Naalʼeełí	Anasedoj
Yas	Neĝo
Jádí dághaaʼígíí	Gnuo
1851 – 1900	1865
Biʼééʼ Łichííʼí bizaad	Rusa lingvo
1751 – 1800	1784
Bááh	Pano
Bee Hazʼą́ą Ił Chʼétʼaah	Universala Deklaracio de Homaj Rajtoj
Kéyah haʼdéísná	Tertremo
Tó nitéél nitságoʼ atságáá	Cunamo
Níyoltsoh	Tornado (ŝtormo)
Saad bee alʼį́į́hni	Skribsistemo
Tʼááłáhági átʼéego:Dáághahii	Kategorio:Francio
Mąʼii łitsooí	Ruĝa vulpo
Naaltéʼ	Sklaveco
Ahwééh	Kafo
Abeʼ	Lakto
Dził	Monto
Doo Nidahałtingóó	Dezerto
Cryptographic	Kriptologio
Guadalajara	Gvadalaharo
Tsídii naʼałkʼaiʼí	Pingveno
Kolíya Dineʼé bizaad	Korea lingvo
Gah	Kuniklo
Tó niteel	Oceano
Hodíłchʼil Níłtsánígíí	Pluvarbaro
HiTSʼezh	IPod
Hazéí	Sciuredoj
Hazéí naatʼáʼii	Flugsciuro
Ééʼ néíshoodí	Katolika Eklezio
Kwį́į́n Elizabeth II	Elizabeto la 2-a (Britio)
Hastiin alą́ąjįʼ dahsidáhígíí Ronald Reagan	Ronald Reagan
Hastiin Emperor Yongle	Jongle
Naaldlooshii dadichʼízhii	Reptilioj
Tsin Deigházhígíí	Ronĝuloj
Hasbídí	Kolombedoj
Tééh hóyáanii	Porkocetoj
Biyáázh Tsʼǫʼasánígíí (Táyiʼ dóó Niʼkáágóó Ndaakaaígíí)	Amfibioj
Géeso	Fromaĝo
Chʼil naʼatłʼoʼii (chʼiyáán)	Vinbero
Tsísʼná bitłʼizh	Mielo
Atsįʼ	Viando
Nímasii	Terpomo
Áshįįh łikan	Sukero
Haʼałtsédii	Nukso
Wááshindoon bisiláołtsooí	Usona armeo
Naʼiiniʼ bá Hooghantsoh	World Trade Center
Áshįįh	Salo
Wááshindoondi bee hazʼáanii ádeiłʼíní	Usona Kongreso
Tsin naaʼeeł	Ŝipo
Nidaʼąnyéézh	Irigacio
Naadą́ą́ʼ	Maizo
Naʼashchʼąąʼ	Pentrado
Wótáahgoo ałnaaʼáłtʼahiʼ	Kosmonaŭto
Azhish	Danco
Kéyah Daʼnaaznilígíí	Listo de sendependaj ŝtatoj
Shash	Urso
Hastiin alą́ąjįʼ dahsidáhígíí John Adams	John Adams
Hastiin alą́ąjįʼ dahsidáhígíí Thomas Jefferson	Thomas Jefferson
Hastiin alą́ąjįʼ dahsidáhígíí Andrew Jackson	Andrew Jackson
Ńdíshchííʼ	Pino
Tłʼoh naadą́ą́ʼ	Tritiko
Naałniih yichʼą́ą́h naabaahígíí bąąh dahooʼaahgo	Aidoso
Abeʼ bee neezmasí	Patkuko
Jéíʼádįįh	Tuberkulozo
Łóódtsoh	Variolo
Zelda bahaneʼ	The Legend of Zelda
Naakáí dinéʼiʼ biempire Méhigodi	Aztekoj
Łéétsoh bee atsiniltłʼish álʼį́	Nuklea energio
Łéétsoh beeʼeldǫǫhtsoh beeʼalį́į́h	Atombombo
Chidí naaʼnaʼí beeʼeldǫǫh bikááʼ dah naaznilígíí	Tanko
Jalisco Hahoodzo	Jalisco
Dzidzé łikaní dinilchííʼígíí	Frambo
Mágí bichʼiyąʼ	Kokoso
Dzidzétsoh	Persiko
Chʼil łitsxooí	Oranĝo (frukto)
Chʼil dishooí	Kivifrukto
Chʼil dootłʼizhí díkʼǫ́zhígíí	Limeo
Abeʼ yistiní	Glaciaĵo
Méhigo bizaad	Naŭatla lingvo
Diné bizaad	Navaha lingvo
Jeeʼiighááh	Forfikuloj
Tenochtitlan	Tenoĉtitlano
Ásáí Bizaad	Araba lingvo
Honeezílígi	Subtropiko
Atʼaʼ yiltʼąąʼí	Arekacoj
Niłchiis	Gulo
Tsin yilátah ayání	Ĝirafo (specio)
Naalʼeełídaaʼí	Ornitorinko
Naʼashǫ́ʼii	Lacertuloj
Béésh bee akʼeʼelchí áłtsisígíí	Persona komputilo
Wikiibíídiiya:Naaltsoos nizhónígo ádaalyaaígíí	Vikipedio:Elstaraj artikoloj
Bee álnééhí:Link FA	Ŝablono:LigoElstara
Bimááʼ Hahoodzo	Vermonto
Hoozdoh	Fenikso (Arizono)
Tʼáyaałchííʼ	Brustornama pego
Táłkááʼ tsʼin bíchį́į́hnézí	Gavialo
Tsin naaʼeeł chidí naatʼaʼí bee nágéhéʼ	Aviadila ŝipo
Tsídiitsoh	Struto
Kolíya bikéyah (Ałtsʼáʼáztiin)	Koreio
Mąʼiitsoh	Lupo
Chʼídeeldlóohiitsoh	Ŝubekulo
Hodíłchʼilgi dlǫ́ʼiitsoh	Azia palm-civeto
Tóidoozohii bidaaʼ łichííʼígíí	Verdkrura galinolo
Táłtłʼááh yilcháazhii	Spongulo
Tónteel naʼashjéʼii	Mar-araneo
Séigoʼ	Skorpio
Zahalchíʼii	Kamelaraneo
Yaaʼ doo yitʼíinii	Akaro
Hodíłchʼilgi naaʼahóóhai	Tinamo
Tłʼiishkʼosí (tsídii)	Anhingedoj
Télii	Azeno
Náshdóítsoh noodǫ́zígíí	Tigro
Kʼíneeshbízhiinééz	Spagetoj
Tábąąhgi łeeyiʼ chʼosh	Sablovermo
Táłkáaʼgi Tsídii	Anseroformaj birdoj
Tązhii dóó Naaʼahóóhai Ndahalinígíí	Kokoformaj birdoj
Naalʼeełii keelóól	Greboj
Tsídii Deílʼésígíí	Cikonioformaj birdoj
Daʼałtʼoʼígíí Biyęęzhii Deiłchíhígíí	Monotremoj
Adijiłii bíchį́į́hnézí	Ekidno
Biyázhí neiyéhé	Didelfedoj
Hazéítsʼósii	Tamiaso
Chidí bikʼah	Nafto
Chéłchaaʼ	Koleopteroj
Łį́į́ʼ ałchiní	Prĵevalski-ĉevalo
Shash naʼazísí	Vombato
Bįįh Danilínígíí	Cervedoj
Tin	Glacio
Tłʼohchin díchʼííʼí	Ajlo
Taʼneeskʼání áłtsʼóózígíí	Kukumo
Tłʼohchin (chʼil daadánígíí)	Cepo
Chʼil łichxíʼí	Tomato
Béésh Łichíiʼii Bikéyah Náhookǫsjígo Siʼanígíí	Turka Respubliko Norda Kipro
Naʼazhǫǫsh Hátsoh	Lasvegaso
Náshdóí dilwoʼí	Gepardo
Tsékǫʼ	Terkarbo
Néʼéshjaaʼ	Strigoformaj birdoj
Bíígháán Dahólónígíí	Vertebruloj
Kʼishchííʼ	Betulo
Ǫǫbǫʼii	Upupedoj
Náshdóí Ndahalinígíí	Felisedoj
Yádiłhił yiiyídíʼ nahosdzáán yináádáłiʼ	Internacia Kosmostacio
Tó wónaanídę́ę́ʼ toohjįʼ noołnahii	Griza ardeo
Hashkʼaan dijéʼé	Daktilopalmo
Wááshindoon (Ałtsʼáʼáztiin)	Washington
Bidił Daazdoígíí dóó Daʼalghałígíí	Karnomanĝuloj
Chʼoshtsoh	Blato
Dlǫ́ʼii yázhí	Vizelo
Tsʼíʼii dóó Tséʼédǫ́ʼii	Dipteroj
Biniiʼłigaii (néʼéshjaaʼ)	Turstrigo
Mąʼii Ndahalinígíí	Kanisedoj
Bijáád Ádaadinígíí	Moluskoj
Chʼosh łitsxooí dóó Chʼosh łichííʼí	Kokcinelo
Táłkááʼ naalzheehí	Fiŝaglo
Bizaʼazis Dahólónígíí	Marsupiulo
Dlǫ́ʼiiłgaii	Ermeno
Naalʼeełí bitsiiʼ dootłʼizhí	Platbeka anaso
Sǫʼ łóóʼ	Marstelo
Giníłbáhí	Akcipitro
Tʼádootłʼizhii	Eŭropazia garolo
Zhį́ʼii	Korako
Táłkááʼ tsʼin Danilínígíí	Krokodilulo
Chʼosh bikágí dantłʼizí	Krustacoj
Dééł	Gruo (birdo)
Chʼosh bitsʼaʼígíí	Duvalvulo
Atsá dóó Giní Ndahalinígíí	Falkoformaj birdoj
Łóóʼ ooshgę́ęzhii	Kartilagaj fiŝoj
Tániilʼáí	Libelo
Wóláchííʼ yildeełí bikágí ntłʼizí	Maniso
Gah Danilínígíí	Leporuloj
Tsísʼnátsoh	Burdo
Zéédzísgaii	Komuna fazano
Dlǫ́ʼii Ndahalinígíí	Musteledoj
Tsin yiłkaałii	Pegedoj
Bideeʼtsʼinígíí	Bovedoj
Dééł dóó Tóidoozohii Ndahalinígíí	Gruoformaj
Gáagii dóó Joogii Ndahalinígíí	Korvedoj
Chʼiltaatʼagii	Blua cirkuo
Tsin naaʼeeł diné bee nágéhéʼ	Pramo
Gad	Junipero
Jááłánii	Miriapodo
Biishchʼid Dahólónígíí	Placentuloj
Chʼosh Deildeełii	Insektomanĝuloj
Tó wónaanídę́ę́ʼ naalʼeełítsoh łibáhígíí	Griza ansero
Tónteel dóó Tábąąhgi Tsídii	Ĥaradrioformaj birdoj
Biyaatsʼiin Dahólónígíí	Makzelulo
Tooh łéʼétsoh	Ondatro
Chaatʼíní	Okzalo
Wóʼatsʼǫǫsii Ádaatʼéhígíí	Hemipteroj
Atsáłgaii	Vilkrura buteo
Béégashiiʼilí	Gruntbovo
Tó wónaanídę́ę́ʼ dlǫ́ʼii	Putoro
Tsxį́į́łnaalkʼįhii	Apusedoj
Hakʼaz naalʼeełí	Molanaso
Naalʼeełítsoh bitsiiʼ halzhinígíí	Kanada ansero
Chʼó	Piceo
Łóóʼtsoh łizhin dóó łigaígíí	Granda orcino
Jáádtsʼósí	Rekurbrostruledoj
Téél dzítsooii dóó Tsétah chʼosh	Grundoskarabo
Naalʼeełítsoh diłhiłígíí	Berniklo
Tábąąh dlǫ́ʼii	Vizono
Dlǫ́ʼii bitéél halgaií	Foino
Diné Nááhódlóonii bizaad	Atabaska lingvaro
Tónteel tsídii	Mevo
Ałtį́į́ jikʼáshí (chʼil)	Ekvizeto
Hazaʼaleehtsoh (dííshjį́ ááłjiní)	Vera celerio
Kʼaalógii dóó Iichʼąhii	Lepidoptera
Díłdánii yił aheełtʼéhii	Ordinara koturno
Chʼałdą́ą́ʼ / Jádí nátʼoh (chʼil daadánígíí)	Asparago
Jaaʼabaní Danilínígíí	Kiropteroj
Wóónałchídii	Elateredoj
Tsídii bidaanézí	Cikoniedoj
Dlǫ́ʼii	Musteloj
Lókʼaaʼ	Phragmites australis
Tsídiiłbáhí	Paseredoj
Biłʼeʼeliníʼ	Bakpulvoro
Táłtłʼááh chʼoshchilí	Krilo
Tsiiʼyiishbizhí Dinéʼiʼ Bikéyah	Ĉinio
Naalʼeełí binááʼ łitsooígíí	Orokula klangulo
Tábąąstíín	Lutra lutra
Jélii łóóʼ	Meduzo
Náshdóíłgaii łikizhígíí	Neĝleopardo
Tábąąstííntsoh Danilínígíí	Fokuloj
Náshdóí bijaałizhiní	Karakalo (besto)
Chʼóhojilyééh	Ordinara daturo
Chʼah Diʼilii Bikéyahdę́ę́ʼ naalʼeełítsoh	Cigna ansero
Tsídii yáłtiʼí	Papagoformaj
Tééh łį́į́ʼ	Zebro
Náshdóí łikizhígíí	Oceloto
Dííłdzid jeeshóóʼ	Kadavrogrifo
Tʼáadoo leʼé danílʼį́ bił hazʼą́	Muzeo
Shash łizhin dóó łigaígíí	Granda pando
Shash łigaígíí	Blanka urso
Hastiin alą́ąjįʼ dahsidáhígíí Theodore Roosevelt	Theodore Roosevelt
Neeshchʼííłgai	Akaĵuo
Beeʼódleehí	Bestkaptilo
Dilní bee Nidaʼanéhígíí	Muzika instrumento
Dééłgai	Cigno
Bikááʼ náʼoobałí	Helikoptero
Dziʼizítsoh	Motorciklo
Tééhoołtsódii	Amfibia hipopotamo
Séí	Sablo
Naakaii Łizhiní Bikéyahdę́ę́ʼ náshdóítsoh łikizhígíí	Leopardo
Déélgééd	Rinoceredoj
Beeʼeldííl Dahsinil	Albuquerque (Nov-Meksiko)
Hashkʼaan dootłʼizhí (babáayah)	Papajo
Chʼil łigaii (atʼééké bijish)	Blanka brasiko
Náshdóítsoh	Pumo
Ásáí dinéʼiʼ	Araboj
Deeteel	Alko
Shádiʼááhdę́ę́ʼ náshdóítsoh łikizhígíí	Jaguaro
Lókʼaatsoh	Bambuo
Káango (Ałtsʼáʼáztiin)	Kongo
Kʼaiʼ	Saliko
Shash bizaʼazis hólóní	Koalo
Náshdóí kʼos bee naashchʼąąʼígíí	Nebula neofeliso
Shashtsoh	Bruna urso
Łéʼétsoh	Rato
Akʼáán	Faruno
Mágítsoh	Gorilo
Bitsįʼ yishtłizhii	Indianoj
Chʼil akʼahí	Avokado
Neeshchʼííłbáhí	Ternukso
Dzidzétsoh díkʼǫ́ǫzhii	Abrikotarbo
Naʼashǫ́ʼii łahgo ánééhé	Ĥameleono
Yootó	Santa Fe (Nov-Meksiko)
Łééchąąłgaii	Angla leporhundo
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ łééchąąʼí ałchiní	Dingo
Chʼééhjiyáán	Akvomelono
Teide	Tejdo
Naʼastsʼǫǫsí	Muso (besto)
Hakʼaz bįįh	Boaco
Chʼosh doo yitʼínii	Mikroorganismo
Táshchozhii	Hirundo
