Africa	Afriko
Lingua Esperantica	Esperanto
Canis	Hundo
Britanniarum Regnum	Unuiĝinta Reĝlando
Feles	Hejma kato
Res publica popularis Sinarum	Ĉina Popola Respubliko
Lingua Francogallica	Franca lingvo
Victionarium	Vikivortaro
Piscis	Fiŝoj
Ethanol	Etanolo
Brasilia	Brazilo
Alcohol	Alkoholo
Franciscus Hollande	François Hollande
Russia	Rusio
Cetacea	Cetacoj
Fibra optica	Optika fibro
Isuria	Jorkŝiro
Quadrum	Kvadrato (geometrio)
Mare	Maro
Pontus Euxinus	Nigra Maro
Numerus pi	Pi (nombro)
Pi (littera Graeca)	Pio (litero)
Vici	Vikio
Torontum	Toronto
Alabama	Alabamo
Paulopolis	San-Paŭlo (urbo)
Sanctus Paulus (provincia)	San-Paŭlo
Quebecum	Kebekio
Placenta Neapolitana	Pico
Vicimedia	Fondaĵo Vikimedio
Iacobus Wales	Jimmy Wales
Germania	Germanio
Ruthenia Alba	Belorusio
Laurentius Sanger	Larry Sanger
Hymnus Mameli	Il Canto degli Italiani
Lingua Theodisca	Germana lingvo
Islandia	Islando
Deus	Dio
Estonia	Estonio
David Cameron	David Cameron
Saturnus (planeta)	Saturno (planedo)
Socolata	Ĉokolado
Cerasus (pomum)	Ĉerizo
Aëroplanum	Aviadilo
Bellum	Milito
Unus	1 (nombro)
Duo	2 (nombro)
Tres	3 (nombro)
Quattuor	4 (nombro)
Quinque	5 (nombro)
0	Nulo
Infinitas	Senfineco
Stephanus Harper	Stephen Harper
Georgius W. Bush	George W. Bush
Rectangulum	Ortangulo
Lettonia	Latvio
Ucraina	Ukrainio
Cechia	Ĉeĥio
Slovacia	Slovakio
Slovenia	Slovenio
Vilna	Vilno
Res publica Moldavica	Moldava Respubliko
Romania	Rumanio
Bulgaria	Bulgario
Roma	Romo
Res publica Macedonica	Respubliko Makedonio
Albania	Albanio
Groenlandia	Gronlando
Croatia	Kroatio
Bosnia et Herzegovina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Atropatene (res publica)	Azerbajĝano
Andorra	Andoro
Cyprus	Kipro
Georgia	Kartvelio
Wallonia	Valonio
Kazachstania	Kazaĥio
Melita (res publica)	Malto
Flandria	Flandrio
Principatus Monoeci	Monako
Mons Niger	Montenegro
Civitas Vaticana	Vatikano
Res publica Sancti Marini	San-Marino
Bruxellae	Bruselo
Regio Bruxellana	Brusela Ĉefurba Regiono
Cuba	Kubo
Beliza	Belizo
Turris Eiffelia	Eiffel-Turo
Barbata	Barbado
Volkswagen	Volkswagen
Claviatura	Komputila klavaro
Java (lingua programmandi)	Java (programlingvo)
Indonesia	Indonezio
Wolfgangus Amadeus Mozart	Wolfgang Amadeus Mozart
Ludovicus van Beethoven	Ludwig van Beethoven
Lingua Turcica	Turka lingvo
Africa Australis	Sud-Afriko
Ioannes Franciscus Champollio	Jean-François Champollion
Linkin Park	Linkin Park
Algerium	Alĝerio
Vicifons	Vikifontaro
Uzbecia	Uzbekujo
Posnania	Poznano
Lithopolis (Uzbecia)	Taŝkento
Varsovia	Varsovio
Ila insula	Islay
Cantus Eurovisionis Certamen	Eŭrovido-Kantokonkurso
Mutina	Modeno
Vischium	Viskio
Vinum	Vino
Aqua	Akvo
Condate (Carantonus)	Cognac
Lignum	Ligno
Turones	Tours
Televisio	Televido
Sexus	Sekso
Pornographia	Pornografio
Lingua Islandica	Islanda lingvo
Claudius Monet	Claude Monet
Didacus Velázquez	Diego Velázquez
Chilia	Ĉilio
El Greco	El Greco
Iesus	Jesuo Kristo
Elvis Presley	Elvis Presley
Sebastianus Piñera	Sebastián Piñera
Galilaeus Galilaei	Galilejo
Mercurius (planeta)	Merkuro (planedo)
Historia	Historio
Coemeterium Père Lachaise	Tombejo Père-Lachaise
Apple Inc.	Apple
Venus (planeta)	Venuso (planedo)
Lingua	Lingvo
Amor	Amo
Dictatura	Diktatoreco
Galaxias	Galaksio
Iuppiter (planeta)	Jupitero (planedo)
Michaela Bachelet	Michelle Bachelet
Via lactea	Lakta vojo
Immanis diruptio	Praeksplodo
Uranus (planeta)	Urano (planedo)
Britannia Minor	Bretonio
Vicipaedia Anglica	Anglalingva Vikipedio
Nicolaus Sarkozy	Nicolas Sarkozy
Ricardus Lagos	Ricardo Lagos
Neptunus (planeta)	Neptuno (planedo)
Astronomia	Astronomio
Singapura	Singapuro
Scientia (ratio)	Scienco
Cosmologia	Kosmologio
Pluto (planetula)	Plutono
Mons Regius	Montrealo
Libera programmatura	Libera programaro
Coriosopitum	Quimper
Flexia	La Flèche
Tempus futurum	Estonteco
Maria (mater Iesu)	Maria (patrino de Jesuo)
Ludovicus IX (rex Francorum)	Ludoviko la 9-a (Francio)
Lichtenstenum	Liĥtenŝtejno
Ars athletica	Sporto
Cantabrigia	Kembriĝo (Britio)
Adolphus Hitler	Adolf Hitler
Facebook	Facebook
Wikileaks	WikiLeaks
Iulianus Assange	Julian Assange
Primum bellum mundanum	Unua mondmilito
Secundum bellum mundanum	Dua mondmilito
Colonia Agrippina	Kolonjo
Corruptio	Korupto
Vicilibri	Vikilibroj
Augustus Pinochet	Augusto Pinochet
Vicicitatio	Vikicitaro
Vodca	Vodko
Horologium	Horloĝo
Ubuntu (systema internum)	Ubuntu (linukso)
Scupi	Skopjo
Civitas Gdinensis	Gdynia
Linux	Linukso
Robertus Dylan	Bob Dylan
Stettinum	Szczecin
Mathematica	Matematiko
U2	U2
Lingua Latina	Latina lingvo
Baharina	Barejno
Armenia	Armenio
Scriptura cuneiformis	Kojnoskribo
Serbia	Serbio
Luna	Luno
Constantinopolis	Istanbulo
Australia	Aŭstralio
Robertus Marley	Bob Marley
Carolus Sagan	Carl Sagan
Nomisma Quadrangulum a Pioneer	Tabulo de la kosmosondiloj Pioneer
Physica	Fiziko
Argentina	Argentino
Silbus Gomerensis	Silbo
Telecommunicatio	Telekomunikado
Peruvia	Peruo
Biologia	Biologio
Res volans ignota	Nifo
Respublica Popularis Democratica Coreana	Nord-Koreio
Cambosia	Kamboĝo
Iura animalium	Bestaj rajtoj
Zona Kuiperi	Kujper-zono
Alcoranus	Korano
Dinosauria	Dinosaŭro
Zoologia	Bestoscienco
Religio Islamica	Islamo
Pyrus	Pirarbo
Bibliotheca Alexandrina	Librejo de Aleksandrio
Aemona	Ljubljano
Salvator Allende	Salvador Allende
Botanice	Plantoscienco
Ich bin ein Berliner	Ich bin ein Berliner
Lechus Wałęsa	Lech Wałęsa
Rota	Rado
Encyclopédie	Encyclopédie ou dictionnaire raisonné des sciences, des arts et des métiers
Dionysius Diderotus	Denis Diderot
Georgius Brassens	Georges Brassens
Mens	Menso
Pax	Paco
Encyclopaedia Britannica	Encyclopaedia Britannica
Lugdunum	Liono
Pinciacum	Poissy
Unio Europaea	Eŭropa Unio
Philippopolis	Plovdiv
Internet Archive	Internet Archive
Star Wars	Star Wars
Rhodanus et Alpes	Rodano-Alpoj
Tela totius terrae	TTT
Mulier	Virino
Serdica	Sofio
Aquae ductus	Akvedukto
Ñ	Ñ
Dominus Quixotus a Manica	Kiĥoto
Poësis	Poezio
Virus informaticum	Komputviruso
Mediolanum	Milano
Memoria	Memoro
Arthurus Rimbaud	Arthur Rimbaud
Augusta Taurinorum	Torino
Faeces	Fekaĵo
Anus (anatomia)	Anuso
Axilla	Akselo
Limon	Citrono
Carolus Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Musa (fructus)	Banano
Aemilius Zola	Émile Zola
666	666
Flos	Floro
Googol	Guglo
Googolplex	Gugloplekso
Fossa Mariana	Mariana Fosego
Vladimirus Vysockij	Vladimir Visockij
Everestius mons	Ĉomolungmo
Anatomia	Anatomio
Urbs	Urbo
Napoleo I (imperator Franciae)	Napoleono Bonaparte
Olympus mons (Mars)	Olympus Mons
Physiologia	Fiziologio
Stella	Stelo
Vesuvius	Vezuvio
Sol	Suno
Caelum	Ĉielo
Ludovicus Pasteur	Louis Pasteur
Annus luce mensus	Lumjaro
Oppidulum	Vilaĝo
Victor Hugo	Victor Hugo
Oceania	Oceanio
Iosephus Garibaldi	Giuseppe Garibaldi
Urbs Vetus	Orvieto
Ludus gymnicus campestris	Atletiko
Censura	Cenzuro
Systema solare	Sunsistemo
Balticum mare	Balta Maro
Tergeste	Triesto
Vistula	Vistulo
Campi Elysii (via)	Avenuo de la Elizeaj Kampoj
Viadrus	Odro
Dens	Dento
Hydrogenium	Hidrogeno
Helium	Heliumo
Infernus	Infero
Vicimedia Communia	Vikimedia Komunejo
Angela Merkel	Angela Merkel
Lithium	Litio
Beryllium	Berilio
Megaphonum	Laŭtparolilo
Liber	Libro
Dies	Tago
Timoria Orientalis	Orienta Timoro
Nox	Nokto
Annus	Jaro
Saeculum	Jarcento
Lodzia	Lodzo
Canegratum	Canegrate
Rupes Alba	Blanka Monto
Rhenus	Rejno
Asloa	Oslo
Bonna	Bonn
Sollemnitas Omnium Sanctorum	Ĉiuj Sanktuloj
Katovicum	Katowice
Gurges ater	Nigra truo
Ludovicus Camonius	Luís Vaz de Camões
Ceres (planetula)	Cereso
Olisipo	Lisbono
Resovia	Rzeszów
Haumea (planetula)	Haŭmeo
Rhodanus	Rodano
Makemake (planetula)	Makemako (nanoplanedo)
Michael Bloomberg	Michael Bloomberg
Actus sexuales	Seksumado
Eris (planetula)	Eriso
Dubai	Dubajo
Leonillus Messi	Lionel Messi
Patavium	Padovo
Borium	Boro
Nicolaus Copernicus	Koperniko
Versaliae	Versailles
Ludoviciburgum	Ludwigsburg
Carbonium	Karbono
Alexander Del Piero	Alessandro del Piero
Rha	Volgo
Nitrogenium	Nitrogeno
Bergomum	Bergamo
Oxygenium	Oksigeno
FC Internazionale Milano	Inter Milano
Ioannes Moulin	Jean Moulin
Neil Young	Neil Young
Planeta	Planedo
Cleopatra VII (regina Aegypti)	Kleopatra
Musica	Muziko
Venetiae	Venecio
Naruto	Naruto (mangao)
Padus	Pado
Neva	Neva
Thermometrum	Termometro
Condate Redonum	Rennes
Insula (Francia)	Lille
Moscua	Moskvo
Fluor	Fluoro
Lingua Italiana	Itala lingvo
Neon	Neono
Chihuahua	Chihuahua
Petropolis	Sankt-Peterburgo
Tzadia	Ĉado
Natrium	Natrio
Septentrio (plaga)	Nordo
Magnesium	Magnezio
Neon Genesis Evangelion	Neon Genesis Evangelion
Aluminium	Aluminio
Nova Zelandia	Nov-Zelando
Meridies	Sudo
India	Barato
Silicium	Silicio
Francium	Franciumo
Tuvalu	Tuvalo
One Piece	One Piece
Phosphorus	Fosforo
Andreas Maria Ampère	André-Marie Ampère
Prosa	Prozo
Ferrum	Fero
Tonga	Tongo
Occidens	Okcidento
Alexander Volta	Alessandro Volta
Sulphur	Sulfuro
Samoa	Samoo
Oriens	Oriento
Insulae Salomonis	Salomonoj
Vanuatu	Vanuatuo
Molière	Molière
Chlorum	Kloro
Delphi (urbs Bataviae)	Delft
Papua Nova Guinea	Papuo-Nov-Gvineo
Gulielmus Shakesperius	William Shakespeare
Fabula	Fablo
Hollandia Australis	Suda Holando
Belavia	Palaŭo
Argon	Argono
Nauru	Nauro
Mozilla Firefox	Mozilla Firefox
Hollandia Septentrionalis	Norda Holando
Civitates Foederatae Micronesiae	Federacio de Mikronezio
Kalium	Kalio
Zelandia	Zelando
Calcium	Kalcio
Flevolandia	Flevolando
Plumbum	Plumbo
Insulae Marsalienses	Marŝala Insularo
Kiribati	Kiribato
Mongolia	Mongolio
Viti	Fiĝioj
Scandium	Skandio
Stevie Wonder	Stevie Wonder
Hailprunna	Hajlbrono
Titanium	Titano (elemento)
Venetiola	Venezuelo
Scacci	Ŝako
Cingischam	Ĝingis-Ĥano
Vanadium	Vanado
Cenomannica	Majno
Chromium	Kromo
Equus caballus	Ĉevalo
Amstelodamum	Amsterdamo
Arma	Armilo
Animalia	Bestoj
Surinamia	Surinamo
Manganum	Mangano
Paraquaria	Paragvajo
Guiana	Gujano
Ars	Arto
Aequatoria	Ekvadoro
Rhenium	Renio
Columbia	Kolombio
Cobaltum	Kobalto
Ioannes Racine	Jean Racine
Wolframium	Volframo
Niccolum	Nikelo
Fragaria	Frago
Petrus Corneille	Pierre Corneille
Buddhismus	Budhismo
Groninga (urbs)	Groningen (urbo)
Bolivia	Bolivio
Osmium	Osmio
Groninga (provincia)	Groningen (provinco)
Cuprum	Kupro
Trinitas et Tabacum	Trinidado kaj Tobago
Plantae	Plantoj
Sanctus Vincentius et Granatinae	Sankta Vincento kaj Grenadinoj
Zincum	Zinko
Nova Hantonia	Nov-Hampŝiro
Sancta Lucia (civitas)	Sankta Lucio
Leonardus Vincius	Leonardo da Vinci
Sanctus Christophorus et Nives	Sankta-Kito kaj Neviso
Fungi	Fungoj
Darius Fo	Dario Fo
Iamaica	Jamajko
Stephanus Mallarmé	Stéphane Mallarmé
Granata (civitas Caribica)	Grenado (lando)
Frisia (provincia)	Frislando
Massachusetta	Masaĉuseco
Drenthia	Drenthe
Transisalania	Overijssel
Guatimalia	Gvatemalo
Geldria	Gelderland
Traiectum ad Rhenum (provincia)	Utrecht (provinco)
Insulae Bahamenses	Bahamoj
Connecticuta	Konektikuto
Gallus	Koko
Antiqua et Barbuda	Antigvo-Barbudo
Havaii (civitas)	Havajo
Honduria	Honduro
Dominica (civitas)	Dominiko
Caesarea Insula	Ĵersejo
Respublica Dominicana	Domingo
Porcus	Porko
Oceanus Arcticus	Arkta Oceano
Haiti	Haitio
Salvatoria	Salvadoro
Svolla	Zwolle
Irania	Irano
Iracum	Irako
Alasca	Alasko
Assen	Assen
Sapientia	Saĝo
Costarica	Kostariko
Israël	Israelo
Traiectum ad Rhenum	Utrecht
Panama	Panamo
Iemenia	Jemeno
Lausanna	Laŭzano
Virus biologicum	Viruso (biologio)
Lingua Polonica	Pola lingvo
Iordania	Jordanio
Nicaragua	Nikaragvo
Florida	Florido
Chirgisia	Kirgizio
Arizona	Arizono
Cuvaitum	Kuvajto
Laotia	Laoso
Libanus	Libano
Oregonia	Oregono
Insulae Maldivae	Maldivoj
America	Ameriko
Uta	Utaho
Bos taurus	Bovo
Malaesia	Malajzio
Valesia	Kantono Valezo
Michael Bulgakov	Miĥail Bulgakov
Birmania	Birmo
Nepalia	Nepalo
Omania	Omano
Pakistania	Pakistano
Iacobus Bond	James Bond (fikcia universo)
Quataria	Kataro
Teniludus	Teniso
Franciscus Villon	François Villon
Arabia Saudiana	Sauda Arabio
Andreas Tarkovskij	Andrei Arsenjewitsch Tarkowski
Taprobane	Sri-Lanko
Iosephus Stalin	Josif Stalin
Syria	Sirio
Plato	Platono
Gallium	Galiumo
Iosephus Brodskij	Iosif Brodskij
Tadzikistania	Taĝikio
Pokémon	Pokemono
Res publica Sinarum	Respubliko Ĉinio
YouTube	YouTube
Germanium	Germaniumo
Aristoteles	Aristotelo
Thailandia	Tajlando
Tramen	Trajno
Arsenicum	Arseno
Radiophonia	Radiofonio
Maria Ludovica Streep	Meryl Streep
Turcomannia	Turkmenio
Selenium	Seleno
Iridium	Iridio
Phylarchiarum Arabicarum Confoederatio	Unuiĝintaj Arabaj Emirlandoj
Bromum	Bromo
Platinum	Plateno
Vietnamia	Vjetnamio
Carolus Chaplin	Charlie Chaplin
Novosibirscum	Novosibirsko
Respublica Coreana	Sud-Koreio
Iosephus Piłsudski	Józef Piłsudski
The Simpsons	La Simpsonoj
Catharinopolis	Jekaterinburg
Krypton	Kriptono
Afgania	Afganio
Gangnam Style	Gangnam Style
Novogardia Inferior	Niĵnij Novgorod
Iohannes Raginualdus Raguel Tolkien	John Ronald Reuel Tolkien
Limonata	Limonado
Samara (Russia)	Samara (urbo)
Rubidium	Rubidio
Aurum	Oro
Omium	Omsk
Canalis Suesiensis	Sueza Kanalo
Casanum	Kazano
Bangladesha	Bangladeŝo
Bleach (manga)	Bleach
Franciscus Kafka	Franz Kafka
Celiabinsca	Ĉeljabinsk
Rostovia ad Tanaim	Rostov-na-Donu
Georgius Ludovicus Borges	Jorge Luis Borges
Ufa	Ufa
Malium	Malio
Socrates	Sokrato
Volgogradum	Volgogrado
Angolia	Angolo
Permia	Permjo
Butania	Butano
Twitter	Twitter
Crasnoiarium	Krasnojarsk
Bruneium	Brunejo
Bretia	Brač
Tanzania	Tanzanio
Hydrargyrum	Hidrargo
Rodoaldus Amundsen	Roald Amundsen
Henricus Mulisch	Harry Mulisch
Philippinae	Filipinoj
Respublica Africae Mediae	Centr-Afrika Respubliko
Thallium	Taliumo
Polus Australis	Suda poluso
Polus arcticus	Norda poluso
Isaacus Newtonus	Isaac Newton
Albertus Einstein	Albert Einstein
Strontium	Stroncio
Petrus I (imperator Brasiliae)	Petro la 1-a (Brazilo)
Yttrium	Itrio
Bisemutum	Bismuto
Gilvus	Flava
Mechanica quantica	Kvantuma mekaniko
Togum	Togolando
Donaldus Tusk	Donald Tusk
Tunesia	Tunizio
Ioannes Bardeen	John Bardeen
Regiolum	Reggiolo
Zambia	Zambio
Zimbabua	Zimbabvo
Pechinum	Pekino
Sudania Australis	Sud-Sudano
Vladivostokium	Vladivostok
Tuva	Tuvio
Beninum	Benino
Botswana	Bocvano
Vicinuntii	Vikinovaĵoj
Burkina Faso	Burkino
Burundia	Burundo
Varburgum Vestphalorum	Warburg
Insulae Comorianae	Komoroj
Respublica Congensis	Respubliko Kongo
Obius	Obo
Res publica democratica Congensis	Demokratia Respubliko Kongo
Sanctus Antonius (Texia)	San Antonio (Teksaso)
Tomium (urbs)	Tomsk
Gibutum	Ĝibutio
Memum	Memeo
Polonium	Polonio
Bavaria	Bavario
Guinea Aequinoctialis	Ekvatora Gvineo
Badenia-Virtembergia	Baden-Virtembergo
Erythraea	Eritreo
Dellium Novum	Nov-Delhio
Ioannes Paulus II	Johano Paŭlo la 2-a
Theodorus Dostoevskij	Fjodor Dostojevskij
Camtschatca	Kamĉatko
Tiphlis	Tbiliso
Andreas Sacharov	Andrej Saĥarov
Infantulus	Bebo
Astatinum	Astato
Gabon	Gabono
Mahatma Gandhi	Mohandas Karamchand Gandhi
Narratio picta	Bildliteraturo
Gambia	Gambio
Guinea	Gvineo
Guinea Bissaviensis	Gvineo Bisaŭa
Litus Eburneum	Ebur-Bordo
Cameronia	Kameruno
Marburgum (Slovenia)	Mariboro
Res publica Capitis Viridis	Kaboverdo
Celeia	Celje
Lesothum	Lesoto
Liberia	Liberio
Iustinopolis	Kapodistrio
Libya	Libio
Aquisgranum	Aachen
Goritia Nova	Nova Gorica
Madagascaria	Madagaskaro
Malavium	Malavio
Carnioburgum	Kranj
Stutgardia	Stutgarto
Mauritania	Maŭritanio
Poloni	Poloj
Mauritia	Maŭricio
Marocum	Maroko
Mozambicum	Mozambiko
Namibia	Namibio
Franciscus Preseren	France Prešeren
Res publica Nigritana	Niĝero
Nigeria	Niĝerio
Belna (Helvetia)	Bielo
Carolus Darwinius	Charles Darwin
Uganda	Ugando
Ruanda	Ruando
Zirconium	Zirkonio
Insulae Sancti Thomae et Principis	Sao-Tomeo kaj Principeo
Carolsruha	Karlsruhe
Senegalia	Senegalo
Insulae Seisellenses	Sejŝeloj
Carolus Linnaeus	Karolo Lineo
Mons Leoninus	Siera-Leono
Somalia	Somalio
Niobium	Niobio
Jawaharlal Nehru	Jawaharlal Nehru
Gaius Iulius Caesar	Julio Cezaro
Sudania	Sudano
Swazia	Svazilando
Caelestis arcus	Ĉielarko
Molybdenum	Molibdeno
Technetium	Teknecio
Hamburgum	Hamburgo
Italus Balbo	Italo Balbo
Metabolismus	Metabolo
Narendra Modi	Narendra Modi
Systema immunitatis	Imuna sistemo
Guzarata	Guĝaratio
Andiatrocus Lacus	Ontario (lago)
Evolutio	Evoluismo
Alexander Manzoni	Alessandro Manzoni
Nationes Unitae	Unuiĝintaj Nacioj
Lacus Superior	Supra Lago
Dantes Alagherius	Dante Alighieri
Geologia	Geologio
Amedebatum	Ahmadabado
Geographia	Geografio
Cor	Koro
Cerebrum	Cerbo
Cutis	Haŭto
Color	Koloro
Breaking Bad	Breaking Bad
Salernum	Salerno
Nomen substantivum	Substantivo
Praga	Prago
Ruthenium	Rutenio
Rhodium	Rodio
Caeruleus	Blua
Palladium	Paladio
Argentum	Arĝento
Cadmium	Kadmio
Star Trek	Star Trek
Limburgum (provincia Nederlandica)	Limburgo (Nederlando)
Indium	Indio
Limburgum (provincia Belgica)	Limburgo (Belgio)
Stannum	Stano
Uranium	Uranio
Stibium	Antimono
Tellurium	Teluro
Plutonium	Plutonio
Iodum	Jodo
Neptunium	Neptunio
Xenon	Ksenono
Anime	Animeo
Caesium	Cezio
Protactinium	Protaktinio
Foederatio Unitatis Planetarum	Unuiĝinta Federacio de Planedoj
Onus electricum	Elektra ŝargo
Barium (elementum)	Bario
Flandria Occidentalis	Okcidenta Flandrio
Flandria Orientalis	Orienta Flandrio
Thorium	Torio
Antverpia (provincia)	Antverpeno (provinco)
Brabantia Flandrensis	Flandra Brabanto
Hafnium	Hafnio
Actinium	Aktinio
Tantalum	Tantalo
Gulielmus Clinton	William J. Clinton
Namurcum (provincia)	Namuro (provinco)
Luxemburgum (provincia Belgica)	Luksemburgo (Belgio)
Radium	Radiumo
Hannonia	Henegovio
Radon	Radono
Lotharingia	Loreno
Alsatia	Alzaco
Ioannes Philippus Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Mercurius (deus)	Merkuro (dio)
Hector Berlioz	Louis Hector Berlioz
Arvernia	Aŭvernjo
Bustum Arsitium	Busto Arsizio
Mumbai	Mumbajo
Andhra Pradesa	Andra-Pradeŝo
Arunacala Pradesa	Arunaĉal-Pradeŝo
Asama	Asamo
Bihara	Biharo
Michigania	Miĉigano
Chattisagarha	Ĉhatisgaro
Lacus Michiganus	Miĉigano (lago)
Goa	Goao
Burgundia (regio Franciae)	Burgonjo
Hariyana	Harjano
Hamburg-Langenhorn	Hamburgo-Langenhorn
Himacala Pradesa	Himaĉal-Pradeŝo
Mauricius Ravel	Maurice Ravel
Aquitania (regio Franciae)	Akvitanio
Jammu et Casmiria	Ĝamuo kaj Kaŝmiro
Portus Dives	Porto-Riko
Jharakhanda	Ĝharkhando
Carnatica	Karnatako
Malabaria	Keralao
Madhya Pradesa	Madhja-Pradeŝo
Usain Bolt	Usain Bolt
Lemovicensis (regio Franciae)	Limoĝio
Maharastra	Maharaŝtro
Ioannes Baptista Lully	Jean-Baptiste Lully
Manipura	Manipuro
Slesvicum-Holsatia	Ŝlesvigo-Holstinio
Meghalaya	Meghalajo
Megapolis-Pomerania Citerior	Meklenburgo-Antaŭpomerio
Saxonia Inferior	Malsupra Saksio
Rhenania Septentrionalis-Vestfalia	Nordrejn-Vestfalio
Hassia	Hesio
Rhenania-Palatinatus	Rejnlando-Palatinato
Saravia	Sarlando
Saxonia	Saksio
Ioannes Lennon	John Lennon
Illinoesia	Ilinojso
Thuringia	Turingio
Saxonia-Anhaltium	Saksio-Anhalto
Dacota Septentrionalis	Norda Dakoto
Brandenburgum	Brandenburgio
Urbs Hanseatica Brema	Libera hansa urbo Bremeno
Langobardia	Lombardujo
Dacota Meridiana	Suda Dakoto
Montana	Montano
Vyomina	Vajomingo
Pedemontium	Piemonto
Hierosolyma	Jerusalemo
Georgius Napolitano	Giorgio Napolitano
Idahum	Idaho
Vallis Augustana	Aosta Valo
Vasingtonia	Vaŝingtonio
Carolus Azelius Ciampi	Carlo Azeglio Ciampi
Bruce Springsteen	Bruce Springsteen
Rutherfordium	Ruterfordio
Nivata	Nevado
Anscharius Aloisius Scalfaro	Oscar Luigi Scalfaro
Tanais	Don (rivero)
Franciscus Cossiga	Francesco Cossiga
Dubnium	Dubnio
Alexander Pertini	Alessandro Pertini
Seaborgium	Seborgio
Ioannes Leone	Giovanni Leone
Tridentinum-Athesia Superior/Tirolis Meridionalis	Trentino-Alto Adige
Iosephus Saragat	Giuseppe Saragat
Oceanus Indicus	Hinda Oceano
Ioannes Gronchi	Giovanni Gronchi
Aloisius Einaudi	Luigi Einaudi
Venetia (regio)	Veneto
Henricus De Nicola	Enrico de Nicola
Kosovia	Kosovo
Mare Caribaeum	Kariba Maro
Bohrium	Borio
Forum Iulii-Venetia Iulia	Friulo-Venecio Julia
Hassium	Hasio
Ban Gi-mun	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligurio
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitnerium	Mejtnerio
Curtius Waldheim	Kurt Waldheim
Coloratum	Koloradio
Aemilia-Romania	Emilio-Romanjo
Coloratum Flumen	Kolorado (rivero)
Darmstadtium	Darmŝtatio
Dag Hammarskjöld	Dag Hammarskjöld
Fridericus Chopin	Frédéric Chopin
Roentgenium	Rentgenio
Tuscia	Toskanio
Leonardus Cohen	Leonard Cohen
Copernicium	Kopernicio
Marchia Anconitana	Markio (Italio)
Umbria	Umbrio
Categoria:Omnia	Kategorio:Ĉio
Latium	Latio
Dolomiani montes	Dolomitoj
Aprutium	Abruco
Apenninus	Apeninoj
Alpes	Alpoj
Iansenismus	Jansenismo
