Afraga	Afriko
Sileagan	Silicio
Tubhalu	Tuvalo
Rosg	Prozo
Iarann	Fero
Tonga	Tongo
Samoa (Dùthaich)	Samoo
Na h-Eileanan Sholaimh	Salomonoj
Bhanuatu	Vanuatuo
Delft	Delft
Gini Nuadh Phaputhach	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Zuid-Holland	Suda Holando
Palau	Palaŭo
Nauru	Nauro
Firefox	Mozilla Firefox
Noord-Holland	Norda Holando
Na Meanbh Eileanan	Federacio de Mikronezio
Zeeland	Zelando
Flevoland	Flevolando
Na h-Eileanan Mharshall	Marŝala Insularo
Kiribati	Kiribato
Mongòilia	Mongolio
Fìdi	Fiĝioj
A' Bheiniseala	Venezuelo
Tàileasg	Ŝako
Maine	Majno
Each	Ĉevalo
Amsterdam	Amsterdamo
Ball-airm	Armilo
Beathach	Bestoj
Suranam	Surinamo
Paraguaidh	Paragvajo
Guiana	Gujano
Ealain	Arto
Eacuador	Ekvadoro
Coloimbia	Kolombio
Bùdachas	Budhismo
Groningen	Groningen (urbo)
Boilibhia	Bolivio
Groningen (Roinn)	Groningen (provinco)
Copar	Kupro
Trianaid agus Tobago	Trinidado kaj Tobago
Lus	Plantoj
Naomh Bhionsant agus Eileanan Greanadach	Sankta Vincento kaj Grenadinoj
Hampshire Nuadh	Nov-Hampŝiro
Naomh Lùisia	Sankta Lucio
Leonardo Da Vinci	Leonardo da Vinci
Naomh Crìstean agus Nibheis	Sankta-Kito kaj Neviso
Fungas	Fungoj
Dario Fo	Dario Fo
Iaimeuca	Jamajko
Greanada	Grenado (lando)
Fryslân	Frislando
Massachusetts	Masaĉuseco
Drenthe	Drenthe
Overijssel	Overijssel
Guatamala	Gvatemalo
Gelderland	Gelderland
Utrecht (Roinn)	Utrecht (provinco)
Na h-Eileanan Bhathama	Bahamoj
Connecticut	Konektikuto
Cearc	Koko
Antigua agus Barbuda	Antigvo-Barbudo
Hawaii	Havajo
Hondùras	Honduro
Doiminicia	Dominiko
Jersey	Ĵersejo
Poblachd Dhoiminicia	Domingo
Muc	Porko
Cuan Argtach	Arkta Oceano
Haiti	Haitio
El Salbhador	Salvadoro
Zwolle	Zwolle
Ioràn	Irano
Ioràc	Irako
Alasca	Alasko
Assen	Assen
Costa Rica	Kostariko
Iosrael	Israelo
Utrecht	Utrecht
Panama	Panamo
Iemen	Jemeno
Lausanne	Laŭzano
Pòlais	Pola lingvo
Iòrdan (dùthaich)	Jordanio
Niocaragua	Nikaragvo
Florida	Florido
Cìorgastan	Kirgizio
Arizona	Arizono
Cubhait	Kuvajto
Làthos	Laoso
Leabanon	Libano
Oregon	Oregono
Na h-Eileanan Mhaladaibh	Maldivoj
Na h-Aimearagan	Ameriko
Utah	Utaho
Bò	Bovo
Malaidhsia	Malajzio
Valais (Canton)	Kantono Valezo
Mianmar	Birmo
Neapàl	Nepalo
Omàn	Omano
Pagastàn	Pakistano
Catar	Kataro
Aràibia nan Sabhd	Sauda Arabio
Sri Lanca	Sri-Lanko
Iosif Stalin	Josif Stalin
Siria	Sirio
Platon	Platono
Joseph Brodsky	Iosif Brodskij
Taidigeastàn	Taĝikio
Poblachd na Sìne	Respubliko Ĉinio
Aristoteles	Aristotelo
Dùthaich nan Tàidh	Tajlando
Trèana	Trajno
Rèidio	Radiofonio
Turcmanastàn	Turkmenio
Na h-Iomaratan Arabach Aonaichte	Unuiĝintaj Arabaj Emirlandoj
Bhiet-Nam	Vjetnamio
Charlie Chaplin	Charlie Chaplin
Coirèa a Deas	Sud-Koreio
Afganastan	Afganio
J.R.R. Tolkien	John Ronald Reuel Tolkien
Òr	Oro
Bangladais	Bangladeŝo
Franz Kafka	Franz Kafka
Màili	Malio
Sokrates	Sokrato
Angola	Angolo
Butàn	Butano
Brùnaigh	Brunejo
Tansania	Tanzanio
Roald Amundsen	Roald Amundsen
Na h-Eileanan Filipineach	Filipinoj
Poblachd Meadhan Afraga	Centr-Afrika Respubliko
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Tògo	Togolando
Tuinisia	Tunizio
Saimbia	Zambio
Siombabue	Zimbabvo
Beijing	Pekino
Sudàn a Deas	Sud-Sudano
Beinin	Benino
Botsuana	Bocvano
Buirciona Faso	Burkino
Burundaidh	Burundo
Na h-Eileanan Chomoro	Komoroj
A' Chongo	Respubliko Kongo
Poblachd Dheamocrach na Congo	Demokratia Respubliko Kongo
San Antonio, Texas	San Antonio (Teksaso)
Diobùtaidh	Ĝibutio
Bayern	Bavario
Gini Mheadhan-Chriosach	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Eartra	Eritreo
New Delhi	Nov-Delhio
Pàpa Iain Pòl II	Johano Paŭlo la 2-a
Amersfoort	Amersforto
Tbilisi	Tbiliso
Naoidhean	Bebo
Gabon	Gabono
Pàipear-èibhinn	Bildliteraturo
A' Ghaimbia	Gambio
Gini	Gvineo
Gini-Bissau	Gvineo Bisaŭa
Costa Ìbhri	Ebur-Bordo
Camarun	Kameruno
Cape Verde	Kaboverdo
Leasoto	Lesoto
Libèiria	Liberio
Libia	Libio
Aachen	Aachen
Madagascar	Madagaskaro
Malabhaidh	Malavio
Stuttgart	Stutgarto
Moratainia	Maŭritanio
Na h-Eileanan Mhoiriseas	Maŭricio
Maroco	Maroko
Mòsaimbic	Mozambiko
Naimibia	Namibio
France Prešeren	France Prešeren
Nìgeir	Niĝero
Nìgeiria	Niĝerio
Biel/Bienne	Bielo
Charles Darwin	Charles Darwin
Uganda	Ugando
Rubhanda	Ruando
São Tomé agus Príncipe	Sao-Tomeo kaj Principeo
Karlsruhe	Karlsruhe
Seanagal	Senegalo
Na h-Eileanan Sheiseall	Sejŝeloj
Carl Linnaeus	Karolo Lineo
Siarra Leòmhann	Siera-Leono
Somàilia	Somalio
Iulius Caesar	Julio Cezaro
Sudan	Sudano
Dùthaich nan Suasaidh	Svazilando
Bogha-frois	Ĉielarko
Hamburg	Hamburgo
Loch Ontario	Ontario (lago)
Gnè-fhàs	Evoluismo
Loch Superior	Supra Lago
Dante Alighieri	Dante Alighieri
Geòlas	Geologio
Cruinn-eòlas	Geografio
Craiceann	Haŭto
Ainmear	Substantivo
Pràg	Prago
Airgead (meatailt)	Arĝento
Staoin	Stano
Noord-Brabant	Norda Brabanto
Bill Clinton	William J. Clinton
Lorraine	Loreno
Alsace	Alzaco
Auvergne	Aŭvernjo
Mumbai	Mumbajo
Michigan	Miĉigano
Loch Michigan	Miĉigano (lago)
Bourgogne	Burgonjo
Aquitaine	Akvitanio
Puerto Rico	Porto-Riko
Kerala	Keralao
Limousin	Limoĝio
Schleswig-Holstein	Ŝlesvigo-Holstinio
Mecklenburg-Vorpommern	Meklenburgo-Antaŭpomerio
Sagsainn Ìosail	Malsupra Saksio
Nordrhein-Westfalen	Nordrejn-Vestfalio
Hessen	Hesio
Rheinland-Pfalz	Rejnlando-Palatinato
Saarland	Sarlando
Sagsainn	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Thüringen	Turingio
Sagsainn-Anhalt	Saksio-Anhalto
Dakota a Tuath	Norda Dakoto
Brandenburg	Brandenburgio
Lombardia	Lombardujo
Dakota a Deas	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Piemonte	Piemonto
Ierusalem	Jerusalemo
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d'Aosta	Aosta Valo
Washington (stàit)	Vaŝingtonio
Bruce Springsteen	Bruce Springsteen
Nevada	Nevado
Trentino-Alto Adige/Südtirol	Trentino-Alto Adige
Cuan Innseanach	Hinda Oceano
Veneto	Veneto
Am Muir Caraibeach	Kariba Maro
Friuli-Venezia Giulia	Friulo-Venecio Julia
Kofi Annan	Kofi Annan
Liguria	Ligurio
Colorado	Koloradio
Emilia-Romagna	Emilio-Romanjo
Frédéric Chopin	Frédéric Chopin
Toscana	Toskanio
Marche	Markio (Italio)
Umbria	Umbrio
Roinn-seòrsa:Categories	Kategorio:Ĉio
Lazio	Latio
Abruzzo	Abruco
Grenoble	Grenoblo
Dàmais	Damludo
Dortmund	Dortmund
Gent	Gento (urbo)
Chicago	Ĉikago
The Beatles	The Beatles
Maastricht	Maastricht
Arnhem	Arnhem
Spàinntis	Hispana lingvo
Friedrich A. von Hayek	Friedrich August von Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Pittsburgh, Pennsylvania	Pittsburgh (Pensilvanio)
Opra	Opero
Philadelphia, Pennsylvania	Filadelfio (Pensilvanio)
Kolkata	Kolkato
Delhi	Delhio
Dhaka	Dako
Bangalore	Bengaluro
Damhan-allaidh	Araneuloj
Islamabad	Islamabado
Meas	Frukto
Muncaidh	Simio
Virginia	Virginio (ŝtato)
Virginia an Iar	Okcidenta Virginio
Matterhorn	Materhorno
Loch Huron	Lago Hurono
Eabhraig Nuadh (stàit)	Nov-Jorkio
Rhode Island	Rod-Insulo
Maryland	Marilando
Delaware	Delavaro
Vladimir Lenin	Lenin
Ohio	Ohio
Virgil	Vergilio
Pennsylvania	Pensilvanio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Jersey Nuadh	Nov-Ĵerzejo
Giobraltair	Ĝibraltaro
Fionnlannais	Finna lingvo
Indiana	Indianio
Vespasian	Vespasiano
Juventus	Juventus Football Club
Trajan	Trajano
Georgia (stàit)	Georgio
Marcus Aurelius	Marko Aŭrelio
Zagreb	Zagrebo
Campania	Kampanio
Texas	Teksaso
Molise	Molizo
Puglia	Apulio
Genova	Ĝenovo
Basilicata	Basilikato
Carolina a Tuath	Norda Karolino
Cromanachd	Herbohokeo
Carolina a Deas	Suda Karolino
Calabria	Kalabrio
Sicilia	Sicilio
Manila	Manilo
Sardainia	Sardio
Maurits Cornelis Escher	M. C. Escher
Bordeaux	Bordeaux
Buenos Aires	Bonaero
Meagsago (baile)	Meksik-urbo
Tokyo	Tokio
La Paz	La-Pazo
Barcelona	Barcelono
Anann	Ananaso
Mississippi	Misisipio
Fernão de Magalhães	Fernão de Magalhães
Mississippi (abhainn)	Misisipo (rivero)
Amar-snàmh	Banejo
Tennessee	Tenesio
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Abidjan	Abiĝano
Abu Dhabi	Abu-Dabio
Astana	Astano
Meagsago Nuadh	Nov-Meksiko
An Àithne	Ateno
Minnesota	Minesoto
Baghdad	Bagdado
Caracas	Karakaso
Àm Coitcheann Co-òrdanaichte	UTC
Wisconsin	Viskonsino
Iowa	Iovao
Nebraska	Nebrasko
Baile Guatemala	Gvatemalurbo
Kansas	Kansaso
La Habana	Havano
Hindi	Hindia lingvo
Missouri	Misurio
Louisiana	Luiziano
Kentucky	Kentukio
Arkansas	Arkansaso
Neil Armstrong	Neil Armstrong
Édith Piaf	Édith Piaf
Oklahoma	Oklahomo
An Cuan a Tuath	Norda Maro
Kiel	Kilo (urbo)
Schwerin	Schwerin
Potsdam	Potsdamo
Hànobhar	Hanovro
Düsseldorf	Duseldorfo
Mainz	Majenco
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
München	Munkeno
Erfurt	Erfurto
Dresden	Dresdeno
Magdeburg	Magdeburgo
Innsbruck	Innsbruck
Vienna	Vieno
Copenhagen	Kopenhago
Stockholm	Stokholmo
Helsinki	Helsinko
Baile Átha Cliath	Dublino
Reykjavík	Rejkjaviko
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Talino
Riga	Rigo
Bratislava	Bratislavo
Budapest	Budapeŝto
Gdańsk	Gdańsk
Frankfurt	Frankfurto ĉe Majno
Wrocław	Vroclavo
Lucsamburg (baile)	Luksemburgo
Vaduz	Vaduzo
Bìoball	Biblio
San Marino (baile)	San-Marino (urbo)
Phnom Penh	Pnom-Peno
Ho Chi Minh (baile)	Ho-Ĉi-Min-urbo
Hanoi	Hanojo
Eaglais Fhìor Ìosa	Vera Eklezio de Jesuo
Beurla	Angla lingvo
Bangkok	Bankoko
Andorra la Vella	Andoro Malnova
Kuala Lumpur	Kuala-Lumpuro
Taipei	Tajpeo
Đồng Hới	Dong Hoi
Concepción	Koncepciono
Bologna	Bolonjo
Kiev	Kievo
Ontario	Ontario
Ottawa	Otavo
Juba	Ĵubo
Manitoba	Manitobo
Alberta	Alberto
Alba Nuadh	Nov-Skotio
Yerevan	Erevano
Końskowola	Końskowola
Dar es Salaam	Daresalamo
Khartoum	Ĥartumo
Brunswick Nuadh	Nov-Brunsviko
Columbia Bhreatannach	Brita Kolumbio
Eilean Eòin	Insulo de Princo Eduardo
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskaĉevano
2012	2012
2011	2011
2010	2010
2009	2009
Dà-ogsaid gualain	Karbona dioksido
2013	2013
2014	2014
2015	2015
An Talamh Ùr is Labrador	Novlando kaj Labradoro
2008	2008
Roinnean an Iar Thuath	Nordokcidentaj Teritorioj
Roinn an Iukon	Jukonio
2004	2004
2005	2005
2006	2006
Nunavut	Nunavuto
2007	2007
Iqaluit	Ikaluito
1900	1900
1901	1901
Livius	Tito Livio
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florenco
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
Whitehorse	Whitehorse
1992	1992
Yellowknife	Yellowknife
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Baile Naoimh Eòin, an Talamh Ùr	St. John's
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Nurenbergo
1999	1999
1917	1917
1918	1918
Biadh	Manĝaĵo
Edmonton	Edmontono
Nathair	Serpento
Bochum	Bochum
Regina, Saskatchewan	Regina
Baile Sheàrlot	Ĉarlotaŭno
Victoria, Columbia Bhreatannach	Viktorio
Winnipeg	Vinipego
Fredericton	Frederiktono
Halafacs	Halifakso
Quebec (baile)	Kebeko
1 am Faoilleach	1-a de januaro
2 am Faoilleach	2-a de januaro
1920	1920
3 am Faoilleach	3-a de januaro
1919	1919
1921	1921
1922	1922
Lund	Lund
4 am Faoilleach	4-a de januaro
1923	1923
1924	1924
Georges Pompidou	Georges Pompidou
Romulus agus Remus	Romulo kaj Remo
5 am Faoilleach	5-a de januaro
Malmö	Malmö
6 am Faoilleach	6-a de januaro
7 am Faoilleach	7-a de januaro
8 am Faoilleach	8-a de januaro
9 am Faoilleach	9-a de januaro
10 am Faoilleach	10-a de januaro
11 am Faoilleach	11-a de januaro
12 am Faoilleach	12-a de januaro
Buzz Aldrin	Buzz Aldrin
13 am Faoilleach	13-a de januaro
Birmingham	Birmingham
14 am Faoilleach	14-a de januaro
15 am Faoilleach	15-a de januaro
16 am Faoilleach	16-a de januaro
17 am Faoilleach	17-a de januaro
18 am Faoilleach	18-a de januaro
19 am Faoilleach	19-a de januaro
20 am Faoilleach	20-a de januaro
Tionndadh Gnìomhachais	Industria revolucio
21 am Faoilleach	21-a de januaro
22 am Faoilleach	22-a de januaro
23 am Faoilleach	23-a de januaro
Impireachd na Ròimhe	Romia Imperio
24 am Faoilleach	24-a de januaro
25 am Faoilleach	25-a de januaro
Minsk	Minsko
26 am Faoilleach	26-a de januaro
27 am Faoilleach	27-a de januaro
28 am Faoilleach	28-a de januaro
29 am Faoilleach	29-a de januaro
30 am Faoilleach	30-a de januaro
31 am Faoilleach	31-a de januaro
2 an Dùbhlachd	2-a de decembro
1 an Dùbhlachd	1-a de decembro
3 an Dùbhlachd	3-a de decembro
7 an Dùbhlachd	7-a de decembro
5 an Dùbhlachd	5-a de decembro
8 an Dùbhlachd	8-a de decembro
10 an Dùbhlachd	10-a de decembro
6 an Dùbhlachd	6-a de decembro
9 an Dùbhlachd	9-a de decembro
4 an Dùbhlachd	4-a de decembro
1 an Gearran	1-a de februaro
2 an Gearran	2-a de februaro
3 an Gearran	3-a de februaro
Kurów	Kurów
4 an Gearran	4-a de februaro
5 an Gearran	5-a de februaro
6 an Gearran	6-a de februaro
7 an Gearran	7-a de februaro
8 an Gearran	8-a de februaro
9 an Gearran	9-a de februaro
10 an Gearran	10-a de februaro
Ceimigeachd	Kemio
Led Zeppelin	Led Zeppelin
14 an Gearran	14-a de februaro
13 an Gearran	13-a de februaro
15 an Gearran	15-a de februaro
11 an Gearran	11-a de februaro
12 an Gearran	12-a de februaro
19 an Gearran	19-a de februaro
17 an Gearran	17-a de februaro
16 an Gearran	16-a de februaro
18 an Gearran	18-a de februaro
20 an Gearran	20-a de februaro
21 an Gearran	21-a de februaro
22 an Gearran	22-a de februaro
23 an Gearran	23-a de februaro
24 an Gearran	24-a de februaro
25 an Gearran	25-a de februaro
26 an Gearran	26-a de februaro
27	27
27 an Gearran	27-a de februaro
28 an Gearran	28-a de februaro
11 an Dùbhlachd	11-a de decembro
29 an Gearran	29-a de februaro
12 an Dùbhlachd	12-a de decembro
13 an Dùbhlachd	13-a de decembro
14 an Dùbhlachd	14-a de decembro
15 an Dùbhlachd	15-a de decembro
2 am Màrt	2-a de marto
3 am Màrt	3-a de marto
5 am Màrt	5-a de marto
1 am Màrt	1-a de marto
7 am Màrt	7-a de marto
8 am Màrt	8-a de marto
4 am Màrt	4-a de marto
10 am Màrt	10-a de marto
11 am Màrt	11-a de marto
6 am Màrt	6-a de marto
13 am Màrt	13-a de marto
9 am Màrt	9-a de marto
12 am Màrt	12-a de marto
15 am Màrt	15-a de marto
14 am Màrt	14-a de marto
16 an Dùbhlachd	16-a de decembro
17 an Dùbhlachd	17-a de decembro
16 am Màrt	16-a de marto
17 am Màrt	17-a de marto
18 am Màrt	18-a de marto
19 am Màrt	19-a de marto
1989	1989
1988	1988
20 am Màrt	20-a de marto
1987	1987
1986	1986
1985	1985
1984	1984
21 am Màrt	21-a de marto
1983	1983
22 am Màrt	22-a de marto
1982	1982
1981	1981
18 an Dùbhlachd	18-a de decembro
1980	1980
23 am Màrt	23-a de marto
Mogadishu	Mogadiŝo
19 an Dùbhlachd	19-a de decembro
24 am Màrt	24-a de marto
25 am Màrt	25-a de marto
20 an Dùbhlachd	20-a de decembro
26 am Màrt	26-a de marto
27 am Màrt	27-a de marto
28 am Màrt	28-a de marto
29 am Màrt	29-a de marto
30 am Màrt	30-a de marto
31 am Màrt	31-a de marto
Nassau	Nasaŭo (Bahamoj)
Ṣan'ā'	Sanao
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Pàpa Beinidict XVI	Benedikto la 16-a
15 an Giblean	15-a de aprilo
13 an Giblean	13-a de aprilo
12 an Giblean	12-a de aprilo
14 an Giblean	14-a de aprilo
11 an Giblean	11-a de aprilo
10 an Giblean	10-a de aprilo
8 an Giblean	8-a de aprilo
9 an Giblean	9-a de aprilo
7 an Giblean	7-a de aprilo
6 an Giblean	6-a de aprilo
5 an Giblean	5-a de aprilo
4 an Giblean	4-a de aprilo
3 an Giblean	3-a de aprilo
1 an Giblean	1-a de aprilo
2 an Giblean	2-a de aprilo
16 an Giblean	16-a de aprilo
17 an Giblean	17-a de aprilo
18 an Giblean	18-a de aprilo
19 an Giblean	19-a de aprilo
20 an Giblean	20-a de aprilo
21 an Giblean	21-a de aprilo
22 an Giblean	22-a de aprilo
23 an Giblean	23-a de aprilo
24 an Giblean	24-a de aprilo
25 an Giblean	25-a de aprilo
26 an Giblean	26-a de aprilo
27 an Giblean	27-a de aprilo
28 an Giblean	28-a de aprilo
29 an Giblean	29-a de aprilo
30 an Giblean	30-a de aprilo
Saideal (reul-eòlas)	Natura satelito
1 an Cèitean	1-a de majo
2 an Cèitean	2-a de majo
3 an Cèitean	3-a de majo
4 an Cèitean	4-a de majo
5 an Cèitean	5-a de majo
