Áfríkà	Afriko
Fanuatu	Vanuatuo
Molière	Molière
Klorínì	Kloro
Papua Guinea Titun	Papuo-Nov-Gvineo
William Shakespeare	William Shakespeare
Páláù	Palaŭo
Árgọ̀nù	Argono
Nàúrù	Nauro
Àwọn Ìpínlẹ̀ Àṣepapọ̀ ilẹ̀ Mikronésíà	Federacio de Mikronezio
Pòtásíọ̀mù	Kalio
Calcium	Kalcio
Òjé	Plumbo
Àwọn Erékùṣù Marshall	Marŝala Insularo
Kìrìbátì	Kiribato
Mòngólíà	Mongolio
Fíjì	Fiĝioj
Scandium	Skandio
Stevie Wonder	Stevie Wonder
Titaniomu	Titano (elemento)
Fenesuela	Venezuelo
Banadiomu	Vanado
Maine	Majno
Krómíọ̀mù	Kromo
Amsterdam	Amsterdamo
Ẹranko	Bestoj
Sùrìnámù	Surinamo
Manganisi	Mangano
Paragúáì	Paragvajo
Gùyánà	Gujano
Ọnà	Arto
Ẹ̀kùàdọ̀r	Ekvadoro
Rhenium	Renio
Kòlómbìà	Kolombio
Cobalt	Kobalto
Wolframu	Volframo
Nickel	Nikelo
Ẹ̀sìn Búddà	Budhismo
Bòlífíà	Bolivio
Osmium	Osmio
Bàbà	Kupro
Trínídád àti Tòbágò	Trinidado kaj Tobago
Ọ̀gbìn	Plantoj
Saint Vincent àti àwọn Grẹnadínì	Sankta Vincento kaj Grenadinoj
Zinc	Zinko
New Hampshire	Nov-Hampŝiro
Lùsíà Mímọ́	Sankta Lucio
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts àti Nevis	Sankta-Kito kaj Neviso
Èbu	Fungoj
Dario Fo	Dario Fo
Jamáíkà	Jamajko
Grẹ̀nádà	Grenado (lando)
Massachusetts	Masaĉuseco
Guatẹmálà	Gvatemalo
Àwọn Bàhámà	Bahamoj
Connecticut	Konektikuto
Ántígúà àti Bàrbúdà	Antigvo-Barbudo
Hawaii	Havajo
Họ̀ndúràs	Honduro
Dòmíníkà	Dominiko
Jersey	Ĵersejo
Orílẹ̀òmìnira Dómíníkì	Domingo
Òkun Árktìkì	Arkta Oceano
Hàítì	Haitio
El Salfador	Salvadoro
Ìránì	Irano
Irak	Irako
Alaska	Alasko
Kóstá Rikà	Kostariko
Ísráẹ́lì	Israelo
Panamá	Panamo
Yemen	Jemeno
Lausanne	Laŭzano
Èràn	Viruso (biologio)
Èdè Pólándì	Pola lingvo
Jọ́rdánì	Jordanio
Nikarágúà	Nikaragvo
Florida	Florido
Kirgistani	Kirgizio
Arizona	Arizono
Kuwaiti	Kuvajto
Láọ̀s	Laoso
Lẹ́bánọ́nì	Libano
Oregon	Oregono
Àwọn Maldive	Maldivoj
Amẹ́ríkà	Ameriko
Utah	Utaho
Malaysia	Malajzio
Myanmar	Birmo
Nepal	Nepalo
Oman	Omano
Pakístàn	Pakistano
Katar	Kataro
Tẹ́nìs	Teniso
Sáúdí Arábíà	Sauda Arabio
Sri Lanka	Sri-Lanko
Joseph Stalin	Josif Stalin
Síríà	Sirio
Plato	Platono
Gallium	Galiumo
Joseph Brodsky	Iosif Brodskij
Tajikistan	Taĝikio
Orílẹ̀-èdè Olómìnira ilẹ̀ Ṣáínà	Respubliko Ĉinio
Jẹ́rmáníọ́mù	Germaniumo
Aristotulu	Aristotelo
Tháílàndì	Tajlando
Arsenic	Arseno
Meryl Streep	Meryl Streep
Turkmẹ́nìstán	Turkmenio
Selenium	Seleno
Iridium	Iridio
Àwọn Ẹ́mírétì Árábù Aṣọ̀kan	Unuiĝintaj Arabaj Emirlandoj
Brómìnì	Bromo
Platinum	Plateno
Fiẹtnám	Vjetnamio
Kòréà Gúúsù	Sud-Koreio
Krypton	Kriptono
Afghanístàn	Afganio
J. R. R. Tolkien	John Ronald Reuel Tolkien
Rubidium	Rubidio
Wúrà	Oro
Ìladò Suez	Sueza Kanalo
Bangladẹ́shì	Bangladeŝo
Bleach (mángà)	Bleach
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Málì	Malio
Socrates	Sokrato
Àngólà	Angolo
Bhùtán	Butano
Brunei	Brunejo
Tànsáníà	Tanzanio
Fàdákàolómi	Hidrargo
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipínì	Filipinoj
Orílẹ̀-èdè Olómìnira Àrin Áfríkà	Centr-Afrika Respubliko
Thallium	Taliumo
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontium	Stroncio
Yttrium	Itrio
Bismuth	Bismuto
Tógò	Togolando
Donald Tusk	Donald Tusk
Tùnísíà	Tunizio
John Bardeen	John Bardeen
Sámbíà	Zambio
Sìmbábúè	Zimbabvo
Beijing	Pekino
Gúúsù Sudan	Sud-Sudano
Benin	Benino
Bòtswánà	Bocvano
Wikinews	Vikinovaĵoj
Bùrkínà Fasò	Burkino
Bùrúndì	Burundo
Kòmórò	Komoroj
Orílẹ̀-èdè Olómìnira ilẹ̀ Kóngò	Respubliko Kongo
Orílẹ̀-èdè Olómìnira Olóṣèlú ilẹ̀ Kóngò	Demokratia Respubliko Kongo
San Antonio	San Antonio (Teksaso)
Djìbútì	Ĝibutio
Polonium	Polonio
Bavaria	Bavario
Guinea Alágedeméjì	Ekvatora Gvineo
Baden-Württemberg	Baden-Virtembergo
Ẹritrẹ́à	Eritreo
Delhi Titun	Nov-Delhio
Pópù Jòhánù Páúlù Èkejì	Johano Paŭlo la 2-a
Fyodor Dostoyevsky	Fjodor Dostojevskij
Tbilisi	Tbiliso
Andrei Sakharov	Andrej Saĥarov
Astatínì	Astato
Gàbọ̀n	Gabono
Mohandas Karamchand Gandhi	Mohandas Karamchand Gandhi
Gámbíà	Gambio
Guinea	Gvineo
Guinea-Bissau	Gvineo Bisaŭa
Côte d'Ivoire	Ebur-Bordo
Kamẹrúùn	Kameruno
Kepu Ferde	Kaboverdo
Lèsóthò	Lesoto
Làìbéríà	Liberio
Líbyà	Libio
Madagáskàr	Madagaskaro
Màláwì	Malavio
Stuttgart	Stutgarto
Mauritáníà	Maŭritanio
Àwọn ọmọ Pólàndì	Poloj
Mọ́rísì	Maŭricio
Mòrókò	Maroko
Mòsámbìk	Mozambiko
Nàmíbíà	Namibio
Nìjẹ̀r	Niĝero
Nàìjíríà	Niĝerio
Charles Darwin	Charles Darwin
Ùgándà	Ugando
Rùwándà	Ruando
Zirconium	Zirkonio
Sao Tome àti Principe	Sao-Tomeo kaj Principeo
Sẹ̀nẹ̀gàl	Senegalo
Ṣèíhẹ́lẹ́sì	Sejŝeloj
Carl Linnaeus	Karolo Lineo
Siẹrra Léònè	Siera-Leono
Sòmálíà	Somalio
Niobium	Niobio
Jawaharlal Nehru	Jawaharlal Nehru
Juliu Késárì	Julio Cezaro
Sudan	Sudano
Swásílándì	Svazilando
Molybdenum	Molibdeno
Technetium	Teknecio
Hamburg	Hamburgo
Gujarat	Guĝaratio
Àgbájọ àwọn Orílẹ̀-èdè Aṣòkan	Unuiĝintaj Nacioj
Dante Alighieri	Dante Alighieri
Jẹ́ọ́gráfì	Geografio
Ọkàn	Koro
Prague	Prago
Ruthenium	Rutenio
Rhodium	Rodio
Palladium	Paladio
Fàdákà	Arĝento
Kadmium	Kadmio
Indium	Indio
Tánganran	Stano
Ùráníọ̀m	Uranio
Antimony	Antimono
Tellurium	Teluro
Plùtòníọ̀m	Plutonio
Iodínì	Jodo
Nẹ́ptúníọ̀m	Neptunio
Ksenon	Ksenono
Anime	Animeo
Kesium	Cezio
Protaktiníọ̀m	Protaktinio
Àdìjọ ìtanná	Elektra ŝargo
Barium	Bario
Tóríọ̀m	Torio
Hafnium	Hafnio
Àktíníọ̀m	Aktinio
Tantalum	Tantalo
Bill Clinton	William J. Clinton
Radiomu	Radiumo
Radon	Radono
Indira Gandhi	Indira Gandhi
Mumbai	Mumbajo
Andhra Pradesh	Andra-Pradeŝo
Arunachal Pradesh	Arunaĉal-Pradeŝo
Assam	Asamo
Bihar	Biharo
Michigan	Miĉigano
Chhattisgarh	Ĉhatisgaro
Goa	Goao
Haryana	Harjano
Himachal Pradesh	Himaĉal-Pradeŝo
Jammu àti Kashmir	Ĝamuo kaj Kaŝmiro
Púẹ́rtò Ríkò	Porto-Riko
Jharkhand	Ĝharkhando
Karnataka	Karnatako
Kerala	Keralao
Madhya Pradesh	Madhja-Pradeŝo
Usain Bolt	Usain Bolt
Maharashtra	Maharaŝtro
Manipur	Manipuro
Schleswig-Holstein	Ŝlesvigo-Holstinio
Meghalaya	Meghalajo
Mecklenburg-Vorpommern	Meklenburgo-Antaŭpomerio
Lower Saxony	Malsupra Saksio
Nordrhein-Westfalen	Nordrejn-Vestfalio
Hesse	Hesio
Rhineland-Palatinate	Rejnlando-Palatinato
Saarland	Sarlando
Saxony	Saksio
John Lennon	John Lennon
Illinois	Ilinojso
Thuringia	Turingio
Saxony-Anhalt	Saksio-Anhalto
Àríwá Dakota	Norda Dakoto
Brandenburg	Brandenburgio
Bremen (ìpínlẹ̀)	Libera hansa urbo Bremeno
Gúúsù Dakota	Suda Dakoto
Montana	Montano
Wyoming	Vajomingo
Jerúsálẹ́mù	Jerusalemo
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Ìpínlẹ̀ Washington	Vaŝingtonio
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordium	Ruterfordio
Nevada	Nevado
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Francesco Cossiga	Francesco Cossiga
Dubnium	Dubnio
Sandro Pertini	Alessandro Pertini
Seaborgium	Seborgio
Giovanni Leone	Giovanni Leone
Giuseppe Saragat	Giuseppe Saragat
Òkun Índíà	Hinda Oceano
Giovanni Gronchi	Giovanni Gronchi
Luigi Einaudi	Luigi Einaudi
Enrico De Nicola	Enrico de Nicola
Kósófò	Kosovo
Òkun Kàríbẹ́ánì	Kariba Maro
Bohriomu	Borio
Hassiomu	Hasio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitneriomu	Mejtnerio
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Koloradio
Darmstadtium	Darmŝtatio
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Roentgenium	Rentgenio
Kopernisiomu	Kopernicio
Ẹ̀ka:Àwọn àkóónú	Kategorio:Ĉio
Blaise Pascal	Blaise Pascal
Ṣìkágò	Ĉikago
The Beatles	The Beatles
Ununtrium	Ununtrio
Flẹ́rófíọ́mù	Flerovio
Ununpentium	Ununpentio
Livermorium	Livermorumo
Ununseptium	Ununseptio
Ununoctium	Ununoktio
Saddam Hussein	Saddam Hussein
Osama bin Laden	Usama bin Laden
Èdè Spéìn	Hispana lingvo
Friedrich Hayek	Friedrich August von Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Philadelphia	Filadelfio (Pensilvanio)
Delhi	Delhio
Dhaka	Dako
Bangalore	Bengaluro
Ìwọòrùn Bẹ̀ngál	Okcident-Bengalo
Islàmabad	Islamabado
Tripura	Tripuro
Ọ̀bọ	Simio
Firginia	Virginio (ŝtato)
Ìwọ̀orùn Firginia	Okcidenta Virginio
Ìpínlẹ̀ New York	Nov-Jorkio
Cerium	Cerio
Praseodymium	Prazeodimo
Erékùṣù Rhode	Rod-Insulo
Neodymium	Neodimo
Kòkòrò	Insekto
Maryland	Marilando
Delaware	Delavaro
Vladimir Lenin	Lenin
Europium	Eŭropio
Ohio	Ohio
Virgil	Vergilio
Niccolò Machiavelli	Makiavelo
Pennsylvania	Pensilvanio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augustus	Aŭgusto Cezaro
Microsoft Windows	Microsoft Windows
Tiberius	Tiberio
New Jersey	Nov-Ĵerzejo
Caligula	Kaligulo
Gibraltar	Ĝibraltaro
Claudius	Klaŭdio
Èdè Fínlándì	Finna lingvo
Nero	Nerono
Galba	Galbo
Indiana	Indianio
Otho	Oto
Vitellius	Vitelio
Vespasian	Vespasiano
Titu	Tito (imperiestro)
Domitian	Domiciano
Nerva	Nerva
Trajan	Trajano
Roger Federer	Roger Federer
Hadrian	Hadriano
Ìpínlẹ̀ Georgia	Georgio
Antoninus Pius	Antonino Pia
Marcus Aurelius	Marko Aŭrelio
Commodus	Komodo (imperiestro)
Zagreb	Zagrebo
Pertinax	Pertinakso
Rajasthan	Raĝastano
Texas	Teksaso
Didius Julianus	Didio Juliano
Septimius Severus	Septimo Severo
Tamil Nadu	Tamilnado
Caracalla	Karakalo
Àríwá Carolina	Norda Karolino
Gúúsù Carolina	Suda Karolino
Sicily	Sicilio
Manila	Manilo
Noynoy Aquino	Benigno Aquino la 3-a
Ìlú Quezon	Kezonurbo
Bordeaux	Bordeaux
Buenos Aires	Bonaero
Ìlú Mẹ́ksíkò	Meksik-urbo
Tokyo	Tokio
La Paz	La-Pazo
Ìpínlẹ̀ Mississippi	Misisipio
Ferdinand Magellan	Fernão de Magalhães
Uttar Pradesh	Utar-Pradeŝo
Uttarakhand	Utarakando
Mizoram	Mizoramo
Sikkim	Sikimo
Tennessee	Tenesio
Richard Wagner	Richard Wagner
Abidjan	Abiĝano
Abu Dhabi	Abu-Dabio
Astana	Astano
Ìpínlẹ̀ Titun Mẹ́ksíkò	Nov-Meksiko
Ramesses 2k	Ramseso la 2-a
Áténì	Ateno
Minnesota	Minesoto
Ramesses 3k	Ramseso la 3-a
Baghdad	Bagdado
Caracas	Karakaso
Ajọfọ̀nàkò Àsìkò Káríayé	UTC
Wisconsin	Viskonsino
Kísẹ́rò	Cicerono
Iowa	Iovao
Nebraska	Nebrasko
Ìlú Guatẹmálà	Gvatemalurbo
Kansas	Kansaso
Havana	Havano
Èdè Híndì	Hindia lingvo
Ìpínlẹ̀ Missouri	Misurio
Georg Ohm	Georg Ohm
Louisiana	Luiziano
Nagaland	Nagalando
Kentucky	Kentukio
Arkansas	Arkansaso
Neil Armstrong	Neil Armstrong
Oklahoma	Oklahomo
Odò Dánúbì	Danubo
Kiel	Kilo (urbo)
Schwerin	Schwerin
Potsdam	Potsdamo
Hanover	Hanovro
Düsseldorf	Duseldorfo
Mainz	Majenco
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Munich	Munkeno
Erfurt	Erfurto
Dresden	Dresdeno
Magdeburg	Magdeburgo
Volleyball	Flugpilkado
Fienna	Vieno
Madonna	Madonna
Copenhagen	Kopenhago
Kaliningrad Oblast	Kaliningrada provinco
Macrinus	Makrino
Stockholm	Stokholmo
Helsinki	Helsinko
Dublin	Dublino
Elagabalus	Elagabalo
Reykjavík	Rejkjaviko
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Aleksandro Severo
Tallinn	Talino
Riga	Rigo
Zanzibar	Zanzibaro
Maximinus Thrax	Maximinus Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislavo
Budapest	Budapeŝto
Gordian 1k	Gordiano la 1-a
Frankfurt	Frankfurto ĉe Majno
Pupienus	Pupieno
Lanthanum	Lantano
Gordian 2k	Gordiano la 2-a
Balbinus	Balbino
Promethium	Prometio
Gordian 3k	Gordiano la 3-a
Filip Áràbù	Filipo la araba
Samarium	Samario (kemio)
Aceh	Aceho
Decius	Decio
Gadolinium	Gadolinio
Terbium	Terbio
Luxembourg (ìlú)	Luksemburgo
Dysprosium	Disprozio
Vaduz	Vaduzo
Bíbélì Mímọ́	Biblio
Holmium	Holmio
Ìlú San Màrínò	San-Marino (urbo)
Erbium	Erbio
Phnom Penh	Pnom-Peno
Thulium	Tulio
Ytterbium	Iterbio
Lutetium	Lutecio
Hanoi	Hanojo
Ìjọ Jéésù Lótìítọ́	Vera Eklezio de Jesuo
Èdè Gẹ̀ẹ́sì	Angla lingvo
Bangkok	Bankoko
Andorra la Vella	Andoro Malnova
Kuala Lumpur	Kuala-Lumpuro
Taipei	Tajpeo
Amẹrísíọ̀m	Americio
Kùríọ̀m	Kuriumo
Concepción, Chile	Koncepciono
Bẹ́rkẹ́líọ̀m	Berkelio
Kalifọ́rníọ̀m	Kaliforniumo
Einsteiniom	Ejnŝtejnio
Fẹ́rmíọ̀m	Fermio
Mẹ̀ndẹ̀lẹ́fíọ̀m	Mendelevio
Kiev	Kievo
Nobelium	Nobelio
Lawrencium	Laŭrencio (elemento)
Ottawa	Otavo
Yerevan	Erevano
Końskowola	Końskowola
Dar es Salaam	Daresalamo
Khartoum	Ĥartumo
Formula One	Formulo 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
Kárbónì ọlọ́ksíjínìméjì	Karbona dioksido
2013	2013
2014	2014
2015	2015
Newfoundland àti Labrador	Novlando kaj Labradoro
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Valéry Giscard d'Estaing	Valéry Giscard d’Estaing
1 Oṣù Kínní	1-a de januaro
Oṣù Kínní 2	2-a de januaro
1920	1920
Oṣù Kínní 3	3-a de januaro
1919	1919
1921	1921
1922	1922
Oṣù Kínní 4	4-a de januaro
1923	1923
1924	1924
Ìgbàjá ástẹ́rọ́ìdì	Asteroida zono
Orílẹ̀-èdè Olómìnira Àpapọ̀ Sófìẹ̀tì Sósíálístì Rọ́síà	Rusia Soveta Federacia Socialisma Respubliko
Georges Pompidou	Georges Pompidou
Graphics Interchange Format	GIF
JPEG	JPEG
Oṣù Kínní 5	5-a de januaro
Oṣù Kínní 6	6-a de januaro
Ẹ̀lẹ́ktrọ́nù	Elektrono
Oṣù Kínní 7	7-a de januaro
Oṣù Kínní 8	8-a de januaro
Oṣù Kínní 9	9-a de januaro
Oṣù Kínní 10	10-a de januaro
Oṣù Kínní 11	11-a de januaro
Oṣù Kínní 12	12-a de januaro
Buzz Aldrin	Buzz Aldrin
Oṣù Kínní 13	13-a de januaro
Oṣù Kínní 14	14-a de januaro
Oṣù Kínní 15	15-a de januaro
Oṣù Kínní 16	16-a de januaro
Tom Hanks	Tom Hanks
Oṣù Kínní 17	17-a de januaro
Oṣù Kínní 18	18-a de januaro
Oṣù Kínní 19	19-a de januaro
Oṣù Kínní 20	20-a de januaro
Oṣù Kínní 21	21-a de januaro
Oṣù Kínní 22	22-a de januaro
Oṣù Kínní 23	23-a de januaro
Ilẹ̀ Ọbalúayé Rómù	Romia Imperio
