આફ્રિકા	Afriko
ચીલી	Ĉilio
ઇસુ	Jesuo Kristo
ગૅલિલિયો ગૅલિલિ	Galilejo
બુધ (ગ્રહ)	Merkuro (planedo)
ઇતિહાસ	Historio
શુક્ર (ગ્રહ)	Venuso (planedo)
ભાષા	Lingvo
પ્રેમ	Amo
આકાશગંગા	Galaksio
ગુરુ (ગ્રહ)	Jupitero (planedo)
યુરેનસ (ગ્રહ)	Urano (planedo)
નૅપ્ચ્યુન (ગ્રહ)	Neptuno (planedo)
ખગોળશાસ્ત્ર	Astronomio
સિંગાપુર	Singapuro
વિજ્ઞાન	Scienco
પ્લૂટો	Plutono
ફ્રી સૉફ્ટવૅર	Libera programaro
લીચેસ્ટેઈન	Liĥtenŝtejno
રમત-ગમત	Sporto
ફેસબુક	Facebook
જુલિયન અસાંજે	Julian Assange
બીજું વિશ્વ યુદ્ધ	Dua mondmilito
ભ્રષ્ટાચાર	Korupto
વોડકા	Vodko
ઉબુન્ટુ (ઓપરેટિંગ સિસ્ટમ)	Ubuntu (linukso)
ગણિત	Matematiko
બહેરીન	Barejno
આર્મેનિયા	Armenio
ચંદ્ર	Luno
ઑસ્ટ્રેલિયા	Aŭstralio
ભૌતિકશાસ્ત્ર	Fiziko
આર્જેન્ટીના	Argentino
પેરુ (દેશ)	Peruo
જીવવિજ્ઞાન	Biologio
અજાણી ઊડતી વસ્તુ	Nifo
ઉત્તર કોરિયા	Nord-Koreio
કમ્બોડીયા	Kamboĝo
કુરાન	Korano
ડાયનાસોર	Dinosaŭro
પ્રાણીશાસ્ત્ર	Bestoscienco
ઇસ્લામ	Islamo
વર્લ્ડ વાઈડ વેબ	TTT
સ્ત્રી	Virino
કોમ્પ્યુટર વાયરસ	Komputviruso
મિલાન	Milano
લીંબુ	Citrono
કેળાં	Banano
ફૂલ	Floro
માઉન્ટ એવરેસ્ટ	Ĉomolungmo
શહેર	Urbo
નેપોલિયન બોનાપાર્ટ	Napoleono Bonaparte
સૂર્ય	Suno
લૂઈ પાશ્ચર	Louis Pasteur
પ્રકાશવર્ષ	Lumjaro
ગામ	Vilaĝo
સૂર્યમંડળ	Sunsistemo
ચેમ્પ્સ-એલીસીસ (પેરિસ)	Avenuo de la Elizeaj Kampoj
ઉદકજન	Hidrogeno
હીલિયમ	Heliumo
નર્ક	Infero
વિકિમીડિયા કૉમન્સ	Vikimedia Komunejo
લિથિયમ	Litio
બેરિલિયમ	Berilio
દિવસ	Tago
પૂર્વ તિમોર	Orienta Timoro
વર્ષ	Jaro
ઓસ્લો	Oslo
કૃષ્ણ વિવર	Nigra truo
સિરસ (વામન ગ્રહ)	Cereso
હૌમેયા (વામન ગ્રહ)	Haŭmeo
મેકમેક (વામન ગ્રહ)	Makemako (nanoplanedo)
બોરોન	Boro
કાર્બન	Karbono
નત્રલવાયુ	Nitrogeno
પ્રાણવાયુ (ઑક્સીજન)	Oksigeno
ગ્રહ	Planedo
સંગીત	Muziko
ઉષ્ણતામાપક	Termometro
ફ્લોરિન	Fluoro
નિયોન	Neono
ચૅડ	Ĉado
ક્ષારાતુ	Natrio
ઉત્તર	Nordo
મેગ્નેશિયમ	Magnezio
સ્ફટયાતુ	Aluminio
દક્ષિણ	Sudo
ભારત	Barato
સિલિકોન	Silicio
ફ્રાંસીયમ	Franciumo
ફોસ્ફરસ	Fosforo
લોખંડ	Fero
પશ્ચિમ	Okcidento
ગંધક	Sulfuro
સમોઆ	Samoo
નીરજી	Kloro
વિલિયમ શેક્સપીયર	William Shakespeare
આર્ગોન	Argono
નૌરુ	Nauro
પોટેશિયમ	Kalio
કેલ્શિયમ	Kalcio
સીસું	Plumbo
મંગોલિયા	Mongolio
સ્કેન્ડિયમ	Skandio
ટાઇટેનિયમ	Titano (elemento)
વેનેઝુએલા	Venezuelo
ચેસ	Ŝako
વેનેડિયમ	Vanado
વર્ણાતુ	Kromo
ઘોડો	Ĉevalo
હથિયારો	Armilo
પ્રાણી	Bestoj
સુરીનામ	Surinamo
મેંગેનિઝ	Mangano
ગુયાના	Gujano
કલા	Arto
ઈક્વેડોર	Ekvadoro
રિનીયમ	Renio
કોલમ્બિયા	Kolombio
કોબાલ્ટ	Kobalto
ટંગસ્ટન	Volframo
નિકલ	Nikelo
બૌદ્ધ ધર્મ	Budhismo
બોલીવિયા	Bolivio
ઓસ્મીયમ	Osmio
તાંબુ	Kupro
ટ્રિનિદાદ અને ટોબેગો	Trinidado kaj Tobago
જસત	Zinko
ન્યૂ હેમ્પશાયર	Nov-Hampŝiro
લિઓનાર્ડો દ વિન્ચી	Leonardo da Vinci
ગૂગલ ક્રોમ	Google Chrome
હોન્ડુરાસ	Honduro
હૈતી	Haitio
ઈરાન	Irano
ઈરાક	Irako
શાણપણ	Saĝo
ઈઝરાયલ	Israelo
પનામા	Panamo
યેમેન	Jemeno
જૉર્ડન	Jordanio
કિર્ગિસ્તાન	Kirgizio
કુવૈત	Kuvajto
લાઓસ	Laoso
લેબેનાન	Libano
માલદીવ્સ	Maldivoj
અમેરિકા	Ameriko
મલેશિયા	Malajzio
બર્મા	Birmo
નેપાળ	Nepalo
ઓમાન	Omano
પાકિસ્તાન	Pakistano
જેમ્સ બોન્ડ	James Bond (fikcia universo)
કતાર (અરબસ્તાન)	Kataro
સાઉદી અરેબિયા	Sauda Arabio
શ્રીલંકા	Sri-Lanko
સ્ટાલિન	Josif Stalin
સિરિયા	Sirio
પ્લેટો	Platono
ગેલિયમ	Galiumo
તાજિકિસ્તાન	Taĝikio
ચીની ગણતંત્ર	Respubliko Ĉinio
યુ ટ્યુબ	YouTube
જર્મેનિયમ	Germaniumo
એરિસ્ટોટલ	Aristotelo
થાઇલેન્ડ	Tajlando
સોમલ	Arseno
તુર્કમેનિસ્તાન	Turkmenio
સેલિનીયમ	Seleno
ઈરિડીયમ	Iridio
બ્રોમિન	Bromo
પ્લેટિનમ	Plateno
વિયેતનામ	Vjetnamio
ચાર્લી ચૅપ્લિન	Charlie Chaplin
દક્ષિણ કોરિયા	Sud-Koreio
ક્રિપ્ટોન	Kriptono
અફઘાનિસ્તાન	Afganio
રુબિડીયમ	Rubidio
સોનું	Oro
સુએઝ નહેર	Sueza Kanalo
બાંગ્લાદેશ	Bangladeŝo
સોક્રેટિસ	Sokrato
ભૂતાન	Butano
બ્રુનેઈ	Brunejo
ટાન્ઝાનિયા	Tanzanio
પારો	Hidrargo
ફીલીપાઈન્સ	Filipinoj
થેલીયમ	Taliumo
આઇઝેક ન્યુટન	Isaac Newton
આલ્બર્ટ આઇન્સ્ટાઇન	Albert Einstein
સ્ટ્રોન્શિયમ	Stroncio
ઈટ્રીયમ	Itrio
બિસ્મથ	Bismuto
ટોગો	Togolando
ટ્યુનિશિયા	Tunizio
બેઇજિંગ	Pekino
બેનિન	Benino
પોલોનીયમ	Polonio
એસ્ટાટીન	Astato
મહાત્મા ગાંધી	Mohandas Karamchand Gandhi
મડાગાસ્કર	Madagaskaro
સ્ટુટગાર્ટ	Stutgarto
નાઈજર	Niĝero
નાઈજેરિયા	Niĝerio
ચાર્લ્સ ડાર્વિન	Charles Darwin
ઝિર્કોનિયમ	Zirkonio
નાયોબિયમ	Niobio
જવાહરલાલ નેહરુ	Jawaharlal Nehru
જુલિયસ સીઝર	Julio Cezaro
સુદાન	Sudano
સ્વાઝીલેન્ડ	Svazilando
મેઘધનુષ	Ĉielarko
મોલિબ્ડેનમ	Molibdeno
ટેક્નેશિયમ	Teknecio
ચયાપચય	Metabolo
નરેન્દ્ર મોદી	Narendra Modi
ગુજરાત	Guĝaratio
ઉત્ક્રાંતિ	Evoluismo
સંયુક્ત રાષ્ટ્રસંઘ	Unuiĝintaj Nacioj
અમદાવાદ	Ahmadabado
ભૂગોળ	Geografio
મગજ	Cerbo
સંજ્ઞા	Substantivo
રુથેનિયમ	Rutenio
રોડિયમ	Rodio
પલેડિયમ	Paladio
ચાંદી	Arĝento
કેડમિયમ	Kadmio
ઈંડિયમ	Indio
ટીન	Stano
યુરેનિયમ	Uranio
એંટિમની	Antimono
ટેલુરિયમ	Teluro
પ્લુટોનીયમ	Plutonio
આયોડિન	Jodo
નેપ્ચ્યુનીયમ	Neptunio
ઝેનોન	Ksenono
સીસીયમ	Cezio
પ્રોટેક્ટિનીયમ	Protaktinio
બેરિયમ	Bario
થોરીયમ	Torio
હાફનીયમ	Hafnio
એક્ટિનીયમ	Aktinio
ટેન્ટેલમ	Tantalo
રેડિયમ	Radiumo
રેડૉન	Radono
ઈન્દિરા ગાંધી	Indira Gandhi
જામનગર	Ĝamnagar
મુંબઈ	Mumbajo
આંધ્ર પ્રદેશ	Andra-Pradeŝo
અરુણાચલ પ્રદેશ	Arunaĉal-Pradeŝo
આસામ	Asamo
બિહાર	Biharo
છત્તીસગઢ	Ĉhatisgaro
ગોઆ	Goao
હરિયાણા	Harjano
હિમાચલ પ્રદેશ	Himaĉal-Pradeŝo
જમ્મુ અને કાશ્મીર	Ĝamuo kaj Kaŝmiro
ઝારખંડ	Ĝharkhando
કર્ણાટક	Karnatako
કેરળ	Keralao
મધ્ય પ્રદેશ	Madhja-Pradeŝo
યુસૈન બોલ્ટ	Usain Bolt
મહારાષ્ટ્ર	Maharaŝtro
મણિપુર	Manipuro
મેઘાલય	Meghalajo
બ્રુસ સ્પ્રિન્ગસ્ટીન	Bruce Springsteen
રુથરફોર્ડીયમ	Ruterfordio
ડૂબનીયમ	Dubnio
સીબોર્ગીયમ	Seborgio
હિંદ મહાસાગર	Hinda Oceano
કેરેબિયન સાગર	Kariba Maro
બોહ્રીયમ	Borio
હેસીયમ	Hasio
માઈટનિરીયમ	Mejtnerio
ડાર્મસ્ટેડીયમ	Darmŝtatio
રેન્ટજિનીયમ	Rentgenio
કોપરનિસીયમ	Kopernicio
ધ બિટલ્સ	The Beatles
શિયાળો	Vintro
ઉનાળો	Somero
સમપ્રકાશીય ઘટના કે વિષુવકાલ	Ekvinokso
ફિલાડેલ્ફિયા, પેન્સિલવેનિયા	Filadelfio (Pensilvanio)
કોલકાતા	Kolkato
ચેન્નઈ	Ĉenajo
દિલ્હી	Delhio
ઢાકા	Dako
બેંગલોર	Bengaluro
પશ્ચિમ બંગાળ	Okcident-Bengalo
હૈદરાબાદ	Hajderabado
ઇસ્લામાબાદ	Islamabado
ત્રિપુરા	Tripuro
વાંદરો	Simio
સિરીયમ	Cerio
પ્રેસિયોડિમિયમ	Prazeodimo
નિયોડીમીયમ	Neodimo
લેનિન	Lenin
યુરોપિયમ	Eŭropio
ઊએતેર્સેન્	Uetersen
ઇન્ડિયાના	Indianio
નોકિયા	Nokia (kompanio)
મોટરગાડી	Aŭtomobilo
ટ્રાજન	Trajano
રોજર ફેડરર	Roger Federer
રાજસ્થાન	Raĝastano
તમિલનાડુ	Tamilnado
હોકી	Herbohokeo
ક્રોહનનો રોગ	Crohn-malsano
ઉત્તર પ્રદેશ	Utar-Pradeŝo
ઉત્તરાખંડ	Utarakando
મિઝોરમ	Mizoramo
સિક્કિમ	Sikimo
ટેનેસી	Tenesio
નાગપુર	Nagpur
કારાકાસ	Karakaso
પુના	Puneo
આયોવા	Iovao
નેબ્રાસ્કા	Nebrasko
કેન્સાસ	Kansaso
હિંદી ભાષા	Hindia lingvo
મરાઠી ભાષા	Marata lingvo
ગણેશ	Ganeŝo
મિઝોરી	Misurio
લ્યુઇસિયાના	Luiziano
નાગાલેંડ	Nagalando
અરકાનસાસ	Arkansaso
નીલ આર્મસ્ટ્રૉંગ	Neil Armstrong
ઉર્દુ ભાષા	Urduo
ઓક્લાહોમા	Oklahomo
બુડાપેસ્ટ	Budapeŝto
લેન્થેનમ	Lantano
પ્રોમેથિયમ	Prometio
સમેરિયમ	Samario (kemio)
ગેડોલિનીયમ	Gadolinio
ટર્બિયમ	Terbio
ડીસ્પ્રોસીયમ	Disprozio
બાઇબલ	Biblio
હોલ્મીયમ	Holmio
અર્બિયમ	Erbio
થુલિયમ	Tulio
ઈટરબિયમ	Iterbio
લ્યુટેશિયમ	Lutecio
સત્ય ઇસુ દેવળ	Vera Eklezio de Jesuo
અંગ્રેજી ભાષા	Angla lingvo
અમેરિસીયમ	Americio
ક્યુરીયમ	Kuriumo
બર્કેલીયમ	Berkelio
કેલિફોર્નીયમ	Kaliforniumo
આઇન્સ્ટેનીયમ	Ejnŝtejnio
ફર્મીયમ	Fermio
મેન્ડેલિવીયમ	Mendelevio
નોબેલીયમ	Nobelio
લોરેન્સીયમ	Laŭrencio (elemento)
ગુરુના ચંદ્રો	Naturaj satelitoj de Jupitero
કઞ્સ્કવલા	Końskowola
૨૦૦૧	2001
વિકિટ્રાવેલ	Wikitravel
૧૯૯૩	1993
૧૯૧૦	1910
સાપ	Serpento
મુખ મૈથુન	Buŝa seksumado
જાન્યુઆરી ૧	1-a de januaro
જાન્યુઆરી ૨	2-a de januaro
સુભાષચંદ્ર બોઝ	Subhas Chandra Bose
જાન્યુઆરી ૩	3-a de januaro
જાન્યુઆરી ૪	4-a de januaro
જાન્યુઆરી ૫	5-a de januaro
જાન્યુઆરી ૬	6-a de januaro
જાન્યુઆરી ૭	7-a de januaro
જાન્યુઆરી ૮	8-a de januaro
જાન્યુઆરી ૯	9-a de januaro
જાન્યુઆરી ૧૦	10-a de januaro
જાન્યુઆરી ૧૧	11-a de januaro
જાન્યુઆરી ૧૨	12-a de januaro
જાન્યુઆરી ૧૩	13-a de januaro
બર્મિંગહામ	Birmingham
જાન્યુઆરી ૧૪	14-a de januaro
જાન્યુઆરી ૧૫	15-a de januaro
જાન્યુઆરી ૧૬	16-a de januaro
જાન્યુઆરી ૧૭	17-a de januaro
જાન્યુઆરી ૧૮	18-a de januaro
જાન્યુઆરી ૧૯	19-a de januaro
જાન્યુઆરી ૨૦	20-a de januaro
જાન્યુઆરી ૨૧	21-a de januaro
જાન્યુઆરી ૨૨	22-a de januaro
જાન્યુઆરી ૨૩	23-a de januaro
જાન્યુઆરી ૨૪	24-a de januaro
જાન્યુઆરી ૨૫	25-a de januaro
જાન્યુઆરી ૨૬	26-a de januaro
માઇક્રોસોફ્ટ	Microsoft
જાન્યુઆરી ૨૭	27-a de januaro
જાન્યુઆરી ૨૮	28-a de januaro
જાન્યુઆરી ૨૯	29-a de januaro
જાન્યુઆરી ૩૦	30-a de januaro
જાન્યુઆરી ૩૧	31-a de januaro
ડિસેમ્બર ૨	2-a de decembro
ડિસેમ્બર ૧	1-a de decembro
ડિસેમ્બર ૩	3-a de decembro
ડિસેમ્બર ૭	7-a de decembro
ડિસેમ્બર ૫	5-a de decembro
ડિસેમ્બર ૮	8-a de decembro
ડિસેમ્બર ૧૦	10-a de decembro
ડિસેમ્બર ૬	6-a de decembro
ડિસેમ્બર ૯	9-a de decembro
પિંક ફ્લોઇડ	Pink Floyd
ડિસેમ્બર ૪	4-a de decembro
ફેબ્રુઆરી ૧	1-a de februaro
ફેબ્રુઆરી ૨	2-a de februaro
ફેબ્રુઆરી ૩	3-a de februaro
કુરોવ	Kurów
ફેબ્રુઆરી ૪	4-a de februaro
ફેબ્રુઆરી ૫	5-a de februaro
ફેબ્રુઆરી ૬	6-a de februaro
ફેબ્રુઆરી ૭	7-a de februaro
ફેબ્રુઆરી ૮	8-a de februaro
ફેબ્રુઆરી ૯	9-a de februaro
ફેબ્રુઆરી ૧૦	10-a de februaro
રસાયણ શાસ્ત્ર	Kemio
ફેબ્રુઆરી ૧૪	14-a de februaro
ફેબ્રુઆરી ૧૩	13-a de februaro
ફેબ્રુઆરી ૧૫	15-a de februaro
ફેબ્રુઆરી ૧૧	11-a de februaro
ફેબ્રુઆરી ૧૨	12-a de februaro
ફેબ્રુઆરી ૧૯	19-a de februaro
ફેબ્રુઆરી ૧૭	17-a de februaro
ફેબ્રુઆરી ૧૬	16-a de februaro
ફેબ્રુઆરી ૧૮	18-a de februaro
ફેબ્રુઆરી ૨૦	20-a de februaro
ફેબ્રુઆરી ૨૧	21-a de februaro
ફેબ્રુઆરી ૨૨	22-a de februaro
ફેબ્રુઆરી ૨૩	23-a de februaro
ફેબ્રુઆરી ૨૪	24-a de februaro
ફેબ્રુઆરી ૨૫	25-a de februaro
ફેબ્રુઆરી ૨૬	26-a de februaro
ફેબ્રુઆરી ૨૭	27-a de februaro
ફેબ્રુઆરી ૨૮	28-a de februaro
ડિસેમ્બર ૧૧	11-a de decembro
ફેબ્રુઆરી ૨૯	29-a de februaro
ડિસેમ્બર ૧૨	12-a de decembro
C શાર્પ (પ્રોગ્રામિંગ ભાષા)	C dieso (programlingvo)
ડિસેમ્બર ૧૩	13-a de decembro
ડિસેમ્બર ૧૪	14-a de decembro
ડિસેમ્બર ૧૫	15-a de decembro
માર્ચ ૨	2-a de marto
માર્ચ ૩	3-a de marto
માર્ચ ૫	5-a de marto
માર્ચ ૧	1-a de marto
માર્ચ ૭	7-a de marto
માર્ચ ૮	8-a de marto
માર્ચ ૪	4-a de marto
માર્ચ ૧૦	10-a de marto
માર્ચ ૧૧	11-a de marto
માર્ચ ૬	6-a de marto
માર્ચ ૧૩	13-a de marto
માર્ચ ૯	9-a de marto
માર્ચ ૧૨	12-a de marto
માર્ચ ૧૫	15-a de marto
માર્ચ ૧૪	14-a de marto
C++(પ્રોગ્રામિંગ ભાષા)	C++
ડિસેમ્બર ૧૬	16-a de decembro
ડિસેમ્બર ૧૭	17-a de decembro
માર્ચ ૧૬	16-a de marto
માર્ચ ૧૭	17-a de marto
માર્ચ ૧૮	18-a de marto
માર્ચ ૧૯	19-a de marto
માર્ચ ૨૦	20-a de marto
માર્ચ ૨૧	21-a de marto
માર્ચ ૨૨	22-a de marto
ડિસેમ્બર ૧૮	18-a de decembro
માર્ચ ૨૩	23-a de marto
ડિસેમ્બર ૧૯	19-a de decembro
માર્ચ ૨૪	24-a de marto
માર્ચ ૨૫	25-a de marto
ડિસેમ્બર ૨૦	20-a de decembro
માર્ચ ૨૬	26-a de marto
માર્ચ ૨૭	27-a de marto
માર્ચ ૨૮	28-a de marto
માર્ચ ૨૯	29-a de marto
માર્ચ ૩૦	30-a de marto
માર્ચ ૩૧	31-a de marto
એપ્રિલ ૧૫	15-a de aprilo
એપ્રિલ ૧૩	13-a de aprilo
એપ્રિલ ૧૨	12-a de aprilo
એપ્રિલ ૧૪	14-a de aprilo
એપ્રિલ ૧૧	11-a de aprilo
એપ્રિલ ૧૦	10-a de aprilo
એપ્રિલ ૮	8-a de aprilo
એપ્રિલ ૯	9-a de aprilo
એપ્રિલ ૭	7-a de aprilo
એપ્રિલ ૬	6-a de aprilo
એપ્રિલ ૫	5-a de aprilo
એપ્રિલ ૪	4-a de aprilo
એપ્રિલ ૩	3-a de aprilo
એપ્રિલ ૧	1-a de aprilo
એપ્રિલ ૨	2-a de aprilo
એપ્રિલ ૧૬	16-a de aprilo
એપ્રિલ ૧૭	17-a de aprilo
એપ્રિલ ૧૮	18-a de aprilo
એપ્રિલ ૧૯	19-a de aprilo
એપ્રિલ ૨૦	20-a de aprilo
એપ્રિલ ૨૧	21-a de aprilo
એપ્રિલ ૨૨	22-a de aprilo
એપ્રિલ ૨૩	23-a de aprilo
એપ્રિલ ૨૪	24-a de aprilo
એપ્રિલ ૨૫	25-a de aprilo
એપ્રિલ ૨૬	26-a de aprilo
એપ્રિલ ૨૭	27-a de aprilo
એપ્રિલ ૨૮	28-a de aprilo
એપ્રિલ ૨૯	29-a de aprilo
એપ્રિલ ૩૦	30-a de aprilo
મે ૧	1-a de majo
મે ૨	2-a de majo
મે ૩	3-a de majo
મે ૪	4-a de majo
મે ૫	5-a de majo
મે ૬	6-a de majo
મે ૭	7-a de majo
મે ૮	8-a de majo
મે ૯	9-a de majo
મે ૧૦	10-a de majo
મે ૧૧	11-a de majo
મે ૧૨	12-a de majo
મે ૧૩	13-a de majo
મે ૧૪	14-a de majo
મે ૧૫	15-a de majo
મે ૧૬	16-a de majo
મે ૧૭	17-a de majo
મે ૧૮	18-a de majo
મે ૧૯	19-a de majo
મે ૨૦	20-a de majo
મે ૨૧	21-a de majo
મે ૨૨	22-a de majo
મે ૨૩	23-a de majo
મે ૨૪	24-a de majo
મે ૨૫	25-a de majo
મે ૨૬	26-a de majo
મે ૨૭	27-a de majo
મે ૨૮	28-a de majo
મે ૨૯	29-a de majo
મે ૩૦	30-a de majo
મે ૩૧	31-a de majo
ડિસેમ્બર ૨૧	21-a de decembro
જૂન ૧૪	14-a de junio
જૂન ૧૫	15-a de junio
જૂન ૧૩	13-a de junio
જૂન ૧૦	10-a de junio
જૂન ૭	7-a de junio
જૂન ૧૧	11-a de junio
જૂન ૯	9-a de junio
જૂન ૧૨	12-a de junio
જૂન ૬	6-a de junio
જૂન ૮	8-a de junio
જૂન ૫	5-a de junio
જૂન ૩	3-a de junio
જૂન ૨	2-a de junio
જૂન ૧	1-a de junio
જૂન ૪	4-a de junio
ડિસેમ્બર ૨૨	22-a de decembro
જૂન ૧૬	16-a de junio
જૂન ૩૦	30-a de junio
જૂન ૨૯	29-a de junio
જૂન ૨૮	28-a de junio
જૂન ૨૬	26-a de junio
જૂન ૨૫	25-a de junio
જૂન ૨૨	22-a de junio
જૂન ૨૭	27-a de junio
જૂન ૨૪	24-a de junio
જૂન ૨૦	20-a de junio
જૂન ૨૩	23-a de junio
જૂન ૧૯	19-a de junio
જૂન ૧૮	18-a de junio
જૂન ૨૧	21-a de junio
જૂન ૧૭	17-a de junio
ડિસેમ્બર ૨૩	23-a de decembro
આર્નોલ્ડ શ્વાર્ઝેનેગર	Arnold Schwarzenegger
જુલાઇ ૧૫	15-a de julio
જુલાઇ ૧૩	13-a de julio
જુલાઇ ૧૨	12-a de julio
જુલાઇ ૧૦	10-a de julio
જુલાઇ ૯	9-a de julio
જુલાઇ ૧૪	14-a de julio
જુલાઇ ૮	8-a de julio
જુલાઇ ૭	7-a de julio
જુલાઇ ૬	6-a de julio
જુલાઇ ૫	5-a de julio
જુલાઇ ૨	2-a de julio
જુલાઇ ૪	4-a de julio
જુલાઇ ૩	3-a de julio
જુલાઇ ૧	1-a de julio
જુલાઇ ૧૧	11-a de julio
ડિસેમ્બર ૨૪	24-a de decembro
જુલાઇ ૩૧	31-a de julio
જુલાઇ ૩૦	30-a de julio
જુલાઇ ૨૯	29-a de julio
જુલાઇ ૨૮	28-a de julio
જુલાઇ ૨૭	27-a de julio
જુલાઇ ૨૫	25-a de julio
જુલાઇ ૨૪	24-a de julio
જુલાઇ ૨૩	23-a de julio
જુલાઇ ૨૬	26-a de julio
જુલાઇ ૨૨	22-a de julio
જુલાઇ ૧૯	19-a de julio
જુલાઇ ૨૧	21-a de julio
જુલાઇ ૨૦	20-a de julio
જુલાઇ ૧૭	17-a de julio
જુલાઇ ૧૮	18-a de julio
જુલાઇ ૧૬	16-a de julio
અસોસિએશન ફુટબોલ	Futbalo
ડિસેમ્બર ૨૫	25-a de decembro
ડિસેમ્બર ૨૬	26-a de decembro
ઓગસ્ટ ૧૪	14-a de aŭgusto
ઓગસ્ટ ૧૫	15-a de aŭgusto
ઓગસ્ટ ૧૩	13-a de aŭgusto
ઓગસ્ટ ૧૨	12-a de aŭgusto
ઓગસ્ટ ૧૧	11-a de aŭgusto
ઓગસ્ટ ૧૦	10-a de aŭgusto
ઓગસ્ટ ૮	8-a de aŭgusto
ઓગસ્ટ ૭	7-a de aŭgusto
ઓગસ્ટ ૯	9-a de aŭgusto
ઓગસ્ટ ૫	5-a de aŭgusto
ઓગસ્ટ ૪	4-a de aŭgusto
ઓગસ્ટ ૨	2-a de aŭgusto
ઓગસ્ટ ૩	3-a de aŭgusto
ઓગસ્ટ ૬	6-a de aŭgusto
ઓગસ્ટ ૧	1-a de aŭgusto
આઇપેડ (iPad)	IPad
