ທະວີບອາຟະລິກ	Afriko
ຊີວະສາດ	Biologio
ປະເທດກຳປູເຈຍ	Kamboĝo
ໄດໂນເສົາ	Dinosaŭro
ສາສະໜາອິສະລາມ	Islamo
ຈິດ	Menso
ສັນຕິພາບ	Paco
ກາບກອນ	Poezio
ຈັກກະພັດນາໂປເລອົງທີ 1	Napoleono Bonaparte
ປີແສງ	Lumjaro
ໂອເຊອານີ	Oceanio
ລະບົບສຸລິຍະ	Sunsistemo
ປຶ້ມ	Libro
ມື້	Tago
ປີ	Jaro
ອົກຊີແຊນ	Oksigeno
ດົນຕີ	Muziko
ພາສາອິຕາລີ	Itala lingvo
ອາລູມິນຽມ	Aluminio
ປະເທດນູແວນເຊລັງ	Nov-Zelando
ປະເທດປາປົວຊີນູແວນກີເນ	Papuo-Nov-Gvineo
ປະເທດເວເນຊູເອລາ	Venezuelo
ສັດ	Bestoj
ປະເທດຊູຣີນາມ	Surinamo
ປະເທດປາຣາກວາຍ	Paragvajo
ປະເທດກຸຍຢານ	Gujano
ສິລະປະ	Arto
ປະເທດເອກົວເຕີ	Ekvadoro
ປະເທດໂກລົມບີ	Kolombio
ພຸດທະສາສະໜາ	Budhismo
ປະເທດໂບລີວີ	Bolivio
ປະເທດກົວເຕມາລາ	Gvatemalo
ປະເທດອີຣານ	Irano
ປະເທດກົດສະຕາລິກາ	Kostariko
ປະເທດລາວ	Laoso
ທະວີບອາເມລິກາ	Ameriko
ງົວ	Bovo
ປະເທດມາເລເຊຍ	Malajzio
ປະເທດມຽນມາ	Birmo
ປະລາຕົງ	Platono
ຢູທູບ	YouTube
ປະເທດໄທ	Tajlando
ລົດໄຟ	Trajno
ປະເທດຫວຽດນາມ	Vjetnamio
ປະເທດເກົາຫຼີໃຕ້	Sud-Koreio
ປະເທດບັງກະລາເທດ	Bangladeŝo
ປະເທດອັງໂກລາ	Angolo
ທະວິດເຕີ	Twitter
ປະເທດບູໄນ	Brunejo
ປະເທດຟີລິບປິນ	Filipinoj
ປັກກິ່ງ	Pekino
ວິວັດທະນາການ	Evoluismo
ສະຫະປະຊາຊາດ	Unuiĝintaj Nacioj
ທໍລະນີສາດ	Geologio
ພູມສາດ	Geografio
ສີ	Koloro
ຄຳນາມ	Substantivo
ປະເທດໂກໂຊໂວ	Kosovo
ໝວດ:ມູນຖານ	Kategorio:Ĉio
ລະດູໜາວ	Vintro
ລະດູບານໃໝ່	Printempo
ລະດູຮ້ອນ	Somero
ລະດູໃບໄມ້ຫຼົ່ນ	Aŭtuno
ພາສາແອສະປາໂຍນ	Hispana lingvo
ໝາກໄມ້	Frukto
ເງິນ	Mono
ລັດນີວຢອກ	Nov-Jorkio
Uetersen	Uetersen
Microsoft Windows	Microsoft Windows
ໄທບີຣຽສ	Tiberio
ລົດ	Aŭtomobilo
ບອກໂດ	Bordeaux
ໂຕກຽວ	Tokio
ບາກເຊໂລນ	Barcelono
ໝາກນັດ	Ananaso
ກາໂຕລິກ	Katolikismo
ພະຄຳພີ	Biblio
ພະນົມເປັນ	Pnom-Peno
ນິກາຍໂບດທູຈີຊັດ	Vera Eklezio de Jesuo
ພາສາອັງກິດ	Angla lingvo
ບາງກອກ	Bankoko
ດົງເຮີຍ	Dong Hoi
ໂກຣິສໂກໂວລາ	Końskowola
ປີ 2009	2009
ປີ 2008	2008
ອາຫານ	Manĝaĵo
XML	XML
ການປະຕິວັດອຸດສາຫະກຳ	Industria revolucio
ໄມໂຄຼຊອຟທ໌	Microsoft
ຄູໂຣ	Kurów
ເຄມີສາດ	Kemio
14 ກຸມພາ	14-a de februaro
22 ມີນາ	22-a de marto
16 ເມສາ	16-a de aprilo
ອາໂນນ ຊວາເຊເນກເກີ	Arnold Schwarzenegger
19 ກໍລະກົດ	19-a de julio
ເຕະບານ	Futbalo
ໄອໂຟນ	IPhone
ເຮືອດຳນ້ຳ	Submarŝipo
ໄມເຄິ້ນ ແຈັກຊັ້ນ	Michael Jackson
ພະລາຊະວັງແວກໄຊ	Kastelo de Versailles
ມະຫາວິຫານນົດ-ດາມ	Dipatrino de Parizo
ໝວດ:ແມ່ແບບ	Kategorio:Vikipedio:Ŝablonoj
ແມ່ນ້ຳອາມາຊົນ	Amazono (rivero)
ໂຮງຮຽນ	Lernejo
ມະຫາວິທະຍາໄລ	Universitato
ວິກິພີເດຍ:Sandbox	Vikipedio:Provejo
ວິກິພີເດຍ:ເລີ່ມຕົ້ນ	Vikipedio:Bonvenon al Vikipedio
ເຮືອນ	Domo
ທະວີບອົດສະຕະຣາລີ	Aŭstralia kontinento
ຮາດແວ	Aparataro
ພຶດຊະຄະນິດ	Algebro
ສະໜາມບິນດົງເຮີຍ	Flughaveno Dong Hoi
ອາວະກາດ	Ekstertero
ປ່າໄມ້	Arbaro
ຂົງຈື້	Konfuceo
ມາຣິລິນ ມອນໂຣ	Marilyn Monroe
ໝວດ:ຄະນິດສາດ	Kategorio:Matematiko
ເອີໂລ	Eŭro
ທະເລເມດີແຕກລາເນ	Mediteraneo
ຄິດຕະສາສະໜາ	Kristanismo
Windows 8	Vindozo 8
ເຂົ້າຈ້າວ	Rizo
ທະວີບ	Kontinento
ສັດປີກ	Birdoj
ນະຄອນຫຼວງ	Ĉefurbo
ພາສາປອກຕຸຍການ	Portugala lingvo
ເດືອນ	Monato
1949	1949
ຕາກດີກະລາດາ	Tardigradoj
ພາສາຍີ່ປຸ່ນ	Japana lingvo
ໜ້າຈໍ	Komputila ekrano
ສາລານຸກົມ	Enciklopedio
ໜ້າຫຼັກ	Vikipedio:Ĉefpaĝo
ຊີພີຢູ	Procesoro
ເຣົາເຕີຣ໌	Enkursigilo
ໂຕຕ້ານໄຟຟ້າ	Rezistilo
ທຣານຊິສເຕີ	Transistoro
ເບດບອນ	Basbalo
ບານບ້ວງ	Korbopilkado
ກິລາໂອແລມປິກ	Olimpiaj ludoj
ລົດເມ	Aŭtobuso
ແຄວ້ນກາຕາໂລຍ	Katalunio
ການຮ່ວມເພດ	Amoro
ປັດຊະຍາ	Filozofio
ຈິມິ ເຮນດຣິກຊ໌	Jimi Hendrix
ໝວດ:Candidates for speedy deletion	Kategorio:Tujforigendaj artikoloj
ອະນາທິປະໄຕ	Anarkiismo
ລັດທິທຶນນິຍົມ	Kapitalismo
ປະເທດ	Lando
ເວັບເບຣົາວ໌ເຊີຣ໌	TTT-legilo
Boeing 737	Boeing 737
ໝວດ:ດາຣາສາດ	Kategorio:Astronomio
ການປະຕິວັດຝະລັ່ງ	Franca revolucio de 1789
ຮັກຮ່ວມເພດ	Samseksemo
ອາຫານຝະລັ່ງ	Franca kuirarto
ໂຮແມ	Homero
ພາສາກາຕາລັງ	Kataluna lingvo
ພຣະພຸດທະເຈົ້າ	Budho
ອະເທວະນິຍົມ	Ateismo
ຫໍສະໝຸດ	Librarejo
ນິເວດສາດ	Ekologio
ການເມືອງ	Politiko
ລະບອບປະຊາທິປະໄຕ	Demokratio
ໂລກາພິວັດ	Tutmondiĝo
ແຊນ	Geno
ລັດຖະບານ	Registaro
ຄວາມສວຍງາມ	Belo
ລາຊາທິປະໄຕ	Monarkio
ລັດ	Ŝtato
ດັງ	Nazo (organo)
ເພງ	Kanto
ສັດລ້ຽງລູກດ້ວຍນ້ຳນົມ	Mamuloj
ໂລຊີຊີແອນ	Programaro
ອາເດແອັນ	DNA
ແອສະແປດ	Specio
ພາສາລັດເຊຍ	Rusa lingvo
ກົດໝາຍ	Leĝo (jura)
ລັດຖະທຳມະນູນ	Konstitucio
ສະມາຄົມປະຊາຊາດແຫ່ງອາຊີຕາເວັນອອກສຽງໃຕ້	ASEAN
ກອງທືນການເງີນລະຫວ່າງປະເທດ	Internacia Monunua Fonduso
ພາສາສະວາຮີລີ	Svahila lingvo
ພາສາຈີນ	Ĉina lingvaro
ທຳມະຊາດ	Naturo
ນ້ຳດື່ມ	Trinkakvo
ພາສາລູມານີ	Rumana lingvo
ສຶກສາສາດ	Pedagogio
ແຮ່ທາດ	Mineralo
ເຊັນ	Zeno
ເມົາສ໌	Komputila muso
ປະໂລເຕອິນ	Proteino
ພະຍຸໂທຣນາໂດ	Tornado (ŝtormo)
ໄຕມຸມ	Trigonometrio
ເລຂາຄະນິດ	Geometrio
ໄວຍະກອນ	Gramatiko
ນິນເທັນໂດ	Nintendo
ເສດຖະສາດ	Ekonomiko
ທຶນ	Kapitalo
ເງິນຕາ	Valuto
ເຢນ	Japana eno
ອຸດສາຫະກຳ	Industrio
ພາສີ	Imposto
ພາສາສາດ	Lingvoscienco
ຄຳ (ພາສາສາດ)	Vorto
ໂຕໜັງສືເກຣັກ	Greka alfabeto
ວັນນະຄະດີ	Literaturo
ໝວດ:ປະເທດຝະລັ່ງ	Kategorio:Francio
ໝວດ:ດົນຕີ	Kategorio:Muziko
ໝວດ:ວັນນະຄະດີ	Kategorio:Literaturo
ຂັ້ນຕອນວິທີ	Algoritmo
ການສຶກສາ	Eduko
ຄອບຄົວ	Familio
ກາເຟ	Kafo
ນົມ	Lakto
ສົງຄາມເຢັນ	Malvarma milito
ຊຽງໄຮ້	Ŝanhajo
ອິນເຕີຣ໌ເນັຕ ໂປຣໂຕໂຄລ	IP
ໄບຕ໌	Bitoko
ບິຕ	Bito
ຄວາມຮູ້	Scio
ສາສະໜາພາມ	Hinduismo
ປະລະມະນູ	Atomo
ພາສາກະເລັກ	Greka lingvo
ລະບົບປະຕິບັດການ	Operaciumo
ອີແມລ	Retpoŝto
ສາສະໜາ	Religio
ພາສາເກົາຫຼີ	Korea lingvo
ຕຶກແອັມພາຍສະເຕດ	Empire State Building
ອະນຸສາວະລີເທພີເສລີພາບ	Statuo de Libereco
ພາສາລາວ	Laŭa lingvo
ພາສາໄທ	Siama lingvo
ສາສະໜາຊູດາ	Judismo
ພາສາການ	Kimra lingvo
ສາສະໜາຊິກ	Sikismo
ຈອນ ເມນາດ ເຄນ	John Maynard Keynes
ວຽງຈັນ	Vjentiano
ພຶຕິກຳ	Konduto
ອາລົມ	Emocio
ຈິຕະວິທະຍາ	Psikologio
ຄວາມຄຶດ	Pensado
ມະຫາສະໝຸດ	Oceano
ຈະລິຍະທຳ	Etiko
ຍານວິທະຍາ	Sciteorio
ເຈດຈຳນົງເສລີ	Libera volo
ແກນກາງ	Kerno (operaciumo)
ສົມເດັດພະລາຊິນີນາດເອລີຊາແບັດທີ 2 ແຫ່ງສະຫະລາຊະອານາຈັກ	Elizabeto la 2-a (Britio)
ຄວາມທຸກຍາກ	Malriĉeco
ຕາລາງທາດ	Perioda tabelo
ເດິນຟິນໜູ	Porkocetoj
ກົກໄມ້	Arbo
ເນີຍແຂງ	Fromaĝo
ຜັກ	Legomo
ໂຣບົດ	Roboto
ເຕັກໂນໂລຊີ	Teknologio
ກົນຈັກ	Maŝino
ວິສະວະກຳ	Inĝenierarto
ສານສົນເທດ	Informo
ໜັງສືພິມ	Gazeto
ໂທລະສັບ	Telefono
ວັດທະນະທຳ	Kulturo
ຫມາຍເລກໄອພີ	IP-adreso
ແພດສາດ	Medicino
ອົງກອນນິຕິບັນຍັດ	Leĝdona povo
ຫ້ຽນ	Interreta trolo
ສົມຜົນ	Ekvacio
ຕຳລາ (ຄະນິດສາດ)	Funkcio (matematiko)
ກະລູຊິດ	Karbonhidrato
ຮອກມົນ	Hormono
ເກມ	Ludo
ຂອງຫຼິ້ນ	Ludilo
ຮູບເງົາ	Filmo
ລົດຖີບ	Biciklo
ກຳປັ່ນ	Ŝipo
ກະສິກຳ	Agrikulturo
ລາຍຊື່ໜ່ວຍນັບເວລາ	Tempo
ເຈ້ຍ	Papero
ປະລາສະຕິກ	Plasto
ເນື້ອທີ່	Areo
ຈຳນວນ	Nombro
ຈຳນວນສົນ	Kompleksa nombro
ແມັດ	Metro
ຈິຕະກຳ	Pentrado
ນັກອາວະກາດ	Kosmonaŭto
ການຖ່າຍຮູບ	Fotarto
ການຟ້ອນລຳ	Danco
ເອເລັກໂຕຣນິກ	Elektroniko
ດີອົດ	Diodo
ເຕັກໂນໂລຊີຂໍ້ມູນຂ່າວສານ	Informa teknologio
ຮ້ານອາຫານ	Restoracio
ອາຊີຕາເວັນອອກສຽງໃຕ້	Sud-Orienta Azio
ບະລັງແນດ	Neĝblankulino
ຊັງດີຢົງ	Cindrulino
ປະຕິທິນ	Kalendaro
ເຂດເວລາ	Horzono
ສຸຂະພາບ	Sano
ເອດສ໌	Aidoso
ສະຖາປັດຕະຍະກຳ	Arkitekturo
ຂົວ	Ponto
ເຂົ້າໜົມມາກາຣົງ	Makarono
ສະຖິຕິສາດ	Statistiko
ຈຳນວນຖ້ວນ	Entjero
ເຂື່ອນສາມຜາ	Baraĵo Tri Gorĝoj
ຍຸກແສງສະຫວ່າງ	Klerismo
ສະໄໝກາງ	Mezepoko
ລວມຍອດຜະລິດຕະພັນພາຍໃນ	Malneta enlanda produkto
ແຟຊັ້ນ	Modo
ລູກຄິດ	Abako (meĥanika kalkulilo)
ຄາບສະໝຸດອີເບລີ	Iberio
ຈຳນວນຈິງ	Reelo
ໝາກກ້ຽງ	Oranĝo (frukto)
ພາສາຈ້ວງ	Ĝŭanga lingvo
ພາສານາວາເທິນ	Naŭatla lingvo
ສິ່ງແວດລ້ອມສໍາລັບການພັດທະນາແບບຮວບຮວມ	IDE (komputilo)
ພາສາອາຣັບ	Araba lingvo
ພາສາອົກຊີຕັງ	Okcitana lingvo
ສໍດຳ	Krajono
ໂຕະ	Tablo
ແທັງເກີ	Cisternoŝipo
ກວາງຄໍຍາວ	Ĝirafo (specio)
ພາສາເຊ	C (programlingvo)
ວິກິພີເດຍ:ບົດຄວາມດີເດັ່ນ	Vikipedio:Elstaraj artikoloj
ແມ່ແບບ:Link FA	Ŝablono:LigoElstara
ວິກິພີເດຍ:Village pump	Vikipedio:Diskutejo
ກວ່າງໂຈວ	Kantono (Ĉinio)
ໂຮງໜໍ	Malsanulejo
ການສົມລົດເພດດຽວກັນ	Samseksaj edzeco kaj edzineco
ໂທລະສັບມືຖື	Poŝtelefono
ລົດສະນິຍົມທາງເພດ	Seksa orientiĝo
ງົວປ່າອາເມລິກາ	Bizono
ບານເຕະໂລກ	Futbala Mondpokalo
ຍາຈາງ	Nha Trang
ສາທາລະນະສົມບັດ	Publika havaĵo
ກຸ່ມພາສາໂລມັງ	Latinida lingvaro
ຮູບສາມແຈ	Triangulo
ຈຳນວນທຳມະຊາດ	Natura nombro
ສັດທະອັກສອນສາກົນ	Internacia Fonetika Alfabeto
ພິກັດພູມສາດ	Geografia koordinata sistemo
ເກີບ	Ŝuo
ເສລີພາບໃນການເວົ້າ	Parollibereco
ສວນສາທາລະນະ	Parko
ສັບປະດາ	Semajno
ຜັກທຽມ	Ajlo
ມະນຸດສາດ	Antropologio
ເອແດມບວກ	Edinburgo
កោះ	Insulo
ພາສາລັດຖະການ	Oficiala lingvo
ບູຮານວິທະຍາ	Arkeologio
ອຸດທະຍານແຫ່ງຊາດຟົງ ງາ-ເຄ ບັງ	Nacia Parko Phong Nha-Ke Bang
ແຂວງກວາງບິນ	Provinco Quang Binh
ເສັ້ນສູນສູດ	Ekvatoro
ປະໂລແຕສະຕັງ	Protestantismo
ວັດຈະນານຸກົມ	Vortaro
ເພງຊາດ	Nacia himno
ຄຳກຳມະ	Verbo
ພາສາແຟໂລ	Feroa lingvo
ສັດກິນຊີ້ນ	Karnomanĝuloj
ເກາະຊີແລນ	Sjælland
ເຮືອຂ້າມຟາກ	Pramo
Józef Gosławski	Józef Gosławski
ການຂັບລຳ	Kantado
ເສັ້ນຜົມ	Haro
ວິຊາຊີບ	Profesio
ສິນຄ້າ	Varo
ຜົນຕຳລາ	Derivaĵo (matematiko)
ບລອກ	Blogo
ນົກແກ້ວ	Papagoformaj
ຊື່ໂດເມນ	Domajna nomo
ມ້າລາຍ	Zebro
ເລກມາຕະຖານສາກົນປະຈຳປຶ້ມ	ISBN
ພາສາຈາໂມໂລ	Ĉamora lingvo
ພາສາເຈໂລກີ	Ĉeroka lingvo
ຈິຕະນິຍົມ	Ideismo
ເສັ້ນຂະໜານ	Latitudo
ໝວດ:ພາສາໂປແກມ	Kategorio:Programlingvoj
ຈັດສະຕິນ ບີເບີ	Justin Bieber
ກຸ່ມພາສາໄທ-ກະໄດ	Kradaja lingvaro
ເນີຍ	Butero
ເທວະວິທະຍາ	Teologio
ນ້ຳຕົກຕາດນີອາກາລາ	Niagara Akvofalaro
ໂຫລາສາດ	Astrologio
ຫົງ	Cigno
ຫົນທາງ	Vojo
ເຮລີກົບແຕ	Helikoptero
ລົດຈັກ	Motorciklo
ມ້າແມ່ນ້ຳ	Amfibia hipopotamo
ສັງຄົມສາດ	Socia scienco
ແຫຼມ	Duoninsulo
ລະຫັດໂທລະສັບລະຫວ່າງປະເທດ	Telefona landokodo
ຟົວກາ	Grashepataĵo
ມົນທົນ	Provinco
ໝາກຫຸ່ງ	Papajo
ວິຕາມິນ	Vitamino
ເວັບໄຊຕ໌	TTT-ejo
ກວາງອູດ	Alko
ເສືອອາເມລິກາ	Jaguaro
ສະພາ	Parlamento
ສະພາວະເງິນເຟີ້	Inflacio
ເຮືອ	Boato
ໂປລີເນຊີ	Polinezio
ດຽນບຽນຟູ	Dien Bien Phu
ໝີໄຮ້ຫາງ	Koalo
ເສັ້ນແວງ	Longitudo
ສະຫັດສະວັດ	Jarmilo
ຊ້າງຂົນຍາວ	Mamuto
ອອງ ຊານ ຊຸຈີ	Aung San Suu Kyi
ໄຂ້ຫວັດຫມູ	Porka gripo
ເສິນຫຼົງ	Jackie Chan
ເອກະລາດ	Sendependeco
ມະຣິວຸລ	Mariupolo
ມະຫາປີລະມິດ ແຫ່ງ ກິຊາ	Piramido de Keopso
ISO 4217	ISO 4217
ຕະຫຼາດ	Merkato
ກະໂລໂມຊົມ	Kromosomo
ມັນດ້າງ	Batato
ພະຍັນຊະນະ	Konsonanto
ນ້ຳຕົກຕາດຄອນພະເພັງ	Akvofaloj Khone Phapheng
ຟີລຳ	Filumo
ພະເຈົ້າຮົງລີທີ 8 ແຫ່ງອັງກິດ	Henriko la 8-a (Anglio)
ດັດສະນີການພັດທະນາມະນຸດ	Indico de homa disvolviĝo
ເສດຖະສາດຈຸນລະພາກ	Mikroekonomiko
ສັດລ້ຽງ	Dombesto
ເລເຈບ ໄຕຢິບ ແອໂດກັນ	Recep Tayyip Erdoğan
ນໍ້າມັນເຊື້ອໄຟ	Benzino
ເສດຖະສາດມະຫາພາກ	Makroekonomiko
ສະໜວນກາຊາ	Gaza Sektoro
ເຄື່ອງດື່ມ	Trinkaĵo
ປະໂລກະລຳ ແອງຟອກມາຕິກ	Komputila programo
ຍານອາວະກາດ	Kosmoveturilo
ເຈັນນິເຟີຣ໌ ໂລເປສ	Jennifer Lopez
ມີດຕັດ	Tondilo
ຊ້າງທະເລ	Rosmaro
ຕຶກ	Konstruaĵo
ແມ່ນ້ຳຂອງ	Mekongo
ວາລະສານ	Revuo
ສານ	Tribunalo (juro)
Rupiah ອິນໂດເນເຊຍ	Indonezia rupio
.la	.la
ສວນລອຍຟ້າບາບິລອນ	Pendĝardenoj de Babilono
ໝາແຜງ	Hienedoj
ພິ່ນອິ່ນ	Hanyu Pinyin
ເຊື້ອໄຟ	Brulaĵo
ອູດແກະໃຫຍ່	Lamo
ຄວາຍ	Akvobubalo
Long Thanh International Airport	Flughaveno Long Thanh
ຍານພາຫະນະ	Vehiklo
ນ້ຳມັນ	Oleo
ວິນຍານນິຍົມ	Animismo
ບໍລິການຂໍ້ຄວາມສັ້ນ	Servo de mallongaj mesaĝoj
ເຮືອນຄົວ	Kuirejo
ຮັກຮ່ວມສອງເພດ	Ambaŭseksemo
ເອສົບ	Ezopo
ສິ່ງແວດລ້ອມ	Medio
ໂກແລສະເຕໂລນ	Kolesterolo
ສະຫະພັນທະລັດ	Federacio
ໄຂ້ຫວັດນົກ	Birda gripo
ມາຕຣິກ	Matrico
ຕຳນານ	Legendo
ເທວາທິປະໄຕ	Teokratio
ຂົວໂກນເດນເກດ	Golden-Gate-Ponto
ໝາກສຸກ ໝາກໃສ	Varioleto
ທ່າເຮືອ	Haveno
ໝາກມີ້	Jakvo
ທຸງຊາດລາວ	Flago de Laoso
ໃບສະຫຼຸບຊັບສົມບັດ	Bilanco
ສາຍການບິນ	Flugkompanio
ວັນກຳມະກອນສາກົນ	Tago de la Laboro
ລາດາ	Radaro
ແມ່ແບບ:Commonscat	Ŝablono:Commonscat
ຈັກກະວັດແອສະປາຍ	Imperio
ມະຫາຍານ	Mahajano
ກະສວຍອາວະກາດ	Kosmopramo
ການທ່ອງທ່ຽວ	Turismo
ຕູ້ໄປສະນີ	Poŝtkesto
ແຂວງ	Teritoria organizado de Laoso
ຕຳລາຂັ້ນສອງ	Kvadrata funkcio
ອີໂບລາ	Ebola malsano
ໝວດ:ລັດຖະບານ	Kategorio:Registaroj
ໝວດ:ຄວາມຮັກ	Kategorio:Amo
ສະຖານີລົດໄຟ	Fervoja stacidomo
ພາສາໂຮປີ	Hopia lingvo
ພາສາເຮົາຊາ	Haŭsa lingvo
ຈູມມະລີ ໄຊຍະສອນ	Choummaly Sayasone
ຍິ່ງລັກ ຊິນນະວັດ	Jinglak Ĉinaŭat
ທອງສິງ ທຳມະວົງ	Thongsing Thammavong
ກ້ອງດິຈິຕອນ	Cifereca fotilo
ອັດຕາແລກປ່ຽນ	Kurzo
ທະນາຄານກາງ	Centra banko
ຮອບບິດ (ປຶ້ມ)	La Hobito
ຄະນາທິປະໄຕ	Oligarkio
Current events	Vikipedio:Historio
ບານເຕະໂລກ 2014	Futbala Mondpokalo 2014
ການແຍກໃຊ້ອຳນາດ	Disigo de povoj
ໝາກກ້ຽງໃຫຍ່	Pampelmuso
ວົງຈອນພອນ	Mungotedoj
ວິສະວະກຳໂລຊີຊີແອນ	Programara inĝenierarto
ອູດແກະ	Alpako
ຄວາມກົດອາກາດ	Atmosfera premo
ບ່ວງ	Kulero
VoIP	Interreta telefono
ໄມ້ຖູ່	Manĝobastonetoj
ເຄື່ອງໝາຍວັກ	Interpunkcio
ຕັກຊີ	Taksio
ຄຳອຸທານ	Interjekcio
ພຽງພອນເໝັນ	Mefito
ເຊລີນ້າ ໂກເມຊ	Selena Gomez
ໂຮງງານ	Fabriko
ບານເຕະທີມຊາດບະເລຊິນ	Brazila nacia teamo de futbalo
ບານໂປໂລຍ	Pollandpilko
ຕຳລາໄຕມຸມ	Trigonometria funkcio
