ᑭᐦᒋ ᒨᐦᑯᒫᓇᐢᑭᕀ	Usono
Wikipedia:Archives/ᓂᔮᓈᓀᐤ	8 (nombro)
ᐫᑦᕂᓇ	Entrena
Wikipedia:Archives/Sálená	Selena
Wikipedia:Archives/ᓕᓚ ᕤᐒᓄᔅ	Lila Downs
Kâ-isiwepahki	Sezono
ᐁᐧᐦᐁᐧᐤ	Neĝansero
ᒋᔮᐢᐠ	Mevo
ᐧᑳᐦᐧᑳᐱᔒᔥ	Lepidoptera
ᓂᒋᒄ	Lutra lutra
ᐃᔨᔨᐤ ᐊᔨᒧᐎᓐ'	Kria lingvo
Wikipedia:Archives/ᒥᑎᐦᒌ	Mano
ᐊᓂᔑᓈᐯᒧᐎᓐ	Aniŝinabeka lingvo
Mos	Alko
ᐅᓵᐅᔅᒄ	Bruna urso
Wikipedia:Archives/ᐃᔥᐧᑳᐦᑌᒻ	Pordo
'ᓵᒋᐦᐄᐧᐁᐧᐃᒌᔑᑳᐤ	Sankt-Valentena tago
ᐊᑎᐦᒄ	Boaco
Wikipedia:Archives/ᐱᔨᒌᔅ	Pantalono
ᒪᐦᐃᐦᑲᓐᑖᔥᑎᒥᒄ	Kojoto
Wikipedia:Archives/ᓰᐲᓯᔅ	Rivereto
ᐊᒥᔅᒄ	Kastoro
Template:Commonscat	Ŝablono:Commonscat
Wikipedia:Archives/ᐸᒎᔮᓐ	Ĉemizo
Amiskw	Kanada kastoro
Template:Ouvrage	Ŝablono:Citaĵo el libro
Wikipedia:Archives/ᐄᔅᒌᒣᐅᑲᒥᒄ	Iglo
ᐃᔨᔨᐧᐊᒡ	Krioj
Maskoretcic	Amerika nigra urso
Wikipedia:Archives/ᑳᒋᔅᑖᐧᐹᐅᒉᐸᔨᐦᒡ	Lavmaŝino
Haliaeetus leucocephalus	Blankkapa maraglo
Wikipedia:Archives/ᒪᓯᓂᐸᔨᐃᐧᐣ ᐁᑲᐧ ᒪᓯᓇᐦᐃᑲᐣ	Immagine & Poesia
ᐧᐋᐸᒣᒄ	Belugo
ᐱᔔ	Kanada linko
Wikipedia:Archives/ᒥᓯ ᐹᐗᔅᑎᒃ	Grand Rapids (Miĉigano)
Wikipedia:Archives/É-nipathtákániwahk	Nemortigo
ᓇᒣᔅᑧᑭᐌ	Sekigita fiŝo
ᐧᐄᓂᔥᒄ	Arbara marmoto
ᒋᐱᐦᒋ	Haltŝildo
Maskisin	Mokaseno
Wikwas	Betulŝelo
Âpihtâkosisânak	Metisoj
Wikipedia:Archivesᐱᒋᔥᑲᐦᐄᐸᑌᑎᓱᐧᐋᓐ	Terpomkaĉo
Pirew	Perdrikoj
Wikipedia:Archives/ᓴᔭᐯᒃ	Sayabec
Wikipedia:Archives/ᑳᐅᑕᐦᐋᑯᓀᐦᐄᒉᐸᔨᒡ	Neĝoblovilo
Category:Nâpêw	Kategorio:Viroj
Category:Nâpêsis	Kategorio:Virinoj
Category:Italy	Kategorio:Italio
Category:ᑳᓈᑖ	Kategorio:Kanado
Category:Turkey	Kategorio:Turkio
Category:ᐱᔦᓰᓴᐠ	Kategorio:Birdoj
Category:ᐅᐲᑭᒋᑳᓇᐠ	Kategorio:Plantoj
Category:Wikipedia bots	Kategorio:Vikipedio:Robotoj
Template:T	Ŝablono:Ŝ
Wikipedia:Administrators	Vikipedio:Administrantoj
Template:Bot	Ŝablono:Bot
ᑳᓇᑖ	Kanado
Category:Help	Kategorio:Helpo
Template:Documentation	Ŝablono:Dok
Category:Pages needing translation	Kategorio:Esperantigaj petoj
Wikipedia:Community Portal	Portalo:Komunumo
Category:User languages	Kategorio:Vikipediistoj laŭ lingvo
Template:Softredirect	Ŝablono:Intervikia plusendilo
Template:Delete	Ŝablono:Forigu tuj
Category:ᐗᑭᐱᑎᔭ	Kategorio:Vikipedio
Wikipedia:Statistics	Vikipedio:Statistiko
Template:Navbox	Ŝablono:Navigilo2
Template:!	Ŝablono:!
Template:Babel	Ŝablono:Babelejo
Template:Commons	Ŝablono:Commons
Template:User af-1	Ŝablono:Vikipediisto af-1
Template:User ar-1	Ŝablono:Vikipediisto ar-1
Template:User ast-1	Ŝablono:Vikipediisto ast-1
Template:User bar-1	Ŝablono:Vikipediisto bar-1
Template:User da-2	Ŝablono:Vikipediisto da-2
Template:User da	Ŝablono:Vikipediisto da
Template:User ca-1	Ŝablono:Vikipediisto ca-1
Template:User ca-4	Ŝablono:Vikipediisto ca-4
Template:User be-2	Ŝablono:Vikipediisto be-2
Template:User da-1	Ŝablono:Vikipediisto da-1
Template:User cs-1	Ŝablono:Vikipediisto cs-1
Template:User bg-1	Ŝablono:Vikipediisto bg-1
Template:User eo-3	Ŝablono:Vikipediisto eo-3
Template:User de	Ŝablono:Vikipediisto de
Template:User de-1	Ŝablono:Vikipediisto de-1
Template:User el	Ŝablono:Vikipediisto el
Template:User de-3	Ŝablono:Vikipediisto de-3
Template:User en-3	Ŝablono:Vikipediisto en-3
Template:User el-1	Ŝablono:Vikipediisto el-1
Template:User en-1	Ŝablono:Vikipediisto en-1
Template:User en-2	Ŝablono:Vikipediisto en-2
Template:User en-4	Ŝablono:Vikipediisto en-4
Template:User fi	Ŝablono:Vikipediisto fi-D
Template:User en-0	Ŝablono:Vikipediisto en-0
Template:User en	Ŝablono:Vikipediisto en
Template:User de-2	Ŝablono:Vikipediisto de-2
Template:User fr-1	Ŝablono:Vikipediisto fr-1
Template:User fr	Ŝablono:Vikipediisto fr
Category:User uk	Kategorio:Vikipediisto uk
Category:User uk-N	Kategorio:Vikipediisto uk-D
Template:Mod	Ŝablono:Mod
Template:User uk	Ŝablono:Vikipediisto uk
Template:User es-2	Ŝablono:Vikipediisto es-2
Template:ᑕᐋᐧᐤ	Ŝablono:Bonvenon
Category:User fr-1	Kategorio:Vikipediisto fr-1
Template:Babel field N	Ŝablono:Babel kadro
Category:User en-4	Kategorio:Vikipediisto en-4
Category:User en	Kategorio:Vikipediisto en
Category:User en-2	Kategorio:Vikipediisto en-2
Template:User zh	Ŝablono:Vikipediisto zh
Template:Template other	Ŝablono:Ĉu ŝablono
Template:User ru-4	Ŝablono:Vikipediisto ru-4
Template:Pp-template	Ŝablono:Pp-ŝablono
Category:ᐧᐊᒌ	Kategorio:Montoj
Template:Babel field 1	Ŝablono:Babel kadro 1
Template:User no-2	Ŝablono:Vikipediisto no-2
Template:Babel field 4	Ŝablono:Babel kadro 4
Template:Babel field 0	Ŝablono:Babel kadro 0
Template:User fr-3	Ŝablono:Vikipediisto fr-3
Template:User de-0	Ŝablono:Vikipediisto de-0
Template:User fr-5	Ŝablono:Vikipediisto fr-5
Template:User en-5	Ŝablono:Vikipediisto en-5
Template:Babel field 3	Ŝablono:Babel kadro 3
Template:User fr-4	Ŝablono:Vikipediisto fr-4
Template:User bg	Ŝablono:Vikipediisto bg
Category:User az	Kategorio:Vikipediisto az
Category:User be	Kategorio:Vikipediisto be
Category:User eo	Kategorio:Vikipediisto eo
Category:User fr	Kategorio:Vikipediisto fr
Category:User lt	Kategorio:Vikipediisto lt
Category:User sv	Kategorio:Vikipediisto sv
Category:User fr-3	Kategorio:Vikipediisto fr-3
Category:User cs-1	Kategorio:Vikipediisto cs-1
Category:User da-1	Kategorio:Vikipediisto da-1
Category:User ar-1	Kategorio:Vikipediisto ar-1
Category:User fr-4	Kategorio:Vikipediisto fr-4
Category:User be-2	Kategorio:Vikipediisto be-2
Category:User da-2	Kategorio:Vikipediisto da-2
Category:User fr-2	Kategorio:Vikipediisto fr-2
Category:User ko-N	Kategorio:Vikipediisto ko-D
Category:User fr-N	Kategorio:Vikipediisto fr-D
Category:User lt-N	Kategorio:Vikipediisto lt-D
Category:User fr-5	Kategorio:Vikipediisto fr-5
Category:User af	Kategorio:Vikipediisto af
Category:User af-1	Kategorio:Vikipediisto af-1
Category:User ar	Kategorio:Vikipediisto ar
Category:User ast	Kategorio:Vikipediisto ast
Category:User ast-1	Kategorio:Vikipediisto ast-1
Category:User bar	Kategorio:Vikipediisto bar
Category:User bg	Kategorio:Vikipediisto bg
Category:User bg-1	Kategorio:Vikipediisto bg-1
Category:User bg-N	Kategorio:Vikipediisto bg-D
Category:User ca	Kategorio:Vikipediisto ca
Category:User ca-1	Kategorio:Vikipediisto ca-1
Category:User ca-4	Kategorio:Vikipediisto ca-4
Category:User cs	Kategorio:Vikipediisto cs
Category:ᒥᓂᔥᑎᒄ	Kategorio:Insuloj
Category:User da	Kategorio:Vikipediisto da
Category:User de	Kategorio:Vikipediisto de
Category:User de-0	Kategorio:Vikipediisto de-0
Category:User de-2	Kategorio:Vikipediisto de-2
Category:User de-3	Kategorio:Vikipediisto de-3
Category:User de-4	Kategorio:Vikipediisto de-4
Category:User de-N	Kategorio:Vikipediisto de-D
Category:User el	Kategorio:Vikipediisto el
Category:User el-1	Kategorio:Vikipediisto el-1
Category:User el-N	Kategorio:Vikipediisto el-D
Category:User en-0	Kategorio:Vikipediisto en-0
Category:User en-3	Kategorio:Vikipediisto en-3
Category:User en-5	Kategorio:Vikipediisto en-5
Category:User en-N	Kategorio:Vikipediisto en-D
Category:User eo-3	Kategorio:Vikipediisto eo-3
Category:User es	Kategorio:Vikipediisto es
Category:User es-2	Kategorio:Vikipediisto es-2
Category:User fi	Kategorio:Vikipediisto fi
Category:User fi-N	Kategorio:Vikipediisto fi-D
Category:User fr-0	Kategorio:Vikipediisto fr-0
Category:User ko	Kategorio:Vikipediisto ko
Wikipedia:Babel	Vikipedio:Babelejo
Template:User sv-1	Ŝablono:Vikipediisto sv-1
Template:Babel field 2	Ŝablono:Babel kadro 2
Template:Babel field 5	Ŝablono:Babel kadro 5
Category:ᓃᐲᔾ	Kategorio:Akvo
Category:User ru	Kategorio:Vikipediisto ru
Category:User ru-2	Kategorio:Vikipediisto ru-2
Category:User ru-4	Kategorio:Vikipediisto ru-4
Category:User sv-1	Kategorio:Vikipediisto sv-1
Category:User tr	Kategorio:Vikipediisto tr
Category:User tr-N	Kategorio:Vikipediisto tr-D
Template:Lang	Ŝablono:Lang
Template:Modèle:Fr	Ŝablono:Fr
Category:ᓰᐲ	Kategorio:Riveroj
Template:User ko	Ŝablono:Vikipediisto ko-D
Category:User no-2	Kategorio:Vikipediisto no-2
Category:User no	Kategorio:Vikipediisto no
Template:User de-4	Ŝablono:Vikipediisto de-4
Category:ᐱᓯᐢᑭᐤ	Kategorio:Bestoj
Category:ᑫᐧᐃᐧᐣ	Kategorio:Armiloj
Category:Onikamow	Kategorio:Kantistoj
Category:ᓵᑲᐦᐄᑲᓐ	Kategorio:Lagoj
Category:User de-5	Kategorio:Vikipediisto de-5
Category:ᑯᐯᒃ	Kategorio:Kebekio
Category:Itasinâsowin	Kategorio:Koloroj
Category:ᐅᑌᓈᐤ	Kategorio:Urboj
Category:User en-1	Kategorio:Vikipediisto en-1
Category:User de-1	Kategorio:Vikipediisto de-1
Category:User da-N	Kategorio:Vikipediisto da-D
Template:Babel field *	Ŝablono:Babel kadro *
Special:RecentChanges	Specialaĵo:Lastaj ŝanĝoj
