非洲	Afriko
伽利略	Galilejo
水星	Merkuro (planedo)
歷史	Historio
金星	Venuso (planedo)
語言	Lingvo
愛	Amo
木星	Jupitero (planedo)
天王星	Urano (planedo)
海王星	Neptuno (planedo)
天文學	Astronomio
新加坡	Singapuro
科學	Scienco
運動	Sporto
希特勒	Adolf Hitler
Facebook	Facebook
第一次世界大戰	Unua mondmilito
第二次世界大戰	Dua mondmilito
鐘	Horloĝo
數學	Matematiko
拉丁語	Latina lingvo
月光	Luno
伊斯坦布爾	Istanbulo
澳大利亞	Aŭstralio
物理學	Fiziko
阿根廷	Argentino
電信	Telekomunikado
朝鮮民主主義人民共和國	Nord-Koreio
柬埔寨	Kamboĝo
恐龍	Dinosaŭro
駄	Rado
狄德羅	Denis Diderot
心智	Menso
萬維網	TTT
女人	Virino
詩	Poezio
脇胛	Akselo
檸檬	Citrono
香蕉	Banano
666年	666
花	Floro
珠穆朗瑪峰	Ĉomolungmo
城市	Urbo
拿破崙	Napoleono Bonaparte
太陽	Suno
光年	Lumjaro
雨果	Victor Hugo
大洋洲	Oceanio
田徑	Atletiko
太陽系	Sunsistemo
地獄	Infero
書	Libro
日	Tago
年	Jaro
哥白尼	Koperniko
可利俄捌拿七世	Kleopatra
音樂	Muziko
莫斯科	Moskvo
意大利語	Itala lingvo
北	Nordo
南	Sudo
印度	Barato
散文	Prozo
鐵	Fero
西	Okcidento
東	Oriento
莫里哀	Molière
莎士比亞	William Shakespeare
國際象棋	Ŝako
成吉思汗	Ĝingis-Ĥano
馬	Ĉevalo
武器	Armilo
動物	Bestoj
藝術	Arto
哥倫比亞	Kolombio
佛教	Budhismo
植物	Plantoj
達芬奇	Leonardo da Vinci
雞	Koko
北冰洋	Arkta Oceano
伊朗	Irano
伊拉克	Irako
阿拉斯加州	Alasko
以色列	Israelo
亞利桑那州	Arizono
老撾	Laoso
美洲	Ameriko
馬來西亞	Malajzio
緬甸	Birmo
巴基斯坦	Pakistano
網球	Teniso
沙特阿拉伯	Sauda Arabio
斯大林	Josif Stalin
柏拉圖	Platono
中華民國	Respubliko Ĉinio
亞里斯多德	Aristotelo
泰國	Tajlando
火車	Trajno
無線電	Radiofonio
越南	Vjetnamio
韓國	Sud-Koreio
金	Oro
蘇伊士運河	Sueza Kanalo
孟加拉	Bangladeŝo
卡夫卡	Franz Kafka
蘇格拉底	Sokrato
羅德·阿門森	Roald Amundsen
菲律賓	Filipinoj
南極點	Suda poluso
北極點	Norda poluso
牛頓	Isaac Newton
愛因斯坦	Albert Einstein
黃	Flava
北京	Pekino
剛果民主共和國	Demokratia Respubliko Kongo
聖安東尼奧 (德克薩斯州)	San Antonio (Teksaso)
多托頁夫斯基	Fjodor Dostojevskij
毛伢子	Bebo
甘地	Mohandas Karamchand Gandhi
人骨子頭畫	Bildliteraturo
尼日利亞	Niĝerio
達爾文	Charles Darwin
卡爾·林奈	Karolo Lineo
凱撒大帝	Julio Cezaro
聯合國	Unuiĝintaj Nacioj
但丁	Dante Alighieri
地理學	Geografio
色	Koloro
藍	Blua
銀	Arĝento
電	Elektra ŝargo
耶路撒冷	Jerusalemo
印度洋	Hinda Oceano
科索沃	Kosovo
蕭邦	Frédéric Chopin
分類:總類	Kategorio:Ĉio
阿爾卑斯山	Alpoj
帕斯卡	Blaise Pascal
西洋跳棋	Damludo
芝加哥	Ĉikago
披頭士	The Beatles
西班牙語	Hispana lingvo
巴赫	Johann Sebastian Bach
歌劇	Opero
費城	Filadelfio (Pensilvanio)
德里	Delhio
水果	Frukto
錢	Mono
列寧	Lenin
衛吉	Vergilio
屋大維	Aŭgusto Cezaro
汽車	Aŭtomobilo
東京	Tokio
麥哲倫	Fernão de Magalhães
華格納	Richard Wagner
雅典	Ateno
世界標準時間	UTC
印地語	Hindia lingvo
阿肯色州	Arkansaso
韻文	Verso
瑪當娜	Madonna
路易·暗式將	Louis Armstrong
法蘭克福	Frankfurto ĉe Majno
聖經	Biblio
胡志明市	Ho-Ĉi-Min-urbo
真耶穌教會	Vera Eklezio de Jesuo
英語	Angla lingvo
同海市	Dong Hoi
孔斯科沃拉	Końskowola
2000年	2000
2003年	2003
2002年	2002
2001年	2001
2012年	2012
2011年	2011
2010年	2010
2009年	2009
2013年	2013
2014年	2014
2015年	2015
2008年	2008
2004年	2004
2005年	2005
2006年	2006
2007年	2007
1900年	1900
1901年	1901
戴高樂	Charles de Gaulle
1902年	1902
1903年	1903
1904年	1904
1905年	1905
1907年	1907
1906年	1906
1908年	1908
1909年	1909
1992年	1992
1991年	1991
1990年	1990
1993年	1993
1994年	1994
1995年	1995
1996年	1996
1910年	1910
1911年	1911
1912年	1912
1913年	1913
1914年	1914
1915年	1915
1916年	1916
1997年	1997
1998年	1998
1999年	1999
1917年	1917
1918年	1918
喫嗰	Manĝaĵo
1月1號	1-a de januaro
1月2號	2-a de januaro
1920年	1920
1月3號	3-a de januaro
1919年	1919
1921年	1921
1922年	1922
1月4號	4-a de januaro
1923年	1923
1924年	1924
1月5號	5-a de januaro
1月6號	6-a de januaro
1月7號	7-a de januaro
1月8號	8-a de januaro
1月9號	9-a de januaro
1月10號	10-a de januaro
1月11號	11-a de januaro
1月12號	12-a de januaro
1月13號	13-a de januaro
1月14號	14-a de januaro
1月15號	15-a de januaro
1月16號	16-a de januaro
1月17號	17-a de januaro
1月18號	18-a de januaro
1月19號	19-a de januaro
1月20號	20-a de januaro
工業革命	Industria revolucio
1月21號	21-a de januaro
1月22號	22-a de januaro
1月23號	23-a de januaro
羅馬帝國	Romia Imperio
1月24號	24-a de januaro
1月25號	25-a de januaro
1月26號	26-a de januaro
微軟	Microsoft
1月27號	27-a de januaro
1月28號	28-a de januaro
1月29號	29-a de januaro
1月30號	30-a de januaro
1月31號	31-a de januaro
12月2號	2-a de decembro
12月1號	1-a de decembro
12月3號	3-a de decembro
12月7號	7-a de decembro
12月5號	5-a de decembro
12月8號	8-a de decembro
12月10號	10-a de decembro
12月6號	6-a de decembro
12月9號	9-a de decembro
12月4號	4-a de decembro
2月1號	1-a de februaro
2月2號	2-a de februaro
2月3號	3-a de februaro
庫魯夫市	Kurów
2月4號	4-a de februaro
2月5號	5-a de februaro
2月6號	6-a de februaro
2月7號	7-a de februaro
2月8號	8-a de februaro
2月9號	9-a de februaro
2月10號	10-a de februaro
化學	Kemio
2月14號	14-a de februaro
2月13號	13-a de februaro
2月15號	15-a de februaro
2月11號	11-a de februaro
2月12號	12-a de februaro
2月19號	19-a de februaro
2月17號	17-a de februaro
2月16號	16-a de februaro
2月18號	18-a de februaro
2月20號	20-a de februaro
2月21號	21-a de februaro
2月22號	22-a de februaro
2月23號	23-a de februaro
2月24號	24-a de februaro
2月25號	25-a de februaro
2月26號	26-a de februaro
27年	27
2月27號	27-a de februaro
2月28號	28-a de februaro
12月11號	11-a de decembro
2月29號	29-a de februaro
12月12號	12-a de decembro
12月13號	13-a de decembro
12月14號	14-a de decembro
12月15號	15-a de decembro
3月2號	2-a de marto
3月3號	3-a de marto
3月5號	5-a de marto
3月1號	1-a de marto
3月7號	7-a de marto
3月8號	8-a de marto
3月4號	4-a de marto
3月10號	10-a de marto
3月11號	11-a de marto
3月6號	6-a de marto
3月13號	13-a de marto
3月9號	9-a de marto
3月12號	12-a de marto
3月15號	15-a de marto
3月14號	14-a de marto
C++	C++
12月16號	16-a de decembro
12月17號	17-a de decembro
3月16號	16-a de marto
3月17號	17-a de marto
3月18號	18-a de marto
3月19號	19-a de marto
1989年	1989
1988年	1988
3月20號	20-a de marto
1987年	1987
1986年	1986
1985年	1985
1984年	1984
3月21號	21-a de marto
1983年	1983
3月22號	22-a de marto
1982年	1982
1981年	1981
12月18號	18-a de decembro
1980年	1980
3月23號	23-a de marto
12月19號	19-a de decembro
3月24號	24-a de marto
3月25號	25-a de marto
12月20號	20-a de decembro
3月26號	26-a de marto
3月27號	27-a de marto
3月28號	28-a de marto
3月29號	29-a de marto
3月30號	30-a de marto
3月31號	31-a de marto
1970年	1970
1971年	1971
1972年	1972
1973年	1973
1974年	1974
1975年	1975
1976年	1976
1977年	1977
1978年	1978
1979年	1979
1969年	1969
4月15號	15-a de aprilo
4月13號	13-a de aprilo
4月12號	12-a de aprilo
4月14號	14-a de aprilo
4月11號	11-a de aprilo
4月10號	10-a de aprilo
4月8號	8-a de aprilo
4月9號	9-a de aprilo
4月7號	7-a de aprilo
4月6號	6-a de aprilo
4月5號	5-a de aprilo
4月4號	4-a de aprilo
4月3號	3-a de aprilo
4月1號	1-a de aprilo
4月2號	2-a de aprilo
夏寶太空望遠鏡	Kosmoteleskopo Hubble
4月16號	16-a de aprilo
4月17號	17-a de aprilo
4月18號	18-a de aprilo
4月19號	19-a de aprilo
4月20號	20-a de aprilo
4月21號	21-a de aprilo
4月22號	22-a de aprilo
4月23號	23-a de aprilo
4月24號	24-a de aprilo
4月25號	25-a de aprilo
4月26號	26-a de aprilo
4月27號	27-a de aprilo
4月28號	28-a de aprilo
4月29號	29-a de aprilo
4月30號	30-a de aprilo
天然衛星	Natura satelito
5月1號	1-a de majo
5月2號	2-a de majo
5月3號	3-a de majo
5月4號	4-a de majo
5月5號	5-a de majo
5月6號	6-a de majo
5月7號	7-a de majo
5月8號	8-a de majo
5月9號	9-a de majo
5月10號	10-a de majo
5月11號	11-a de majo
5月12號	12-a de majo
5月13號	13-a de majo
5月14號	14-a de majo
5月15號	15-a de majo
5月16號	16-a de majo
5月17號	17-a de majo
5月18號	18-a de majo
5月19號	19-a de majo
5月20號	20-a de majo
5月21號	21-a de majo
5月22號	22-a de majo
5月23號	23-a de majo
5月24號	24-a de majo
5月25號	25-a de majo
5月26號	26-a de majo
5月27號	27-a de majo
5月28號	28-a de majo
5月29號	29-a de majo
5月30號	30-a de majo
5月31號	31-a de majo
12月21號	21-a de decembro
6月14號	14-a de junio
6月15號	15-a de junio
6月13號	13-a de junio
6月10號	10-a de junio
6月7號	7-a de junio
6月11號	11-a de junio
6月9號	9-a de junio
6月12號	12-a de junio
6月6號	6-a de junio
6月8號	8-a de junio
6月5號	5-a de junio
6月3號	3-a de junio
6月2號	2-a de junio
6月1號	1-a de junio
6月4號	4-a de junio
12月22號	22-a de decembro
1968年	1968
1967年	1967
1966年	1966
1965年	1965
1964年	1964
6月16號	16-a de junio
6月30號	30-a de junio
6月29號	29-a de junio
6月28號	28-a de junio
6月26號	26-a de junio
6月25號	25-a de junio
6月22號	22-a de junio
6月27號	27-a de junio
6月24號	24-a de junio
6月20號	20-a de junio
6月23號	23-a de junio
6月19號	19-a de junio
6月18號	18-a de junio
6月21號	21-a de junio
6月17號	17-a de junio
12月23號	23-a de decembro
7月15號	15-a de julio
7月13號	13-a de julio
7月12號	12-a de julio
7月10號	10-a de julio
7月9號	9-a de julio
7月14號	14-a de julio
7月8號	8-a de julio
7月7號	7-a de julio
7月6號	6-a de julio
7月5號	5-a de julio
7月2號	2-a de julio
7月4號	4-a de julio
7月3號	3-a de julio
7月1號	1-a de julio
7月11號	11-a de julio
12月24號	24-a de decembro
7月31號	31-a de julio
7月30號	30-a de julio
7月29號	29-a de julio
7月28號	28-a de julio
7月27號	27-a de julio
7月25號	25-a de julio
7月24號	24-a de julio
7月23號	23-a de julio
7月26號	26-a de julio
7月22號	22-a de julio
7月19號	19-a de julio
7月21號	21-a de julio
7月20號	20-a de julio
7月17號	17-a de julio
7月18號	18-a de julio
7月16號	16-a de julio
腳球	Futbalo
音樂劇	Muzikalo
12月25號	25-a de decembro
1963年	1963
12月26號	26-a de decembro
1962年	1962
8月14號	14-a de aŭgusto
8月15號	15-a de aŭgusto
8月13號	13-a de aŭgusto
8月12號	12-a de aŭgusto
8月11號	11-a de aŭgusto
8月10號	10-a de aŭgusto
8月8號	8-a de aŭgusto
8月7號	7-a de aŭgusto
8月9號	9-a de aŭgusto
8月5號	5-a de aŭgusto
8月4號	4-a de aŭgusto
8月2號	2-a de aŭgusto
8月3號	3-a de aŭgusto
8月6號	6-a de aŭgusto
8月1號	1-a de aŭgusto
12月27號	27-a de decembro
潛水艇	Submarŝipo
8月16號	16-a de aŭgusto
8月29號	29-a de aŭgusto
8月28號	28-a de aŭgusto
8月30號	30-a de aŭgusto
8月25號	25-a de aŭgusto
8月26號	26-a de aŭgusto
8月23號	23-a de aŭgusto
8月27號	27-a de aŭgusto
8月21號	21-a de aŭgusto
8月20號	20-a de aŭgusto
8月24號	24-a de aŭgusto
8月18號	18-a de aŭgusto
8月17號	17-a de aŭgusto
8月22號	22-a de aŭgusto
8月19號	19-a de aŭgusto
8月31號	31-a de aŭgusto
麥可·傑克遜	Michael Jackson
12月28號	28-a de decembro
9月15號	15-a de septembro
9月14號	14-a de septembro
9月13號	13-a de septembro
9月12號	12-a de septembro
9月8號	8-a de septembro
9月11號	11-a de septembro
9月7號	7-a de septembro
9月10號	10-a de septembro
9月5號	5-a de septembro
9月4號	4-a de septembro
9月9號	9-a de septembro
9月2號	2-a de septembro
9月6號	6-a de septembro
9月1號	1-a de septembro
9月3號	3-a de septembro
12月29號	29-a de decembro
9月30號	30-a de septembro
9月29號	29-a de septembro
9月28號	28-a de septembro
9月27號	27-a de septembro
9月26號	26-a de septembro
9月25號	25-a de septembro
9月23號	23-a de septembro
9月22號	22-a de septembro
9月24號	24-a de septembro
9月21號	21-a de septembro
9月20號	20-a de septembro
9月18號	18-a de septembro
9月17號	17-a de septembro
9月19號	19-a de septembro
9月16號	16-a de septembro
12月30號	30-a de decembro
12月31號	31-a de decembro
10月1號	1-a de oktobro
10月15號	15-a de oktobro
10月12號	12-a de oktobro
10月10號	10-a de oktobro
10月14號	14-a de oktobro
10月9號	9-a de oktobro
10月8號	8-a de oktobro
10月13號	13-a de oktobro
10月7號	7-a de oktobro
10月11號	11-a de oktobro
10月6號	6-a de oktobro
10月4號	4-a de oktobro
10月5號	5-a de oktobro
10月3號	3-a de oktobro
10月2號	2-a de oktobro
10月31號	31-a de oktobro
10月30號	30-a de oktobro
10月29號	29-a de oktobro
10月28號	28-a de oktobro
10月26號	26-a de oktobro
10月25號	25-a de oktobro
10月24號	24-a de oktobro
10月27號	27-a de oktobro
10月22號	22-a de oktobro
10月23號	23-a de oktobro
10月20號	20-a de oktobro
10月21號	21-a de oktobro
10月19號	19-a de oktobro
10月17號	17-a de oktobro
10月16號	16-a de oktobro
10月18號	18-a de oktobro
11月15號	15-a de novembro
11月14號	14-a de novembro
11月13號	13-a de novembro
11月12號	12-a de novembro
11月11號	11-a de novembro
11月10號	10-a de novembro
11月7號	7-a de novembro
11月8號	8-a de novembro
11月9號	9-a de novembro
11月6號	6-a de novembro
11月5號	5-a de novembro
11月4號	4-a de novembro
11月3號	3-a de novembro
11月2號	2-a de novembro
11月1號	1-a de novembro
男仔子	Knabo
11月30號	30-a de novembro
11月29號	29-a de novembro
11月28號	28-a de novembro
11月27號	27-a de novembro
11月26號	26-a de novembro
11月25號	25-a de novembro
11月23號	23-a de novembro
11月24號	24-a de novembro
11月21號	21-a de novembro
11月20號	20-a de novembro
11月22號	22-a de novembro
11月19號	19-a de novembro
11月18號	18-a de novembro
11月17號	17-a de novembro
11月16號	16-a de novembro
女仔子	Knabino
沙利門大帝	Karolo la Granda
紅色	Ruĝa
火	Fajro
尼羅河	Nilo
1961年	1961
1960年	1960
亞馬孫河	Amazono (rivero)
天狗喫日頭	Suna eklipso
大學	Universitato
Wikipedia:沙盤	Vikipedio:Provejo
屋	Domo
代數	Algebro
地圖	Mapo
江	Rivero
俄舍斯科	Osasco (San-Paŭlo)
同海機場	Flughaveno Dong Hoi
太空	Ekstertero
望遠鏡	Teleskopo
森林	Arbaro
分類:1888年	Kategorio:1888
濟酋余化盧	Zichyújfalu
分類:1481年過世	Kategorio:Mortintoj en 1481
分類:1421年出世	Kategorio:Naskiĝintoj en 1421
分類:1421年	Kategorio:1421
分類:1481年	Kategorio:1481
孔子	Konfuceo
科賓·布魯	Corbin Bleu
分類:數學	Kategorio:Matematiko
分類:1888年出世	Kategorio:Naskiĝintoj en 1888
1488年	1488
歐元	Eŭro
美金	Usona dolaro
地中海	Mediteraneo
基督教	Kristanismo
1004年	1004
西雅圖	Seattle
禾	Rizo
大洲	Kontinento
葡萄牙語	Portugala lingvo
慕斯他化·克麥·阿塔突	Mustafa Kemal Atatürk
1948年	1948
1949年	1949
黄现璠	Huang Senfan
1956年	1956
1200年	1200
1201年	1201
1202年	1202
1203年	1203
1204年	1204
1205年	1205
1206年	1206
1941年	1941
1207年	1207
1208年	1208
1945年	1945
1209年	1209
1210年	1210
1211年	1211
1958年	1958
1212年	1212
1926年	1926
1213年	1213
1947年	1947
1944年	1944
1952年	1952
日语	Japana lingvo
百科全書	Enciklopedio
封面	Vikipedio:Ĉefpaĝo
1959年	1959
1957年	1957
電容	Kondensilo
晶體管	Transistoro
1214年	1214
1215年	1215
1216年	1216
1217年	1217
1218年	1218
1219年	1219
1220年	1220
1221年	1221
1222年	1222
1223年	1223
1224年	1224
1225年	1225
1226年	1226
1227年	1227
1228年	1228
1229年	1229
1230年	1230
長江	Jangzio
1231年	1231
1232年	1232
1233年	1233
1234年	1234
1235年	1235
1236年	1236
1237年	1237
1238年	1238
1239年	1239
1240年	1240
1241年	1241
1242年	1242
1243年	1243
1244年	1244
1245年	1245
1246年	1246
喜馬拉雅山脈	Himalajo
安底斯山脈	Andoj
1247年	1247
1248年	1248
裡海	Kaspio
1249年	1249
1250年	1250
1251年	1251
1252年	1252
1254年	1254
1255年	1255
1256年	1256
1257年	1257
1258年	1258
1259年	1259
1260年	1260
1261年	1261
1262年	1262
1263年	1263
1264年	1264
1265年	1265
1266年	1266
1267年	1267
1268年	1268
1269年	1269
1270年	1270
1271年	1271
1272年	1272
1273年	1273
1274年	1274
1275年	1275
1276年	1276
1277年	1277
1278年	1278
1279年	1279
1280年	1280
1281年	1281
1282年	1282
1283年	1283
1284年	1284
1285年	1285
1286年	1286
1287年	1287
1288年	1288
1289年	1289
1290年	1290
1291年	1291
1292年	1292
1293年	1293
1294年	1294
1295年	1295
1296年	1296
1297年	1297
1298年	1298
1299年	1299
答利	Salvador Dalí
梵高	Vincent van Gogh
葛飾北齋	Katsushika Hokusai
米開朗琪羅	Mikelanĝelo
畢加索	Pablo Picasso
藍郎特	Rembrandt Harmenszoon van Rijn
1300年	1300
1301年	1301
1302年	1302
1303年	1303
1304年	1304
1305年	1305
安徒生	Hans Christian Andersen
拜倫	George Byron
塞萬提斯	Miguel de Cervantes
1306年	1306
1307年	1307
1308年	1308
1309年	1309
1310年	1310
1311年	1311
1312年	1312
1313年	1313
1314年	1314
1315年	1315
1316年	1316
1317年	1317
1318年	1318
1319年	1319
1320年	1320
1321年	1321
1322年	1322
1323年	1323
1324年	1324
1325年	1325
1326年	1326
1327年	1327
1328年	1328
麥加	Mekko
毛澤東	Mao Zedong
西安	Ŝjiano
被服	Litkovrilo
歌德	Johann Wolfgang von Goethe
屄	Vagino
V·禍·魂得他	V for Vendetta (filmo)
哲學	Filozofio
1329年	1329
分類:快速刪吥	Kategorio:Tujforigendaj artikoloj
1330年	1330
1331年	1331
1332年	1332
1333年	1333
1334年	1334
1335年	1335
1336年	1336
1337年	1337
1338年	1338
1339年	1339
1340年	1340
1341年	1341
1342年	1342
1343年	1343
1344年	1344
1345年	1345
1346年	1346
1347年	1347
1348年	1348
1349年	1349
1350年	1350
茶	Teo
馬可·波羅	Marko Polo
1351年	1351
波特蘭 (奧勒岡州)	Portlando (Oregono)
1400年	1400
1401年	1401
1352年	1352
1402年	1402
1353年	1353
1403年	1403
1354年	1354
1404年	1404
1355年	1355
1405年	1405
1500年	1500
1406年	1406
1356年	1356
1501年	1501
1407年	1407
1357年	1357
1502年	1502
1408年	1408
1358年	1358
1503年	1503
1359年	1359
1409年	1409
1504年	1504
1360年	1360
1410年	1410
1505年	1505
1506年	1506
1411年	1411
1361年	1361
1507年	1507
1412年	1412
1362年	1362
1413年	1413
1508年	1508
1363年	1363
1509年	1509
1414年	1414
1510年	1510
1415年	1415
1364年	1364
共產主義	Komunismo
1511年	1511
1416年	1416
1365年	1365
1512年	1512
1417年	1417
1366年	1366
1513年	1513
1418年	1418
1367年	1367
1514年	1514
1419年	1419
資本主義	Kapitalismo
1368年	1368
1515年	1515
1420年	1420
1369年	1369
1516年	1516
1421年	1421
1370年	1370
1371年	1371
國家	Lando
1372年	1372
1373年	1373
1422年	1422
1517年	1517
1423年	1423
1518年	1518
1374年	1374
1424年	1424
1375年	1375
1519年	1519
1376年	1376
1425年	1425
1520年	1520
1521年	1521
1377年	1377
1426年	1426
1522年	1522
1523年	1523
1427年	1427
1378年	1378
1524年	1524
1525年	1525
1428年	1428
1379年	1379
1526年	1526
1429年	1429
1380年	1380
1381年	1381
1382年	1382
1383年	1383
1430年	1430
1431年	1431
印第安納波利斯	Indianapolis
1384年	1384
1432年	1432
1385年	1385
1386年	1386
1433年	1433
1387年	1387
1434年	1434
1435年	1435
1388年	1388
1436年	1436
1389年	1389
1437年	1437
1390年	1390
1438年	1438
1391年	1391
1439年	1439
1392年	1392
1440年	1440
1393年	1393
1394年	1394
1395年	1395
1441年	1441
1396年	1396
1397年	1397
1442年	1442
1527年	1527
1528年	1528
1398年	1398
1443年	1443
1444年	1444
1529年	1529
1399年	1399
1445年	1445
1530年	1530
1446年	1446
1531年	1531
1447年	1447
1532年	1532
1448年	1448
蒙彼利埃	Montpellier
1533年	1533
1449年	1449
1534年	1534
1450年	1450
1535年	1535
1451年	1451
1536年	1536
1452年	1452
1537年	1537
1453年	1453
1538年	1538
1454年	1454
1539年	1539
1455年	1455
1540年	1540
睗著嗰惠尼根	Finnegans Wake
分類:天文	Kategorio:Astronomio
尤利西斯	Uliso (Joyce)
1541年	1541
1456年	1456
1457年	1457
1542年	1542
1458年	1458
1543年	1543
1459年	1459
1544年	1544
1460年	1460
1545年	1545
1461年	1461
1546年	1546
1462年	1462
1547年	1547
1463年	1463
1548年	1548
1464年	1464
1549年	1549
1465年	1465
1550年	1550
1466年	1466
1551年	1551
1467年	1467
1468年	1468
1552年	1552
1469年	1469
1553年	1553
1470年	1470
1554年	1554
1471年	1471
1555年	1555
撒哈拉沙漠	Saharo
1472年	1472
1556年	1556
1473年	1473
1557年	1557
1474年	1474
1558年	1558
1475年	1475
1559年	1559
1476年	1476
1560年	1560
1477年	1477
1478年	1478
1561年	1561
1479年	1479
1562年	1562
1480年	1480
1563年	1563
1481年	1481
1564年	1564
1482年	1482
1565年	1565
1483年	1483
1566年	1566
1484年	1484
1567年	1567
1485年	1485
1486年	1486
1568年	1568
1487年	1487
1569年	1569
1570年	1570
1489年	1489
1571年	1571
1490年	1490
1572年	1572
1491年	1491
1573年	1573
1492年	1492
1574年	1574
1493年	1493
1575年	1575
荷馬	Homero
1494年	1494
1495年	1495
1496年	1496
1576年	1576
1497年	1497
1577年	1577
1498年	1498
1578年	1578
1499年	1499
1579年	1579
1580年	1580
1581年	1581
1582年	1582
1600年	1600
高斯	Carl Friedrich Gauss
1601年	1601
1583年	1583
1602年	1602
1584年	1584
1603年	1603
1585年	1585
1604年	1604
1586年	1586
1605年	1605
1587年	1587
1606年	1606
1607年	1607
1588年	1588
1608年	1608
1589年	1589
1609年	1609
1590年	1590
1610年	1610
1591年	1591
1611年	1611
1592年	1592
1612年	1612
1593年	1593
1613年	1613
1594年	1594
1614年	1614
1595年	1595
1615年	1615
1596年	1596
1616年	1616
1597年	1597
1617年	1617
1598年	1598
1618年	1618
1599年	1599
1619年	1619
1620年	1620
1621年	1621
1700年	1700
1701年	1701
1622年	1622
1623年	1623
1702年	1702
1624年	1624
1703年	1703
1704年	1704
1625年	1625
1705年	1705
1626年	1626
1627年	1627
1706年	1706
1628年	1628
1707年	1707
1708年	1708
1629年	1629
1630年	1630
1709年	1709
1631年	1631
1710年	1710
1632年	1632
1711年	1711
1633年	1633
1712年	1712
1634年	1634
1713年	1713
1800年	1800
1801年	1801
1714年	1714
1635年	1635
詹姆斯·喬伊斯	James Joyce
1802年	1802
1715年	1715
1636年	1636
1803年	1803
1637年	1637
1716年	1716
1638年	1638
1804年	1804
1717年	1717
1639年	1639
1805年	1805
1718年	1718
1640年	1640
1719年	1719
1806年	1806
1641年	1641
1720年	1720
1807年	1807
1642年	1642
1721年	1721
1808年	1808
1643年	1643
1722年	1722
1809年	1809
1644年	1644
1723年	1723
1810年	1810
1645年	1645
1724年	1724
20世紀	20-a jarcento
1811年	1811
1646年	1646
1725年	1725
1812年	1812
1647年	1647
1726年	1726
1813年	1813
21世紀	21-a jarcento
1648年	1648
1727年	1727
1814年	1814
1649年	1649
1728年	1728
1815年	1815
1650年	1650
1729年	1729
1816年	1816
19世紀	19-a jarcento
1651年	1651
1730年	1730
1817年	1817
1652年	1652
1731年	1731
1818年	1818
1653年	1653
1732年	1732
1819年	1819
1654年	1654
1733年	1733
1820年	1820
1655年	1655
1821年	1821
1734年	1734
1656年	1656
1822年	1822
1735年	1735
1657年	1657
1823年	1823
1736年	1736
1658年	1658
1737年	1737
1824年	1824
1659年	1659
1738年	1738
1825年	1825
1660年	1660
1739年	1739
1826年	1826
1661年	1661
1740年	1740
1827年	1827
18世紀	18-a jarcento
17世紀	17-a jarcento
16世紀	16-a jarcento
15世紀	15-a jarcento
14世紀	14-a jarcento
