ఆఫ్రికా	Afriko
బ్రెజిల్	Brazilo
ఆల్కహాలు	Alkoholo
రష్యా	Rusio
ఆప్టికల్ ఫైబర్	Optika fibro
సముద్రం	Maro
నల్ల సముద్రం	Nigra Maro
పై	Pi (nombro)
వికీ	Vikio
టొరంటో	Toronto
అలబామా	Alabamo
బోయింగ్ 747	Boeing 747
వికీమీడియా ఫౌండేషన్	Fondaĵo Vikimedio
జిమ్మీ వేల్స్	Jimmy Wales
జర్మనీ	Germanio
బెలారస్	Belorusio
లారీ సాంగర్	Larry Sanger
జర్మన్ భాష	Germana lingvo
ఐస్‌లాండ్	Islando
దేవుడు	Dio
ఎస్టోనియా	Estonio
చాక్లెట్	Ĉokolado
విమానం	Aviadilo
యుద్ధం	Milito
ఒకటి	1 (nombro)
రెండు	2 (nombro)
మూడు	3 (nombro)
నాలుగు	4 (nombro)
సున్న	Nulo
దీర్ఘ చతురస్రం	Ortangulo
లాట్వియా	Latvio
ఉక్రెయిన్	Ukrainio
చెక్ రిపబ్లిక్	Ĉeĥio
స్లోవేనియా	Slovenio
మోల్డోవా	Moldava Respubliko
రొమేనియా	Rumanio
బల్గేరియా	Bulgario
రోమ్	Romo
మేసిడోనియా	Respubliko Makedonio
అల్బేనియా	Albanio
గ్రీన్‌లాండ్	Gronlando
క్రొయేషియా	Kroatio
బోస్నియా మరియు హెర్జెగొవీనా	Bosnio kaj Hercegovino
అజర్‌బైజాన్	Azerbajĝano
అండొర్రా	Andoro
సైప్రస్	Kipro
జార్జియా (దేశం)	Kartvelio
కజకస్తాన్	Kazaĥio
మొనాకో	Monako
వాటికన్ నగరం	Vatikano
క్యూబా	Kubo
బెలిజ్	Belizo
ఈఫిల్ టవర్	Eiffel-Turo
బార్బడోస్	Barbado
వోక్స్ వాగన్	Volkswagen
ఇంటెల్ సంస్థ	Intel
కంప్యూటర్ కీబోర్డ్	Komputila klavaro
జావా	Java (programlingvo)
ఇండోనేషియా	Indonezio
మేండెల్‌బ్రాట్ సెట్	Aro de Mandelbrot
దక్షిణ ఆఫ్రికా	Sud-Afriko
అల్జీరియా	Alĝerio
ఉజ్బెకిస్తాన్	Uzbekujo
డ్రోసిరా	Drozero
తాష్కెంట్	Taŝkento
నీరు	Akvo
చెక్క	Ligno
టెలివిజన్	Televido
లింగ భేదం	Sekso
చిలీ	Ĉilio
యేసు	Jesuo Kristo
గెలీలియో గెలీలి	Galilejo
బుధుడు	Merkuro (planedo)
చరిత్ర	Historio
యాపిల్ ఇన్‌కార్పొరేషన్	Apple
శుక్రుడు	Venuso (planedo)
భాష	Lingvo
ప్రేమ	Amo
నియంతృత్వం	Diktatoreco
గేలక్సీ	Galaksio
గురుడు	Jupitero (planedo)
మిచెల్లీ బచెలేట్	Michelle Bachelet
పాలపుంత	Lakta vojo
మహా విస్ఫోటం	Praeksplodo
యురేనస్	Urano (planedo)
ఆంగ్ల వికీపీడియా	Anglalingva Vikipedio
నెప్ట్యూన్	Neptuno (planedo)
ఖగోళ శాస్త్రము	Astronomio
సింగపూరు	Singapuro
విజ్ఞానశాస్త్రం	Scienco
ప్లూటో	Plutono
మాంట్రియల్	Montrealo
కాలము	Estonteco
మరియమ్	Maria (patrino de Jesuo)
ఆటలు	Sporto
ఎడాల్ఫ్ హిట్లర్	Adolf Hitler
ఫేస్‌బుక్	Facebook
వికీలీక్స్	WikiLeaks
జూలియన్ అసాంజే	Julian Assange
మొదటి ప్రపంచ యుద్ధం	Unua mondmilito
రెండవ ప్రపంచ యుద్ధం	Dua mondmilito
కొలోన్	Kolonjo
లంచం	Korupto
వికీబుక్స్	Vikilibroj
వికీకోట్	Vikicitaro
ఉబుంటు	Ubuntu (linukso)
లినక్స్	Linukso
బాబ్ డైలాన్	Bob Dylan
గణితము	Matematiko
లాటిన్	Latina lingvo
బహ్రయిన్	Barejno
ఆర్మేనియా	Armenio
సెర్బియా	Serbio
చంద్రుడు	Luno
ఇస్తాంబుల్	Istanbulo
ఆస్ట్రేలియా	Aŭstralio
కార్ల్ సాగాన్	Carl Sagan
భౌతిక శాస్త్రము	Fiziko
అర్జెంటీనా	Argentino
పెరూ	Peruo
జీవ శాస్త్రము	Biologio
గుర్తించబడని ఎగురుతున్న వస్తువు	Nifo
ఉత్తర కొరియా	Nord-Koreio
కంబోడియా	Kamboĝo
క్యూపర్ బెల్ట్	Kujper-zono
ఖోరాన్	Korano
రాక్షసబల్లి	Dinosaŭro
జంతుశాస్త్రం	Bestoscienco
ఇస్లాం మతం	Islamo
వృక్షశాస్త్రం	Plantoscienco
లెక్ వలీసా	Lech Wałęsa
చక్రం	Rado
శాంతి	Paco
బ్రిటానికా విజ్ఞాన సర్వస్వము	Encyclopaedia Britannica
ఐరోపా సమాఖ్య	Eŭropa Unio
వరల్డ్ వైడ్ వెబ్	TTT
స్త్రీ	Virino
కవి	Poezio
కంప్యూటర్ వైరస్	Komputviruso
మిలన్	Milano
మిత్రుడు	Amikeco
మలము	Fekaĵo
గుదము	Anuso
చంక	Akselo
నిమ్మ	Citrono
అరటి	Banano
పుష్పము	Floro
గూగోల్	Guglo
ఎవరెస్టు పర్వతం	Ĉomolungmo
శరీర నిర్మాణ శాస్త్రము	Anatomio
నగరము	Urbo
నెపోలియన్	Napoleono Bonaparte
శరీరశాస్త్రం	Fiziologio
నక్షత్రము (ఖగోళశాస్త్రం)	Stelo
సూర్యుడు	Suno
ఆకాశం	Ĉielo
లూయీ పాశ్చర్	Louis Pasteur
కాంతి సంవత్సరం	Lumjaro
గ్రామం	Vilaĝo
విక్టర్ హ్యూగో	Victor Hugo
ఓషియానియా	Oceanio
గిసేప్పి గారిబాల్డి	Giuseppe Garibaldi
సౌరమండలము	Sunsistemo
హైడ్రోజన్	Hidrogeno
హీలియం	Heliumo
నరకం	Infero
వికీపీడియా:వికీమీడియా కామన్స్	Vikimedia Komunejo
లిథియం	Litio
బెరీలియం	Berilio
పుస్తకము	Libro
తూర్పు తైమూర్	Orienta Timoro
రాత్రి	Nokto
సంవత్సరము	Jaro
కృష్ణబిలం	Nigra truo
సెరిస్ (మరుగుజ్జు గ్రహం)	Cereso
లిస్బన్	Lisbono
ఎరిస్ (మరుగుజ్జు గ్రహం)	Eriso
దుబాయ్	Dubajo
బోరాన్	Boro
నికోలాస్ కోపర్నికస్	Koperniko
కార్బన్	Karbono
నత్రజని	Nitrogeno
ఆక్సిజన్	Oksigeno
ఫుట్‌బాల్ క్లబ్ ఇంటర్నేజనలే మిలనో	Inter Milano
గ్రహం	Planedo
క్లియోపాత్రా	Kleopatra
భారతీయ సంగీతము	Muziko
వెనిస్	Venecio
ఉష్ణమాపకం	Termometro
మాస్కో	Moskvo
ఫ్లోరిన్	Fluoro
చువావా (కుక్క)	Ĉivava hundo
నియాన్	Neono
సెయింట్ పీటర్స్‌బర్గ్	Sankt-Peterburgo
చాద్	Ĉado
సోడియం	Natrio
ఉత్తరం	Nordo
మెగ్నీషియం	Magnezio
అల్యూమినియం	Aluminio
న్యూజీలాండ్	Nov-Zelando
దక్షిణం	Sudo
భారత దేశము	Barato
సిలికాన్	Silicio
భాస్వరము	Fosforo
ఇనుము	Fero
పడమర	Okcidento
అలెస్సాండ్రో వోల్టా	Alessandro Volta
సల్ఫర్	Sulfuro
సమోవా	Samoo
తూర్పు	Oriento
సోలమన్ దీవులు	Salomonoj
వనాటు	Vanuatuo
క్లోరిన్	Kloro
విలియం షేక్‌స్పియర్	William Shakespeare
ఫైర్‌ఫాక్స్	Mozilla Firefox
పొటాషియం	Kalio
కాల్షియమ్	Kalcio
సీసము (మూలకము)	Plumbo
కిరిబటి	Kiribato
మంగోలియా	Mongolio
ఫిజీ	Fiĝioj
స్కాండియం	Skandio
టైటానియం	Titano (elemento)
వెనుజులా	Venezuelo
చదరంగం (ఆట)	Ŝako
చెంఘీజ్ ఖాన్	Ĝingis-Ĥano
వెనేడియం	Vanado
మెయిన్	Majno
క్రోమియం	Kromo
గుర్రము	Ĉevalo
ఆయుధం	Armilo
జంతువు	Bestoj
సురినామ్	Surinamo
మాంగనీస్	Mangano
గయానా	Gujano
ఈక్వడార్	Ekvadoro
కొలంబియా	Kolombio
కోబాల్ట్	Kobalto
నికెల్	Nikelo
బౌద్ధ మతము	Budhismo
బొలీవియా	Bolivio
ఓస్మియం	Osmio
రాగి	Kupro
ట్రినిడాడ్ మరియు టొబాగో	Trinidado kaj Tobago
మొక్క	Plantoj
తుత్తునాగము	Zinko
న్యూహాంప్‌షైర్	Nov-Hampŝiro
లియొనార్డో డావిన్సి	Leonardo da Vinci
శిలీంధ్రం	Fungoj
జమైకా	Jamajko
మసాచూసెట్స్	Masaĉuseco
గూగుల్ క్రోమ్	Google Chrome
బహామాస్	Bahamoj
కనెక్టికట్	Konektikuto
కోడి	Koko
ఆంటిగ్వా మరియు బార్బుడా	Antigvo-Barbudo
హవాయి	Havajo
హోండురాస్	Honduro
జెర్సీ	Ĵersejo
డొమెనికన్ రిపబ్లిక్	Domingo
పంది	Porko
ఆర్క్‌టిక్ మహాసముద్రం	Arkta Oceano
ఇరాన్	Irano
ఇరాక్	Irako
అలాస్కా	Alasko
వివేకం	Saĝo
కోస్టారీకా	Kostariko
ఇజ్రాయిల్	Israelo
పనామా	Panamo
యెమన్	Jemeno
వైరస్	Viruso (biologio)
జోర్డాన్	Jordanio
ఫ్లోరిడా	Florido
కిర్గిజిస్తాన్	Kirgizio
ఆరిజోనా	Arizono
కువైట్	Kuvajto
లావోస్	Laoso
లెబనాన్	Libano
ఓరెగాన్	Oregono
మాల్దీవులు	Maldivoj
యూటా	Utaho
పశువు	Bovo
మలేషియా	Malajzio
మయన్మార్	Birmo
నేపాల్	Nepalo
ఒమన్	Omano
పాకిస్తాన్	Pakistano
‌జేమ్స్ బాండ్	James Bond (fikcia universo)
కతర్	Kataro
టెన్నిస్	Teniso
సౌదీ అరేబియా	Sauda Arabio
శ్రీలంక	Sri-Lanko
స్టాలిన్	Josif Stalin
బార్‌కోడ్	Strekokodo
సిరియా	Sirio
ప్లేటో	Platono
గాలియం	Galiumo
తజికిస్తాన్	Taĝikio
తైవాన్	Respubliko Ĉinio
యూ ట్యూబ్	YouTube
జెర్మేనియం	Germaniumo
అరిస్టాటిల్	Aristotelo
థాయిలాండ్	Tajlando
రైలు	Trajno
ఆర్సెనిక్	Arseno
రేడియో	Radiofonio
తుర్కమేనిస్తాన్	Turkmenio
సెలీనియం	Seleno
యునైటెడ్ అరబ్ ఎమిరేట్స్	Unuiĝintaj Arabaj Emirlandoj
బ్రోమిన్	Bromo
వియత్నాం	Vjetnamio
చార్లీ చాప్లిన్	Charlie Chaplin
దక్షిణ కొరియా	Sud-Koreio
ఆఫ్ఘనిస్తాన్	Afganio
బంగారం	Oro
సూయజ్ కాలువ	Sueza Kanalo
శాస్త్రవేత్త	Sciencisto
బంగ్లాదేశ్	Bangladeŝo
ఫ్రాంజ్ కాఫ్కా	Franz Kafka
జార్జ్ లూయిస్ బోర్గర్స్	Jorge Luis Borges
సోక్రటీసు	Sokrato
అంగోలా	Angolo
భూటాన్	Butano
ట్విట్టర్	Twitter
బ్రూనై	Brunejo
టాంజానియా	Tanzanio
ఫిలిప్పీన్స్	Filipinoj
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	Centr-Afrika Respubliko
ఐజాక్ న్యూటన్	Isaac Newton
ఆల్బర్ట్ ఐన్‌స్టీన్	Albert Einstein
స్ట్రాన్షియం	Stroncio
పసుపు (రంగు)	Flava
ట్యునీషియా	Tunizio
జాంబియా	Zambio
జింబాబ్వే	Zimbabvo
బీజింగ్	Pekino
దక్షిణ సూడాన్	Sud-Sudano
బెనిన్	Benino
బోత్సువానా	Bocvano
బర్కీనా ఫాసో	Burkino
బురుండి	Burundo
కొమొరోస్	Komoroj
కాంగో రిపబ్లిక్	Respubliko Kongo
శాన్ అంటోనియో	San Antonio (Teksaso)
జిబౌటి	Ĝibutio
బవేరియా	Bavario
ఎరిత్రియా	Eritreo
క్రొత్త ఢిల్లీ	Nov-Delhio
దాస్తొయెవ్‌స్కీ	Fjodor Dostojevskij
శిశువు	Bebo
గబాన్	Gabono
మహాత్మా గాంధీ	Mohandas Karamchand Gandhi
కామిక్స్	Bildliteraturo
గాంబియా	Gambio
కోటె డి ఐవొరి	Ebur-Bordo
కామెరూన్	Kameruno
కేప్ వర్దె	Kaboverdo
లిబియా	Libio
మడగాస్కర్	Madagaskaro
మౌరిటానియ	Maŭritanio
మారిషస్	Maŭricio
మొరాకో	Maroko
మొజాంబిక్	Mozambiko
నమీబియా	Namibio
నైజర్	Niĝero
నైజీరియా	Niĝerio
చార్లెస్ డార్విన్	Charles Darwin
ఉగాండా	Ugando
రువాండా	Ruando
సెనెగల్	Senegalo
కరోలస్ లిన్నేయస్	Karolo Lineo
సొమాలియా	Somalio
నియోబియం	Niobio
జవహర్‌లాల్ నెహ్రూ	Jawaharlal Nehru
జూలియస్ సీజర్	Julio Cezaro
సూడాన్	Sudano
ఇంద్రధనస్సు	Ĉielarko
టెక్నీషియం	Teknecio
నరేంద్ర మోడి	Narendra Modi
రోగ నిరోధక వ్యవస్థ	Imuna sistemo
గుజరాత్	Guĝaratio
పరిణామం	Evoluismo
ఐక్యరాజ్య సమితి	Unuiĝintaj Nacioj
భూగోళ శాస్త్రము	Geografio
గుండె	Koro
మెదడు	Cerbo
చర్మము	Haŭto
రంగు	Koloro
నామవాచకం	Substantivo
నీలము	Blua
వెండి	Arĝento
కాడ్మియం	Kadmio
తగరము	Stano
అయోడిన్	Jodo
సీసియం	Cezio
విద్యుద్భరితము	Elektra ŝargo
బిల్ క్లింటన్	William J. Clinton
ఇందిరా గాంధీ	Indira Gandhi
ముంబై	Mumbajo
ఆంధ్ర ప్రదేశ్	Andra-Pradeŝo
అరుణాచల్ ప్రదేశ్	Arunaĉal-Pradeŝo
అసోం	Asamo
బీహార్	Biharo
మిషిగన్	Miĉigano
ఛత్తీస్‌గఢ్	Ĉhatisgaro
గోవా	Goao
హర్యానా	Harjano
హిమాచల్ ప్రదేశ్	Himaĉal-Pradeŝo
జమ్మూ కాశ్మీరు	Ĝamuo kaj Kaŝmiro
ఫ్యూర్టో రికో	Porto-Riko
జార్ఖండ్	Ĝharkhando
కర్ణాటక	Karnatako
కేరళ	Keralao
మధ్య ప్రదేశ్	Madhja-Pradeŝo
ఉసేన్ బోల్ట్	Usain Bolt
మహారాష్ట్ర	Maharaŝtro
మణిపూర్	Manipuro
మేఘాలయ	Meghalajo
ఇల్లినాయిస్	Ilinojso
నార్త్ డకోటా	Norda Dakoto
సౌత్ డకోటా	Suda Dakoto
మొంటానా	Montano
వయోమింగ్	Vajomingo
జెరూసలేం	Jerusalemo
ఐడహొ	Idaho
బ్రూస్ స్ప్రింగ్‌స్టీన్	Bruce Springsteen
నెవాడా	Nevado
హిందూ మహాసముద్రం	Hinda Oceano
కోఫీ అన్నన్	Kofi Annan
బౌత్రోస్ బౌత్రోస్ ఘలీ	Boutros Boutros-Ghali
జేవియర్ పెరేజ్ డిక్యుల్లర్	Javier Pérez de Cuéllar
కొలరాడో	Koloradio
యూ థాంట్	U Thant
కొలరాడో నది	Kolorado (rivero)
ట్రిగ్వేలీ	Trygve Lie
వర్గం:వర్గాలు	Kategorio:Ĉio
ఆల్ప్స్ పర్వతాలు	Alpoj
బ్లేజ్ పాస్కల్	Blaise Pascal
డార్ట్ ముండ్	Dortmund
చికాగో	Ĉikago
ద బీటిల్స్	The Beatles
చలికాలం	Vintro
వేసవి కాలం	Somero
విషువత్తు	Ekvinokso
సద్దామ్ హుసేన్	Saddam Hussein
ఒసామా బిన్ లాదెన్	Usama bin Laden
స్పానిష్ భాష	Hispana lingvo
పిట్స్‌బర్గ్	Pittsburgh (Pensilvanio)
ఫిలడెల్ఫియా,పెన్సిల్వేనియా	Filadelfio (Pensilvanio)
కోల్‌కత	Kolkato
చెన్నై	Ĉenajo
ఢిల్లీ	Delhio
ఢాకా	Dako
బెంగుళూరు	Bengaluro
పశ్చిమ బెంగాల్	Okcident-Bengalo
సాలెపురుగు	Araneuloj
ఆర్థ్రోపోడా	Artropodoj
హైదరాబాదు	Hajderabado
ఇస్లామాబాద్	Islamabado
త్రిపుర	Tripuro
పండు	Frukto
కోతి	Simio
ధనం	Mono
వర్జీనియా	Virginio (ŝtato)
పశ్చిమ వర్జీనియా	Okcidenta Virginio
న్యూయార్క్ రాష్ట్రం	Nov-Jorkio
రోడ్ ఐలండ్	Rod-Insulo
కీటకము	Insekto
మేరీల్యాండ్	Marilando
డెలావేర్	Delavaro
లెనిన్	Lenin
ఒహాయో	Ohio
మాకియవెలీ	Makiavelo
పెన్సిల్వేనియా	Pensilvanio
ఊఎతెర్సెన్	Uetersen
ఆగస్టస్	Aŭgusto Cezaro
విండోస్	Microsoft Windows
న్యూజెర్సీ	Nov-Ĵerzejo
నీరో	Nerono
ఇండియానా	Indianio
నోకియా	Nokia (kompanio)
కారు	Aŭtomobilo
రోజర్ ఫెడరర్	Roger Federer
జార్జియా	Georgio
కెడిఇ(KDE)	KDE
రాజస్థాన్	Raĝastano
టెక్సస్	Teksaso
తమిళనాడు	Tamilnado
నార్త్ కెరొలినా	Norda Karolino
మైదాన హాకీ	Herbohokeo
సౌత్ కెరొలినా	Suda Karolino
సిసిలీ	Sicilio
మనీలా	Manilo
సార్డీనియా	Sardio
క్రోన్స్ వ్యాధి	Crohn-malsano
టోక్యో	Tokio
అనాస	Ananaso
మిసిసిపీ	Misisipio
మిసిసిపీ నది	Misisipo (rivero)
ఉత్తర ప్రదేశ్	Utar-Pradeŝo
ఉత్తరాఖండ్	Utarakando
ఈత కొలను	Banejo
మిజోరాం	Mizoramo
సిక్కిం	Sikimo
టేనస్సీ	Tenesio
నాగపూర్	Nagpur
న్యూ మెక్సికో	Nov-Meksiko
ఏథెన్స్	Ateno
మిన్నసోటా	Minesoto
విస్కాన్సిన్	Viskonsino
పూణే	Puneo
అయోవా	Iovao
నెబ్రాస్కా	Nebrasko
కాన్సాస్	Kansaso
హిందీ భాష	Hindia lingvo
మరాఠీ భాష	Marata lingvo
పొగ చుట్ట	Cigaro
సిగరెట్	Cigaredo
వినాయకుడు	Ganeŝo
మిస్సోరీ	Misurio
లూసియానా	Luiziano
నాగాలాండ్	Nagalando
కెంటకీ	Kentukio
ఆర్కాన్సా	Arkansaso
నీల్ ఆర్మ్‌స్ట్రాంగ్	Neil Armstrong
ఉర్దూ భాష	Urduo
ఓక్లహోమా	Oklahomo
డానుబే	Danubo
వాలీబాల్	Flugpilkado
వియన్నా	Vieno
కోపెన్‌హాగన్	Kopenhago
స్టాక్‌హోమ్	Stokholmo
కొచ్చి	Koĉi (Barato)
బైబిల్	Biblio
నిజ ఏసుక్రీస్తు మండలి	Vera Eklezio de Jesuo
ఆంగ్ల భాష	Angla lingvo
బ్యాంకాక్	Bankoko
క్యివ్	Kievo
అంటారియో	Ontario
అటావా	Otavo
కొన్‌స్కొవొలా	Końskowola
ఫార్ములా వన్	Formulo 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
కార్బన్ డయాక్సైడ్	Karbona dioksido
2013	2013
2008	2008
జావాస్క్రిప్టు	JavaScript
2004	2004
2005	2005
2006	2006
2007	2007
లినక్స్ మింట్	Linukso Mint
1900	1900
1901	1901
1902	1902
ఫ్లోరెన్స్	Florenco
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
హెచ్‌టిఎమ్ఎల్5(HTML5)	HTML5
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
ఆహారం	Manĝaĵo
పాము	Serpento
XML	XML
నోటితో రతి	Buŝa seksumado
న్యూట్రినో	Neŭtrino
జనవరి 1	1-a de januaro
జనవరి 2	2-a de januaro
సుభాష్ చంద్రబోస్	Subhas Chandra Bose
1920	1920
జనవరి 3	3-a de januaro
1919	1919
1921	1921
1922	1922
జనవరి 4	4-a de januaro
1923	1923
1924	1924
ఆస్టెరాయిడ్ పట్టీ	Asteroida zono
గిఫ్	GIF
మరుగుజ్జు గ్రహం	Nanoplanedo
జనవరి 5	5-a de januaro
జనవరి 6	6-a de januaro
ఎలక్ట్రాన్	Elektrono
జనవరి 7	7-a de januaro
జనవరి 8	8-a de januaro
జనవరి 9	9-a de januaro
జనవరి 10	10-a de januaro
జనవరి 11	11-a de januaro
జనవరి 12	12-a de januaro
జనవరి 13	13-a de januaro
బర్మింగ్‌హామ్	Birmingham
జనవరి 14	14-a de januaro
జనవరి 15	15-a de januaro
జనవరి 16	16-a de januaro
జనవరి 17	17-a de januaro
జనవరి 18	18-a de januaro
జనవరి 19	19-a de januaro
జనవరి 20	20-a de januaro
పారిశ్రామిక విప్లవం	Industria revolucio
జనవరి 21	21-a de januaro
జనవరి 22	22-a de januaro
జనవరి 23	23-a de januaro
జనవరి 24	24-a de januaro
జనవరి 25	25-a de januaro
జనవరి 26	26-a de januaro
మైక్రోసాఫ్ట్	Microsoft
జనవరి 27	27-a de januaro
జనవరి 28	28-a de januaro
జనవరి 29	29-a de januaro
జనవరి 30	30-a de januaro
జనవరి 31	31-a de januaro
ప్రోటాన్	Protono
డిసెంబర్ 2	2-a de decembro
డిసెంబర్ 1	1-a de decembro
డిసెంబర్ 3	3-a de decembro
డిసెంబర్ 7	7-a de decembro
డిసెంబర్ 5	5-a de decembro
డిసెంబర్ 8	8-a de decembro
డిసెంబర్ 10	10-a de decembro
డిసెంబర్ 6	6-a de decembro
డిసెంబర్ 9	9-a de decembro
పింక్ ఫ్లాయిడ్	Pink Floyd
డిసెంబర్ 4	4-a de decembro
ఫిబ్రవరి 1	1-a de februaro
ఫిబ్రవరి 2	2-a de februaro
ఫిబ్రవరి 3	3-a de februaro
కురోవ్	Kurów
ఫిబ్రవరి 4	4-a de februaro
ఫిబ్రవరి 5	5-a de februaro
ఫిబ్రవరి 6	6-a de februaro
ఫిబ్రవరి 7	7-a de februaro
ఫిబ్రవరి 8	8-a de februaro
ఫిబ్రవరి 9	9-a de februaro
ఫిబ్రవరి 10	10-a de februaro
రసాయన శాస్త్రము	Kemio
ఫిబ్రవరి 14	14-a de februaro
ఫిబ్రవరి 13	13-a de februaro
ఫిబ్రవరి 15	15-a de februaro
ఫిబ్రవరి 11	11-a de februaro
ఫిబ్రవరి 12	12-a de februaro
ఫిబ్రవరి 19	19-a de februaro
ఫిబ్రవరి 17	17-a de februaro
ఫిబ్రవరి 16	16-a de februaro
ఫిబ్రవరి 18	18-a de februaro
ఫిబ్రవరి 20	20-a de februaro
న్యూట్రాన్	Neŭtrono
69 భంగిమ	Sesdeknaŭo (seksa pozicio)
ఫిబ్రవరి 21	21-a de februaro
ఫిబ్రవరి 22	22-a de februaro
ఫిబ్రవరి 23	23-a de februaro
ఫిబ్రవరి 24	24-a de februaro
ఫిబ్రవరి 25	25-a de februaro
ఫిబ్రవరి 26	26-a de februaro
ఫిబ్రవరి 27	27-a de februaro
ఫిబ్రవరి 28	28-a de februaro
డిసెంబర్ 11	11-a de decembro
ఫిబ్రవరి 29	29-a de februaro
డిసెంబర్ 12	12-a de decembro
విజువల్ బేసిక్	Visual Basic
డిసెంబర్ 13	13-a de decembro
డిసెంబర్ 14	14-a de decembro
డిసెంబర్ 15	15-a de decembro
మార్చి 2	2-a de marto
మార్చి 3	3-a de marto
మార్చి 5	5-a de marto
మార్చి 1	1-a de marto
మార్చి 7	7-a de marto
మార్చి 8	8-a de marto
మార్చి 4	4-a de marto
మార్చి 10	10-a de marto
మార్చి 11	11-a de marto
మార్చి 6	6-a de marto
మార్చి 13	13-a de marto
మార్చి 9	9-a de marto
మార్చి 12	12-a de marto
మార్చి 15	15-a de marto
మార్చి 14	14-a de marto
డిసెంబర్ 16	16-a de decembro
డిసెంబర్ 17	17-a de decembro
మార్చి 16	16-a de marto
మార్చి 17	17-a de marto
మార్చి 18	18-a de marto
మార్చి 19	19-a de marto
1989	1989
1988	1988
మార్చి 20	20-a de marto
1987	1987
1986	1986
1985	1985
1984	1984
మార్చి 21	21-a de marto
1983	1983
మార్చి 22	22-a de marto
1982	1982
1981	1981
డిసెంబర్ 18	18-a de decembro
1980	1980
మార్చి 23	23-a de marto
డిసెంబర్ 19	19-a de decembro
మార్చి 24	24-a de marto
మార్చి 25	25-a de marto
డిసెంబర్ 20	20-a de decembro
మార్చి 26	26-a de marto
మార్చి 27	27-a de marto
మార్చి 28	28-a de marto
మార్చి 29	29-a de marto
మార్చి 30	30-a de marto
